energy_ev,total_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.00155837,0.00005054,0.00040265,0.00000004,0.00159129,0.00000866,0.00000003
-5.99399700,0.00210185,0.00006882,0.00054304,0.00000006,0.00214531,0.00001226,0.00000004
-5.98799400,0.00281486,0.00009316,0.00072722,0.00000009,0.00287164,0.00001728,0.00000005
-5.98199100,0.00374315,0.00012536,0.00096701,0.00000014,0.00381653,0.00002427,0.00000007
-5.97598799,0.00494253,0.00016769,0.00127681,0.00000020,0.00503625,0.00003395,0.00000009
-5.96998499,0.00648030,0.00022303,0.00167403,0.00000030,0.00659852,0.00004731,0.00000012
-5.96398199,0.00843685,0.00029495,0.00217943,0.00000044,0.00858393,0.00006566,0.00000016
-5.95797899,0.01090709,0.00038791,0.00281755,0.00000063,0.01108735,0.00009077,0.00000020
-5.95197599,0.01400193,0.00050741,0.00361708,0.00000090,0.01421908,0.00012497,0.00000026
-5.94597299,0.01784936,0.00066021,0.00461113,0.00000128,0.01810583,0.00017134,0.00000034
-5.93996998,0.02259541,0.00085461,0.00583752,0.00000181,0.02289122,0.00023391,0.00000043
-5.93396698,0.02840461,0.00110068,0.00733889,0.00000253,0.02873587,0.00031792,0.00000055
-5.92796398,0.03545983,0.00141067,0.00916269,0.00000353,0.03581669,0.00043016,0.00000069
-5.92196098,0.04396159,0.00179934,0.01136101,0.00000487,0.04432546,0.00057931,0.00000086
-5.91595798,0.05412644,0.00228443,0.01399023,0.00000668,0.05446643,0.00077643,0.00000107
-5.90995498,0.06618455,0.00288714,0.01711039,0.00000910,0.06645285,0.00103547,0.00000131
-5.90395198,0.08037623,0.00363272,0.02078441,0.00001230,0.08050237,0.00137392,0.00000161
-5.89794897,0.09694756,0.00455104,0.02507696,0.00001651,0.09683123,0.00181349,0.00000195
-5.89194597,0.11614490,0.00567730,0.03005313,0.00002200,0.11564730,0.00238087,0.00000235
-5.88594297,0.13820852,0.00705268,0.03577692,0.00002910,0.13714202,0.00310863,0.00000282
-5.87993997,0.16336544,0.00872513,0.04230944,0.00003823,0.16148136,0.00403612,0.00000336
-5.87393697,0.19182158,0.01075005,0.04970702,0.00004985,0.18879611,0.00521036,0.00000398
-5.86793397,0.22375358,0.01319104,0.05801923,0.00006455,0.21917184,0.00668703,0.00000468
-5.86193097,0.25930057,0.01612047,0.06728689,0.00008298,0.25263874,0.00853136,0.00000546
-5.85592796,0.29855617,0.01962003,0.07754016,0.00010590,0.28916207,0.01081884,0.00000634
-5.84992496,0.34156126,0.02378098,0.08879680,0.00013419,0.32863354,0.01363591,0.00000731
-5.84392196,0.38829769,0.02870424,0.10106073,0.00016881,0.37086422,0.01708023,0.00000837
-5.83791896,0.43868361,0.03450008,0.11432093,0.00021084,0.41557954,0.02126077,0.00000954
-5.83191596,0.49257037,0.04128737,0.12855079,0.00026145,0.46241684,0.02629737,0.00001079
-5.82591296,0.54974165,0.04919239,0.14370796,0.00032187,0.51092592,0.03231978,0.00001214
-5.81990995,0.60991468,0.05834695,0.15973472,0.00039343,0.56057290,0.03946619,0.00001357
-5.81390695,0.67274373,0.06888592,0.17655889,0.00047744,0.61074762,0.04788098,0.00001508
