energy_ev,total_up,As_p_up,As_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,2.01940664,0.13007978,0.00000000,0.94012652,0.74394548,0.01604749,1.34976420
-5.99399700,2.08504651,0.13621334,0.00000000,0.98717378,0.76168525,0.01622608,1.39379130
-5.98799400,2.16196062,0.14305972,0.00000000,1.04070925,0.78331725,0.01643395,1.44576242
-5.98199100,2.25126842,0.15072671,0.00000000,1.10140389,0.80910894,0.01668303,1.50637377
-5.97598799,2.35402828,0.15931618,0.00000000,1.16987998,0.83931381,0.01698531,1.57627954
-5.96998499,2.47119356,0.16892025,0.00000000,1.24668410,0.87416237,0.01735238,1.65606452
-5.96398199,2.60356942,0.17961779,0.00000000,1.33226113,0.91385344,0.01779501,1.74621723
-5.95797899,2.75177238,0.19147115,0.00000000,1.42693013,0.95854577,0.01832267,1.84710450
-5.95197599,2.91619399,0.20452348,0.00000000,1.53086313,1.00835048,0.01894317,1.95894851
-5.94597299,3.09697016,0.21879656,0.00000000,1.64406767,1.06332427,0.01966235,2.08180716
-5.93996998,3.29395722,0.23428933,0.00000000,1.76637372,1.12346378,0.02048379,2.21555844
-5.93396698,3.50671545,0.25097711,0.00000000,1.89742559,1.18870084,0.02140866,2.35988940
-5.92796398,3.73450064,0.26881150,0.00000000,2.03667896,1.25889892,0.02243563,2.51428987
-5.92196098,3.97626359,0.28772098,0.00000000,2.18340323,1.33385052,0.02356084,2.67805123
-5.91595798,4.23065758,0.30761212,0.00000000,2.33668908,1.41327551,0.02477805,2.85026994
-5.90995498,4.49605306,0.32837132,0.00000000,2.49546082,1.49682032,0.02607871,3.02985570
-5.90395198,4.77055885,0.34986698,0.00000000,2.65849310,1.58405795,0.02745228,3.21554382
-5.89794897,5.05204904,0.37195195,0.00000000,2.82443136,1.67448863,0.02888642,3.40591115
-5.89194597,5.33819433,0.39446628,0.00000000,2.99181522,1.76754124,0.03036739,3.59939516
-5.88594297,5.62649703,0.41723997,0.00000000,3.15910418,1.86257540,0.03188033,3.79431561
-5.87993997,5.91432855,0.44009571,0.00000000,3.32470465,1.95888456,0.03340970,3.98889807
-5.87393697,6.19896857,0.46285160,0.00000000,3.48699774,2.05570002,0.03493954,4.18129906
-5.86793397,6.47764524,0.48532367,0.00000000,3.64436699,2.15219633,0.03645393,4.36963229
-5.86193097,6.74757588,0.50732824,0.00000000,3.79522561,2.24749818,0.03793720,4.55199588
-5.85592796,7.00600787,0.52868405,0.00000000,3.93804260,2.34068928,0.03937432,4.72650020
-5.84992496,7.25025957,0.54921430,0.00000000,4.07136758,2.43082334,0.04075110,4.89129656
