energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,8.79738924,0.02006164,1.41498802,4.91861086,4.09970872,0.07756218,2.41995911,1.32088022,0.76953762
-5.99399700,8.81908453,0.02007859,1.39597351,4.92087314,4.06802676,0.07897788,2.47361329,1.36132172,0.78728737
-5.98799400,8.84470439,0.02011780,1.37646294,4.92490410,4.03634803,0.08046406,2.53043679,1.40472712,0.80568499
-5.98199100,8.87316752,0.02017785,1.35640366,4.93036084,4.00445430,0.08200208,2.58979088,1.45079494,0.82443438
-5.97598799,8.90347216,0.02025665,1.33578153,4.93701426,3.97221699,0.08357358,2.65099648,1.49917323,0.84322916
-5.96998499,8.93474123,0.02035162,1.31462598,4.94477503,3.93961399,0.08516074,2.71335197,1.54946759,0.86176143
-5.96398199,8.96625717,0.02045983,1.29301243,4.95371050,3.90673995,0.08674655,2.77615053,1.60124960,0.87973062
-5.95797899,8.99748499,0.02057813,1.27106212,4.96405115,3.87380970,0.08831485,2.83869653,1.65406535,0.89685207
-5.95197599,9.02808265,0.02070332,1.24893909,4.97618591,3.84115420,0.08985033,2.90032025,1.70744384,0.91286492
-5.94597299,9.05789862,0.02083223,1.22684478,4.99064611,3.80920947,0.09133843,2.96039083,1.76090498,0.92753940
-5.93996998,9.08695710,0.02096190,1.20501024,5.00807878,3.77849885,0.09276517,3.01832694,1.81396720,0.94068295
-5.93396698,9.11543236,0.02108954,1.18368651,5.02921022,3.74960940,0.09411696,3.07360527,1.86615441,0.95214533
-5.92796398,9.14361393,0.02121269,1.16313367,5.05480173,3.72316383,0.09538038,3.12576667,1.91700251,0.96182240
-5.92196098,9.17186504,0.02132918,1.14360911,5.08559964,3.69978920,0.09654199,3.17442020,1.96606516,0.96965864
-5.91595798,9.20057695,0.02143711,1.12535559,5.12228218,3.68008407,0.09758815,3.21924509,2.01291920,0.97564829
-5.90995498,9.23012216,0.02153489,1.10858977,5.16540602,3.66458578,0.09850499,3.25999098,2.05716948,0.97983514
-5.90395198,9.26080910,0.02162115,1.09349178,5.21535539,3.65373958,0.09927836,3.29647675,2.09845339,0.98231112
-5.89794897,9.29284139,0.02169473,1.08019627,5.27229671,3.64787122,0.09989393,3.32858808,2.13644502,0.98321365
-5.89194597,9.32628381,0.02175463,1.06878550,5.33614123,3.64716441,0.10033747,3.35627426,2.17085904,0.98272186
-5.88594297,9.36103718,0.02179996,1.05928470,5.40651821,3.65164446,0.10059507,3.37954431,2.20145429,0.98105190
-5.87993997,9.39682356,0.02182992,1.05166001,5.48276031,3.66116895,0.10065357,3.39846274,2.22803715,0.97845139
-5.87393697,9.43318268,0.02184378,1.04581895,5.56390261,3.67542607,0.10050104,3.41314519,2.25046441,0.97519311
-5.86793397,9.46947984,0.02184091,1.04161353,5.64869579,3.69394069,0.10012728,3.42375384,2.26864583,0.97156817
-5.86193097,9.50492482,0.02182078,1.03884571,5.73563342,3.71608812,0.09952432,3.43049290,2.28254601,0.96787870
-5.85592796,9.53860080,0.02178297,1.03727503,5.82299255,3.74111486,0.09868698,3.43360395,2.29218555,0.96443027
-5.84992496,9.56950160,0.02172727,1.03662790,5.90888612,3.76816539,0.09761330,3.43336126,2.29764133,0.96152406
-5.84392196,9.59657521,0.02165372,1.03660824,5.99132511,3.79631386,0.09630496,3.43006683,2.29904572,0.95944905
-5.83791896,9.61877121,0.02156266,1.03690889,6.06828772,3.82459907,0.09476750,3.42404519,2.29658460,0.95847430
