energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.45176685,-0.45149778,0.18816607,-0.18804007,0.01418954,-0.01418988,0.00030234,-0.00030293,0.04114319,-0.04111643,0.07090810,-0.07086757,0.06587733,-0.06582534,0.00349157,-0.00348910,0.23048287,-0.23035421
-5.99399700,0.46260076,-0.46238330,0.19284095,-0.19273840,0.01429317,-0.01429381,0.00030224,-0.00030286,0.04216236,-0.04213988,0.07259490,-0.07256106,0.06760828,-0.06756412,0.00355178,-0.00354971,0.23602890,-0.23592739
-5.98799400,0.47097682,-0.47081539,0.19637447,-0.19629731,0.01441949,-0.01442054,0.00030270,-0.00030334,0.04295942,-0.04294166,0.07393636,-0.07391001,0.06894258,-0.06890686,0.00359812,-0.00359648,0.24031100,-0.24023878
-5.98199100,0.47670259,-0.47659981,0.19868848,-0.19863798,0.01455608,-0.01455754,0.00030333,-0.00030400,0.04351821,-0.04350544,0.07490358,-0.07488516,0.06985788,-0.06983098,0.00362822,-0.00362702,0.24323213,-0.24319039
-5.97598799,0.47967845,-0.47963498,0.19973924,-0.19971595,0.01469684,-0.01469860,0.00030388,-0.00030457,0.04383123,-0.04382350,0.07548424,-0.07547382,0.07034399,-0.07032600,0.00364053,-0.00363978,0.24474208,-0.24473107
-5.96998499,0.47990114,-0.47991567,0.19951904,-0.19952275,0.01484191,-0.01484377,0.00030420,-0.00030491,0.04389991,-0.04389711,0.07568316,-0.07568046,0.07040353,-0.07039430,0.00363436,-0.00363405,0.24483946,-0.24485842
-5.96398199,0.47746511,-0.47753431,0.19805684,-0.19808660,0.01499760,-0.01499923,0.00030428,-0.00030499,0.04373475,-0.04373655,0.07552252,-0.07552687,0.07005225,-0.07005133,0.00360984,-0.00360996,0.24357238,-0.24361956
-5.95797899,0.47256122,-0.47267986,0.19541789,-0.19547201,0.01517622,-0.01517719,0.00030418,-0.00030489,0.04335517,-0.04336106,0.07504172,-0.07505213,0.06931889,-0.06932555,0.00356792,-0.00356842,0.24103794,-0.24111062
-5.95197599,0.46547313,-0.46563413,0.19170231,-0.19177842,0.01539589,-0.01539569,0.00030408,-0.00030479,0.04278915,-0.04279844,0.07429691,-0.07431200,0.06824468,-0.06825795,0.00351027,-0.00351111,0.23738044,-0.23747501
-5.94597299,0.45657121,-0.45676587,0.18704264,-0.18713775,0.01568032,-0.01567833,0.00030425,-0.00030493,0.04207261,-0.04208444,0.07336003,-0.07337813,0.06688250,-0.06690115,0.00343927,-0.00344037,0.23278839,-0.23290040
-5.93996998,0.44630443,-0.44652259,0.18160062,-0.18171118,0.01605849,-0.01605403,0.00030500,-0.00030565,0.04124858,-0.04126195,0.07231762,-0.07233680,0.06529565,-0.06531825,0.00335788,-0.00335919,0.22749047,-0.22761476
-5.93396698,0.43519026,-0.43542058,0.17556316,-0.17568519,0.01656434,-0.01655666,0.00030674,-0.00030734,0.04036622,-0.04038000,0.07126924,-0.07128730,0.06355632,-0.06358128,0.00326959,-0.00327102,0.22175052,-0.22188137
