energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up
-6.00000000,1.03933120,0.02803103,0.05591751,0.44807756,0.20766608,0.40728423,0.00000000
-5.99399700,1.09526479,0.02545617,0.06124818,0.47853492,0.21530254,0.43266861,0.00000000
-5.98799400,1.15564785,0.02296621,0.06693444,0.51110390,0.22393640,0.45976722,0.00000000
-5.98199100,1.22040468,0.02058929,0.07294689,0.54569188,0.23358934,0.48854592,0.00000000
-5.97598799,1.28935464,0.01834899,0.07924899,0.58215631,0.24425649,0.51893348,0.00000000
-5.96998499,1.36220197,0.01626436,0.08579713,0.62030318,0.25590395,0.55081620,0.00000000
-5.96398199,1.43852870,0.01435009,0.09254083,0.65988690,0.26846709,0.58403366,0.00000000
-5.95797899,1.51779155,0.01261684,0.09942317,0.70061217,0.28184972,0.61837594,0.00000000
-5.95197599,1.59932363,0.01107175,0.10638144,0.74213767,0.29592450,0.65358284,0.00000000
-5.94597299,1.68234136,0.00971900,0.11334807,0.78408187,0.31053440,0.68934533,0.00000000
-5.93996998,1.76595722,0.00856045,0.12025179,0.82603095,0.32549550,0.72530962,0.00000000
-5.93396698,1.84919833,0.00759635,0.12701899,0.86754871,0.34060108,0.76108379,0.00000000
-5.92796398,1.93103059,0.00682599,0.13357538,0.90818826,0.35562685,0.79624709,0.00000000
-5.92196098,2.01038797,0.00624836,0.13984777,0.94750524,0.37033733,0.83036173,0.00000000
-5.91595798,2.08620596,0.00586277,0.14576595,0.98507209,0.38449319,0.86298663,0.00000000
-5.90995498,2.15745803,0.00566934,0.15126470,1.02049282,0.39785918,0.89369287,0.00000000
-5.90395198,2.22319361,0.00566945,0.15628570,1.05341777,0.41021245,0.92208003,0.00000000
-5.89794897,2.28257572,0.00586601,0.16077935,1.08355744,0.42135092,0.94779264,0.00000000
-5.89194597,2.33491664,0.00626367,0.16470643,1.11069494,0.43110127,0.97053603,0.00000000
-5.88594297,2.37970945,0.00686884,0.16803939,1.13469607,0.43932611,0.99009063,0.00000000
-5.87993997,2.41665373,0.00768960,0.17076331,1.15551662,0.44593008,1.00632384,0.00000000
-5.87393697,2.44567370,0.00873544,0.17287641,1.17320605,0.45086444,1.01919872,0.00000000
-5.86793397,2.46692736,0.01001688,0.17439006,1.18790737,0.45412985,1.02877891,0.00000000
-5.86193097,2.48080574,0.01154494,0.17532822,1.19985271,0.45577715,1.03522915,0.00000000
-5.85592796,2.48792159,0.01333049,0.17572648,1.20935471,0.45590602,1.03881122,0.00000000
-5.84992496,2.48908763,0.01538347,0.17563042,1.21679379,0.45466140,1.03987522,0.00000000
-5.84392196,2.48528484,0.01771205,0.17509373,1.22260169,0.45222796,1.03884640,0.00000000
-5.83791896,2.47762192,0.02032170,0.17417579,1.22724193,0.44882255,1.03620791,0.00000000
-5.83191596,2.46728759,0.02321427,0.17293915,1.23118802,0.44468513,1.03248030,0.00000000
-5.82591296,2.45549777,0.02638704,0.17144677,1.23490027,0.44006850,1.02819850,0.00000000
-5.81990995,2.44344004,0.02983184,0.16975935,1.23880248,0.43522728,1.02388746,0.00000000
-5.81390695,2.43221810,0.03353426,0.16793273,1.24325948,0.43040667,1.02003752,0.00000000
-5.80790395,2.42279890,0.03747306,0.16601564,1.24855677,0.42583156,1.01708075,0.00000000
-5.80190095,2.41596509,0.04161967,0.16404775,1.25488333,0.42169641,1.01536947,0.00000000
-5.79589795,2.41227536,0.04593804,0.16205832,1.26231850,0.41815659,1.01515799,0.00000000
-5.78989495,2.41203457,0.05038470,0.16006530,1.27082374,0.41532139,1.01658861,0.00000000
-5.78389195,2.41527552,0.05490916,0.15807509,1.28023981,0.41324919,1.01968264,0.00000000
-5.77788894,2.42175325,0.05945458,0.15608292,1.29028964,0.41194509,1.02433689,0.00000000
-5.77188594,2.43095254,0.06395884,0.15407377,1.30058680,0.41136092,1.03032594,0.00000000
-5.76588294,2.44210810,0.06835589,0.15202383,1.31064944,0.41139782,1.03731023,0.00000000
-5.75987994,2.45423699,0.07257735,0.14990243,1.31991896,0.41191131,1.04484944,0.00000000
-5.75387694,2.46618146,0.07655443,0.14767429,1.32778273,0.41271831,1.05242084,0.00000000
-5.74787394,2.47666056,0.08021994,0.14530198,1.33359979,0.41360623,1.05944153,0.00000000
-5.74187094,2.48432786,0.08351050,0.14274855,1.33672838,0.41434324,1.06529371,0.00000000
-5.73586793,2.48783276,0.08636867,0.13997999,1.33655401,0.41468957,1.06935174,0.00000000
-5.72986493,2.48588255,0.08874511,0.13696768,1.33251690,0.41440912,1.07100971,0.00000000
-5.72386193,2.47730217,0.09060050,0.13369051,1.32413744,0.41328094,1.06970826,0.00000000
-5.71785893,2.46108922,0.09190728,0.13013660,1.31103859,0.41110991,1.06495953,0.00000000
-5.71185593,2.43646148,0.09265093,0.12630466,1.29296426,0.40773636,1.05636888,0.00000000
-5.70585293,2.40289508,0.09283103,0.12220486,1.26979282,0.40304396,1.04365270,0.00000000
-5.69984992,2.36015161,0.09246166,0.11785916,1.24154534,0.39696574,1.02665136,0.00000000
-5.69384692,2.30829314,0.09157148,0.11330116,1.20838813,0.38948782,1.00533692,0.00000000
