energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up
-6.00000000,3.29374682,0.58250498,2.46101956,0.00506487,0.11305048,0.15424388,0.01278533,0.39837810
-5.99399700,3.27059040,0.56437373,2.44403888,0.00498089,0.11415891,0.15685868,0.01326953,0.39923082
-5.98799400,3.25086226,0.54695181,2.42922523,0.00491832,0.11561356,0.15948306,0.01378674,0.40081752
-5.98199100,3.23488183,0.53039791,2.41680143,0.00487772,0.11742788,0.16210141,0.01433594,0.40315914
-5.97598799,3.22293540,0.51485776,2.40696900,0.00485945,0.11961687,0.16470505,0.01491621,0.40626732
-5.96998499,3.21526571,0.50046199,2.39990213,0.00486367,0.12219519,0.16729183,0.01552656,0.41014262
-5.96398199,3.21206013,0.48732390,2.39574025,0.00489029,0.12517521,0.16986549,0.01616565,0.41477281
-5.95797899,3.21343753,0.47553734,2.39457932,0.00493898,0.12856492,0.17243475,0.01683162,0.42013129
-5.95197599,3.21943457,0.46517452,2.39646237,0.00500915,0.13236591,0.17501216,0.01752182,0.42617582
-5.94597299,3.22999243,0.45628407,2.40136977,0.00509994,0.13657151,0.17761292,0.01823265,0.43284761
-5.93996998,3.24494486,0.44888928,2.40921028,0.00521024,0.14116508,0.18025344,0.01895939,0.44007096
-5.93396698,3.26400923,0.44298687,2.41981374,0.00533865,0.14611867,0.18295015,0.01969617,0.44775350
-5.92796398,3.28678136,0.43854639,2.43292625,0.00548352,0.15139217,0.18571815,0.02043592,0.45578723
-5.92196098,3.31273557,0.43551031,2.44820891,0.00564298,0.15693284,0.18857021,0.02117047,0.46405036
-5.91595798,3.34123059,0.43379509,2.46524053,0.00581495,0.16267551,0.19151582,0.02189071,0.47240995
-5.90995498,3.37152173,0.43329318,2.48352497,0.00599720,0.16854336,0.19456057,0.02258682,0.48072541
-5.90395198,3.40277948,0.43387596,2.50250294,0.00618740,0.17444923,0.19770576,0.02324861,0.48885269
-5.89794897,3.43411387,0.43539770,2.52156818,0.00638314,0.18029758,0.20094820,0.02386591,0.49664902
-5.89194597,3.46460381,0.43770028,2.54008737,0.00658204,0.18598692,0.20428033,0.02442901,0.50397801
-5.88594297,3.49332999,0.44061858,2.55742275,0.00678178,0.19141256,0.20769046,0.02492909,0.51071491
-5.87993997,3.51940977,0.44398632,2.57295644,0.00698018,0.19646977,0.21116319,0.02535874,0.51675165
-5.87393697,3.54203210,0.44764212,2.58611512,0.00717521,0.20105703,0.21467992,0.02571237,0.52200153
-5.86793397,3.56049069,0.45143544,2.59639356,0.00736510,0.20507926,0.21821941,0.02598662,0.52640311
-5.86193097,3.57421351,0.45523222,2.60337588,0.00754831,0.20845094,0.22175834,0.02618065,0.52992330
-5.85592796,3.58278694,0.45891999,2.60675311,0.00772358,0.21109897,0.22527184,0.02629641,0.53255924
-5.84992496,3.58597338,0.46241214,2.60633627,0.00788998,0.21296506,0.22873405,0.02633874,0.53433898
-5.84392196,3.58372131,0.46565128,2.60206416,0.00804681,0.21400769,0.23211849,0.02631533,0.53532089
-5.83791896,3.57616733,0.46861151,2.59400547,0.00819368,0.21420345,0.23539855,0.02623662,0.53559176
