energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,Y_p_up,Y_d_up
-6.00000000,1.22991806,0.04063786,0.02944875,0.00755334,0.81272174,0.42794099,0.25148063,0.32938642,0.10749836
-5.99399700,1.26771232,0.03883726,0.03032831,0.00761659,0.84129971,0.44746528,0.25490750,0.34092772,0.10998001
-5.98799400,1.30722885,0.03696322,0.03121510,0.00769740,0.87116901,0.46788706,0.25874893,0.35322568,0.11256405
-5.98199100,1.34876499,0.03504884,0.03210901,0.00780247,0.90249937,0.48922584,0.26315206,0.36634855,0.11528770
-5.97598799,1.39255808,0.03312488,0.03300838,0.00793837,0.93542136,0.51147606,0.26825432,0.38033947,0.11818437
-5.96998499,1.43877701,0.03121912,0.03390994,0.00811143,0.97002133,0.53460670,0.27418012,0.39521425,0.12128279
-5.96398199,1.48751761,0.02935584,0.03480890,0.00832765,1.00633886,0.55856234,0.28103831,0.41096044,0.12460641
-5.95797899,1.53880181,0.02755551,0.03569917,0.00859257,1.04436655,0.58326551,0.28892014,0.42753779,0.12817315
-5.95197599,1.59258058,0.02583476,0.03657364,0.00891126,1.08405227,0.60862020,0.29789811,0.44488000,0.13199542
-5.94597299,1.64874008,0.02420641,0.03742447,0.00928826,1.12530343,0.63451622,0.30802525,0.46289763,0.13608038
-5.93996998,1.70711063,0.02267979,0.03824356,0.00972753,1.16799308,0.66083428,0.31933508,0.48148203,0.14043049
-5.93396698,1.76747766,0.02126115,0.03902287,0.01023248,1.21196720,0.68745123,0.33184196,0.50050998,0.14504415
-5.92796398,1.82959390,0.01995410,0.03975490,0.01080591,1.25705275,0.71424534,0.34554187,0.51984892,0.14991655
-5.92196098,1.89319214,0.01876026,0.04043298,0.01145006,1.30306608,0.74110113,0.36041335,0.53936230,0.15504046
-5.91595798,1.95799752,0.01767977,0.04105168,0.01216659,1.34982093,0.76791358,0.37641874,0.55891499,0.16040707
-5.90995498,2.02373908,0.01671189,0.04160698,0.01295656,1.39713594,0.79459152,0.39350553,0.57837833,0.16600677
-5.90395198,2.09015966,0.01585556,0.04209647,0.01382050,1.44484104,0.82105999,0.41160772,0.59763466,0.17182981
-5.89794897,2.15702415,0.01510974,0.04251944,0.01475833,1.49278269,0.84726152,0.43064741,0.61658120,0.17786687
-5.89194597,2.22412562,0.01447388,0.04287686,0.01576941,1.54082774,0.87315650,0.45053634,0.63513305,0.18410942
-5.88594297,2.29128937,0.01394806,0.04317132,0.01685248,1.58886594,0.89872252,0.47117761,0.65322530,0.19055004
-5.87993997,2.35837507,0.01353312,0.04340685,0.01800570,1.63681107,0.92395296,0.49246751,0.67081419,0.19718252
-5.87393697,2.42527704,0.01323072,0.04358878,0.01922657,1.68460094,0.94885497,0.51429741,0.68787736,0.20400185
-5.86793397,2.49192290,0.01304315,0.04372348,0.02051197,1.73219628,0.97344708,0.53655585,0.70441312,0.21100415
-5.86193097,2.55827090,0.01297319,0.04381813,0.02185808,1.77957871,0.99775644,0.55913066,0.72043895,0.21818646
-5.85592796,2.62430612,0.01302380,0.04388047,0.02326041,1.82674796,1.02181608,0.58191117,0.73598917,0.22554642
-5.84992496,2.69003563,0.01319778,0.04391861,0.02471377,1.87371841,1.04566211,0.60479030,0.75111199,0.23308194
-5.84392196,2.75548284,0.01349746,0.04394077,0.02621225,1.92051494,1.06933101,0.62766656,0.76586598,0.24079068
-5.83791896,2.82068101,0.01392427,0.04395518,0.02774919,1.96716832,1.09285696,0.65044578,0.78031600,0.24866952
-5.83191596,2.88566597,0.01447846,0.04396987,0.02931724,2.01370988,1.11626928,0.67304243,0.79452890,0.25671389
-5.82591296,2.95046808,0.01515872,0.04399258,0.03090830,2.06016566,1.13958976,0.69538041,0.80856884,0.26491703
-5.81990995,3.01510342,0.01596202,0.04403066,0.03251353,2.10655003,1.16283005,0.71739332,0.82249262,0.27326907
-5.81390695,3.07956434,0.01688336,0.04409097,0.03412344,2.15285877,1.18598886,0.73902399,0.83634494,0.28175607
-5.80790395,3.14380951,0.01791575,0.04417979,0.03572782,2.19906177,1.20904909,0.76022341,0.85015392,0.29035901
-5.80190095,3.20775383,0.01905016,0.04430273,0.03731587,2.24509569,1.23197484,0.78094896,0.86392695,0.29905267
-5.79589795,3.27125846,0.02027564,0.04446463,0.03887619,2.29085672,1.25470842,0.80116215,0.87764711,0.30780456
-5.78989495,3.33412165,0.02157949,0.04466943,0.04039692,2.33619388,1.27716759,0.82082584,0.89127029,0.31657397
-5.78389195,3.39607093,0.02294753,0.04492004,0.04186580,2.38090340,1.29924302,0.83990133,0.90472323,0.32531116
-5.77788894,3.45675715,0.02436436,0.04521820,0.04327030,2.42472449,1.32079643,0.85834528,0.91790271,0.33395672
-5.77188594,3.51575130,0.02581379,0.04556433,0.04459782,2.46733718,1.34165951,0.87610691,0.93067589,0.34244142
-5.76588294,3.57254434,0.02727913,0.04595742,0.04583579,2.50836237,1.36163396,0.89312542,0.94288198,0.35068631
-5.75987994,3.62655085,0.02874365,0.04639487,0.04697194,2.54736478,1.38049278,0.90932812,0.95433527,0.35860338
-5.75387694,3.67711643,0.03019093,0.04687246,0.04799448,2.58385867,1.39798303,0.92462914,0.96482951,0.36609666
-5.74787394,3.72352922,0.03160517,0.04738426,0.04889233,2.61731659,1.41383015,0.93892898,0.97414347,0.37306390
-5.74187094,3.76503507,0.03297152,0.04792268,0.04965539,2.64718092,1.42774376,0.95211502,0.98204761,0.37939870
-5.73586793,3.80085625,0.03427631,0.04847851,0.05027473,2.67287789,1.43942492,0.96406269,0.98831150,0.38499304
-5.72986493,3.83021273,0.03550723,0.04904108,0.05074285,2.69383370,1.44857451,0.97463767,0.99271191,0.38974024
-5.72386193,3.85234551,0.03665343,0.04959845,0.05105386,2.70949196,1.45490262,0.98369862,0.99504106,0.39353812
-5.71785893,3.86654077,0.03770564,0.05013766,0.05120366,2.71933183,1.45813829,0.99110059,0.99511475,0.39629227
-5.71185593,3.87215394,0.03865615,0.05064502,0.05119006,2.72288606,1.45803956,0.99669885,0.99278010,0.39791925
-5.70585293,3.86863272,0.03949878,0.05110647,0.05101287,2.71975809,1.45440294,1.00035293,0.98792247,0.39834968
-5.69984992,3.85553779,0.04022891,0.05150794,0.05067394,2.70963752,1.44707225,1.00193085,0.98047145,0.39753095
-5.69384692,3.83256073,0.04084336,0.05183570,0.05017716,2.69231330,1.43594618,1.00131327,0.97040544,0.39542947
-5.68784392,3.79953816,0.04134046,0.05207678,0.04952841,2.66768404,1.42098432,0.99839752,0.95775494,0.39203235
-5.68184092,3.75646177,0.04171996,0.05221929,0.04873544,2.63576511,1.40221137,0.99310136,0.94260424,0.38734848
-5.67583792,3.70348390,0.04198312,0.05225272,0.04780773,2.59669238,1.37971930,0.98536643,0.92509160,0.38140888
-5.66983492,3.64091867,0.04213275,0.05216826,0.04675637,2.55072237,1.35366755,0.97516129,0.90540792,0.37426634
-5.66383192,3.56923873,0.04217332,0.05195899,0.04559379,2.49822909,1.32428099,0.96248403,0.88379392,0.36599440
-5.65782891,3.48906786,0.04211107,0.05162006,0.04433362,2.43969762,1.29184604,0.94736434,0.86053607,0.35668572
-5.65182591,3.40116990,0.04195417,0.05114881,0.04299046,2.37571496,1.25670492,0.92986511,0.83596137,0.34644979
-5.64582291,3.30643447,0.04171283,0.05054478,0.04157962,2.30695824,1.21924836,0.91008335,0.81043101,0.33541035
-5.63981991,3.20585985,0.04139943,0.04980972,0.04011696,2.23418101,1.17990703,0.88815052,0.78433335,0.32370226
-5.63381691,3.10053367,0.04102855,0.04894750,0.03861864,2.15819787,1.13914194,0.86423203,0.75807612,0.31146833
-5.62781391,2.99161191,0.04061696,0.04796399,0.03710090,2.07986789,1.09743424,0.83852603,0.73207814,0.29885589
-5.62181091,2.88029648,0.04018354,0.04686691,0.03557992,2.00007731,1.05527464,0.81126132,0.70676061,0.28601343
-5.61580790,2.76781207,0.03974903,0.04566557,0.03407154,1.91972178,1.01315276,0.78269425,0.68253826,0.27308731
-5.60980490,2.65538251,0.03933572,0.04437067,0.03259113,1.83968861,0.97154673,0.75310484,0.65981030,0.26021871
-5.60380190,2.54420704,0.03896702,0.04299402,0.03115339,1.76083928,0.93091325,0.72279191,0.63895145,0.24754080
-5.59779890,2.43543702,0.03866686,0.04154827,0.02977212,1.68399259,0.89167837,0.69206733,0.62030319,0.23517624
-5.59179590,2.33015338,0.03845909,0.04004661,0.02846011,1.60990869,0.85422913,0.66124964,0.60416534,0.22323513
-5.58579290,2.22934529,0.03836672,0.03850248,0.02722889,1.53927436,0.81890636,0.63065706,0.59078830,0.21181324
-5.57978989,2.13389057,0.03841115,0.03692928,0.02608859,1.47268990,0.78599859,0.60060011,0.58036597,0.20099081
-5.57378689,2.04453832,0.03861142,0.03534015,0.02504778,1.41065778,0.75573733,0.57137423,0.57302985,0.19083168
-5.56778389,1.96189432,0.03898344,0.03374767,0.02411332,1.35357356,0.72829386,0.54325250,0.56884432,0.18138282
-5.56178089,1.88640966,0.03953933,0.03216367,0.02329025,1.30171924,0.70377736,0.51647890,0.56780351,0.17267442
-5.55577789,1.81837312,0.04028685,0.03059902,0.02258171,1.25525937,0.68223470,0.49126231,0.56982989,0.16472016
-5.54977489,1.75790767,0.04122897,0.02906349,0.02198887,1.21424009,0.66365170,0.46777155,0.57477484,0.15751801
-5.54377189,1.70497143,0.04236361,0.02756566,0.02151095,1.17859123,0.64795594,0.44613169,0.58242127,0.15105128
-5.53776888,1.65936312,0.04368358,0.02611280,0.02114523,1.14813154,0.63502096,0.42642174,0.59248835,0.14528993
-5.53176588,1.62073210,0.04517670,0.02471085,0.02088718,1.12257693,0.62467179,0.40867396,0.60463840,0.14019223
-5.52576288,1.58859276,0.04682615,0.02336446,0.02073055,1.10155161,0.61669172,0.39287464,0.61848570,0.13570646
-5.51975988,1.56234281,0.04861095,0.02207699,0.02066761,1.08460174,0.61082995,0.37896644,0.63360711,0.13177293
-5.51375688,1.54128494,0.05050667,0.02085064,0.02068932,1.07121120,0.60681007,0.36685216,0.64955408,0.12832595
-5.50775388,1.52465112,0.05248622,0.01968651,0.02078563,1.06081902,0.60433901,0.35639971,0.66586574,0.12529595
-5.50175088,1.51162865,0.05452078,0.01858477,0.02094574,1.05283772,0.60311613,0.34744805,0.68208256,0.12261148
-5.49574787,1.50138692,0.05658081,0.01754484,0.02115841,1.04667204,0.60284228,0.33981390,0.69776004,0.12020124
-5.48974487,1.49310406,0.05863698,0.01656549,0.02141225,1.04173736,0.60322846,0.33329890,0.71248196,0.11799589
-5.48374187,1.48599227,0.06066120,0.01564506,0.02169601,1.03747703,0.60400371,0.32769684,0.72587253,0.11592980
-5.47773887,1.47932100,0.06262753,0.01478164,0.02199888,1.03337816,0.60492215,0.32280086,0.73760717,0.11394245
-5.47173587,1.47243726,0.06451294,0.01397317,0.02231070,1.02898517,0.60576875,0.31841021,0.74742125,0.11197975
-5.46573287,1.46478214,0.06629803,0.01321763,0.02262218,1.02391083,0.60636381,0.31433642,0.75511657,0.10999490
-5.45972986,1.45590328,0.06796755,0.01251313,0.02292507,1.01784423,0.60656593,0.31040865,0.76056541,0.10794913
-5.45372686,1.44546289,0.06951075,0.01185802,0.02321230,1.01055586,0.60627345,0.30647829,0.76371189,0.10581208
-5.44772386,1.43324130,0.07092155,0.01125094,0.02347800,1.00189944,0.60542439,0.30242239,0.76457073,0.10356187
-5.44172086,1.41913615,0.07219858,0.01069083,0.02371756,0.99181076,0.60399487,0.29814633,0.76322355,0.10118500
-5.43571786,1.40315746,0.07334501,0.01017698,0.02392758,0.98030383,0.60199628,0.29358532,0.75981289,0.09867591
-5.42971486,1.38541920,0.07436826,0.00970899,0.02410582,0.96746451,0.59947129,0.28870506,0.75453435,0.09603643
-5.42371186,1.36612778,0.07527952,0.00928670,0.02425111,0.95344215,0.59648887,0.28350159,0.74762719,0.09327501
-5.41770885,1.34556829,0.07609326,0.00891014,0.02436318,0.93843974,0.59313876,0.27800023,0.73936384,0.09040588
-5.41170585,1.32408901,0.07682656,0.00857949,0.02444253,0.92270294,0.58952545,0.27225396,0.73003888,0.08744807
-5.40570285,1.30208507,0.07749845,0.00829491,0.02449025,0.90650864,0.58576209,0.26634106,0.71995786,0.08442447
-5.39969985,1.27998183,0.07812913,0.00805658,0.02450788,0.89015338,0.58196455,0.26036237,0.70942641,0.08136084
-5.39369685,1.25821859,0.07873925,0.00786449,0.02449717,0.87394216,0.57824581,0.25443791,0.69874016,0.07828489
-5.38769385,1.23723316,0.07934921,0.00771847,0.02446000,0.85817789,0.57471105,0.24870323,0.68817560,0.07522540
-5.38169085,1.21744770,0.07997835,0.00761810,0.02439818,0.84315192,0.57145345,0.24330531,0.67798237,0.07221143
-5.37568784,1.19925612,0.08064438,0.00756265,0.02431334,0.82913560,0.56855088,0.23839820,0.66837694,0.06927163
-5.36968484,1.18301319,0.08136267,0.00755110,0.02420683,0.81637327,0.56606364,0.23413833,0.65953796,0.06643366
-5.36368184,1.16902556,0.08214575,0.00758213,0.02407966,0.80507657,0.56403311,0.23067963,0.65160318,0.06372367
-5.35767884,1.15754460,0.08300282,0.00765409,0.02393244,0.79542004,0.56248143,0.22816857,0.64466795,0.06116594
-5.35167584,1.14876106,0.08393931,0.00776512,0.02376539,0.78753806,0.56141208,0.22673903,0.63878515,0.05878253
-5.34567284,1.14280141,0.08495661,0.00791308,0.02357833,0.78152299,0.56081118,0.22650732,0.63396646,0.05659305
-5.33966983,1.13972579,0.08605181,0.00809568,0.02337074,0.77742429,0.56064952,0.22756734,0.63018467,0.05461451
-5.33366683,1.13952740,0.08721761,0.00831052,0.02314183,0.77524871,0.56088496,0.22998609,0.62737692,0.05286116
-5.32766383,1.14213321,0.08844226,0.00855509,0.02289059,0.77496119,0.56146519,0.23379976,0.62544864,0.05134440
-5.32166083,1.14740592,0.08970966,0.00882687,0.02261591,0.77648660,0.56233059,0.23901041,0.62427793,0.05007272
-5.31565783,1.15514711,0.09099952,0.00912332,0.02231663,0.77971206,0.56341705,0.24558364,0.62372030,0.04905166
-5.30965483,1.16510149,0.09228769,0.00944194,0.02199168,0.78448990,0.56465865,0.25344727,0.62361347,0.04828380
-5.30365183,1.17696241,0.09354654,0.00978025,0.02164014,0.79064125,0.56599001,0.26249125,0.62378232,0.04776876
-5.29764882,1.19037846,0.09474551,0.01013584,0.02126128,0.79796025,0.56734842,0.27256891,0.62404368,0.04750322
-5.29164582,1.20496134,0.09585173,0.01050633,0.02085471,0.80621885,0.56867557,0.28349959,0.62421109,0.04748102
-5.28564282,1.22029500,0.09683074,0.01088939,0.02042032,0.81517231,0.56991898,0.29507274,0.62409941,0.04769332
-5.27963982,1.23594602,0.09764734,0.01128270,0.01995838,0.82456549,0.57103323,0.30705336,0.62352929,0.04812873
-5.27363682,1.25147523,0.09826654,0.01168401,0.01946951,0.83413968,0.57198102,0.31918869,0.62233153,0.04877367
-5.26763382,1.26645033,0.09865444,0.01209109,0.01895471,0.84364025,0.57273411,0.33121604,0.62035126,0.04961266
-5.26163082,1.28045950,0.09877935,0.01250180,0.01841532,0.85282475,0.57327440,0.34287134,0.61745208,0.05062883
-5.25562781,1.29312542,0.09861272,0.01291410,0.01785302,0.86147149,0.57359503,0.35389828,0.61351990,0.05180445
-5.24962481,1.30411962,0.09813017,0.01332612,0.01726976,0.86938825,0.57370163,0.36405755,0.60846663,0.05312158
-5.24362181,1.31317627,0.09731238,0.01373625,0.01666778,0.87642090,0.57361380,0.37313591,0.60223351,0.05456273
-5.23761881,1.32010513,0.09614591,0.01414319,0.01604957,0.88246149,0.57336654,0.38095454,0.59479396,0.05611170
-5.23161581,1.32480289,0.09462388,0.01454609,0.01541782,0.88745549,0.57301180,0.38737643,0.58615583,0.05775424
-5.22561281,1.32726214,0.09274641,0.01494462,0.01477541,0.89140759,0.57261970,0.39231242,0.57636291,0.05947890
-5.21960980,1.32757755,0.09052092,0.01533908,0.01412538,0.89438585,0.57227947,0.39572548,0.56549543,0.06127764
-5.21360680,1.32594842,0.08796214,0.01573048,0.01347093,0.89652353,0.57209973,0.39763315,0.55366952,0.06314642
-5.20760380,1.32267735,0.08509192,0.01612060,0.01281539,0.89801841,0.57220793,0.39810789,0.54103536,0.06508562
-5.20160080,1.31816453,0.08193876,0.01651196,0.01216218,0.89912933,0.57274870,0.39727532,0.52777408,0.06710026
-5.19559780,1.31289776,0.07853706,0.01690790,0.01151481,0.90016978,0.57388101,0.39531041,0.51409327,0.06919997
