energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.13616972,0.00015136,0.00403580,0.02741320,0.02405859,0.00547971,0.07870900,0.02509968,0.00231250
-5.99399700,0.15692309,0.00016364,0.00470598,0.03051592,0.02833038,0.00640649,0.09051145,0.02872968,0.00263621
-5.98799400,0.18151288,0.00018876,0.00549141,0.03443253,0.03324270,0.00748079,0.10453056,0.03303919,0.00304210
-5.98199100,0.21004340,0.00022826,0.00639761,0.03915149,0.03882948,0.00870863,0.12081905,0.03803381,0.00353465
-5.97598799,0.24261120,0.00028436,0.00742997,0.04466295,0.04512054,0.01009518,0.13942522,0.04371552,0.00411951
-5.96998499,0.27929637,0.00036001,0.00859343,0.05095659,0.05214022,0.01164445,0.16038776,0.05008078,0.00480339
-5.96398199,0.32015458,0.00045895,0.00989234,0.05801960,0.05990615,0.01335898,0.18373107,0.05711863,0.00559410
-5.95797899,0.36521055,0.00058572,0.01133025,0.06583503,0.06842834,0.01523956,0.20946146,0.06480926,0.00650049
-5.95197599,0.41445320,0.00074579,0.01290977,0.07438048,0.07770847,0.01728507,0.23756420,0.07312272,0.00753242
-5.94597299,0.46783292,0.00094551,0.01463245,0.08362721,0.08773970,0.01949237,0.26800203,0.08201827,0.00870080
-5.93996998,0.52526110,0.00119222,0.01649881,0.09353988,0.09850674,0.02185630,0.30071483,0.09144414,0.01001753
-5.93396698,0.58661213,0.00149417,0.01850824,0.10407676,0.10998652,0.02436981,0.33562087,0.10133787,0.01149550
-5.92796398,0.65172766,0.00186058,0.02065916,0.11519050,0.12214918,0.02702417,0.37261940,0.11162732,0.01314853
-5.92196098,0.72042298,0.00230149,0.02294904,0.12682941,0.13495950,0.02980926,0.41159448,0.12223213,0.01499127
-5.91595798,0.79249506,0.00282772,0.02537455,0.13893923,0.14837859,0.03271402,0.45241992,0.13306583,0.01703902
-5.90995498,0.86773166,0.00345068,0.02793168,0.15146510,0.16236585,0.03572680,0.49496475,0.14403835,0.01930755
-5.90395198,0.94592072,0.00418214,0.03061586,0.16435382,0.17688091,0.03883593,0.53909909,0.15505884,0.02181271
-5.89794897,1.02685926,0.00503399,0.03342208,0.17755603,0.19188551,0.04203012,0.58469961,0.16603869,0.02457003
-5.89194597,1.11036076,0.00601784,0.03634489,0.19102824,0.20734505,0.04529888,0.63165431,0.17689457,0.02759415
-5.88594297,1.19626031,0.00714470,0.03937842,0.20473448,0.22322970,0.04863285,0.67986587,0.18755128,0.03089816
-5.87993997,1.28441648,0.00842444,0.04251626,0.21864737,0.23951493,0.05202397,0.72925326,0.19794422,0.03449280
-5.87393697,1.37470949,0.00986537,0.04575126,0.23274851,0.25618120,0.05546555,0.77975111,0.20802142,0.03838558
-5.86793397,1.46703518,0.01147364,0.04907528,0.24702798,0.27321294,0.05895211,0.83130657,0.21774475,0.04257984
-5.86193097,1.56129463,0.01325275,0.05247880,0.26148299,0.29059652,0.06247903,0.88387369,0.22709051,0.04707372
-5.85592796,1.65737979,0.01520300,0.05595054,0.27611562,0.30831755,0.06604209,0.93740528,0.23604908,0.05185919
-5.84992496,1.75515562,0.01732097,0.05947698,0.29092969,0.32635735,0.06963673,0.99184269,0.24462377,0.05692111
-5.84392196,1.85443980,0.01959911,0.06304192,0.30592699,0.34468895,0.07325727,1.04710398,0.25282885,0.06223643
-5.83791896,1.95498122,0.02202538,0.06662609,0.32110304,0.36327275,0.07689603,1.10307129,0.26068703,0.06777353
-5.83191596,2.05643896,0.02458301,0.07020684,0.33644253,0.38205223,0.08054239,1.15957815,0.26822629,0.07349189
-5.82591296,2.15836326,0.02725042,0.07375795,0.35191502,0.40094998,0.08418192,1.21639794,0.27547657,0.07934197
-5.81990995,2.26018053,0.03000130,0.07724964,0.36747096,0.41986441,0.08779568,1.27323433,0.28246640,0.08526550
-5.81390695,2.36118389,0.03280484,0.08064884,0.38303856,0.43866750,0.09135959,1.32971490,0.28921974,0.09119619
-5.80790395,2.46053084,0.03562623,0.08391957,0.39852176,0.45720381,0.09484417,1.38538864,0.29575332,0.09706074
-5.80190095,2.55724918,0.03842722,0.08702374,0.41379955,0.47529115,0.09821455,1.43972819,0.30207472,0.10278038
-5.79589795,2.65025193,0.04116699,0.08992205,0.42872690,0.49272289,0.10143081,1.49213715,0.30818131,0.10827272
-5.78989495,2.73836127,0.04380311,0.09257525,0.44313739,0.50927204,0.10444868,1.54196276,0.31406023,0.11345395
-5.78389195,2.82034119,0.04629266,0.09494542,0.45684751,0.52469705,0.10722062,1.58851354,0.31968947,0.11824132
-5.77788894,2.89493777,0.04859341,0.09699758,0.46966259,0.53874916,0.10969721,1.63108155,0.32503991,0.12255576
-5.77188594,2.96092538,0.05066510,0.09870116,0.48138409,0.55118093,0.11182882,1.66896821,0.33007835,0.12632464
-5.76588294,3.01715688,0.05247070,0.10003162,0.49181798,0.56175569,0.11356743,1.70151274,0.33477128,0.12948440
-5.75987994,3.06261507,0.05397760,0.10097187,0.50078380,0.57025735,0.11486865,1.72812148,0.33908914,0.13198306
-5.75387694,3.09646302,0.05515875,0.10151354,0.50812390,0.57650010,0.11569364,1.74829700,0.34301077,0.13378249
-5.74787394,3.11809015,0.05599358,0.10165801,0.51371247,0.58033744,0.11601103,1.76166494,0.34652777,0.13486020
-5.74187094,3.12715182,0.05646877,0.10141706,0.51746375,0.58167015,0.11579852,1.76799750,0.34964846,0.13521074
-5.73586793,3.12359980,0.05657881,0.10081327,0.51933909,0.58045251,0.11504429,1.76723189,0.35240111,0.13484651
-5.72986493,3.10770195,0.05632623,0.09987984,0.51935238,0.57669667,0.11374798,1.75948285,0.35483619,0.13379800
-5.72386193,3.08004990,0.05572162,0.09866023,0.51757355,0.57047471,0.11192121,1.74504838,0.35702758,0.13211345
-5.71785893,3.04155407,0.05478338,0.09720719,0.51413011,0.56191827,0.10958767,1.72440833,0.35907245,0.12985789
-5.71185593,2.99342621,0.05353716,0.09558165,0.50920638,0.55121592,0.10678266,1.69821590,0.36109005,0.12711169
-5.70585293,2.93715052,0.05201515,0.09385118,0.50304075,0.53860813,0.10355228,1.66728239,0.36321925,0.12396865
-5.69984992,2.87444469,0.05025508,0.09208837,0.49592094,0.52438035,0.09995203,1.63255627,0.36561526,0.12053377
-5.69384692,2.80721309,0.04829916,0.09036897,0.48817771,0.50885441,0.09604524,1.59509733,0.36844559,0.11692067
-5.68784392,2.73749457,0.04619280,0.08877019,0.48017716,0.49237882,0.09190103,1.55604766,0.37188565,0.11324901
-5.68184092,2.66740754,0.04398337,0.08736890,0.47231226,0.47531831,0.08759226,1.51660073,0.37611424,0.10964184
-5.67583792,2.59909513,0.04171893,0.08624021,0.46499380,0.45804333,0.08319332,1.47797014,0.38130943,0.10622307
-5.66983492,2.53467301,0.03944695,0.08545612,0.45864139,0.44091987,0.07877791,1.44135957,0.38764493,0.10311515
-5.66383192,2.47618207,0.03721316,0.08508465,0.45367466,0.42430011,0.07441707,1.40793521,0.39528727,0.10043707
-5.65782891,2.42554784,0.03506052,0.08518920,0.45050507,0.40851430,0.07017726,1.37880157,0.40439401,0.09830263
-5.65182591,2.38454774,0.03302832,0.08582837,0.44952852,0.39386417,0.06611883,1.35498154,0.41511298,0.09681914
-5.64582291,2.35478673,0.03115144,0.08705602,0.45111877,0.38061791,0.06229476,1.33740094,0.42758249,0.09608644
-5.63981991,2.33768135,0.02945976,0.08892176,0.45562176,0.36900695,0.05874976,1.32687759,0.44193238,0.09619622
-5.63381691,2.33445123,0.02797780,0.09147151,0.46335073,0.35922442,0.05551976,1.32411455,0.45828569,0.09723171
-5.62781391,2.34611695,0.02672446,0.09474830,0.47458185,0.35142499,0.05263170,1.32969687,0.47676048,0.09926739
-5.62181091,2.37350253,0.02571294,0.09879308,0.48955029,0.34572612,0.05010370,1.34409101,0.49747159,0.10236894
-5.61580790,2.41724064,0.02495077,0.10364531,0.50844637,0.34221010,0.04794548,1.36764596,0.52053175,0.10659308
-5.60980490,2.47777849,0.02443997,0.10934352,0.53141170,0.34092675,0.04615902,1.40059495,0.54605168,0.11198740
-5.60380190,2.55538262,0.02417730,0.11592534,0.55853496,0.34189640,0.04473942,1.44305689,0.57413891,0.11858987
-5.59779890,2.65014089,0.02415456,0.12342724,0.58984733,0.34511273,0.04367582,1.49503675,0.60489481,0.12642823
-5.59179590,2.76196054,0.02435901,0.13188372,0.62531755,0.35054527,0.04295242,1.55642417,0.63841000,0.13551899
-5.58579290,2.89056163,0.02477371,0.14132598,0.66484669,0.35814135,0.04254949,1.62699016,0.67475780,0.14586612
-5.57978989,3.03546599,0.02537805,0.15178002,0.70826284,0.36782734,0.04244432,1.70638197,0.71398613,0.15745950
-5.57378689,3.19598207,0.02614820,0.16326433,0.75531606,0.37950915,0.04261213,1.79411629,0.75610797,0.17027313
-5.56778389,3.37118705,0.02705760,0.17578707,0.80567409,0.39307209,0.04302677,1.88957179,0.80109100,0.18426310
-5.56178089,3.55990800,0.02807752,0.18934311,0.85891913,0.40838007,0.04366142,1.99198170,0.84884694,0.19936573
-5.55577789,3.76070408,0.02917761,0.20391083,0.91454642,0.42527456,0.04448901,2.10042768,0.89922131,0.21549568
-5.54977489,3.97185238,0.03032644,0.21944908,0.97196501,0.44357340,0.04548264,2.21383622,0.95198439,0.23254447
