energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,3.83957528,0.00824665,1.31833941,0.01054429,0.72973123,2.16698514,1.55900634
-5.99399700,3.96257416,0.00823624,1.35890555,0.01114979,0.75686191,2.26353814,1.59522437
-5.98799400,4.08640584,0.00820859,1.39837050,0.01180079,0.78583626,2.36187037,1.63012867
-5.98199100,4.21066425,0.00816905,1.43661478,0.01249684,0.81655070,2.46151522,1.66366156
-5.97598799,4.33479487,0.00812320,1.47348642,0.01323610,0.84884920,2.56190778,1.69573177
-5.96998499,4.45808579,0.00807660,1.50879857,0.01401515,0.88252048,2.66238682,1.72620965
-5.96398199,4.57966659,0.00803467,1.54232958,0.01482892,0.91729707,2.76220127,1.75492503
-5.95797899,4.69851601,0.00800250,1.57382567,0.01567070,0.95285673,2.86052170,1.78166793
-5.95197599,4.81347890,0.00798475,1.60300620,0.01653215,0.98882619,2.95645679,1.80619242
-5.94597299,4.92329206,0.00798556,1.62957171,0.01740352,1.02478740,3.04907454,1.82822356
-5.93996998,5.02661876,0.00800851,1.65321412,0.01827381,1.06028619,3.13742774,1.84746714
-5.93396698,5.12209043,0.00805662,1.67362897,0.01913107,1.09484312,3.22058293,1.86362191
-5.92796398,5.20835420,0.00813235,1.69052894,0.01996279,1.12796625,3.29765182,1.87639370
-5.92196098,5.28412398,0.00823772,1.70365815,0.02075620,1.15916532,3.36782384,1.88551066
-5.91595798,5.34823296,0.00837433,1.71280627,0.02149879,1.18796685,3.43039850,1.89073878
-5.90995498,5.39968477,0.00854352,1.71782191,0.02217865,1.21392959,3.48481587,1.89189692
-5.90395198,5.43770079,0.00874641,1.71862424,0.02278496,1.23665951,3.53068372,1.88887035
-5.89794897,5.46176087,0.00898402,1.71521231,0.02330833,1.25582376,3.56779967,1.88162188
-5.89194597,5.47163527,0.00925736,1.70767127,0.02374113,1.27116286,3.59616697,1.87020010
-5.88594297,5.46740563,0.00956741,1.69617505,0.02407785,1.28250059,3.61600271,1.85474379
-5.87993997,5.44947359,0.00991518,1.68098519,0.02431518,1.28975086,3.62773753,1.83548239
-5.87393697,5.41855598,0.01030164,1.66244560,0.02445220,1.29292139,3.63200624,1.81273212
-5.86793397,5.37566637,0.01072762,1.64097341,0.02449039,1.29211371,3.62962930,1.78688789
-5.86193097,5.32208334,0.01119374,1.61704608,0.02443347,1.28751956,3.62158544,1.75841132
-5.85592796,5.25930660,0.01170017,1.59118535,0.02428732,1.27941366,3.60897615,1.72781519
-5.84992496,5.18900277,0.01224650,1.56393876,0.02405965,1.26814322,3.59298349,1.69564529
-5.84392196,5.11294316,0.01283153,1.53585937,0.02375966,1.25411453,3.57482270,1.66246028
-5.83791896,5.03293643,0.01345306,1.50748481,0.02339769,1.23777742,3.55569182,1.62881076
-5.83191596,4.95075941,0.01410769,1.47931664,0.02298477,1.21960809,3.53672053,1.59521850
-5.82591296,4.86808936,0.01479071,1.45180092,0.02253213,1.20009142,3.51892085,1.56215694
-5.81990995,4.78644122,0.01549596,1.42531115,0.02205084,1.17970339,3.50314204,1.53003395
