energy_ev,total_up,total_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.25919002,-1.87307790,0.32358265,-0.70947425,0.25516327,-0.44680170,0.26153197,-0.48487712,0.25790635,-0.16166042,0.00001574,-0.00072967,0.07065078,-0.02891439,0.00886150,-0.01800420,0.57438518,-1.02957223
-5.99399700,1.25574942,-1.84862116,0.31666618,-0.69966967,0.25592448,-0.44412392,0.25213996,-0.48347166,0.26117461,-0.15881658,0.00001836,-0.00065764,0.07134127,-0.02909513,0.00908266,-0.01719423,0.56956647,-1.01540013
-5.98799400,1.25198569,-1.81723245,0.30948602,-0.68746252,0.25668312,-0.43948122,0.24307187,-0.48047559,0.26452180,-0.15528444,0.00002174,-0.00059514,0.07213019,-0.02924538,0.00930981,-0.01635019,0.56438564,-0.99743230
-5.98199100,1.24899420,-1.77917302,0.30229526,-0.67299631,0.25766093,-0.43287739,0.23456595,-0.47594557,0.26818608,-0.15110233,0.00002605,-0.00054064,0.07308934,-0.02936147,0.00955232,-0.01547638,0.55932488,-0.97584012
-5.97598799,1.24799317,-1.73486757,0.29537440,-0.65646137,0.25910945,-0.42436575,0.22686731,-0.46997111,0.27243340,-0.14632336,0.00003146,-0.00049277,0.07429528,-0.02944184,0.00982032,-0.01457867,0.55492223,-0.95088031
-5.96998499,1.25028933,-1.68488365,0.28902400,-0.63808668,0.26130239,-0.41404605,0.22022223,-0.46266878,0.27755007,-0.14101343,0.00003820,-0.00045037,0.07582754,-0.02948670,0.01012440,-0.01366418,0.55175637,-0.92288316
-5.96398199,1.25723917,-1.62990731,0.28355652,-0.61813069,0.26452684,-0.40205994,0.21487258,-0.45417563,0.28383423,-0.13524885,0.00004655,-0.00041245,0.07776681,-0.02949752,0.01047520,-0.01274099,0.55042937,-0.89223882
-5.95797899,1.27020701,-1.57071611,0.27928767,-0.59687179,0.26907361,-0.38858534,0.21105007,-0.44464229,0.29158666,-0.12911379,0.00005681,-0.00037816,0.08019300,-0.02947665,0.01088291,-0.01181782,0.55154801,-0.85938237
-5.95197599,1.29052132,-1.50815112,0.27652755,-0.57459876,0.27522711,-0.37382995,0.20897080,-0.43422604,0.30110113,-0.12269762,0.00006937,-0.00034685,0.08318338,-0.02942683,0.01135686,-0.01090366,0.55570419,-0.82477843
-5.94597299,1.31943070,-1.44308906,0.27557165,-0.55160171,0.28325503,-0.35802429,0.20883002,-0.42308433,0.31265474,-0.11609237,0.00008468,-0.00031798,0.08681079,-0.02935090,0.01190496,-0.01000753,0.56345515,-0.78890614
-5.93996998,1.35806116,-1.37641609,0.27669216,-0.52816390,0.29339823,-0.34141456,0.21079721,-0.41136896,0.32649856,-0.10939021,0.00010325,-0.00029115,0.09114206,-0.02925146,0.01253334,-0.00913813,0.57530403,-0.75224506
-5.93396698,1.40737617,-1.30900421,0.28012973,-0.50455477,0.30586122,-0.32425572,0.21501168,-0.39922141,0.34284906,-0.10268126,0.00012567,-0.00026606,0.09623666,-0.02913071,0.01324582,-0.00830365,0.59168156,-0.71526263
-5.92796398,1.46814107,-1.24169110,0.28608602,-0.48102437,0.32080364,-0.30680491,0.22157881,-0.38676922,0.36188044,-0.09605174,0.00015262,-0.00024250,0.10214565,-0.02899040,0.01404365,-0.00751155,0.61292946,-0.67840376
-5.92196098,1.54089314,-1.17526415,0.29471714,-0.45779943,0.33833299,-0.28931561,0.23056688,-0.37412385,0.38371845,-0.08958234,0.00018489,-0.00022031,0.10891103,-0.02883180,0.01492512,-0.00676846,0.63928623,-0.64208254
