energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,2.33421044,0.02239142,0.00000000,0.00417590,1.48100906,1.22991423,0.79691301
-5.99399700,2.27374354,0.02169265,0.00000000,0.00381504,1.45788763,1.21341733,0.78045774
-5.98799400,2.21495820,0.02111752,0.00000000,0.00347550,1.43559569,1.19754934,0.76471535
-5.98199100,2.15930861,0.02069213,0.00000000,0.00315974,1.41493377,1.18304876,0.75009908
-5.97598799,2.10817146,0.02044093,0.00000000,0.00286959,1.39667504,1.17063664,0.73699811
-5.96998499,2.06282459,0.02038625,0.00000000,0.00260621,1.38155222,1.16100195,0.72577297
-5.96398199,2.02442684,0.02054798,0.00000000,0.00237021,1.37024438,1.15478666,0.71675097
-5.95797899,1.99399895,0.02094322,0.00000000,0.00216164,1.36336322,1.15257061,0.71022155
-5.95197599,1.97240545,0.02158588,0.00000000,0.00198011,1.36143909,1.15485648,0.70643151
-5.94597299,1.96033751,0.02248635,0.00000000,0.00182480,1.36490690,1.16205505,0.70557989
-5.93996998,1.95829710,0.02365121,0.00000000,0.00169457,1.37409218,1.17447111,0.70781287
-5.93396698,1.96658285,0.02508288,0.00000000,0.00158799,1.38919796,1.19229068,0.71321863
-5.92796398,1.98527831,0.02677942,0.00000000,0.00150344,1.41029312,1.21557014,0.72182258
-5.92196098,2.01424348,0.02873434,0.00000000,0.00143913,1.43730280,1.24422785,0.73358323
-5.91595798,2.05311047,0.03093646,0.00000000,0.00139318,1.47000206,1.27803917,0.74838919
-5.90995498,2.10128425,0.03336995,0.00000000,0.00136364,1.50801324,1.31663541,0.76605763
-5.90395198,2.15794944,0.03601441,0.00000000,0.00134856,1.55080804,1.35950751,0.78633464
-5.89794897,2.22208370,0.03884513,0.00000000,0.00134601,1.59771481,1.40601465,0.80889788
-5.89194597,2.29247821,0.04183344,0.00000000,0.00135413,1.64793131,1.45539823,0.83336161
-5.88594297,2.36776530,0.04494718,0.00000000,0.00137115,1.70054324,1.50680110,0.85928439
-5.87993997,2.44645280,0.04815139,0.00000000,0.00139542,1.75454799,1.55929170,0.88617926
-5.87393697,2.52696445,0.05140898,0.00000000,0.00142544,1.80888327,1.61189237,0.91352626
-5.86793397,2.60768493,0.05468159,0.00000000,0.00145988,1.86245944,1.66361101,0.94078690
-5.86193097,2.68700808,0.05793046,0.00000000,0.00149761,1.91419443,1.71347471,0.96742001
-5.85592796,2.76338625,0.06111731,0.00000000,0.00153768,1.96304970,1.76056394,0.99289835
-5.84992496,2.83537865,0.06420529,0.00000000,0.00157939,2.00806558,1.80404562,1.01672517
-5.84392196,2.90169644,0.06715981,0.00000000,0.00162222,2.04839422,1.84320354,1.03845009
-5.83791896,2.96124241,0.06994927,0.00000000,0.00166593,2.08332852,1.87746433,1.05768323
-5.83191596,3.01314328,0.07254581,0.00000000,0.00171043,2.11232552,1.90641777,1.07410716
-5.82591296,3.05677292,0.07492574,0.00000000,0.00175590,2.13502296,1.92983009,1.08748591
-5.81990995,3.09176537,0.07706996,0.00000000,0.00180265,2.15124810,1.94764948,1.09767059
-5.81390695,3.11801704,0.07896410,0.00000000,0.00185118,2.16101835,1.96000349,1.10460137
-5.80790395,3.13567788,0.08059863,0.00000000,0.00190211,2.16453364,1.96718817,1.10830579
-5.80190095,3.14513226,0.08196865,0.00000000,0.00195612,2.16216090,1.96964965,1.10889343
-5.79589795,3.14697045,0.08307363,0.00000000,0.00201398,2.15441164,1.96795895,1.10654736
-5.78989495,3.14195245,0.08391701,0.00000000,0.00207642,2.14191372,1.96278141,1.10151293
-5.78389195,3.13096600,0.08450573,0.00000000,0.00214414,2.12537893,1.95484226,1.09408432
-5.77788894,3.11498108,0.08484959,0.00000000,0.00221775,2.10556814,1.94489026,1.08458986
-5.77188594,3.09500313,0.08496071,0.00000000,0.00229770,2.08325581,1.93366126,1.07337676
-5.76588294,3.07202744,0.08485288,0.00000000,0.00238430,2.05919558,1.92184349,1.06079594
-5.75987994,3.04699673,0.08454096,0.00000000,0.00247763,2.03408888,1.91004647,1.04718794
-5.75387694,3.02076376,0.08404037,0.00000000,0.00257753,2.00855772,1.89877487,1.03287025
-5.74787394,2.99406066,0.08336652,0.00000000,0.00268359,1.98312301,1.88840864,1.01812681
-5.74187094,2.96747566,0.08253445,0.00000000,0.00279515,1.95818907,1.87919006,1.00319986
-5.73586793,2.94143825,0.08155844,0.00000000,0.00291128,1.93403489,1.87121820,0.98828445
-5.72986493,2.91621241,0.08045175,0.00000000,0.00303078,1.91081199,1.86445070,0.97352562
-5.72386193,2.89189805,0.07922644,0.00000000,0.00315224,1.88854872,1.85871243,0.95901817
-5.71785893,2.86843954,0.07789327,0.00000000,0.00327403,1.86716019,1.85371023,0.94480874
-5.71185593,2.84564070,0.07646158,0.00000000,0.00339433,1.84646307,1.84905272,0.93089995
-5.70585293,2.82318481,0.07493939,0.00000000,0.00351122,1.82619405,1.84427384,0.91725616
-5.69984992,2.80065837,0.07333342,0.00000000,0.00362265,1.80603084,1.83885876,0.90381042
-5.69384692,2.77757730,0.07164917,0.00000000,0.00372658,1.78561445,1.83227075,0.89047220
-5.68784392,2.75341416,0.06989114,0.00000000,0.00382093,1.76457157,1.82397763,0.87713535
-5.68184092,2.72762519,0.06806293,0.00000000,0.00390373,1.74253591,1.81347653,0.86368609
-5.67583792,2.69967612,0.06616749,0.00000000,0.00397310,1.71916770,1.80031592,0.85001042
-5.66983492,2.66906573,0.06420731,0.00000000,0.00402734,1.69417036,1.78411412,0.83600094
-5.66383192,2.63534661,0.06218466,0.00000000,0.00406496,1.66730404,1.76457358,0.82156261
-5.65782891,2.59814245,0.06010183,0.00000000,0.00408473,1.63839549,1.74149071,0.80661753
-5.65182591,2.55716166,0.05796138,0.00000000,0.00408571,1.60734423,1.71476113,0.79110846
-5.64582291,2.51220709,0.05576629,0.00000000,0.00406726,1.57412507,1.68438049,0.77500116
-5.63981991,2.46318194,0.05352028,0.00000000,0.00402910,1.53878711,1.65044123,0.75828564
-5.63381691,2.41009199,0.05122788,0.00000000,0.00397128,1.50144982,1.61312578,0.74097626
-5.62781391,2.35304431,0.04889465,0.00000000,0.00389421,1.46229636,1.57269688,0.72311094
-5.62181091,2.29224304,0.04652721,0.00000000,0.00379864,1.42156503,1.52948559,0.70474952
-5.61580790,2.22798241,0.04413335,0.00000000,0.00368565,1.37953925,1.48387802,0.68597154
-5.60980490,2.16063762,0.04172195,0.00000000,0.00355659,1.33653680,1.43630117,0.66687358
-5.60380190,2.09065414,0.03930299,0.00000000,0.00341311,1.29289882,1.38720892,0.64756633
-5.59779890,2.01853571,0.03688735,0.00000000,0.00325707,1.24897924,1.33706850,0.62817160
-5.59179590,1.94483192,0.03448668,0.00000000,0.00309049,1.20513509,1.28634825,0.60881940
-5.58579290,1.87012548,0.03211315,0.00000000,0.00291555,1.16171800,1.23550684,0.58964529
-5.57978989,1.79501986,0.02977922,0.00000000,0.00273446,1.11906732,1.18498444,0.57078806
