energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.24146501,0.01872722,0.00012416,0.00112884,0.16996965,0.04404146,0.07819854
-5.99399700,0.27085606,0.02111693,0.00014446,0.00133524,0.19074623,0.04784945,0.08800870
-5.98799400,0.30336463,0.02371015,0.00016762,0.00157427,0.21350767,0.05266926,0.09892642
-5.98199100,0.33904765,0.02650777,0.00019399,0.00185011,0.23825673,0.05855316,0.11098864
-5.97598799,0.37796424,0.02951018,0.00022397,0.00216727,0.26499085,0.06556344,0.12423414
-5.96998499,0.42017977,0.03271766,0.00025799,0.00253049,0.29370480,0.07377292,0.13870444
-5.96398199,0.46576982,0.03613079,0.00029654,0.00294476,0.32439339,0.08326503,0.15444457
-5.95797899,0.51482347,0.03975086,0.00034013,0.00341515,0.35705408,0.09413309,0.17150347
-5.95197599,0.56744568,0.04358020,0.00038930,0.00394676,0.39168913,0.10647908,0.18993397
-5.94597299,0.62375807,0.04762248,0.00044463,0.00454456,0.42830702,0.12041140,0.20979229
-5.93996998,0.68389783,0.05188288,0.00050671,0.00521321,0.46692288,0.13604194,0.23113669
-5.93396698,0.74801425,0.05636806,0.00057610,0.00595690,0.50755760,0.15348218,0.25402543
-5.92796398,0.81626261,0.06108599,0.00065338,0.00677915,0.55023547,0.17283846,0.27851386
-5.92196098,0.88879523,0.06604549,0.00073904,0.00768257,0.59498015,0.19420646,0.30465059
-5.91595798,0.96574968,0.07125560,0.00083354,0.00866867,0.64180903,0.21766494,0.33247289
-5.90995498,1.04723442,0.07672470,0.00093720,0.00973761,0.69072607,0.24326911,0.36200138
-5.90395198,1.13331219,0.08245940,0.00105025,0.01088801,0.74171318,0.27104358,0.39323417
-5.89794897,1.22398186,0.08846327,0.00117273,0.01211679,0.79472080,0.30097543,0.42614078
-5.89194597,1.31915953,0.09473542,0.00130451,0.01341902,0.84965791,0.33300763,0.46065605
-5.88594297,1.41865991,0.10126913,0.00144524,0.01478782,0.90638215,0.36703311,0.49667452
-5.87993997,1.52217904,0.10805036,0.00159433,0.01621432,0.96469066,0.40289000,0.53404552
-5.87393697,1.62927956,0.11505649,0.00175095,0.01768771,1.02431238,0.44035824,0.57256945
-5.86793397,1.73937965,0.12225522,0.00191400,0.01919533,1.08490242,0.47915806,0.61199553
-5.86193097,1.85174670,0.12960379,0.00208212,0.02072282,1.14603905,0.51895041,0.65202138
-5.85592796,1.96549653,0.13704859,0.00225371,0.02225439,1.20722390,0.55933974,0.69229466
-5.84992496,2.07959885,0.14452512,0.00242693,0.02377309,1.26788565,0.59987903,0.73241686
-5.84392196,2.19288924,0.15195861,0.00259973,0.02526116,1.32738734,0.64007727,0.77194930
-5.83791896,2.30408770,0.15926492,0.00276992,0.02670047,1.38503733,0.67940903,0.81042125
-5.83191596,2.41182337,0.16635214,0.00293518,0.02807289,1.44010364,0.71732605,0.84733997
-5.82591296,2.51466475,0.17312256,0.00309313,0.02936075,1.49183117,0.75327044,0.88220234
-5.81990995,2.61115439,0.17947501,0.00324140,0.03054729,1.53946122,0.78668896,0.91450765
-5.81390695,2.69984679,0.18530758,0.00337768,0.03161702,1.58225262,0.81704796,0.94377114
-5.80790395,2.77934803,0.19052053,0.00349979,0.03255614,1.61950339,0.84384829,0.96953764
-5.80190095,2.84835558,0.19501933,0.00360574,0.03335284,1.65057224,0.86663967,0.99139481
-5.79589795,2.90569661,0.19871756,0.00369378,0.03399757,1.67489882,0.88503386,1.00898555
-5.78989495,2.95036328,0.20153980,0.00376247,0.03448324,1.69202205,0.89871618,1.02201884
-5.78389195,2.98154362,0.20342413,0.00381068,0.03480533,1.70159545,0.90745475,1.03027884
-5.77788894,2.99864682,0.20432427,0.00383769,0.03496197,1.70339925,0.91110733,1.03363172
-5.77188594,3.00132185,0.20421129,0.00384312,0.03495391,1.69734851,0.90962526,1.03203009
