energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,0.64035807,0.06648000,0.17139829,0.00228092,0.01155628,0.24639306,0.01179652,0.23071276
-5.99399700,0.68777829,0.07223748,0.18319401,0.00265888,0.01272621,0.25739619,0.01308227,0.24822519
-5.98799400,0.73664500,0.07831305,0.19516993,0.00309833,0.01396542,0.26770226,0.01449203,0.26638487
-5.98199100,0.78687428,0.08471361,0.20727447,0.00360671,0.01527278,0.27718824,0.01603634,0.28518341
-5.97598799,0.83841511,0.09144836,0.21946597,0.00419204,0.01664661,0.28575807,0.01772572,0.30462442
-5.96998499,0.89125261,0.09852870,0.23171445,0.00486285,0.01808469,0.29334731,0.01957023,0.32472404
-5.96398199,0.94540921,0.10596797,0.24400285,0.00562806,0.01958419,0.29992658,0.02157905,0.34551071
-5.95797899,1.00094372,0.11378090,0.25632780,0.00649681,0.02114161,0.30550381,0.02375988,0.36702403
-5.95197599,1.05794798,0.12198292,0.26869984,0.00747836,0.02275278,0.31012509,0.02611836,0.38931277
-5.94597299,1.11654149,0.13058930,0.28114295,0.00858190,0.02441277,0.31387407,0.02865750,0.41243204
-5.93996998,1.17686389,0.13961408,0.29369366,0.00981630,0.02611586,0.31686994,0.03137711,0.43643982
-5.93396698,1.23906579,0.14906897,0.30639943,0.01118996,0.02785550,0.31926397,0.03427324,0.46139281
-5.92796398,1.30329819,0.15896210,0.31931663,0.01271051,0.02962428,0.32123478,0.03733777,0.48734197
-5.92196098,1.36970098,0.16929681,0.33250805,0.01438457,0.03141393,0.32298247,0.04055806,0.51432784
-5.91595798,1.43839107,0.18007044,0.34604002,0.01621748,0.03321531,0.32472177,0.04391679,0.54237585
-5.90995498,1.50945051,0.19127322,0.35997937,0.01821297,0.03501846,0.32667451,0.04739197,0.57149186
-5.90395198,1.58291522,0.20288728,0.37439012,0.02037289,0.03681262,0.32906159,0.05095708,0.60165815
-5.89794897,1.65876478,0.21488587,0.38933027,0.02269684,0.03858634,0.33209474,0.05458151,0.63282996
-5.89194597,1.73691365,0.22723271,0.40484852,0.02518187,0.04032758,0.33596841,0.05823111,0.66493289
-5.88594297,1.81720426,0.23988167,0.42098135,0.02782220,0.04202383,0.34085189,0.06186893,0.69786111
-5.87993997,1.89940224,0.25277664,0.43775019,0.03060884,0.04366230,0.34688218,0.06545618,0.73147659
-5.87393697,1.98319406,0.26585168,0.45515916,0.03352942,0.04523009,0.35415763,0.06895328,0.76560936
-5.86793397,2.06818719,0.27903149,0.47319318,0.03656789,0.04671441,0.36273267,0.07232098,0.80005889
-5.86193097,2.15391287,0.29223212,0.49181669,0.03970442,0.04810281,0.37261393,0.07552154,0.83459642
-5.85592796,2.23983165,0.30536199,0.51097295,0.04291529,0.04938340,0.38375772,0.07851991,0.86896846
-5.84992496,2.32534141,0.31832315,0.53058410,0.04617297,0.05054512,0.39606921,0.08128483,0.90290107
-5.84392196,2.40978798,0.33101285,0.55055188,0.04944624,0.05157797,0.40940327,0.08378985,0.93610519
-5.83791896,2.49247810,0.34332530,0.57075913,0.05270049,0.05247326,0.42356705,0.08601411,0.96828254
-5.83191596,2.57269435,0.35515371,0.59107203,0.05589816,0.05322385,0.43832430,0.08794308,0.99913229
-5.82591296,2.64971186,0.36639249,0.61134304,0.05899935,0.05382431,0.45340132,0.08956891,1.02835808
-5.81990995,2.72281639,0.37693958,0.63141447,0.06196257,0.05427115,0.46849441,0.09089064,1.05567535
-5.81390695,2.79132304,0.38669892,0.65112266,0.06474560,0.05456294,0.48327862,0.09191416,1.08081872
-5.80790395,2.85459535,0.39558293,0.67030254,0.06730654,0.05470041,0.49741749,0.09265184,1.10354924
