energy_ev,total_up,Ge_p_up,Ge_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,0.76624170,0.05445843,0.00000000,0.31919908,0.33566151,0.00210308,0.27867166
-5.99399700,0.75254982,0.05750834,0.00000000,0.30492062,0.33759994,0.00194944,0.26963258
-5.98799400,0.74640654,0.06242651,0.00000000,0.29586484,0.34275372,0.00181962,0.26261544
-5.98199100,0.74748371,0.06935570,0.00000000,0.29207693,0.35100956,0.00171123,0.25741757
-5.97598799,0.75545922,0.07844758,0.00000000,0.29361737,0.36226022,0.00162195,0.25383042
-5.96998499,0.77003299,0.08985959,0.00000000,0.30056688,0.37641010,0.00154964,0.25164742
-5.96398199,0.79093906,0.10375069,0.00000000,0.31302838,0.39337878,0.00149235,0.25067109
-5.95797899,0.81795315,0.12027586,0.00000000,0.33112553,0.41310258,0.00144845,0.25071918
-5.95197599,0.85089507,0.13957953,0.00000000,0.35499774,0.43553360,0.00141660,0.25162961
-5.94597299,0.88962585,0.16178799,0.00000000,0.38479149,0.46063656,0.00139582,0.25326389
-5.93996998,0.93403950,0.18700095,0.00000000,0.42064825,0.48838316,0.00138553,0.25550913
-5.93396698,0.98404989,0.21528266,0.00000000,0.46268921,0.51874443,0.00138554,0.25827846
-5.92796398,1.03957324,0.24665279,0.00000000,0.51099748,0.55168135,0.00139604,0.26150996
-5.92196098,1.10050733,0.28107749,0.00000000,0.56559844,0.58713423,0.00141761,0.26516426
-5.91595798,1.16670850,0.31846112,0.00000000,0.62643929,0.62501148,0.00145118,0.26922103
-5.90995498,1.23796801,0.35863916,0.00000000,0.69336874,0.66517850,0.00149801,0.27367455
-5.90395198,1.31398917,0.40137265,0.00000000,0.76611819,0.70744739,0.00155963,0.27852881
-5.89794897,1.39436695,0.44634480,0.00000000,0.84428564,0.75156830,0.00163777,0.28379232
-5.89194597,1.47857169,0.49316008,0.00000000,0.92732349,0.79722307,0.00173434,0.28947317
-5.88594297,1.56593818,0.54134624,0.00000000,1.01453145,0.84402191,0.00185133,0.29557449
-5.87993997,1.65566155,0.59035944,0.00000000,1.10505558,0.89150351,0.00199074,0.30209075
-5.87393697,1.74680061,0.63959262,0.00000000,1.19789409,0.93913904,0.00215455,0.30900508
-5.86793397,1.83828936,0.68838715,0.00000000,1.29191041,0.98634014,0.00234460,0.31628775
-5.86193097,1.92895656,0.73604748,0.00000000,1.38585360,1.03247076,0.00256257,0.32389602
-5.85592796,2.01755298,0.78185850,0.00000000,1.47838572,1.07686264,0.00280992,0.33177525
-5.84992496,2.10278540,0.82510496,0.00000000,1.56811540,1.11883391,0.00308783,0.33986126
-5.84392196,2.18335604,0.86509244,0.00000000,1.65363651,1.15770997,0.00339717,0.34808368
-5.83791896,2.25800567,0.90116886,0.00000000,1.73357039,1.19284587,0.00373850,0.35637019
-5.83191596,2.32555835,0.93274588,0.00000000,1.80660981,1.22364909,0.00411202,0.36465126
-5.82591296,2.38496562,0.95931894,0.00000000,1.87156275,1.24960168,0.00451762,0.37286496
-5.81990995,2.43534787,0.98048537,0.00000000,1.92739381,1.27028064,0.00495484,0.38096177
-5.81390695,2.47603071,0.99595940,0.00000000,1.97326124,1.28537559,0.00542293,0.38890867
-5.80790395,2.50657439,1.00558350,0.00000000,2.00854766,1.29470266,0.00592089,0.39669253
-5.80190095,2.52679457,1.00933536,0.00000000,2.03288293,1.29821402,0.00644747,0.40432231
-5.79589795,2.53677331,1.00733027,0.00000000,2.04615769,1.29600249,0.00700124,0.41182998
-5.78989495,2.53685964,0.99981843,0.00000000,2.04852707,1.28830095,0.00758063,0.41927005
-5.78389195,2.52765947,0.98717768,0.00000000,2.04040402,1.27547655,0.00818397,0.42671765
-5.77788894,2.51001548,0.96990153,0.00000000,2.02244270,1.25802008,0.00880956,0.43426528
-5.77188594,2.48497777,0.94858338,0.00000000,1.99551264,1.23653091,0.00945567,0.44201844
-5.76588294,2.45376704,0.92389739,0.00000000,1.96066494,1.21169834,0.01012061,0.45009032
-5.75987994,2.41773192,0.89657706,0.00000000,1.91909226,1.18428022,0.01080277,0.45859588
-5.75387694,2.37830276,0.86739242,0.00000000,1.87208444,1.15507992,0.01150063,0.46764585
-5.74787394,2.33694407,0.83712675,0.00000000,1.82098207,1.12492262,0.01221280,0.47734070
-5.74187094,2.29510795,0.80655402,0.00000000,1.76713003,1.09463212,0.01293807,0.48776534
-5.73586793,2.25419055,0.77641777,0.00000000,1.71183335,1.06500897,0.01367539,0.49898453
-5.72986493,2.21549347,0.74741244,0.00000000,1.65631706,1.03681099,0.01442394,0.51103959
-5.72386193,2.18019155,0.72016750,0.00000000,1.60169186,1.01073657,0.01518315,0.52394631
-5.71785893,2.14930796,0.69523505,0.00000000,1.54892667,0.98741142,0.01595268,0.53769434
-5.71185593,2.12369729,0.67308107,0.00000000,1.49882890,0.96737887,0.01673249,0.55224806
-5.70585293,2.10403641,0.65408023,0.00000000,1.45203280,0.95109380,0.01752282,0.56754864
-5.69984992,2.09082284,0.63851416,0.00000000,1.40899564,0.93891988,0.01832419,0.58351730
-5.69384692,2.08437959,0.62657294,0.00000000,1.37000130,0.93112987,0.01913737,0.60005934
-5.68784392,2.08486549,0.61835913,0.00000000,1.33517025,0.92790833,0.01996337,0.61706867
-5.68184092,2.09228932,0.61389401,0.00000000,1.30447489,0.92935632,0.02080333,0.63443243
-5.67583792,2.10652672,0.61312527,0.00000000,1.27775887,0.93549726,0.02165846,0.65203539
-5.66983492,2.12733798,0.61593573,0.00000000,1.25475897,0.94628359,0.02252992,0.66976382
-5.66383192,2.15438592,0.62215240,0.00000000,1.23512826,0.96160357,0.02341866,0.68750842
-5.65782891,2.18725247,0.63155559,0.00000000,1.21845928,0.98128786,0.02432526,0.70516640
-5.65182591,2.22545355,0.64388758,0.00000000,1.20430615,1.00511568,0.02524976,0.72264233
-5.64582291,2.26845171,0.65886078,0.00000000,1.19220474,1.03282042,0.02619144,0.73984804
-5.63981991,2.31566660,0.67616512,0.00000000,1.18169041,1.06409472,0.02714868,0.75670156
-5.63381691,2.36648359,0.69547483,0.00000000,1.17231295,1.09859521,0.02811879,0.77312533
-5.62781391,2.42026096,0.71645453,0.00000000,1.16364857,1.13594716,0.02909787,0.78904404
-5.62181091,2.47633646,0.73876487,0.00000000,1.15530910,1.17574933,0.03008076,0.80438231
-5.61580790,2.53403389,0.76206795,0.00000000,1.14694869,1.21757928,0.03106101,0.81906269
-5.60980490,2.59267039,0.78603244,0.00000000,1.13826830,1.26099943,0.03203093,0.83300407
-5.60380190,2.65156489,0.81033879,0.00000000,1.12901842,1.30556393,0.03298174,0.84612096
-5.59779890,2.71004816,0.83468437,0.00000000,1.11900048,1.35082642,0.03390374,0.85832367
-5.59179590,2.76747420,0.85878866,0.00000000,1.10806712,1.39634852,0.03478664,0.86951946
-5.58579290,2.82323296,0.88239822,0.00000000,1.09612185,1.44170868,0.03561984,0.87961465
-5.57978989,2.87676353,0.90529147,0.00000000,1.08311799,1.48651112,0.03639283,0.88851749
-5.57378689,2.92756713,0.92728272,0.00000000,1.06905721,1.53039422,0.03709562,0.89614164
-5.56778389,2.97521893,0.94822549,0.00000000,1.05398742,1.57303781,0.03771909,0.90240977
-5.56178089,3.01937758,0.96801456,0.00000000,1.03800014,1.61416883,0.03825542,0.90725714
-5.55577789,3.05979145,0.98658661,0.00000000,1.02122701,1.65356475,0.03869841,0.91063467
-5.54977489,3.09630097,1.00391918,0.00000000,1.00383550,1.69105452,0.03904378,0.91251126
-5.54377189,3.12883622,1.02002793,0.00000000,0.98602355,1.72651667,0.03928932,0.91287513
-5.53776888,3.15740988,1.03496201,0.00000000,0.96801322,1.75987455,0.03943500,0.91173394
-5.53176588,3.18210553,1.04879788,0.00000000,0.95004332,1.79108911,0.03948300,0.90911380
-5.52576288,3.20306192,1.06163162,0.00000000,0.93236118,1.82014937,0.03943757,0.90505715
-5.51975988,3.22045433,1.07357027,0.00000000,0.91521375,1.84706140,0.03930483,0.89961976
-5.51375688,3.23447409,1.08472250,0.00000000,0.89883845,1.87183652,0.03909253,0.89286713
-5.50775388,3.24530781,1.09518926,0.00000000,0.88345399,1.89447959,0.03880972,0.88487064
-5.50175088,3.25311798,1.10505489,0.00000000,0.86925180,1.91497837,0.03846634,0.87570388
-5.49574787,3.25802630,1.11437925,0.00000000,0.85638831,1.93329463,0.03807293,0.86543952
-5.48974487,3.26010120,1.12319131,0.00000000,0.84497864,1.94935800,0.03764020,0.85414712
-5.48374187,3.25935052,1.13148468,0.00000000,0.83509203,1.96306286,0.03717877,0.84189200
-5.47773887,3.25572009,1.13921523,0.00000000,0.82674926,1.97426878,0.03669888,0.82873563
-5.47173587,3.24909838,1.14630113,0.00000000,0.81992224,1.98280450,0.03621024,0.81473719
-5.46573287,3.23932697,1.15262509,0.00000000,0.81453586,1.98847519,0.03572188,0.79995652
-5.45972986,3.22621619,1.15803877,0.00000000,0.81047203,1.99107267,0.03524216,0.78445809
-5.45372686,3.20956476,1.16236915,0.00000000,0.80757559,1.99038778,0.03477882,0.76831566
-5.44772386,3.18918201,1.16542627,0.00000000,0.80566194,1.98622416,0.03433907,0.75161723
-5.44172086,3.16491116,1.16701215,0.00000000,0.80452592,1.97841243,0.03392974,0.73446977
-5.43571786,3.13665186,1.16693009,0.00000000,0.80395140,1.96682382,0.03355750,0.71700331
-5.42971486,3.10438032,1.16499415,0.00000000,0.80372120,1.95138239,0.03322901,0.69937386
-5.42371186,3.06816566,1.16103804,0.00000000,0.80362674,1.93207491,0.03295109,0.68176480
-5.41770885,3.02818119,1.15492309,0.00000000,0.80347695,1.90895783,0.03273084,0.66438644
-5.41170585,2.98470978,1.14654503,0.00000000,0.80310598,1.88216092,0.03257570,0.64747365
-5.40570285,2.93814289,1.13583906,0.00000000,0.80237939,1.85188728,0.03249344,0.63128138
-5.39969985,2.88897326,1.12278324,0.00000000,0.80119841,1.81840980,0.03249207,0.61607842
-5.39369685,2.83778162,1.10740000,0.00000000,0.79950228,1.78206437,0.03257964,0.60213941
