energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.73511191,0.30445920,0.28517541,0.00506935,0.02314189,0.00433111,0.47531635,0.08208249,0.05770470
-5.99399700,0.72737137,0.30957384,0.27385056,0.00490429,0.02366754,0.00427186,0.47335192,0.08354325,0.05879931
-5.98799400,0.72023575,0.31479542,0.26272849,0.00476154,0.02414588,0.00423194,0.47180456,0.08564286,0.05979542
-5.98199100,0.71424785,0.32029572,0.25206347,0.00464567,0.02458728,0.00421308,0.47100982,0.08844999,0.06071400
-5.97598799,0.70997366,0.32626908,0.24210586,0.00456074,0.02500510,0.00421700,0.47132237,0.09203263,0.06158332
-5.96998499,0.70798197,0.33292426,0.23309446,0.00451012,0.02541520,0.00424530,0.47310273,0.09645443,0.06243777
-5.96398199,0.70882326,0.34047511,0.22524950,0.00449634,0.02583528,0.00429929,0.47670329,0.10177099,0.06331634
-5.95797899,0.71300849,0.34913052,0.21876628,0.00452098,0.02628411,0.00437984,0.48245403,0.10802628,0.06426085
-5.95197599,0.72098859,0.35908389,0.21380976,0.00458450,0.02678065,0.00448728,0.49064837,0.11524923,0.06531404
-5.94597299,0.73313510,0.37050264,0.21051008,0.00468628,0.02734321,0.00462130,0.50152976,0.12345070,0.06651758
-5.93996998,0.74972286,0.38351813,0.20895915,0.00482453,0.02798846,0.00478088,0.51527937,0.13262087,0.06791003
-5.93396698,0.77091533,0.39821662,0.20920831,0.00499632,0.02873063,0.00496427,0.53200554,0.14272730,0.06952498
-5.92796398,0.79675321,0.41463145,0.21126726,0.00519765,0.02958064,0.00516895,0.55173538,0.15371363,0.07138933
-5.92196098,0.82714698,0.43273726,0.21510404,0.00542351,0.03054550,0.00539172,0.57440895,0.16549913,0.07352184
-5.91595798,0.86187380,0.45244616,0.22064635,0.00566805,0.03162776,0.00562868,0.59987658,0.17797902,0.07593208
-5.90995498,0.90057920,0.47360648,0.22778395,0.00592472,0.03282522,0.00587539,0.62789927,0.19102574,0.07861976
-5.90395198,0.94278361,0.49600408,0.23637227,0.00618641,0.03413081,0.00612693,0.65815264,0.20449103,0.08157451
-5.89794897,0.98789381,0.51936624,0.24623710,0.00644576,0.03553280,0.00637806,0.69023421,0.21820889,0.08477618
-5.89194597,1.03521901,0.54336825,0.25718023,0.00669526,0.03701508,0.00662338,0.72367394,0.23199923,0.08819552
-5.88594297,1.08399120,0.56764216,0.26898595,0.00692756,0.03855785,0.00685746,0.75794778,0.24567217,0.09179540
-5.87993997,1.13338897,0.59178776,0.28142824,0.00713566,0.04013839,0.00707506,0.79249368,0.25903280,0.09553232
-5.87393697,1.18256408,0.61538495,0.29427835,0.00731315,0.04173200,0.00727120,0.82672949,0.27188617,0.09935827
-5.86793397,1.23066970,0.63800733,0.30731263,0.00745438,0.04331313,0.00744141,0.86007219,0.28404252,0.10322281
-5.86193097,1.27688931,0.65923623,0.32032030,0.00755465,0.04485651,0.00758178,0.89195749,0.29532228,0.10707524
-5.85592796,1.32046492,0.67867464,0.33311089,0.00761035,0.04633835,0.00768912,0.92185912,0.30556083,0.11086681
-5.84992496,1.36072362,0.69596051,0.34552108,0.00761909,0.04773743,0.00776102,0.94930709,0.31461284,0.11455283
-5.84392196,1.39710132,0.71077881,0.35742066,0.00757972,0.04903613,0.00779588,0.97390393,0.32235595,0.11809449
-5.83791896,1.42916261,0.72287189,0.36871741,0.00749242,0.05022130,0.00779297,0.99533853,0.32869376,0.12146057
-5.83191596,1.45661615,0.73204774,0.37936069,0.00735862,0.05128489,0.00775239,1.01339691,0.33355803,0.12462861
-5.82591296,1.47932480,0.73818598,0.38934362,0.00718102,0.05222442,0.00767505,1.02796945,0.33691005,0.12758576
-5.81990995,1.49731030,0.74124127,0.39870369,0.00696342,0.05304307,0.00756256,1.03905461,0.33874118,0.13032915
-5.81390695,1.51075240,0.74124420,0.40752190,0.00671066,0.05374962,0.00741721,1.04675879,0.33907264,0.13286587
-5.80790395,1.51998249,0.73829975,0.41592038,0.00642844,0.05435807,0.00724181,1.05129268,0.33795456,0.13521241
-5.80190095,1.52547233,0.73258348,0.42405859,0.00612316,0.05488699,0.00703960,1.05296422,0.33546445,0.13739381
-5.79589795,1.52781826,0.72433571,0.43212832,0.00580174,0.05535874,0.00681415,1.05216860,0.33170514,0.13944236
-5.78989495,1.52772173,0.71385400,0.44034760,0.00547146,0.05579842,0.00656921,1.04937574,0.32680233,0.14139614
-5.78389195,1.52596696,0.70148435,0.44895373,0.00513974,0.05623275,0.00630863,1.04511591,0.32090178,0.14329724
-5.77788894,1.52339659,0.68761142,0.45819582,0.00481400,0.05668891,0.00603625,1.03996380,0.31416637,0.14518992
