energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,1.58582520,0.53820884,0.20445719,0.00348621,0.08554958,0.44529587,0.28825880,0.03190705,0.75851831
-5.99399700,1.59093840,0.53790555,0.20845436,0.00320840,0.08466522,0.45066226,0.28519408,0.03075567,0.76350640
-5.98799400,1.59264314,0.53671627,0.21188132,0.00293492,0.08370053,0.45425589,0.28200277,0.02962567,0.76674562
-5.98199100,1.59107586,0.53474382,0.21472432,0.00266891,0.08267812,0.45605382,0.27875498,0.02852965,0.76827513
-5.97598799,1.58640569,0.53208894,0.21697914,0.00241310,0.08161717,0.45606686,0.27551235,0.02747784,0.76815679
-5.96998499,1.57883082,0.52884806,0.21865102,0.00216976,0.08053300,0.45433979,0.27232677,0.02647796,0.76647377
-5.96398199,1.56857429,0.52511143,0.21975422,0.00194067,0.07943683,0.45095053,0.26923970,0.02553512,0.76332851
-5.95797899,1.55587914,0.52096148,0.22031120,0.00172716,0.07833575,0.44600811,0.26628189,0.02465191,0.75884017
-5.95197599,1.54100321,0.51647175,0.22035164,0.00153009,0.07723279,0.43964969,0.26347365,0.02382851,0.75314154
-5.94597299,1.52421347,0.51170598,0.21991111,0.00134991,0.07612725,0.43203666,0.26082544,0.02306294,0.74637558
-5.93996998,1.50578043,0.50671782,0.21902973,0.00118671,0.07501507,0.42334998,0.25833900,0.02235139,0.73869183
-5.93396698,1.48597280,0.50155082,0.21775067,0.00104025,0.07388935,0.41378517,0.25600869,0.02168853,0.73024269
-5.92796398,1.46505264,0.49623891,0.21611877,0.00091001,0.07274097,0.40354692,0.25382321,0.02106793,0.72118004
-5.92196098,1.44327155,0.49080738,0.21417922,0.00079528,0.07155928,0.39284382,0.25176753,0.02048242,0.71165219
-5.91595798,1.42086786,0.48527419,0.21197652,0.00069517,0.07033276,0.38188331,0.24982505,0.01992449,0.70180151
-5.90995498,1.39806536,0.47965181,0.20955362,0.00060867,0.06904979,0.37086706,0.24797984,0.01938665,0.69176274
-5.90395198,1.37507339,0.47394932,0.20695141,0.00053474,0.06769930,0.35998700,0.24621899,0.01886178,0.68166219
-5.89794897,1.35208844,0.46817486,0.20420855,0.00047226,0.06627149,0.34942212,0.24453490,0.01834335,0.67161776
-5.89194597,1.32929713,0.46233821,0.20136159,0.00042014,0.06475839,0.33933601,0.24292750,0.01782574,0.66173982
-5.88594297,1.30688017,0.45645346,0.19844530,0.00037733,0.06315436,0.32987524,0.24140627,0.01730433,0.65213276
