energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.61041413,1.12236155,1.41964511,0.01493866,0.07767352,0.38102072,0.22747693,0.67610470,0.00000000
-5.99399700,2.64235388,1.14253141,1.43224799,0.01474360,0.07890484,0.38651456,0.23028321,0.68558461,0.00000000
-5.98799400,2.67709043,1.16282885,1.44771367,0.01454904,0.07996589,0.39252221,0.23289142,0.69539752,0.00000000
-5.98199100,2.71361958,1.18284338,1.46552863,0.01435807,0.08081831,0.39888510,0.23519823,0.70529496,0.00000000
-5.97598799,2.75080680,1.20212242,1.48509062,0.01417267,0.08142506,0.40541743,0.23709820,0.71499504,0.00000000
-5.96998499,2.78742045,1.22018623,1.50572482,0.01399363,0.08175194,0.41191138,0.23848765,0.72419116,0.00000000
-5.96398199,2.82217069,1.23654396,1.52670412,0.01382060,0.08176897,0.41814334,0.23926852,0.73256182,0.00000000
-5.95797899,2.85375224,1.25071045,1.54727290,0.01365215,0.08145167,0.42388090,0.23935210,0.73978114,0.00000000
-5.95197599,2.88088925,1.26222291,1.56667286,0.01348593,0.08078213,0.42889027,0.23866232,0.74552986,0.00000000
-5.94597299,2.90238023,1.27065694,1.58417011,0.01331880,0.07974984,0.43294382,0.23713860,0.74950607,0.00000000
-5.93996998,2.91714108,1.27564135,1.59908184,0.01314705,0.07835221,0.43582758,0.23473814,0.75143561,0.00000000
-5.93396698,2.92424414,1.27687109,1.61080154,0.01296661,0.07659480,0.43734820,0.23143745,0.75108131,0.00000000
-5.92796398,2.92295177,1.27411794,1.61882147,0.01277327,0.07449118,0.43733926,0.22723315,0.74825119,0.00000000
-5.92196098,2.91274273,1.26723851,1.62275125,0.01256289,0.07206257,0.43566662,0.22214209,0.74280486,0.00000000
-5.91595798,2.89333034,1.25617931,1.62233168,0.01233164,0.06933709,0.43223263,0.21620064,0.73465827,0.00000000
-5.90995498,2.86467163,1.24097876,1.61744311,0.01207616,0.06634886,0.42697908,0.20946339,0.72378641,0.00000000
-5.90395198,2.82696705,1.22176592,1.60810793,0.01179372,0.06313684,0.41988879,0.20200124,0.71022401,0.00000000
-5.89794897,2.78065077,1.19875630,1.59448693,0.01148237,0.05974356,0.41098575,0.19389897,0.69406426,0.00000000
