energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.44469425,0.21396553,0.30608944,0.00572926,0.29089281,0.03539960,0.30611440
-5.99399700,1.40784985,0.20874458,0.29873504,0.00547191,0.28261036,0.03448362,0.29947769
-5.98799400,1.36955832,0.20319653,0.29104287,0.00521234,0.27389031,0.03354035,0.29276581
-5.98199100,1.33042085,0.19742415,0.28314419,0.00495521,0.26487062,0.03258458,0.28608169
-5.97598799,1.29102395,0.19153237,0.27516868,0.00470537,0.25569026,0.03163067,0.27951917
-5.96998499,1.25192947,0.18562639,0.26724216,0.00446778,0.24648653,0.03069224,0.27316187
-5.96398199,1.21366572,0.17980977,0.25948440,0.00424748,0.23739260,0.02978208,0.26708245
-5.95797899,1.17671986,0.17418258,0.25200724,0.00404949,0.22853506,0.02891191,0.26134241
-5.95197599,1.14153206,0.16883981,0.24491307,0.00387877,0.22003183,0.02809232,0.25599228
-5.94597299,1.10849140,0.16386995,0.23829362,0.00374014,0.21199032,0.02733271,0.25107231
-5.93996998,1.07793373,0.15935373,0.23222917,0.00363818,0.20450601,0.02664121,0.24661359
-5.93396698,1.05014124,0.15536331,0.22678820,0.00357717,0.19766135,0.02602477,0.24263938
-5.92796398,1.02534378,0.15196149,0.22202728,0.00356099,0.19152516,0.02548919,0.23916684
-5.92196098,1.00372135,0.14920129,0.21799142,0.00359304,0.18615229,0.02503918,0.23620868
-5.91595798,0.98540762,0.14712565,0.21471449,0.00367616,0.18158367,0.02467851,0.23377487
-5.90995498,0.97049376,0.14576727,0.21221986,0.00381254,0.17784660,0.02441009,0.23187412
-5.90395198,0.95903244,0.14514855,0.21052111,0.00400366,0.17495528,0.02423605,0.23051505
-5.89794897,0.95104129,0.14528153,0.20962261,0.00425020,0.17291140,0.02415788,0.22970695
-5.89194597,0.94650555,0.14616787,0.20952005,0.00455199,0.17170482,0.02417641,0.22945995
-5.88594297,0.94537978,0.14779881,0.21020083,0.00490796,0.17131432,0.02429188,0.22978472
-5.87993997,0.94758834,0.15015511,0.21164413,0.00531612,0.17170821,0.02450386,0.23069156
-5.87393697,0.95302469,0.15320694,0.21382096,0.00577350,0.17284497,0.02481122,0.23218899
-5.86793397,0.96154980,0.15691390,0.21669392,0.00627621,0.17467379,0.02521203,0.23428195
-5.86193097,0.97298975,0.16122506,0.22021687,0.00681940,0.17713507,0.02570334,0.23696970
-5.85592796,0.98713308,0.16607912,0.22433462,0.00739734,0.18016095,0.02628113,0.24024364
-5.84992496,1.00372834,0.17140483,0.22898259,0.00800347,0.18367582,0.02694005,0.24408518
-5.84392196,1.02248220,0.17712165,0.23408668,0.00863047,0.18759692,0.02767327,0.24846391
-5.83791896,1.04305879,0.18314076,0.23956332,0.00927040,0.19183511,0.02847237,0.25333620
-5.83191596,1.06508062,0.18936640,0.24531991,0.00991481,0.19629573,0.02932721,0.25864443
-5.82591296,1.08813136,0.19569761,0.25125556,0.01055488,0.20087974,0.03022586,0.26431699
-5.81990995,1.11176085,0.20203031,0.25726232,0.01118162,0.20548506,0.03115463,0.27026901
-5.81390695,1.13549230,0.20825978,0.26322683,0.01178599,0.21000816,0.03209814,0.27640403
-5.80790395,1.15883160,0.21428332,0.26903237,0.01235913,0.21434583,0.03303948,0.28261640
-5.80190095,1.18127864,0.22000315,0.27456137,0.01289253,0.21839718,0.03396044,0.28879442
-5.79589795,1.20234005,0.22532935,0.27969812,0.01337819,0.22206584,0.03484185,0.29482400
-5.78989495,1.22154306,0.23018274,0.28433182,0.01380886,0.22526213,0.03566395,0.30059273
-5.78389195,1.23844971,0.23449755,0.28835966,0.01417813,0.22790538,0.03640686,0.30599411
-5.77788894,1.25267092,0.23822377,0.29168990,0.01448061,0.22992609,0.03705109,0.31093157
-5.77188594,1.26387951,0.24132901,0.29424480,0.01471205,0.23126802,0.03757802,0.31532228
-5.76588294,1.27182177,0.24379977,0.29596327,0.01486944,0.23188999,0.03797049,0.31910031
-5.75987994,1.27632675,0.24564209,0.29680312,0.01495106,0.23176743,0.03821334,0.32221908
-5.75387694,1.27731289,0.24688140,0.29674279,0.01495653,0.23089347,0.03829386,0.32465281
