energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-5.65782891,2.03195331,0.00256972,0.27552755,0.08072674,1.01290875,0.81804665,0.02872129,0.82682103
-5.65182591,2.14262847,0.00295319,0.30424816,0.08615075,1.06069225,0.86333695,0.02989569,0.86454472
-5.64582291,2.26560132,0.00338595,0.33482829,0.09191607,1.11439237,0.91372699,0.03123407,0.90728098
-5.63981991,2.40059876,0.00387257,0.36711849,0.09796308,1.17379991,0.96913324,0.03273477,0.95501045
-5.63381691,2.54707793,0.00441766,0.40093444,0.10422403,1.23858364,1.02935813,0.03439226,1.00760168
-5.62781391,2.70422025,0.00502577,0.43605668,0.11062436,1.30828642,1.09408721,0.03619705,1.06480758
-5.62181091,2.87093152,0.00570122,0.47223107,0.11708428,1.38232488,1.16288868,0.03813569,1.12626430
-5.61580790,3.04584802,0.00644796,0.50917003,0.12352047,1.45999259,1.23521539,0.04019088,1.19149272
-5.60980490,3.22734841,0.00726933,0.54655439,0.12984785,1.54046646,1.31040908,0.04234162,1.25990221
-5.60380190,3.41357100,0.00816786,0.58403608,0.13598145,1.62281618,1.38770700,0.04456351,1.33079682
-5.59779890,3.60243629,0.00914498,0.62124139,0.14183814,1.70601661,1.46625085,0.04682908,1.40338361
-5.59179590,3.79167454,0.01020083,0.65777508,0.14733835,1.78896258,1.54509787,0.04910820,1.47678315
-5.58579290,3.97885814,0.01133391,0.69322508,0.15240759,1.87048615,1.62323419,0.05136859,1.55004216
-5.57978989,4.16143862,0.01254091,0.72716803,0.15697773,1.94937602,1.69959037,0.05357631,1.62214813
-5.57378689,4.33678819,0.01381644,0.75917547,0.16098812,2.02439873,1.77305906,0.05569643,1.69204597
-5.56778389,4.50224563,0.01515288,0.78882074,0.16438646,2.09432165,1.84251477,0.05769360,1.75865665
-5.56178089,4.65516603,0.01654027,0.81568665,0.16712941,2.15793726,1.90683543,0.05953282,1.82089754
-5.55577789,4.79297408,0.01796626,0.83937357,0.16918295,2.21408849,1.96492573,0.06118010,1.87770443
-5.54977489,4.91321996,0.01941613,0.85950806,0.17052262,2.26169469,2.01574165,0.06260326,1.92805485
-5.54377189,5.01363697,0.02087300,0.87575178,0.17113356,2.29977760,2.05831582,0.06377263,1.97099230
-5.53776888,5.09219943,0.02231802,0.88781031,0.17101038,2.32748686,2.09178307,0.06466183,2.00565082
-5.53176588,5.14717945,0.02373075,0.89544184,0.17015698,2.34412407,2.11540539,0.06524844,2.03127939
-5.52576288,5.17720048,0.02508962,0.89846515,0.16858633,2.34916495,2.12859556,0.06551468,2.04726518
-5.51975988,5.18128599,0.02637247,0.89676669,0.16632013,2.34227836,2.13093848,0.06544792,2.05315517
-5.51375688,5.15890094,0.02755717,0.89030635,0.16338856,2.32334168,2.12220939,0.06504120,2.04867496
-5.50775388,5.10998444,0.02862231,0.87912163,0.15982992,2.29245161,2.10238803,0.06429347,2.03374427
