energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,3.82081294,-2.96824762,0.00501815,-0.00436921,0.27514901,-0.11506072,0.59215588,-0.44073239,1.89798785,-1.70729891,0.61631384,-0.43102354,0.67821539,-0.28463790,1.11747341,-0.96446561,0.00000000,-0.00000000
-5.99399700,3.89817148,-3.06759913,0.00504283,-0.00453629,0.28166304,-0.11988971,0.61026072,-0.45793377,1.93846028,-1.76564187,0.63333294,-0.44588558,0.69118567,-0.29699943,1.13684264,-0.99463154,0.00000000,-0.00000000
-5.98799400,3.96698412,-3.16370281,0.00504040,-0.00467967,0.28805839,-0.12492743,0.62715012,-0.47533200,1.97381359,-1.82110618,0.64932197,-0.46058163,0.70336876,-0.30949390,1.15326481,-1.02387139,0.00000000,-0.00000000
-5.98199100,4.02649784,-3.25480108,0.00501149,-0.00479704,0.29433586,-0.13011477,0.64254848,-0.49264550,2.00363021,-1.87261890,0.66408019,-0.47487807,0.71477455,-0.32196556,1.16640575,-1.05161934,0.00000000,-0.00000000
-5.97598799,4.07614163,-3.33919526,0.00495724,-0.00488660,0.30049975,-0.13539307,0.65620477,-0.50958058,2.02761204,-1.91916323,0.67742871,-0.48854499,0.72542588,-0.33426083,1.17598463,-1.07731324,0.00000000,-0.00000000
-5.96998499,4.11553395,-3.41530777,0.00487928,-0.00494711,0.30655676,-0.14070732,0.66789912,-0.52584113,2.04558468,-1.95981533,0.68921410,-0.50136483,0.73535555,-0.34623479,1.18178021,-1.10041305,0.00000000,-0.00000000
-5.96398199,4.14448390,-3.48173985,0.00477969,-0.00497791,0.31251472,-0.14600932,0.67744840,-0.54113828,2.05749716,-1.99377781,0.69931136,-0.51314050,0.74460311,-0.35775751,1.18363536,-1.12041824,0.00000000,-0.00000000
-5.95797899,4.16298649,-3.53732266,0.00466087,-0.00497894,0.31838134,-0.15126064,0.68471076,-0.55519981,2.06341776,-2.02040882,0.70762606,-0.52370266,0.75321167,-0.36871987,1.18145970,-1.13688348,0.00000000,-0.00000000
-5.95197599,4.17121300,-3.58115964,0.00452550,-0.00495072,0.32416310,-0.15643519,0.68958902,-0.56777893,2.06352595,-2.03924543,0.71409582,-0.53291589,0.76122479,-0.37903864,1.17523055,-1.14943217,0.00000000,-0.00000000
-5.94597299,4.16949702,-3.61265868,0.00437644,-0.00489436,0.32986427,-0.16152125,0.69203277,-0.57866207,2.05810141,-2.05002056,0.71869104,-0.54068354,0.76868391,-0.38866055,1.16499213,-1.15776726,0.00000000,-0.00000000
-5.93996998,4.15831734,-3.63155304,0.00421665,-0.00481145,0.33548623,-0.16652290,0.69203931,-0.58767545,2.04751040,-2.05267290,0.72141502,-0.54695100,0.77562632,-0.39756524,1.15085332,-1.16167919,0.00000000,-0.00000000
-5.93396698,4.13827839,-3.63791041,0.00404912,-0.00470405,0.34102707,-0.17146066,0.68965318,-0.59469030,2.03219036,-2.04734965,0.72230336,-0.55170743,0.78208375,-0.40576673,1.13298402,-1.16105074,0.00000000,-0.00000000
-5.92796398,4.11008906,-3.63212998,0.00387676,-0.00457462,0.34648150,-0.17637141,0.68496449,-0.59962646,2.01263335,-2.03440205,0.72142277,-0.55498578,0.78808172,-0.41331353,1.11161021,-1.15585883,0.00000000,-0.00000000
-5.92196098,4.07454071,-3.61492812,0.00370235,-0.00442587,0.35184112,-0.18130731,0.67810603,-0.60245438,1.98936896,-2.01437425,0.71886922,-0.55686120,0.79363955,-0.42028710,1.08700803,-1.14617336,0.00000000,-0.00000000
-5.91595798,4.03248471,-3.58731318,0.00352850,-0.00426078,0.35709482,-0.18633399,0.66924918,-0.60319550,1.96294731,-1.98798590,0.71476542,-0.55744791,0.79877092,-0.42679890,1.05949683,-1.13215327,0.00000000,-0.00000000
-5.90995498,3.98481028,-3.55055087,0.00335756,-0.00408241,0.36222945,-0.19152785,0.65859882,-0.60192092,1.93392280,-1.95610948,0.70925767,-0.55689468,0.80348477,-0.43298582,1.02943150,-1.11404016,0.00000000,-0.00000000
-5.90395198,3.93242273,-3.50612151,0.00319162,-0.00389390,0.36723047,-0.19697264,0.64638725,-0.59874861,1.90283891,-1.91974323,0.70251199,-0.55537906,0.80778645,-0.43900446,0.99719417,-1.09214979,0.00000000,-0.00000000
-5.89794897,3.87622262,-3.45567096,0.00303247,-0.00369834,0.37208265,-0.20275538,0.63286740,-0.59383919,1.87021478,-1.87998089,0.69470969,-0.55310068,0.81167880,-0.44502407,0.96318548,-1.06686179,0.00000000,-0.00000000
-5.89194597,3.81708609,-3.40095700,0.00288157,-0.00349873,0.37677053,-0.20896184,0.61830552,-0.58739037,1.83653364,-1.83797923,0.68604233,-0.55027370,0.81516308,-0.45121879,0.92781563,-1.03860810,0.00000000,-0.00000000
-5.88594297,3.75584657,-3.34379331,0.00274007,-0.00329790,0.38127871,-0.21567169,0.60297349,-0.57963054,1.80223366,-1.79492470,0.67670616,-0.54711889,0.81823940,-0.45775915,0.89149540,-1.00786043,0.00000000,-0.00000000
-5.87993997,3.69327838,-3.28599266,0.00260879,-0.00309851,0.38559186,-0.22295364,0.58714105,-0.57081129,1.76770134,-1.75200026,0.66689620,-0.54385544,0.82090668,-0.46480348,0.85462730,-0.97511723,0.00000000,-0.00000000
-5.87393697,3.63008243,-3.22931163,0.00248825,-0.00290296,0.38969431,-0.23086063,0.57106829,-0.56119952,1.73326764,-1.71035348,0.65680015,-0.54069290,0.82316203,-0.47248929,0.81759728,-0.94089049,0.00000000,-0.00000000
-5.86793397,3.56687461,-3.17539838,0.00237867,-0.00271339,0.39356942,-0.23942545,0.55499851,-0.55106917,1.69920700,-1.67106683,0.64659228,-0.53782345,0.82499952,-0.48092533,0.78076704,-0.90569278,0.00000000,-0.00000000
-5.86193097,3.50417722,-3.12574520,0.00227997,-0.00253166,0.39719857,-0.24865693,0.53915187,-0.54069282,1.66573929,-1.63513114,0.63642760,-0.53541484,0.82640852,-0.49018442,0.74446726,-0.87002483,0.00000000,-0.00000000
-5.85592796,3.44241397,-3.08164748,0.00219186,-0.00235935,0.40056009,-0.25853694,0.52372001,-0.53033353,1.63303459,-1.60342282,0.62643649,-0.53360412,0.82737168,-0.50029758,0.70899203,-0.83436393,0.00000000,-0.00000000
-5.84992496,3.38190897,-3.04417004,0.00211377,-0.00219777,0.40362795,-0.26901838,0.50886186,-0.52023712,1.60122077,-1.57668552,0.61672021,-0.53249255,0.82786284,-0.51124968,0.67459458,-0.79915358,0.00000000,-0.00000000
-5.84392196,3.32289000,-3.01412217,0.00204498,-0.00204792,0.40637067,-0.28002424,0.49470075,-0.51062511,1.57039357,-1.55551662,0.60734742,-0.53214174,0.82784513,-0.52297695,0.64148453,-0.76479438,0.00000000,-0.00000000
-5.83791896,3.26549638,-2.99204173,0.00198459,-0.00191055,0.40875035,-0.29144790,0.48132315,-0.50168860,1.54062876,-1.54035878,0.59835192,-0.53257115,0.82726945,-0.53536639,0.60982668,-0.73163658,0.00000000,-0.00000000
-5.83191596,3.20979127,-2.97818898,0.00193155,-0.00178613,0.41072213,-0.30315466,0.46877877,-0.49358320,1.51199609,-1.53149676,0.58973196,-0.53375718,0.82607373,-0.54825733,0.57974148,-0.69997443,0.00000000,-0.00000000
-5.82591296,3.15577837,-2.97255011,0.00188473,-0.00167490,0.41223419,-0.31498448,0.45708238,-0.48642534,1.48457440,-1.52905938,0.58145107,-0.53563376,0.82418312,-0.56144506,0.55130697,-0.67004228,0.00000000,-0.00000000
-5.81990995,3.10342234,-2.97485023,0.00184294,-0.00157684,0.41322828,-0.32675593,0.44621691,-0.48028992,1.45846712,-1.53302646,0.57344051,-0.53809448,0.82151131,-0.57468638,0.52456226,-0.64201272,0.00000000,-0.00000000
-5.81390695,3.05267247,-2.98457532,0.00180496,-0.00149174,0.41364106,-0.33827110,0.43613798,-0.47520945,1.43381771,-1.54324042,0.56560336,-0.54099621,0.81796306,-0.58770706,0.49951222,-0.61599671,0.00000000,-0.00000000
-5.80790395,3.00348830,-3.00100229,0.00176957,-0.00141914,0.41340610,-0.34932134,0.42677948,-0.47117483,1.41082394,-1.55942205,0.55781996,-0.54416410,0.81343796,-0.60021077,0.47613314,-0.59204550,0.00000000,-0.00000000
-5.80190095,2.95586629,-3.02323604,0.00173561,-0.00135843,0.41245652,-0.35969374,0.41806003,-0.46813754,1.38975056,-1.58118990,0.54995470,-0.54739775,0.80783528,-0.61188918,0.45437915,-0.57015449,0.00000000,-0.00000000
-5.79589795,2.90986596,-3.05025207,0.00170196,-0.00130880,0.41072827,-0.36917790,0.40988993,-0.46601337,1.37093938,-1.60808246,0.54186363,-0.55047842,0.80105981,-0.62243295,0.43418892,-0.55026864,0.00000000,-0.00000000
-5.78989495,2.86563427,-3.08094331,0.00166763,-0.00126930,0.40816380,-0.37757284,0.40217844,-0.46468749,1.35481622,-1.63958258,0.53340274,-0.55317690,0.79302825,-0.63154299,0.41549246,-0.53228938,0.00000000,-0.00000000
-5.78389195,2.82342661,-3.11416921,0.00163175,-0.00123884,0.40471596,-0.38469383,0.39484095,-0.46402065,1.34189406,-1.67514308,0.52443638,-0.55526195,0.78367595,-0.63894168,0.39821747,-0.51608253,0.00000000,-0.00000000
-5.77788894,2.78362323,-3.14880553,0.00159360,-0.00121622,0.40035197,-0.39037875,0.38780577,-0.46385638,1.33277210,-1.71421275,0.51484546,-0.55650880,0.77296347,-0.64438355,0.38229510,-0.50148712,0.00000000,-0.00000000
-5.77188594,2.74673987,-3.18379299,0.00155263,-0.00120018,0.39505709,-0.39449388,0.38102033,-0.46402889,1.32813037,-1.75626183,0.50453496,-0.55670757,0.76088262,-0.64766497,0.36766474,-0.48832456,0.00000000,-0.00000000
-5.76588294,2.71343169,-3.21818303,0.00150845,-0.00118937,0.38883787,-0.39693881,0.37445640,-0.46437129,1.32871995,-1.80080619,0.49344055,-0.55567124,0.74746152,-0.64863257,0.35427762,-0.47640793,0.00000000,-0.00000000
