energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,0.82438015,0.00166108,0.07489310,0.08009588,0.26865088,0.32998671,0.02062346,0.36002514
-5.99399700,0.81096164,0.00170281,0.07480163,0.08125586,0.24374612,0.32770493,0.02074783,0.35376982
-5.98799400,0.80119841,0.00175359,0.07484469,0.08234069,0.22165429,0.32672023,0.02088979,0.34926432
-5.98199100,0.79455020,0.00181179,0.07497853,0.08329332,0.20223647,0.32681153,0.02103543,0.34626703
-5.97598799,0.79045416,0.00187579,0.07515942,0.08406233,0.18532082,0.32775075,0.02117146,0.34452497
-5.96998499,0.78834033,0.00194397,0.07534491,0.08460312,0.17071056,0.32930863,0.02128555,0.34378058
-5.96398199,0.78764563,0.00201473,0.07549493,0.08487884,0.15819176,0.33125982,0.02136665,0.34377779
-5.95797899,0.78782581,0.00208650,0.07557266,0.08486097,0.14754071,0.33338725,0.02140518,0.34426729
-5.95197599,0.78836525,0.00215776,0.07554530,0.08452968,0.13853052,0.33548562,0.02139320,0.34501085
-5.94597299,0.78878455,0.00222701,0.07538448,0.08387378,0.13093694,0.33736407,0.02132446,0.34578476
-5.93996998,0.78864614,0.00229281,0.07506657,0.08289046,0.12454318,0.33884818,0.02119445,0.34638244
-5.93396698,0.78755794,0.00235379,0.07457275,0.08158468,0.11914382,0.33978121,0.02100029,0.34661627
-5.92796398,0.78517564,0.00240861,0.07388891,0.07996836,0.11454774,0.34002499,0.02074069,0.34631885
-5.92196098,0.78120376,0.00245603,0.07300549,0.07805951,0.11058020,0.33946031,0.02041573,0.34534380
-5.91595798,0.77539589,0.00249491,0.07191714,0.07588105,0.10708425,0.33798720,0.02002679,0.34356625
-5.90995498,0.76755445,0.00252420,0.07062242,0.07345982,0.10392140,0.33552502,0.01957628,0.34088310
-5.90395198,0.75753018,0.00254299,0.06912339,0.07082538,0.10097181,0.33201253,0.01906754,0.33721322
-5.89794897,0.74522157,0.00255053,0.06742532,0.06800904,0.09813410,0.32740800,0.01850463,0.33249763
-5.89194597,0.73057421,0.00254622,0.06553632,0.06504290,0.09532481,0.32168930,0.01789220,0.32669957
-5.88594297,0.71358022,0.00252968,0.06346706,0.06195905,0.09247765,0.31485399,0.01723534,0.31980462
-5.87993997,0.69427754,0.00250070,0.06123053,0.05878891,0.08954265,0.30691935,0.01653949,0.31182068
-5.87393697,0.67274896,0.00245934,0.05884180,0.05556271,0.08648508,0.29792225,0.01581036,0.30277780
-5.86793397,0.64912085,0.00240584,0.05631782,0.05230915,0.08328443,0.28791878,0.01505382,0.29272783
-5.86193097,0.62356133,0.00234069,0.05367724,0.04905518,0.07993325,0.27698363,0.01427591,0.28174365
-5.85592796,0.59627773,0.00226461,0.05094018,0.04582590,0.07643599,0.26520901,0.01348272,0.26991819
-5.84992496,0.56751332,0.00217849,0.04812804,0.04264452,0.07280785,0.25270322,0.01268043,0.25736290
-5.84392196,0.53754325,0.00208345,0.04526322,0.03953252,0.06907355,0.23958875,0.01187521,0.24420593
-5.83791896,0.50666968,0.00198075,0.04236887,0.03650967,0.06526618,0.22600002,0.01107321,0.23058985
-5.83191596,0.47521632,0.00187176,0.03946854,0.03359432,0.06142604,0.21208073,0.01028053,0.21666910
-5.82591296,0.44352246,0.00175798,0.03658587,0.03080347,0.05759955,0.19798095,0.00950313,0.20260717
-5.81990995,0.41193673,0.00164092,0.03374425,0.02815308,0.05383820,0.18385411,0.00874682,0.18857369
-5.81390695,0.38081092,0.00152214,0.03096643,0.02565821,0.05019761,0.16985392,0.00801721,0.17474150
-5.80790395,0.35049404,0.00140316,0.02827422,0.02333329,0.04673674,0.15613143,0.00731962,0.16128387
-5.80190095,0.32132699,0.00128545,0.02568821,0.02119231,0.04351717,0.14283235,0.00665906,0.14837197
-5.79589795,0.29363793,0.00117039,0.02322753,0.01924910,0.04060263,0.13009473,0.00604019,0.13617272
-5.78989495,0.26773875,0.00105926,0.02090969,0.01751753,0.03805859,0.11804708,0.00546724,0.12484705
-5.78389195,0.24392249,0.00095322,0.01875051,0.01601184,0.03595207,0.10680708,0.00494406,0.11454866
-5.77788894,0.22246204,0.00085327,0.01676419,0.01474689,0.03435152,0.09648076,0.00447405,0.10542330
-5.77188594,0.20360983,0.00076033,0.01496338,0.01373845,0.03332690,0.08716237,0.00406016,0.09760847
-5.76588294,0.18759863,0.00067513,0.01335941,0.01300353,0.03294973,0.07893464,0.00370492,0.09123362
-5.75987994,0.17464308,0.00059833,0.01196259,0.01256068,0.03329318,0.07186956,0.00341044,0.08642057
-5.75387694,0.16494183,0.00053049,0.01078261,0.01243022,0.03443217,0.06602957,0.00317843,0.08328415
-5.74787394,0.15868002,0.00047210,0.00982887,0.01263456,0.03644332,0.06146887,0.00301022,0.08193296
-5.74187094,0.15603172,0.00042360,0.00911095,0.01319828,0.03940473,0.05823492,0.00290678,0.08246998
-5.73586793,0.15716204,0.00038544,0.00863903,0.01414829,0.04339557,0.05636992,0.00286874,0.08499295
-5.72986493,0.16222868,0.00035809,0.00842427,0.01551376,0.04849540,0.05591209,0.00289637,0.08959446
-5.72386193,0.17138254,0.00034207,0.00847907,0.01732594,0.05478316,0.05689669,0.00298961,0.09636149
-5.71785893,0.18476730,0.00033799,0.00881738,0.01961789,0.06233581,0.05935669,0.00314801,0.10537441
-5.71185593,0.20251767,0.00034658,0.00945471,0.02242386,0.07122660,0.06332289,0.00337075,0.11670543
-5.70585293,0.22475629,0.00036870,0.01040813,0.02577865,0.08152305,0.06882357,0.00365654,0.13041634
-5.69984992,0.25158934,0.00040536,0.01169608,0.02971665,0.09328453,0.07588361,0.00400360,0.14655569
