energy_ev,total_up,Os_p_up,Os_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,1.39024173,0.35273203,0.93848040,0.46581728,0.00417242,0.00188960,0.05141134
-5.99399700,1.45220573,0.36659434,0.98378657,0.48525637,0.00429815,0.00197902,0.05303649
-5.98799400,1.52152731,0.38210694,1.03394458,0.50714064,0.00444127,0.00206788,0.05523016
-5.98199100,1.59784444,0.39924155,1.08877361,0.53128975,0.00460123,0.00215582,0.05795555
-5.97598799,1.68063747,0.41794796,1.14799823,0.55745917,0.00477709,0.00224253,0.06116341
-5.96998499,1.76923131,0.43815438,1.21124881,0.58534117,0.00496760,0.00232777,0.06479271
-5.96398199,1.86280289,0.45976855,1.27806520,0.61456804,0.00517113,0.00241134,0.06877179
-5.95797899,1.96039457,0.48267952,1.34790407,0.64471771,0.00538579,0.00249314,0.07301966
-5.95197599,2.06093363,0.50676025,1.42015019,0.67532177,0.00560943,0.00257315,0.07744773
-5.94597299,2.16325789,0.53187112,1.49413149,0.70587607,0.00583972,0.00265142,0.08196176
-5.93996998,2.26614681,0.55786404,1.56913768,0.73585345,0.00607424,0.00272810,0.08646405
-5.93396698,2.36835736,0.58458725,1.64444190,0.76471850,0.00631053,0.00280341,0.09085596
-5.92796398,2.46866328,0.61189061,1.71932453,0.79194362,0.00654623,0.00287764,0.09504042
-5.92196098,2.56589611,0.63963101,1.79309823,0.81702591,0.00677916,0.00295116,0.09892463
-5.91595798,2.65898622,0.66767778,1.86513296,0.83950411,0.00700740,0.00302438,0.10242267
-5.90995498,2.74700168,0.69591773,1.93487976,0.85897471,0.00722940,0.00309771,0.10545798
-5.90395198,2.82918314,0.72425959,2.00189205,0.87510659,0.00744406,0.00317158,0.10796567
-5.89794897,2.90497260,0.75263754,2.06584306,0.88765325,0.00765074,0.00324641,0.10989440
-5.89194597,2.97403468,0.78101364,2.12653874,0.89646208,0.00784933,0.00332253,0.11120797
-5.88594297,3.03626880,0.80937897,2.18392484,0.90148011,0.00804026,0.00340022,0.11188637
-5.87993997,3.09181175,0.83775349,2.23808818,0.90275581,0.00822446,0.00347964,0.11192624
-5.87393697,3.14103016,0.86618444,2.28925150,0.90043693,0.00840332,0.00356081,0.11134090
-5.86793397,3.18450332,0.89474352,2.33776246,0.89476436,0.00857860,0.00364361,0.11015972
-5.86193097,3.22299702,0.92352291,2.38407698,0.88606228,0.00875239,0.00372775,0.10842703
-5.85592796,3.25742977,0.95263038,2.42873808,0.87472515,0.00892694,0.00381278,0.10620050
-5.84992496,3.28883322,0.98218367,2.47235100,0.86120215,0.00910458,0.00389807,0.10354917
-5.84392196,3.31830863,1.01230451,2.51555614,0.84597986,0.00928756,0.00398285,0.10055115
-5.83791896,3.34698157,1.04311253,2.55900099,0.82956399,0.00947797,0.00406620,0.09729111
-5.83191596,3.37595715,1.07471933,2.60331244,0.81246115,0.00967760,0.00414712,0.09385766
-5.82591296,3.40627761,1.10722287,2.64907075,0.79516130,0.00988785,0.00422451,0.09034075
-5.81990995,3.43888428,1.14070253,2.69678634,0.77812186,0.01010964,0.00429726,0.08682918
-5.81390695,3.47458517,1.17521481,2.74688010,0.76175392,0.01034339,0.00436430,0.08340818
-5.80790395,3.51402936,1.21078979,2.79966808,0.74641118,0.01058894,0.00442459,0.08015743
-5.80190095,3.55768878,1.24742841,2.85535063,0.73238182,0.01084558,0.00447722,0.07714913
-5.79589795,3.60584741,1.28510048,2.91400633,0.71988352,0.01111205,0.00452144,0.07444662
-5.78989495,3.65859780,1.32374334,2.97559024,0.70906146,0.01138660,0.00455666,0.07210314
-5.78389195,3.71584421,1.36326117,3.03993632,0.69998929,0.01166701,0.00458254,0.07016106
-5.77788894,3.77731153,1.40352475,3.10676332,0.69267251,0.01195070,0.00459893,0.06865131
-5.77188594,3.84255890,1.44437166,3.17568350,0.68705412,0.01223478,0.00460594,0.06759316
-5.76588294,3.91099698,1.48560691,3.24621359,0.68302174,0.01251616,0.00460389,0.06699424
-5.75987994,3.98190770,1.52700387,3.31778725,0.68041606,0.01279161,0.00459330,0.06685075
-5.75387694,4.05446544,1.56830566,3.38976845,0.67903980,0.01305786,0.00457488,0.06714789
-5.74787394,4.12775889,1.60922696,3.46146534,0.67866700,0.01331167,0.00454945,0.06786051
-5.74187094,4.20081279,1.64945640,3.53214408,0.67905207,0.01354988,0.00451794,0.06895380
-5.73586793,4.27260910,1.68865961,3.60104258,0.67993848,0.01376951,0.00448129,0.07038422
-5.72986493,4.34210724,1.72648296,3.66738378,0.68106665,0.01396776,0.00444045,0.07210051
-5.72386193,4.40826343,1.76255821,3.73038855,0.68218109,0.01414209,0.00439630,0.07404490
-5.71785893,4.47004884,1.79650796,3.78928815,0.68303667,0.01429023,0.00434961,0.07615435
-5.71185593,4.52646686,1.82795201,3.84333621,0.68340390,0.01441020,0.00430104,0.07836198
-5.70585293,4.57656944,1.85651449,3.89182034,0.68307346,0.01450037,0.00425106,0.08059859
-5.69984992,4.61947259,1.88183163,3.93407333,0.68185990,0.01455943,0.00420000,0.08279429
-5.69384692,4.65437112,1.90356000,3.96948384,0.67960464,0.01458641,0.00414800,0.08488019
-5.68784392,4.68055252,1.92138495,3.99750654,0.67617840,0.01458072,0.00409507,0.08679009
-5.68184092,4.69740999,1.93502893,4.01767164,0.67148308,0.01454213,0.00404108,0.08846224
-5.67583792,4.70445426,1.94425949,4.02959346,0.66545311,0.01447080,0.00398582,0.08984095
-5.66983492,4.70132418,1.94889643,4.03297805,0.65805651,0.01436725,0.00392905,0.09087817
-5.66383192,4.68779570,1.94881815,4.02762959,0.64929538,0.01423239,0.00387052,0.09153486
-5.65782891,4.66378905,1.94396658,4.01345543,0.63920612,0.01406751,0.00381007,0.09178211
-5.65182591,4.62937381,1.93435080,3.99046973,0.62785910,0.01387429,0.00374766,0.09160207
-5.64582291,4.58477181,1.92004910,3.95879548,0.61535795,0.01365475,0.00368339,0.09098846
-5.63981991,4.53035758,1.90120947,3.91866504,0.60183838,0.01341126,0.00361761,0.08994687
-5.63381691,4.46665637,1.87804851,3.87041919,0.58746647,0.01314653,0.00355090,0.08849454
-5.62781391,4.39433972,1.85084892,3.81450465,0.57243638,0.01286357,0.00348414,0.08665995
-5.62181091,4.31421855,1.81995560,3.75147028,0.55696766,0.01256566,0.00341845,0.08448195
-5.61580790,4.22723386,1.78577063,3.68196191,0.54130186,0.01225630,0.00335526,0.08200861
-5.60980490,4.13444512,1.74874717,3.60671591,0.52569865,0.01193921,0.00329626,0.07929584
-5.60380190,4.03701641,1.70938256,3.52655148,0.51043150,0.01161823,0.00324336,0.07640570
-5.59779890,3.93620040,1.66821067,3.44236166,0.49578266,0.01129730,0.00319868,0.07340467
-5.59179590,3.83332010,1.62579367,3.35510289,0.48203791,0.01098042,0.00316444,0.07036170
-5.58579290,3.72974872,1.58271328,3.26578318,0.46948069,0.01067153,0.00314294,0.06734627
-5.57978989,3.62688742,1.53956157,3.17544866,0.45838605,0.01037452,0.00313645,0.06442656
-5.57378689,3.52614129,1.49693134,3.08516846,0.44901428,0.01009310,0.00314717,0.06166755
-5.56778389,3.42889372,1.45540618,2.99601803,0.44160447,0.00983075,0.00317709,0.05912940
-5.56178089,3.33647951,1.41555015,2.90906084,0.43636803,0.00959065,0.00322796,0.05686593
-5.55577789,3.25015717,1.37789743,2.82532870,0.43348248,0.00937559,0.00330117,0.05492337
-5.54977489,3.17108106,1.34294173,2.74580124,0.43308559,0.00918790,0.00339769,0.05333931
-5.54377189,3.10027419,1.31112605,2.67138477,0.43527018,0.00902941,0.00351802,0.05214198
-5.53776888,3.03860248,1.28283276,2.60289141,0.44007974,0.00890133,0.00366208,0.05134976
-5.53176588,2.98675162,1.25837450,2.54101919,0.44750515,0.00880424,0.00382926,0.05097096
-5.52576288,2.94520758,1.23798623,2.48633398,0.45748273,0.00873803,0.00401830,0.05100398
-5.51975988,2.91424178,1.22181875,2.43925417,0.46989379,0.00870190,0.00422738,0.05143763
-5.51375688,2.89390195,1.20993423,2.40003897,0.48456588,0.00869434,0.00445406,0.05225174
-5.50775388,2.88400946,1.20230390,2.36878105,0.50127573,0.00871314,0.00469536,0.05341806
-5.50175088,2.88416366,1.19880845,2.34540426,0.51975405,0.00875548,0.00494783,0.05490128
-5.49574787,2.89375349,1.19924103,2.32966669,0.53969202,0.00881796,0.00520761,0.05666030
-5.48974487,2.91197631,1.20331323,2.32116926,0.56074925,0.00889670,0.00547050,0.05864956
-5.48374187,2.93786332,1.21066376,2.31936976,0.58256313,0.00898749,0.00573213,0.06082055
-5.47773887,2.97031091,1.22086969,2.32360172,0.60475911,0.00908586,0.00598805,0.06312328
-5.47173587,3.00811644,1.23345991,2.33309751,0.62696146,0.00918727,0.00623384,0.06550782
