energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.48072683,0.77498313,0.26246601,0.00347086,0.35939879,1.50937097,0.54575697,0.00315332,1.11695249
-5.99399700,2.52845020,0.78506090,0.26244896,0.00360986,0.37073410,1.53733916,0.55860633,0.00319624,1.13329848
-5.98799400,2.57493824,0.79391710,0.26256253,0.00373792,0.38238166,1.56105228,0.57200756,0.00325262,1.14848815
-5.98199100,2.61961634,0.80139291,0.26281288,0.00385325,0.39426118,1.58003619,0.58583982,0.00332120,1.16227697
-5.97598799,2.66193838,0.80735241,0.26320767,0.00395450,0.40628913,1.59391518,0.59996796,0.00340084,1.17444197
-5.96998499,2.70141092,0.81169041,0.26375845,0.00404079,0.41838108,1.60242847,0.61424757,0.00349045,1.18479301
-5.96398199,2.73761755,0.81433980,0.26448316,0.00411172,0.43045443,1.60544353,0.62853094,0.00358905,1.19318384
-5.95797899,2.77024225,0.81527800,0.26540871,0.00416735,0.44243124,1.60296548,0.64267343,0.00369569,1.19952238
-5.95197599,2.79909063,0.81453228,0.26657331,0.00420820,0.45424112,1.59514222,0.65654021,0.00380949,1.20377969
-5.94597299,2.82410809,0.81218361,0.26802849,0.00423518,0.46582424,1.58226489,0.67001287,0.00392965,1.20599727
-5.93996998,2.84539412,0.80836887,0.26984059,0.00424957,0.47713417,1.56476375,0.68299583,0.00405545,1.20629224
-5.93396698,2.86321194,0.80328133,0.27209156,0.00425296,0.48814060,1.54319954,0.69542215,0.00418628,1.20486009
-5.92796398,2.87799302,0.79716929,0.27487900,0.00424723,0.49883179,1.51825076,0.70725850,0.00432164,1.20197495
-5.92196098,2.89033623,0.79033300,0.27831541,0.00423441,0.50921671,1.49069741,0.71850913,0.00446120,1.19798714
-5.91595798,2.90100120,0.78311982,0.28252640,0.00421670,0.51932665,1.46140177,0.72921854,0.00460478,1.19331805
-5.90995498,2.91089589,0.77591774,0.28764805,0.00419638,0.52921633,1.43128697,0.73947269,0.00475238,1.18845229
-5.90395198,2.92105842,0.76914739,0.29382328,0.00417573,0.53896422,1.40131403,0.74939859,0.00490421,1.18392732
-5.89794897,2.93263317,0.76325277,0.30119741,0.00415700,0.54867207,1.37245804,0.75916217,0.00506066,1.18032067
-5.89194597,2.94684155,0.75869064,0.30991287,0.00414234,0.55846347,1.34568415,0.76896432,0.00522230,1.17823489
-5.88594297,2.96494764,0.75591903,0.32010322,0.00413377,0.56848132,1.32192392,0.77903505,0.00538987,1.17828060
-5.87993997,2.98821949,0.75538485,0.33188675,0.00413311,0.57888419,1.30205240,0.78962593,0.00556424,1.18105789
-5.87393697,3.01788667,0.75751090,0.34535973,0.00414194,0.58984155,1.28686652,0.80100085,0.00574634,1.18713658
-5.86793397,3.05509515,0.76268269,0.36058958,0.00416159,0.60152777,1.27706495,0.81342536,0.00593714,1.19703571
-5.86193097,3.10086066,0.77123506,0.37760839,0.00419305,0.61411521,1.27322984,0.82715484,0.00613752,1.21120293
-5.85592796,3.15602210,0.78343934,0.39640679,0.00423697,0.62776646,1.27581067,0.84242203,0.00634823,1.22999441
-5.84992496,3.22119654,0.79949116,0.41692878,0.00429364,0.64262585,1.28511049,0.85942417,0.00656977,1.25365605
-5.84392196,3.29673779,0.81949950,0.43906765,0.00436292,0.65881092,1.30127484,0.87831058,0.00680233,1.28230665
-5.83791896,3.38270031,0.84347740,0.46266337,0.00444427,0.67640377,1.32428366,0.89917100,0.00704565,1.31592397
-5.83191596,3.47881065,0.87133490,0.48750158,0.00453671,0.69544315,1.35394661,0.92202542,0.00729899,1.35433442
-5.82591296,3.58444798,0.90287448,0.51331464,0.00463880,0.71591737,1.38990187,0.94681599,0.00756101,1.39720707
-5.81990995,3.69863567,0.93778960,0.53978456,0.00474871,0.73775875,1.43161913,0.97340148,0.00782980,1.44405263
-5.81390695,3.82004490,0.97566657,0.56654817,0.00486419,0.76083980,1.47840661,1.00155479,0.00810279,1.49422784
-5.80790395,3.94701141,1.01599003,0.59320426,0.00498263,0.78497165,1.52942264,1.03096378,0.00837680,1.54694555
-5.80190095,4.07756549,1.05815200,0.61932267,0.00510110,0.80990478,1.58369158,1.06123564,0.00864808,1.60129045
-5.79589795,4.20947503,1.10146461,0.64445512,0.00521644,0.83533242,1.64012416,1.09190481,0.00891238,1.65624028
-5.78989495,4.34030066,1.14517608,0.66814733,0.00532532,0.86089646,1.69754179,1.12244431,0.00916508,1.71069192
-5.78389195,4.46746125,1.18848960,0.68995205,0.00542434,0.88619582,1.75470455,1.15228004,0.00940131,1.76349167
-5.77788894,4.58830776,1.23058465,0.70944266,0.00551013,0.91079708,1.81034196,1.18080770,0.00961617,1.81346860
-5.77188594,4.70020266,1.27063970,0.72622650,0.00557947,0.93424687,1.86318583,1.20741152,0.00980483,1.85946982
-5.76588294,4.80060175,1.30785588,0.73995771,0.00562937,0.95608575,1.91200409,1.23148416,0.00996283,1.90039627
-5.75987994,4.88713523,1.34148028,0.75034878,0.00565721,0.97586273,1.95563443,1.25244692,0.01008623,1.93523763
-5.75387694,4.95768457,1.37082828,0.75718047,0.00566080,0.99315013,1.99301662,1.26976927,0.01017182,1.96310478
-5.74787394,5.01045184,1.39530372,0.76030959,0.00563852,1.00755780,2.02322222,1.28298706,0.01021731,1.98325867
-5.74187094,5.04401871,1.41441632,0.75967434,0.00558930,1.01874642,2.04548049,1.29171838,0.01022150,1.99513415
-5.73586793,5.05739246,1.42779533,0.75529689,0.00551277,1.02643899,2.05919953,1.29567659,0.01018439,1.99835786
-5.72986493,5.05003715,1.43519917,0.74728324,0.00540920,1.03043016,2.06398179,1.29467986,0.01010728,1.99275945
-5.72386193,5.02188868,1.43652035,0.73582024,0.00527956,1.03059295,2.05963313,1.28865677,0.00999285,1.97837569
-5.71785893,4.97335334,1.43178586,0.72116994,0.00512548,1.02688262,2.04616536,1.27764805,0.00984512,1.95544741
-5.71185593,4.90528994,1.42115274,0.70366160,0.00494919,1.01933743,2.02379179,1.26180405,0.00966945,1.92440934
-5.70585293,4.81897672,1.40489936,0.68368168,0.00475348,1.00807642,1.99291640,1.24137854,0.00947241,1.88587364
-5.69984992,4.71606459,1.38341284,0.66166213,0.00454164,0.99329431,1.95411677,1.21671889,0.00926173,1.84060775
-5.69384692,4.59851896,1.35717306,0.63806769,0.00431730,0.97525370,1.90812176,1.18825329,0.00904605,1.78950766
-5.68784392,4.46855281,1.32673432,0.61338247,0.00408440,0.95427506,1.85578483,1.15647560,0.00883480,1.73356783
-5.68184092,4.32855394,1.29270523,0.58809659,0.00384704,0.93072501,1.79805409,1.12192850,0.00863793,1.67384900
-5.67583792,4.18100945,1.25572793,0.56269300,0.00360936,0.90500331,1.73594052,1.08518579,0.00846571,1.61144526
-5.66983492,4.02843043,1.21645737,0.53763532,0.00337547,0.87752923,1.67048547,1.04683438,0.00832842,1.54745170
-5.66383192,3.87327976,1.17554155,0.51335669,0.00314932,0.84872790,1.60272884,1.00745695,0.00823617,1.48293371
-5.65782891,3.71790544,1.13360345,0.49025022,0.00293461,0.81901717,1.53367919,0.96761566,0.00819854,1.41889904
-5.65182591,3.56448175,1.09122522,0.46866103,0.00273473,0.78879549,1.46428679,0.92783766,0.00822443,1.35627350
-5.64582291,3.41495969,1.04893513,0.44888006,0.00255265,0.75843135,1.39542050,0.88860274,0.00832169,1.29588075
-5.63981991,3.27102809,1.00719758,0.43113976,0.00239089,0.72825453,1.32784930,0.85033341,0.00849697,1.23842681
-5.63381691,3.13408576,0.96640623,0.41561150,0.00225148,0.69854948,1.26222878,0.81338768,0.00875545,1.18448928
-5.62781391,3.00522511,0.92688037,0.40240472,0.00213592,0.66955106,1.19909287,0.77805455,0.00910065,1.13451131
-5.62181091,2.88522676,0.88886430,0.39156765,0.00204516,0.64144249,1.13885077,0.74455216,0.00953423,1.08880021
-5.61580790,2.77456451,0.85252946,0.38308937,0.00197961,0.61435569,1.08178886,0.71302847,0.01005587,1.04753018
-5.60980490,2.67341973,0.81797895,0.37690323,0.00193910,0.58837369,1.02807704,0.68356423,0.01066313,1.01074882
