energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,7.90394200,0.11699884,0.04532729,2.77479941,0.95851259,0.43839783,4.37944696,1.63063833,0.44156027
-5.99399700,7.55995516,0.11545338,0.04422463,2.63583383,0.90450297,0.42451384,4.19106480,1.56680326,0.42379304
-5.98799400,7.21302928,0.11353176,0.04310718,2.50275553,0.85249132,0.40922718,4.00061254,1.50109151,0.40537358
-5.98199100,6.86628891,0.11124836,0.04198423,2.37624985,0.80291088,0.39275000,3.80981984,1.43407347,0.38649828
-5.97598799,6.52268594,0.10862781,0.04086433,2.25679069,0.75613495,0.37530881,3.62032220,1.36632094,0.36736162
-5.96998499,6.18497836,0.10570492,0.03975525,2.14466369,0.71247929,0.35713895,3.43364801,1.29840278,0.34815302
-5.96398199,5.85571347,0.10252414,0.03866396,2.03999301,0.67220597,0.33847884,3.25120820,1.23087997,0.32905373
-5.95797899,5.53721513,0.09913853,0.03759660,1.94276994,0.63552839,0.31956436,3.07428821,1.16430013,0.31023403
-5.95197599,5.23157446,0.09560837,0.03655843,1.85288173,0.60261708,0.30062345,2.90404213,1.09919157,0.29185072
-5.94597299,4.94064397,0.09199935,0.03555393,1.77013933,0.57360591,0.28187116,2.74148883,1.03605711,0.27404497
-5.93996998,4.66603468,0.08838050,0.03458672,1.69430289,0.54859834,0.26350527,2.58751005,0.97536769,0.25694055
-5.93396698,4.40911614,0.08482196,0.03365964,1.62510416,0.52767342,0.24570272,2.44285030,0.91755631,0.24064264
-5.92796398,4.17101895,0.08139266,0.03277476,1.56226532,0.51089128,0.22861672,2.30811845,0.86301218,0.22523700
-5.92196098,3.95263976,0.07815808,0.03193346,1.50551379,0.49829765,0.21237485,2.18379083,0.81207562,0.21078971
-5.91595798,3.75464812,0.07517813,0.03113641,1.45459313,0.48992750,0.19707795,2.07021572,0.76503379,0.19734736
-5.90995498,3.57749503,0.07250523,0.03038369,1.40926994,0.48580729,0.18279992,1.96761893,0.72211731,0.18493769
-5.90395198,3.42142242,0.07018274,0.02967483,1.36933711,0.48595581,0.16958832,1.87611016,0.68349806,0.17357063
-5.89794897,3.28647328,0.06824377,0.02900883,1.33461383,0.49038364,0.15746563,1.79568990,0.64928807,0.16323969
-5.89194597,3.17250168,0.06671037,0.02838427,1.30494266,0.49909094,0.14643116,1.72625644,0.61953949,0.15392360
-5.88594297,3.07918228,0.06559313,0.02779934,1.28018422,0.51206380,0.13646345,1.66761281,0.59424562,0.14558816
-5.87993997,3.00601880,0.06489125,0.02725188,1.26021006,0.52926916,0.12752308,1.61947314,0.57334296,0.13818817
-5.87393697,2.95235123,0.06459299,0.02673944,1.24489409,0.55064850,0.11955559,1.58146853,0.55671399,0.13166947
-5.86793397,2.91736158,0.06467646,0.02625933,1.23410324,0.57611057,0.11249468,1.55315203,0.54419073,0.12597087
-5.86193097,2.90007837,0.06511075,0.02580859,1.22768774,0.60552349,0.10626532,1.53400290,0.53555891,0.12102605
-5.85592796,2.89938003,0.06585735,0.02538411,1.22547163,0.63870664,0.10078681,1.52343015,0.53056255,0.11676529
-5.84992496,2.91399782,0.06687169,0.02498255,1.22724385,0.67542284,0.09597564,1.52077570,0.52890900,0.11311705
-5.84392196,2.94251910,0.06810485,0.02460040,1.23275057,0.71537133,0.09174816,1.52531725,0.53027428,0.11000934
-5.83791896,2.98339165,0.06950535,0.02423401,1.24168901,0.75818213,0.08802291,1.53627161,0.53430867,0.10737090
-5.83191596,3.03493012,0.07102089,0.02387953,1.25370326,0.80341222,0.08472266,1.55279855,0.54064261,0.10513217
-5.82591296,3.09532557,0.07260000,0.02353302,1.26838236,0.85054431,0.08177604,1.57400593,0.54889273,0.10322608
-5.81990995,3.16265899,0.07419365,0.02319036,1.28526105,0.89898830,0.07911894,1.59895641,0.55866819,0.10158865
-5.81390695,3.23491951,0.07575664,0.02284736,1.30382309,0.94808600,0.07669535,1.62667607,0.56957708,0.10015947
-5.80790395,3.31002771,0.07724878,0.02249977,1.32350745,0.99711929,0.07445804,1.65616528,0.58123294,0.09888203
-5.80190095,3.38586427,0.07863585,0.02214331,1.34371725,1.04532156,0.07236879,1.68641173,0.59326128,0.09770402
-5.79589795,3.46030364,0.07989030,0.02177374,1.36383103,1.09189252,0.07039833,1.71640575,0.60530605,0.09657749
-5.78989495,3.53125201,0.08099167,0.02138694,1.38321625,1.13601583,0.06852600,1.74515739,0.61703568,0.09545903
-5.78389195,3.59668863,0.08192677,0.02097901,1.40124443,1.17687907,0.06673916,1.77171500,0.62814880,0.09430991
-5.77788894,3.65470895,0.08268950,0.02054630,1.41730719,1.21369537,0.06503233,1.79518447,0.63837918,0.09309618
-5.77188594,3.70356789,0.08328055,0.02008561,1.43083263,1.24572574,0.06340621,1.81474857,0.64749986,0.09178878
-5.76588294,3.74172125,0.08370667,0.01959419,1.44130129,1.27230120,0.06186648,1.82968519,0.65532609,0.09036367
-5.75987994,3.76786328,0.08397992,0.01906991,1.44826069,1.29284369,0.06042254,1.83938391,0.66171703,0.08880185
-5.75387694,3.78095832,0.08411653,0.01851135,1.45133798,1.30688471,0.05908620,1.84335969,0.66657604,0.08708942
-5.74787394,3.78026490,0.08413582,0.01791784,1.45024975,1.31408077,0.05787028,1.84126311,0.66984937,0.08521756
-5.74187094,3.76535061,0.08405883,0.01728955,1.44480866,1.31422486,0.05678731,1.83288632,0.67152346,0.08318244
-5.73586793,3.73609687,0.08390703,0.01662756,1.43492639,1.30725332,0.05584829,1.81816440,0.67162071,0.08098503
-5.72986493,3.69269304,0.08370099,0.01593380,1.42061277,1.29324768,0.05506149,1.79717180,0.67019402,0.07863087
-5.72386193,3.63561996,0.08345910,0.01521110,1.40197111,1.27243134,0.05443152,1.77011406,0.66732026,0.07612965
-5.71785893,3.56562354,0.08319644,0.01446312,1.37919005,1.24516127,0.05395853,1.73731498,0.66309315,0.07349478
-5.71185593,3.48367977,0.08292378,0.01369424,1.35253234,1.21191508,0.05363760,1.69920014,0.65761568,0.07074285
-5.70585293,3.39095276,0.08264687,0.01290952,1.32232116,1.17327411,0.05345846,1.65627721,0.65099275,0.06789293
-5.69984992,3.28874800,0.08236592,0.01211452,1.28892492,1.12990331,0.05340541,1.60911444,0.64332423,0.06496595
-5.69384692,3.17846316,0.08207540,0.01131515,1.25274123,1.08252900,0.05345750,1.55831820,0.63469898,0.06198392
-5.68784392,3.06153888,0.08176418,0.01051752,1.21418102,1.03191547,0.05358904,1.50451073,0.62519012,0.05896926
-5.68184092,2.93941196,0.08141591,0.00972780,1.17365365,0.97884160,0.05377024,1.44830936,0.61485180,0.05594409
-5.67583792,2.81347303,0.08100973,0.00895198,1.13155381,0.92407838,0.05396818,1.39030791,0.60371769,0.05292960
-5.66983492,2.68503049,0.08052125,0.00819578,1.08825061,0.86836842,0.05414786,1.33106127,0.59180125,0.04994549
-5.66383192,2.55528209,0.07992373,0.00746448,1.04407962,0.81240817,0.05427344,1.27107368,0.57909765,0.04700958
-5.65782891,2.42529486,0.07918936,0.00676279,0.99933780,0.75683333,0.05430950,1.21079090,0.56558732,0.04413743
-5.65182591,2.29599360,0.07829078,0.00609475,0.95428138,0.70220795,0.05422235,1.15059642,0.55124065,0.04134217
-5.64582291,2.16815773,0.07720242,0.00546368,0.90912664,0.64901735,0.05398129,1.09081151,0.53602373,0.03863444
-5.63981991,2.04242560,0.07590193,0.00487214,0.86405299,0.59766467,0.05355974,1.03169852,0.51990454,0.03602243
-5.63381691,1.91930509,0.07437143,0.00432188,0.81920811,0.54847095,0.05293623,0.97346700,0.50285917,0.03351202
-5.62781391,1.79918906,0.07259852,0.00381392,0.77471426,0.50167826,0.05209519,0.91628180,0.48487777,0.03110703
-5.62181091,1.68237414,0.07057709,0.00334853,0.73067533,0.45745533,0.05102747,0.86027225,0.46596966,0.02880948
-5.61580790,1.56908094,0.06830787,0.00292533,0.68718398,0.41590518,0.04973063,0.80554195,0.44616738,0.02661994
-5.60980490,1.45947452,0.06579857,0.00254338,0.64432816,0.37707406,0.04820900,0.75217800,0.42552933,0.02453786
-5.60380190,1.35368340,0.06306376,0.00220121,0.60219670,0.34096118,0.04647335,0.70025947,0.40414098,0.02256188
-5.59779890,1.25181631,0.06012451,0.00189700,0.56088352,0.30752856,0.04454045,0.64986426,0.38211440,0.02069017
-5.59179590,1.15397582,0.05700762,0.00162864,0.52049032,0.27671073,0.04243233,0.60107439,0.35958641,0.01892062
-5.58579290,1.06026834,0.05374472,0.00139381,0.48112753,0.24842368,0.04017542,0.55397921,0.33671525,0.01725110
-5.57978989,0.97081064,0.05037115,0.00119013,0.44291383,0.22257301,0.03779949,0.50867692,0.31367617,0.01567956
-5.57378689,0.88573283,0.04692476,0.00101520,0.40597421,0.19906096,0.03533660,0.46527427,0.29065617,0.01420419
-5.56778389,0.80517844,0.04344459,0.00086672,0.37043691,0.17779233,0.03281996,0.42388490,0.26784824,0.01282336
-5.56178089,0.72930210,0.03996965,0.00074251,0.33642966,0.15867925,0.03028287,0.38462659,0.24544541,0.01153571
-5.55577789,0.65826560,0.03653769,0.00064061,0.30407544,0.14164493,0.02775764,0.34761787,0.22363494,0.01034006
-5.54977489,0.59223302,0.03318411,0.00055931,0.27348826,0.12662639,0.02527477,0.31297434,0.20259303,0.00923538
-5.54377189,0.53136563,0.02994111,0.00049719,0.24476915,0.11357649,0.02286213,0.28080512,0.18248018,0.00822072
-5.53776888,0.47581714,0.02683691,0.00045311,0.21800281,0.10246509,0.02054437,0.25120968,0.16343747,0.00729512
-5.53176588,0.42572977,0.02389525,0.00042628,0.19325496,0.09327983,0.01834252,0.22427534,0.14558387,0.00645756
-5.52576288,0.38123142,0.02113514,0.00041621,0.17057060,0.08602628,0.01627371,0.20007553,0.12901460,0.00570691
-5.51975988,0.34243403,0.01857068,0.00042273,0.14997331,0.08072775,0.01435110,0.17866893,0.11380055,0.00504189
-5.51375688,0.30943310,0.01621125,0.00044595,0.13146538,0.07742468,0.01258395,0.16009932,0.09998872,0.00446104
-5.50775388,0.28230824,0.01406174,0.00048628,0.11502886,0.07617368,0.01097781,0.14439622,0.08760343,0.00396276
-5.50175088,0.26112434,0.01212298,0.00054432,0.10062735,0.07704609,0.00953481,0.13157600,0.07664834,0.00354525
-5.49574787,0.24593314,0.01039221,0.00062091,0.08820829,0.08012619,0.00825407,0.12164332,0.06710894,0.00320660
-5.48974487,0.23677471,0.00886375,0.00071699,0.07770562,0.08550885,0.00713210,0.11459271,0.05895537,0.00294479
-5.48374187,0.23367856,0.00752955,0.00083359,0.06904268,0.09329669,0.00616327,0.11041001,0.05214544,0.00275770
-5.47773887,0.23666398,0.00637990,0.00097179,0.06213502,0.10359677,0.00534025,0.10907362,0.04662764,0.00264316
-5.47173587,0.24573943,0.00540400,0.00113256,0.05689311,0.11651669,0.00465444,0.11055519,0.04234397,0.00259897
-5.46573287,0.26090092,0.00459058,0.00131678,0.05322472,0.13216031,0.00409640,0.11481996,0.03923255,0.00262289
-5.45972986,0.28212916,0.00392844,0.00152512,0.05103699,0.15062310,0.00365616,0.12182642,0.03722991,0.00271265
-5.45372686,0.30938584,0.00340687,0.00175794,0.05023803,0.17198727,0.00332354,0.13152555,0.03627283,0.00286592
-5.44772386,0.34260910,0.00301607,0.00201529,0.05073808,0.19631687,0.00308839,0.14385956,0.03629983,0.00308030
-5.44172086,0.38170851,0.00274746,0.00229676,0.05245025,0.22365303,0.00294077,0.15876030,0.03725223,0.00335330
-5.43571786,0.42655996,0.00259387,0.00260148,0.05529094,0.25400960,0.00287110,0.17614758,0.03907487,0.00368228
-5.42971486,0.47700086,0.00254970,0.00292807,0.05917988,0.28736928,0.00287021,0.19592739,0.04171644,0.00406442
-5.42371186,0.53282604,0.00261099,0.00327461,0.06403990,0.32368066,0.00292944,0.21799042,0.04512956,0.00449671
-5.41770885,0.59378472,0.00277539,0.00363866,0.06979669,0.36285607,0.00304065,0.24221086,0.04927066,0.00497593
-5.41170585,0.65957884,0.00304206,0.00401724,0.07637824,0.40477060,0.00319620,0.26844574,0.05409961,0.00549862
-5.40570285,0.72986289,0.00341156,0.00440692,0.08371452,0.44926215,0.00338894,0.29653487,0.05957929,0.00606112
-5.39969985,0.80424556,0.00388560,0.00480389,0.09173695,0.49613270,0.00361222,0.32630142,0.06567500,0.00665959
-5.39369685,0.88229284,0.00446678,0.00520404,0.10037812,0.54515054,0.00385983,0.35755318,0.07235389,0.00729006
-5.38769385,0.96353268,0.00515830,0.00560309,0.10957153,0.59605346,0.00412600,0.39008446,0.07958425,0.00794853
-5.38169085,1.04746096,0.00596358,0.00599677,0.11925146,0.64855267,0.00440537,0.42367847,0.08733486,0.00863105
-5.37568784,1.13354820,0.00688587,0.00638092,0.12935289,0.70233718,0.00469301,0.45811018,0.09557422,0.00933383
-5.36968484,1.22124693,0.00792784,0.00675173,0.13981162,0.75707842,0.00498435,0.49314933,0.10426986,0.01005342
-5.36368184,1.30999914,0.00909117,0.00710587,0.15056437,0.81243491,0.00527526,0.52856363,0.11338759,0.01078679
-5.35767884,1.39924350,0.01037610,0.00744070,0.16154895,0.86805657,0.00556196,0.56412183,0.12289072,0.01153158
-5.35167584,1.48842206,0.01178103,0.00775442,0.17270456,0.92358879,0.00584108,0.59959662,0.13273935,0.01228617
-5.34567284,1.57698620,0.01330214,0.00804623,0.18397198,0.97867580,0.00610964,0.63476730,0.14288966,0.01304993
-5.33966983,1.66440182,0.01493309,0.00831646,0.19529400,1.03296370,0.00636503,0.66942197,0.15329334,0.01382333
-5.33366683,1.75015373,0.01666467,0.00856669,0.20661571,1.08610287,0.00660501,0.70335963,0.16389710,0.01460811
-5.32766383,1.83374953,0.01848473,0.00879979,0.21788508,1.13775015,0.00682765,0.73639180,0.17464237,0.01540743
-5.32166083,1.91472321,0.02037800,0.00901998,0.22905348,1.18757088,0.00703139,0.76834412,0.18546526,0.01622597
-5.31565783,1.99263885,0.02232617,0.00923278,0.24007651,1.23524119,0.00721490,0.79905795,0.19629688,0.01707008
-5.30965483,2.06709495,0.02430802,0.00944498,0.25091494,1.28045068,0.00737716,0.82839203,0.20706390,0.01794780
-5.30365183,2.13772969,0.02629971,0.00966456,0.26153594,1.32290599,0.00751732,0.85622453,0.21768964,0.01886896
-5.29764882,2.20422759,0.02827518,0.00990049,0.27191449,1.36233538,0.00763476,0.88245561,0.22809557,0.01984517
-5.29164582,2.26632785,0.03020663,0.01016260,0.28203516,1.39849450,0.00772900,0.90701046,0.23820318,0.02088981
-5.28564282,2.32383436,0.03206524,0.01046134,0.29189398,1.43117355,0.00779974,0.92984306,0.24793636,0.02201800
-5.27963982,2.37662759,0.03382182,0.01080750,0.30150063,1.46020572,0.00784677,0.95094052,0.25722413,0.02324648
-5.27363682,2.42467778,0.03544762,0.01121198,0.31088071,1.48547672,0.00787006,0.97032794,0.26600370,0.02459351
-5.26763382,2.46805939,0.03691521,0.01168545,0.32007804,1.50693519,0.00786971,0.98807373,0.27422368,0.02607870
-5.26163082,2.50696584,0.03819928,0.01223807,0.32915691,1.52460352,0.00784597,1.00429498,0.28184747,0.02772282
-5.25562781,2.54172399,0.03927747,0.01287916,0.33820419,1.53858852,0.00779930,1.01916274,0.28885655,0.02954759
-5.24962481,2.57280748,0.04013115,0.01361692,0.34733101,1.54909144,0.00773038,1.03290681,0.29525361,0.03157539
-5.24362181,2.60084795,0.04074612,0.01445814,0.35667416,1.55641666,0.00764014,1.04581973,0.30106533,0.03382904
-5.23761881,2.62664330,0.04111311,0.01540797,0.36639678,1.56097842,0.00752979,1.05825961,0.30634474,0.03633148
-5.23161581,2.65116212,0.04122827,0.01646968,0.37668844,1.56330499,0.00740088,1.07065142,0.31117291,0.03910553
-5.22561281,2.67554360,0.04109338,0.01764454,0.38776446,1.56403981,0.00725530,1.08348657,0.31566005,0.04217360
-5.21960980,2.70109228,0.04071598,0.01893170,0.39986439,1.56393920,0.00709528,1.09732044,0.31994570,0.04555738
-5.21360680,2.72926736,0.04010926,0.02032817,0.41324960,1.56386633,0.00692344,1.11276776,0.32419822,0.04927766
-5.20760380,2.76166624,0.03929182,0.02182882,0.42820004,1.56478131,0.00674271,1.13049576,0.32861330,0.05335399
-5.20160080,2.80000247,0.03828725,0.02342654,0.44501008,1.56772756,0.00655637,1.15121506,0.33341169,0.05780454
-5.19559780,2.84607817,0.03712362,0.02511231,0.46398360,1.57381442,0.00636795,1.17566839,0.33883600,0.06264581
-5.18959480,2.90175144,0.03583275,0.02687552,0.48542831,1.58419646,0.00618122,1.20461727,0.34514685,0.06789242
-5.18359180,2.96889925,0.03444950,0.02870416,0.50964942,1.60004992,0.00600010,1.23882683,0.35261810,0.07355688
-5.17758879,3.04937652,0.03301093,0.03058518,0.53694276,1.62254669,0.00582858,1.27904910,0.36153152,0.07964928
-5.17158579,3.14497222,0.03155543,0.03250477,0.56758746,1.65282660,0.00567066,1.32600499,0.37217092,0.08617701
-5.16558279,3.25736335,0.03012189,0.03444876,0.60183837,1.69196866,0.00553023,1.38036539,0.38481565,0.09314439
-5.15957979,3.38806788,0.02874879,0.03640286,0.63991823,1.74096185,0.00541099,1.44273165,0.39973381,0.10055224
-5.15357679,3.53839766,0.02747344,0.03835303,0.68200987,1.80067648,0.00531639,1.51361604,0.41717513,0.10839739
-5.14757379,3.70941241,0.02633119,0.04028571,0.72824846,1.87183678,0.00524948,1.59342250,0.43736370,0.11667213
-5.14157079,3.90187613,0.02535474,0.04218804,0.77871398,1.95499546,0.00521290,1.68242825,0.46049056,0.12536361
-5.13556778,4.11621703,0.02457350,0.04404799,0.83342412,2.05051126,0.00520877,1.78076678,0.48670649,0.13445320
-5.12956478,4.35249252,0.02401304,0.04585447,0.89232771,2.15853010,0.00523863,1.88841271,0.51611498,0.14391590
