energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,5.01102125,0.06352334,0.46508682,2.51461866,0.92142459,2.47216240,0.00000000
-5.99399700,4.69352940,0.05897603,0.43939041,2.39254942,0.85392194,2.31608291,0.00000000
-5.98799400,4.37351101,0.05441809,0.41336564,2.26395923,0.78757354,2.15766281,0.00000000
-5.98199100,4.05459962,0.04990523,0.38727899,2.13050055,0.72310946,1.99879084,0.00000000
-5.97598799,3.74027497,0.04548871,0.36140786,1.99387066,0.66121542,1.84125050,0.00000000
-5.96998499,3.43380695,0.04121440,0.33603568,1.85577287,0.60252484,1.68668952,0.00000000
-5.96398199,3.13820979,0.03712215,0.31144717,1.71787930,0.54761365,1.53659534,0.00000000
-5.95797899,2.85620728,0.03324535,0.28792383,1.58179664,0.49699756,1.39227725,0.00000000
-5.95197599,2.59020919,0.02961082,0.26573977,1.44903597,0.45113175,1.25485488,0.00000000
-5.94597299,2.34229856,0.02623890,0.24515807,1.32098750,0.41041252,1.12525337,0.00000000
-5.93996998,2.11422912,0.02314373,0.22642763,1.19890080,0.37518050,1.00420432,0.00000000
-5.93396698,1.90743172,0.02033373,0.20978051,1.08387083,0.34572490,0.89225232,0.00000000
-5.92796398,1.72302814,0.01781216,0.19542983,0.97682974,0.32228832,0.78976612,0.00000000
-5.92196098,1.56185080,0.01557777,0.18356802,0.87854410,0.30507159,0.69695360,0.00000000
-5.91595798,1.42446643,0.01362558,0.17436542,0.78961721,0.29423801,0.61387966,0.00000000
-5.90995498,1.31120199,0.01194754,0.16796907,0.71049557,0.28991687,0.54048616,0.00000000
-5.90395198,1.22217122,0.01053327,0.16450156,0.64147886,0.29220559,0.47661287,0.00000000
-5.89794897,1.15730032,0.00937069,0.16405994,0.58273247,0.30117054,0.42201873,0.00000000
-5.89194597,1.11635162,0.00844667,0.16671445,0.53430165,0.31684626,0.37640262,0.00000000
-5.88594297,1.09894440,0.00774745,0.17250720,0.49612648,0.33923333,0.33942305,0.00000000
-5.87993997,1.10457237,0.00725916,0.18145065,0.46805684,0.36829489,0.31071620,0.00000000
-5.87393697,1.13261769,0.00696811,0.19352607,0.44986679,0.40395227,0.28991201,0.00000000
-5.86793397,1.18236183,0.00686106,0.20868193,0.44126781,0.44608014,0.27664805,0.00000000
-5.86193097,1.25299366,0.00692543,0.22683255,0.44192067,0.49450154,0.27058096,0.00000000
-5.85592796,1.34361563,0.00714941,0.24785690,0.45144567,0.54898357,0.27139558,0.00000000
-5.84992496,1.45324896,0.00752201,0.27159808,0.46943130,0.60923411,0.27881161,0.00000000
-5.84392196,1.58083867,0.00803317,0.29786340,0.49544147,0.67490020,0.29258805,0.00000000
-5.83791896,1.72525952,0.00867373,0.32642535,0.52902135,0.74556855,0.31252548,0.00000000
-5.83191596,1.88532359,0.00943543,0.35702371,0.56970236,0.82076842,0.33846635,0.00000000
-5.82591296,2.05979007,0.01031097,0.38936869,0.61700631,0.89997720,0.37029346,0.00000000
-5.81990995,2.24737754,0.01129394,0.42314538,0.67044920,0.98262871,0.40792667,0.00000000
-5.81390695,2.44677874,0.01237890,0.45801939,0.72954471,1.06812397,0.45131814,0.00000000
-5.80790395,2.65667741,0.01356136,0.49364348,0.79380774,1.15584419,0.50044604,0.00000000
-5.80190095,2.87576648,0.01483778,0.52966519,0.86275778,1.24516536,0.55530687,0.00000000
-5.79589795,3.10276655,0.01620558,0.56573503,0.93592238,1.33547383,0.61590657,0.00000000
