energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,5.20205368,0.04814147,0.00128479,0.00035849,4.12885747,2.89250661,2.84366495
-5.99399700,5.33674473,0.05492295,0.00135241,0.00040418,4.22259663,3.00443746,2.87948422
-5.98799400,5.45226881,0.06233783,0.00142083,0.00045933,4.29836672,3.10708411,2.90157893
-5.98199100,5.54773467,0.07037029,0.00148977,0.00052348,4.35535706,3.19931149,2.90986616
-5.97598799,5.62248404,0.07898923,0.00155891,0.00059620,4.39300015,3.28008665,2.90445853
-5.96998499,5.67608988,0.08814677,0.00162784,0.00067700,4.41097992,3.34849964,2.88565511
-5.96398199,5.70835207,0.09777741,0.00169606,0.00076533,4.40923632,3.40378308,2.85392909
-5.95797899,5.71929139,0.10779755,0.00176299,0.00086054,4.38796613,3.44533016,2.80991303
-5.95197599,5.70914218,0.11810583,0.00182795,0.00096185,4.34762023,3.47271027,2.75438236
-5.94597299,5.67834450,0.12858407,0.00189020,0.00106835,4.28889717,3.48568190,2.68823770
-5.93996998,5.62753610,0.13909896,0.00194890,0.00117900,4.21273326,3.48420235,2.61248651
-5.93396698,5.55754426,0.14950452,0.00200319,0.00129265,4.12028919,3.46843376,2.52822466
-5.92796398,5.46937790,0.15964524,0.00205216,0.00140807,4.01293325,3.43874525,2.43661810
-5.92196098,5.36421948,0.16935985,0.00209492,0.00152396,3.89222136,3.39571107,2.33888507
-5.91595798,5.24341675,0.17848558,0.00213061,0.00163908,3.75987407,3.34010442,2.23627890
-5.90995498,5.10847391,0.18686286,0.00215843,0.00175222,3.61775089,3.27288738,2.13007165
-5.90395198,4.96104175,0.19434013,0.00217772,0.00186236,3.46782223,3.19519684,2.02153852
-5.89794897,4.80290642,0.20077873,0.00218795,0.00196872,3.31213958,3.10832679,1.91194321
-5.89194597,4.63597638,0.20605761,0.00218876,0.00207087,3.15280419,3.01370737,1.80252417
-5.88594297,4.46226712,0.21007758,0.00218002,0.00216882,2.99193510,2.91288112,1.69448175
-5.87993997,4.28388341,0.21276508,0.00216183,0.00226313,2.83163692,2.80747674,1.58896634
-5.87393697,4.10299888,0.21407509,0.00213453,0.00235501,2.67396810,2.69918112,1.48706740
-5.86793397,3.92183286,0.21399329,0.00209875,0.00244645,2.52091018,2.58970987,1.38980356
-5.86193097,3.74262447,0.21253712,0.00205538,0.00254024,2.37433868,2.48077711,1.29811363
-5.85592796,3.56760433,0.20975588,0.00200555,0.00264013,2.23599602,2.37406497,1.21284875
-5.84992496,3.39896422,0.20572976,0.00195067,0.00275081,2.10746707,2.27119325,1.13476555
-5.84392196,3.23882507,0.20056787,0.00189237,0.00287799,1.99015750,2.17368998,1.06452043
-5.83791896,3.08920420,0.19440533,0.00183246,0.00302843,1.88527539,2.08296323,1.00266495
-5.83191596,2.95198232,0.18739960,0.00177293,0.00320984,1.79381630,2.00027493,0.94964236
-5.82591296,2.82887133,0.17972610,0.00171591,0.00343092,1.71655187,1.92671709,0.90578518
-5.81990995,2.72138370,0.17157340,0.00166359,0.00370119,1.65402220,1.86319114,0.87131404
-5.81390695,2.63080442,0.16313807,0.00161821,0.00403090,1.60653202,1.81039088,0.84633744
-5.80790395,2.55816633,0.15461950,0.00158198,0.00443085,1.57415065,1.76878950,0.83085275
-5.80190095,2.50422971,0.14621467,0.00155709,0.00491215,1.55671569,1.73863120,0.82474818
-5.79589795,2.46946680,0.13811327,0.00154557,0.00548600,1.55384051,1.71992773,0.82780584
-5.78989495,2.45405188,0.13049318,0.00154935,0.00616336,1.56492525,1.71246001,0.83970579
-5.78389195,2.45785722,0.12351640,0.00157014,0.00695466,1.58917124,1.71578509,0.86003115
-5.77788894,2.48045523,0.11732562,0.00160940,0.00786945,1.62559862,1.72924817,0.88827408
-5.77188594,2.52112695,0.11204149,0.00166835,0.00891601,1.67306684,1.75199966,0.92384292
-5.76588294,2.57887649,0.10776053,0.00174788,0.01010108,1.73029774,1.78301672,0.96607009
-5.75987994,2.65245158,0.10455376,0.00184859,0.01142942,1.79590072,1.82112882,1.01422110
-5.75387694,2.74036935,0.10246610,0.00197070,0.01290358,1.86839974,1.86504657,1.06750439
-5.74787394,2.84094718,0.10151636,0.00211410,0.01452363,1.94626146,1.91339306,1.12508214
-5.74187094,2.95233778,0.10169798,0.00227831,0.01628695,2.02792416,1.96473687,1.18608189
-5.73586793,3.07256774,0.10298028,0.00246251,0.01818814,2.11182691,2.01762579,1.24960907
-5.72986493,3.19957890,0.10531028,0.00266553,0.02021899,2.19643840,2.07062038,1.31476015
-5.72386193,3.33127151,0.10861499,0.00288592,0.02236854,2.28028495,2.12232655,1.38063653
-5.71785893,3.46554834,0.11280403,0.00312190,0.02462330,2.36197723,2.17142630,1.44635877
-5.71185593,3.60035874,0.11777267,0.00337150,0.02696753,2.44023513,2.21670606,1.51108116
-5.70585293,3.73374165,0.12340494,0.00363250,0.02938358,2.51391037,2.25708181,1.57400621
-5.69984992,3.86386650,0.12957705,0.00390259,0.03185236,2.58200644,2.29162083,1.63439881
-5.69384692,3.98907087,0.13616065,0.00417931,0.03435391,2.64369530,2.31955943,1.69159968
-5.68784392,4.10789395,0.14302618,0.00446020,0.03686787,2.69833067,2.34031651,1.74503765
-5.68184092,4.21910457,0.15004601,0.00474279,0.03937412,2.74545741,2.35350290,1.79424036
-5.67583792,4.32172301,0.15709726,0.00502467,0.04185328,2.78481669,2.35892621,1.83884293
-5.66983492,4.41503561,0.16406444,0.00530353,0.04428721,2.81634683,2.35659130,1.87859416
-5.66383192,4.49860154,0.17084153,0.00557718,0.04665945,2.84017946,2.34669645,1.91335980
-5.65782891,4.57225121,0.17733367,0.00584361,0.04895554,2.85663111,2.32962526,1.94312281
-5.65182591,4.63607633,0.18345841,0.00610095,0.05116319,2.86619010,2.30593457,1.96798006
-5.64582291,4.69041155,0.18914633,0.00634751,0.05327240,2.86949905,2.27633850,1.98813579
-5.63981991,4.73580833,0.19434127,0.00658178,0.05527536,2.86733325,2.24168904,2.00389163
-5.63381691,4.77300196,0.19900007,0.00680239,0.05716633,2.86057541,2.20295346,2.01563356
-5.62781391,4.80287273,0.20309192,0.00700810,0.05894131,2.85018731,2.16118904,2.02381619
-5.62181091,4.82640297,0.20659735,0.00719781,0.06059771,2.83717928,2.11751553,2.02894486
-5.61580790,4.84463160,0.20950710,0.00737046,0.06213392,2.82257829,2.07308602,2.03155631
-5.60980490,4.85860802,0.21182070,0.00752511,0.06354886,2.80739565,2.02905682,2.03219859
-5.60380190,4.86934742,0.21354517,0.00766083,0.06484155,2.79259532,1.98655700,2.03141099
-5.59779890,4.87778923,0.21469365,0.00777677,0.06601074,2.77906394,1.94665843,2.02970490
-5.59179590,4.88476051,0.21528427,0.00787208,0.06705461,2.76758348,1.91034697,2.02754625
