energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up
-6.00000000,6.12779625,0.34450126,0.19514344,1.61171215,0.79827149,1.23658494,1.15537959,2.90105465,0.00000000
-5.99399700,6.19492818,0.35286632,0.19896512,1.60219533,0.81646469,1.23381512,1.16927432,2.91608083,0.00000000
-5.98799400,6.25167039,0.36009206,0.20301563,1.59171818,0.83304804,1.22970330,1.18032035,2.92591096,0.00000000
-5.98199100,6.29505753,0.36601433,0.20707465,1.57958336,0.84754321,1.22367276,1.18807279,2.92945621,0.00000000
-5.97598799,6.32227011,0.37047917,0.21092863,1.56513006,0.85949124,1.21517242,1.19211923,2.92569120,0.00000000
-5.96998499,6.33072481,0.37334810,0.21437636,1.54775367,0.86846688,1.20369754,1.19209370,2.91368938,0.00000000
-5.96398199,6.31815939,0.37450333,0.21723396,1.52692381,0.87409216,1.18880903,1.18768978,2.89265629,0.00000000
-5.95797899,6.28270873,0.37385268,0.21933930,1.50220036,0.87604871,1.17015060,1.17867232,2.86195911,0.00000000
-5.95197599,6.22296884,0.37133381,0.22055559,1.47324687,0.87408836,1.14746290,1.16488728,2.82115139,0.00000000
-5.94597299,6.13804616,0.36691765,0.22077417,1.43984064,0.86804149,1.12059407,1.14626905,2.76999171,0.00000000
-5.93996998,6.02759005,0.36061081,0.21991637,1.40187932,0.85782286,1.08950618,1.12284498,2.70845555,0.00000000
-5.93396698,5.89180700,0.35245676,0.21793434,1.35938356,0.84343462,1.05427728,1.09473683,2.63673973,0.00000000
-5.92796398,5.73145621,0.34253563,0.21481103,1.31249564,0.82496642,1.01509904,1.06215907,2.55525924,0.00000000
-5.92196098,5.54782643,0.33096282,0.21055920,1.26147407,0.80259254,0.97226999,1.02541396,2.46463670,0.00000000
-5.91595798,5.34269565,0.31788615,0.20521952,1.20668441,0.77656636,0.92618492,0.98488370,2.36568478,0.00000000
-5.90995498,5.11827511,0.30348195,0.19885804,1.14858671,0.74721224,0.87732082,0.94102003,2.25938258,0.00000000
-5.90395198,4.87714053,0.28795008,0.19156289,1.08772004,0.71491531,0.82622017,0.89433159,2.14684687,0.00000000
-5.89794897,4.62215338,0.27150815,0.18344062,1.02468485,0.68010957,0.77347233,0.84536972,2.02929966,0.00000000
-5.89194597,4.35637579,0.25438523,0.17461212,0.96012386,0.64326485,0.71969395,0.79471330,1.90803332,0.00000000
-5.88594297,4.08298264,0.23681537,0.16520839,0.89470237,0.60487317,0.66550928,0.74295319,1.78437487,0.00000000
-5.87993997,3.80517423,0.21903109,0.15536631,0.82908865,0.56543507,0.61153122,0.69067700,1.65965074,0.00000000
-5.87393697,3.52609304,0.20125724,0.14522459,0.76393531,0.52544635,0.55834393,0.63845471,1.53515350,0.00000000
-5.86793397,3.24874738,0.18370542,0.13491985,0.69986235,0.48538579,0.50648751,0.58682570,1.41211147,0.00000000
-5.86193097,2.97594444,0.16656919,0.12458326,0.63744224,0.44570427,0.45644544,0.53628750,1.29166249,0.00000000
-5.85592796,2.71023451,0.15002019,0.11433753,0.57718780,0.40681548,0.40863497,0.48728679,1.17483225,0.00000000
-5.84992496,2.45386766,0.13420528,0.10429446,0.51954286,0.36908852,0.36340064,0.44021254,1.06251781,0.00000000
-5.84392196,2.20876350,0.11924476,0.09455311,0.46487603,0.33284250,0.32101095,0.39539167,0.95547654,0.00000000
-5.83791896,1.97649380,0.10523164,0.08519846,0.41347747,0.29834321,0.28165802,0.35308700,0.85432025,0.00000000
-5.83191596,1.75827765,0.09223191,0.07630072,0.36555851,0.26580162,0.24545992,0.31349741,0.75951437,0.00000000
-5.82591296,1.55498793,0.08028561,0.06791508,0.32125389,0.23537430,0.21246538,0.27676003,0.67138179,0.00000000
-5.81990995,1.36716772,0.06940878,0.06008205,0.28062626,0.20716539,0.18266023,0.24295421,0.59011057,0.00000000
-5.81390695,1.19505514,0.05959587,0.05282810,0.24367250,0.18122994,0.15597536,0.21210683,0.51576506,0.00000000
-5.80790395,1.03861459,0.05082265,0.04616666,0.21033140,0.15757828,0.13229552,0.18419888,0.44829953,0.00000000
-5.80190095,0.89757277,0.04304931,0.04009947,0.18049236,0.13618125,0.11146850,0.15917262,0.38757368,0.00000000
-5.79589795,0.77145757,0.03622376,0.03461795,0.15400450,0.11697592,0.09331437,0.13693937,0.33336920,0.00000000
-5.78989495,0.65963818,0.03028477,0.02970485,0.13068599,0.09987149,0.07763440,0.11738738,0.28540687,0.00000000
-5.78389195,0.56136500,0.02516504,0.02533580,0.11033302,0.08475529,0.06421922,0.10038959,0.24336336,0.00000000
-5.77788894,0.47580798,0.02079401,0.02148091,0.09272840,0.07149852,0.05285626,0.08581113,0.20688754,0.00000000
-5.77188594,0.40209244,0.01710034,0.01810631,0.07764927,0.05996163,0.04333611,0.07351622,0.17561557,0.00000000
-5.76588294,0.33933162,0.01401401,0.01517551,0.06487403,0.04999926,0.03545778,0.06337455,0.14918463,0.00000000
-5.75987994,0.28665520,0.01146812,0.01265073,0.05418826,0.04146450,0.02903297,0.05526675,0.12724508,0.00000000
-5.75387694,0.24323380,0.00940024,0.01049395,0.04538953,0.03421267,0.02388921,0.04908917,0.10947071,0.00000000
-5.74787394,0.20829894,0.00775345,0.00866789,0.03829129,0.02810437,0.01987206,0.04475760,0.09556723,0.00000000
-5.74187094,0.18115874,0.00647702,0.00713676,0.03272569,0.02300793,0.01684639,0.04221026,0.08527883,0.00000000
-5.73586793,0.16120935,0.00552686,0.00586687,0.02854556,0.01880130,0.01469698,0.04140968,0.07839280,0.00000000
-5.72986493,0.14794239,0.00486565,0.00482712,0.02562544,0.01537340,0.01332845,0.04234374,0.07474247,0.00000000
-5.72386193,0.14094869,0.00446285,0.00398924,0.02386204,0.01262503,0.01266464,0.04502576,0.07420827,0.00000000
-5.71785893,0.13991864,0.00429445,0.00332808,0.02317390,0.01046936,0.01264770,0.04949360,0.07671730,0.00000000
-5.71185593,0.14463956,0.00434273,0.00282160,0.02350066,0.00883219,0.01323679,0.05580800,0.08224129,0.00000000
-5.70585293,0.15499048,0.00459584,0.00245096,0.02480179,0.00765187,0.01440672,0.06404992,0.09079324,0.00000000
-5.69984992,0.17093456,0.00504735,0.00220042,0.02705513,0.00687917,0.01614636,0.07431715,0.10242284,0.00000000
-5.69384692,0.19250981,0.00569588,0.00205721,0.03025499,0.00647699,0.01845710,0.08672014,0.11721077,0.00000000
-5.68784392,0.21981824,0.00654454,0.00201146,0.03441028,0.00641999,0.02135133,0.10137716,0.13526215,0.00000000
-5.68184092,0.25301389,0.00760058,0.00205596,0.03954234,0.00669430,0.02485092,0.11840894,0.15669923,0.00000000
-5.67583792,0.29229014,0.00887494,0.00218607,0.04568290,0.00729714,0.02898584,0.13793280,0.18165362,0.00000000
-5.66983492,0.33786662,0.01038186,0.00239946,0.05287189,0.00823658,0.03379286,0.16005653,0.21025811,0.00000000
-5.66383192,0.38997599,0.01213856,0.00269603,0.06115542,0.00953121,0.03931440,0.18487216,0.24263850,0.00000000
-5.65782891,0.44885098,0.01416486,0.00307769,0.07058373,0.01120990,0.04559745,0.21244978,0.27890547,0.00000000
-5.65182591,0.51471186,0.01648291,0.00354820,0.08120931,0.01331151,0.05269260,0.24283156,0.31914684,0.00000000
-5.64582291,0.58775461,0.01911686,0.00411304,0.09308502,0.01588454,0.06065312,0.27602633,0.36342036,0.00000000
-5.63981991,0.66813990,0.02209252,0.00477921,0.10626242,0.01898668,0.06953412,0.31200464,0.41174719,0.00000000
-5.63381691,0.75598298,0.02543698,0.00555503,0.12079006,0.02268414,0.07939159,0.35069480,0.46410621,0.00000000
-5.62781391,0.85134447,0.02917819,0.00644998,0.13671185,0.02705081,0.09028149,0.39197970,0.52042939,0.00000000
-5.62181091,0.95422205,0.03334442,0.00747439,0.15406541,0.03216701,0.10225853,0.43569487,0.58059808,0.00000000
-5.61580790,1.06454279,0.03796365,0.00863921,0.17288034,0.03811799,0.11537491,0.48162752,0.64444033,0.00000000
-5.60980490,1.18215612,0.04306274,0.00995560,0.19317645,0.04499189,0.12967861,0.52951687,0.71172927,0.00000000
-5.60380190,1.30682709,0.04866656,0.01143457,0.21496167,0.05287729,0.14521146,0.57905561,0.78218230,0.00000000
-5.59779890,1.43822980,0.05479683,0.01308646,0.23822990,0.06186024,0.16200673,0.62989247,0.85546119,0.00000000
-5.59179590,1.57594086,0.06147091,0.01492049,0.26295852,0.07202084,0.18008645,0.68163582,0.93117277,0.00000000
