energy_ev,total_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.46504250,0.22630153,0.00029671,0.81939189,0.00000000,0.70338811,0.28141952
-5.99399700,1.43422698,0.22582784,0.00029223,0.80056004,0.00000000,0.70435345,0.27245876
-5.98799400,1.40929337,0.22544676,0.00028879,0.78583284,0.00000000,0.70877147,0.26459435
-5.98199100,1.39108540,0.22521840,0.00028667,0.77570761,0.00000000,0.71674274,0.25804960
-5.97598799,1.38028539,0.22518906,0.00028611,0.77058102,0.00000000,0.72828581,0.25301457
-5.96998499,1.37739214,0.22538995,0.00028734,0.77073582,0.00000000,0.74333475,0.24964031
-5.96398199,1.38270199,0.22583640,0.00029051,0.77632927,0.00000000,0.76173787,0.24803388
-5.95797899,1.39629389,0.22652766,0.00029576,0.78738378,0.00000000,0.78325788,0.24825432
-5.95197599,1.41801914,0.22744719,0.00030315,0.80378018,0.00000000,0.80757338,0.25030978
-5.94597299,1.44749654,0.22856343,0.00031268,0.82525433,0.00000000,0.83428212,0.25415591
-5.93996998,1.48411345,0.22983098,0.00032429,0.85139723,0.00000000,0.86290593,0.25969571
-5.93396698,1.52703341,0.23119215,0.00033785,0.88165922,0.00000000,0.89289770,0.26678081
-5.92796398,1.57521038,0.23257877,0.00035314,0.91535848,0.00000000,0.92365021,0.27521437
-5.92196098,1.62740988,0.23391426,0.00036991,0.95169387,0.00000000,0.95450709,0.28475545
-5.91595798,1.68223669,0.23511589,0.00038782,0.98976211,0.00000000,0.98477568,0.29512495
-5.90995498,1.73816870,0.23609709,0.00040648,1.02857900,0.00000000,1.01374175,0.30601286
-5.90395198,1.79359618,0.23676990,0.00042546,1.06710429,0.00000000,1.04068575,0.31708672
-5.89794897,1.84686539,0.23704741,0.00044431,1.10426938,0.00000000,1.06490027,0.32800108
-5.89194597,1.89632520,0.23684618,0.00046253,1.13900725,0.00000000,1.08570821,0.33840750
-5.88594297,1.94037527,0.23608865,0.00047966,1.17028334,0.00000000,1.10248114,0.34796502
-5.87993997,1.97751400,0.23470539,0.00049520,1.19712644,0.00000000,1.11465719,0.35635052
-5.87393697,2.00638457,0.23263721,0.00050872,1.21865842,0.00000000,1.12175782,0.36326862
-5.86793397,2.02581712,0.22983712,0.00051981,1.23412146,0.00000000,1.12340276,0.36846086
-5.86193097,2.03486561,0.22627200,0.00052811,1.24290183,0.00000000,1.11932255,0.37171370
-5.85592796,2.03283766,0.22192393,0.00053334,1.24454915,0.00000000,1.10936798,0.37286502
-5.84992496,2.01931619,0.21679129,0.00053529,1.23879028,0.00000000,1.09351605,0.37180896
-5.84392196,1.99417205,0.21088929,0.00053383,1.22553740,0.00000000,1.07187219,0.36849885
-5.83791896,1.95756708,0.20425023,0.00052891,1.20488976,0.00000000,1.04466832,0.36294815
-5.83191596,1.90994752,0.19692318,0.00052057,1.17712929,0.00000000,1.01225708,0.35522942
-5.82591296,1.85202835,0.18897331,0.00050894,1.14271021,0.00000000,0.97510226,0.34547138
-5.81990995,1.78476910,0.18048067,0.00049422,1.10224323,0.00000000,0.93376576,0.33385429
-5.81390695,1.70934261,0.17153867,0.00047669,1.05647508,0.00000000,0.88889177,0.32060382
-5.80790395,1.62709802,0.16225214,0.00045667,1.00626444,0.00000000,0.84118874,0.30598378
-5.80190095,1.53951976,0.15273517,0.00043455,0.95255528,0.00000000,0.79140985,0.29028803
-5.79589795,1.44818434,0.14310875,0.00041074,0.89634880,0.00000000,0.74033291,0.27383198
-5.78989495,1.35471680,0.13349829,0.00038569,0.83867523,0.00000000,0.68874026,0.25694394
-5.78389195,1.26074839,0.12403122,0.00035983,0.78056642,0.00000000,0.63739968,0.23995673
-5.77788894,1.16787718,0.11483464,0.00033363,0.72303037,0.00000000,0.58704674,0.22319992
-5.77188594,1.07763265,0.10603318,0.00030751,0.66702838,0.00000000,0.53836922,0.20699277
