energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.27549046,0.00001618,0.13594728,0.00078419,0.04355856,0.06033929,0.12586682
-5.99399700,0.29719381,0.00002156,0.14257298,0.00091063,0.04906079,0.06201797,0.13105119
-5.98799400,0.32206278,0.00002853,0.15095943,0.00105221,0.05491256,0.06455631,0.13791828
-5.98199100,0.34990107,0.00003748,0.16101818,0.00121013,0.06107250,0.06791920,0.14638490
-5.97598799,0.38045225,0.00004889,0.17263173,0.00138566,0.06748935,0.07205874,0.15633968
-5.96998499,0.41340546,0.00006334,0.18565690,0.00158022,0.07410265,0.07691570,0.16764606
-5.96398199,0.44840328,0.00008147,0.19992891,0.00179540,0.08084400,0.08242139,0.18014593
-5.95797899,0.48505154,0.00010406,0.21526620,0.00203301,0.08763866,0.08849973,0.19366389
-5.95197599,0.52293100,0.00013198,0.23147601,0.00229512,0.09440759,0.09506951,0.20801220
-5.94597299,0.56161062,0.00016624,0.24836041,0.00258413,0.10106989,0.10204692,0.22299616
-5.93996998,0.60066190,0.00020794,0.26572286,0.00290279,0.10754540,0.10934810,0.23841995
-5.93396698,0.63967396,0.00025829,0.28337482,0.00325423,0.11375752,0.11689184,0.25409271
-5.92796398,0.67826858,0.00031863,0.30114240,0.00364200,0.11963605,0.12460215,0.26983450
-5.92196098,0.71611447,0.00039036,0.31887260,0.00407007,0.12511990,0.13241076,0.28548220
-5.91595798,0.75294029,0.00047497,0.33643888,0.00454280,0.13015957,0.14025920,0.30089477
-5.90995498,0.78854531,0.00057399,0.35374581,0.00506487,0.13471924,0.14810065,0.31595776
-5.90395198,0.82280740,0.00068896,0.37073241,0.00564125,0.13877830,0.15590120,0.33058687
-5.89794897,0.85568756,0.00082139,0.38737402,0.00627707,0.14233236,0.16364051,0.34473016
-5.89194597,0.88723069,0.00097271,0.40368251,0.00697746,0.14539349,0.17131183,0.35836892
-5.88594297,0.91756232,0.00114424,0.41970474,0.00774740,0.14798976,0.17892131,0.37151699
-5.87993997,0.94688137,0.00133711,0.43551924,0.00859155,0.15016405,0.18648665,0.38421857
-5.87393697,0.97544905,0.00155225,0.45123123,0.00951400,0.15197217,0.19403509,0.39654454
-5.86793397,1.00357448,0.00179025,0.46696620,0.01051806,0.15348035,0.20160080,0.40858751
-5.86193097,1.03159761,0.00205142,0.48286233,0.01160606,0.15476227,0.20922194,0.42045577
-5.85592796,1.05987032,0.00233564,0.49906211,0.01277914,0.15589562,0.21693734,0.43226649
-5.84992496,1.08873659,0.00264237,0.51570360,0.01403705,0.15695860,0.22478325,0.44413854
-5.84392196,1.11851282,0.00297063,0.53291182,0.01537799,0.15802629,0.23279004,0.45618524
-5.83791896,1.14946931,0.00331892,0.55079061,0.01679852,0.15916717,0.24097933,0.46850760
-5.83191596,1.18181388,0.00368529,0.56941558,0.01829350,0.16043999,0.24936156,0.48118816
-5.82591296,1.21567834,0.00406729,0.58882833,0.01985607,0.16189108,0.25793415,0.49428599
-5.81990995,1.25110868,0.00446200,0.60903226,0.02147769,0.16355224,0.26668050,0.50783297
-5.81390695,1.28805923,0.00486609,0.62999033,0.02314829,0.16543928,0.27556970,0.52183156
-5.80790395,1.32639106,0.00527584,0.65162459,0.02485638,0.16755132,0.28455714,0.53625403
-5.80190095,1.36587463,0.00568725,0.67381761,0.02658929,0.16987078,0.29358580,0.55104335
-5.79589795,1.40619638,0.00609604,0.69641563,0.02833337,0.17236417,0.30258836,0.56611532
-5.78989495,1.44696872,0.00649779,0.71923325,0.03007431,0.17498343,0.31148977,0.58136203
-5.78389195,1.48774298,0.00688801,0.74205923,0.03179735,0.17766795,0.32021031,0.59665616
-5.77788894,1.52802440,0.00726222,0.76466324,0.03348762,0.18034698,0.32866886,0.61185606
-5.77188594,1.56728847,0.00761606,0.78680313,0.03513036,0.18294244,0.33678619,0.62681111
-5.76588294,1.60499786,0.00794535,0.80823233,0.03671119,0.18537194,0.34448829,0.64136719
-5.75987994,1.64061915,0.00824620,0.82870716,0.03821631,0.18755181,0.35170924,0.65537200
-5.75387694,1.67363884,0.00851505,0.84799377,0.03963272,0.18940020,0.35839391,0.66868000
-5.74787394,1.70357802,0.00874878,0.86587448,0.04094837,0.19083993,0.36450011,0.68115680
-5.74187094,1.73000538,0.00894474,0.88215348,0.04215226,0.19180110,0.37000023,0.69268300
-5.73586793,1.75254842,0.00910080,0.89666171,0.04323459,0.19222337,0.37488242,0.70315739
-5.72986493,1.77090256,0.00921538,0.90926103,0.04418679,0.19205780,0.37915130,0.71249954
-5.72386193,1.78483841,0.00928750,0.91984762,0.04500164,0.19126831,0.38282815,0.72065195
-5.71785893,1.79420695,0.00931676,0.92835473,0.04567328,0.18983257,0.38595079,0.72758160
-5.71185593,1.79894303,0.00930338,0.93475474,0.04619726,0.18774246,0.38857314,0.73328130
-5.70585293,1.79906709,0.00924813,0.93906070,0.04657057,0.18500412,0.39076449,0.73777064
-5.69984992,1.79468531,0.00915240,0.94132724,0.04679173,0.18163741,0.39260856,0.74109672
-5.69384692,1.78598817,0.00901809,0.94165082,0.04686071,0.17767513,0.39420237,0.74333453
-5.68784392,1.77324746,0.00884761,0.94016941,0.04677906,0.17316176,0.39565493,0.74458710
-5.68184092,1.75681176,0.00864382,0.93706128,0.04654980,0.16815195,0.39708571,0.74498514
-5.67583792,1.73710026,0.00840997,0.93254294,0.04617747,0.16270872,0.39862283,0.74468611
-5.66983492,1.71459483,0.00814962,0.92686605,0.04566803,0.15690156,0.40040100,0.74387261
-5.66383192,1.68983034,0.00786660,0.92031312,0.04502879,0.15080427,0.40255906,0.74274987
-5.65782891,1.66338329,0.00756486,0.91319198,0.04426826,0.14449294,0.40523711,0.74154219
-5.65182591,1.63585856,0.00724845,0.90582903,0.04339599,0.13804378,0.40857329,0.74048831
-5.64582291,1.60787467,0.00692141,0.89856106,0.04242238,0.13153111,0.41269996,0.73983556
-5.63981991,1.58004774,0.00658764,0.89172610,0.04135842,0.12502554,0.41773962,0.73983287
-5.63381691,1.55297440,0.00625089,0.88565313,0.04021547,0.11859228,0.42380037,0.74072278
-5.62781391,1.52721428,0.00591463,0.88065117,0.03900495,0.11228975,0.43097120,0.74273256
-5.62181091,1.50327249,0.00558200,0.87699802,0.03773812,0.10616847,0.43931712,0.74606470
-5.61580790,1.48158289,0.00525577,0.87492905,0.03642582,0.10027027,0.44887442,0.75088729
-5.60980490,1.46249265,0.00493829,0.87462652,0.03507825,0.09462784,0.45964623,0.75732450
-5.60380190,1.44624891,0.00463145,0.87620992,0.03370477,0.08926463,0.47159855,0.76544766
-5.59779890,1.43298807,0.00433672,0.87972783,0.03231384,0.08419505,0.48465715,0.77526757
-5.59179590,1.42272835,0.00405511,0.88515175,0.03091289,0.07942495,0.49870537,0.78672825
