energy_ev,total_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,4.15145536,3.82270061,2.83155849,0.00422210,0.36959772,0.97817692,0.03146460
-5.99399700,4.08323031,3.70191280,2.79824223,0.00421987,0.36761930,0.95579336,0.03033724
-5.98799400,4.01898108,3.58476848,2.76805095,0.00424208,0.36596750,0.93368779,0.02924542
-5.98199100,3.96027756,3.47283479,2.74203877,0.00429115,0.36465363,0.91227900,0.02821205
-5.97598799,3.90848022,3.36748362,2.72111188,0.00436891,0.36367619,0.89194667,0.02725792
-5.96998499,3.86470356,3.26986326,2.70600208,0.00447646,0.36302015,0.87302340,0.02640113
-5.96398199,3.82978707,3.18087626,2.69724567,0.00461414,0.36265661,0.85578812,0.02565671
-5.95797899,3.80427446,3.10116422,2.69516801,0.00478146,0.36254288,0.84046111,0.02503626
-5.95197599,3.78840165,3.03109967,2.69987449,0.00497704,0.36262293,0.82720063,0.02454778
-5.94597299,3.78209373,2.97078511,2.71124772,0.00519863,0.36282828,0.81610118,0.02419560
-5.93996998,3.78497082,2.92005912,2.72895136,0.00544314,0.36307930,0.80719346,0.02398037
-5.93396698,3.79636263,2.87850922,2.75244025,0.00570666,0.36328685,0.80044590,0.02389919
-5.92796398,3.81533118,2.84549110,2.78097653,0.00598457,0.36335427,0.79576775,0.02394586
-5.92196098,3.84070098,2.82015358,2.81365142,0.00627163,0.36317969,0.79301352,0.02411118
-5.91595798,3.87109579,2.80146873,2.84941195,0.00656214,0.36265865,0.79198876,0.02438329
-5.90995498,3.90498079,2.78826614,2.88709184,0.00685004,0.36168691,0.79245675,0.02474814
-5.90395198,3.94070904,2.77927064,2.92544565,0.00712916,0.36016338,0.79414620,0.02518996
-5.89794897,3.97657059,2.77314225,2.96318520,0.00739333,0.35799323,0.79675943,0.02569169
-5.89194597,4.01084309,2.76851743,2.99901710,0.00763660,0.35509089,0.79998095,0.02623556
-5.88594297,4.04184204,2.76405042,3.03168023,0.00785343,0.35138306,0.80348610,0.02680353
-5.87993997,4.06796941,2.75845338,3.05998210,0.00803883,0.34681142,0.80694960,0.02737776
-5.87393697,4.08775903,2.75053449,3.08283288,0.00818855,0.34133512,0.81005365,0.02794107
-5.86793397,4.09991752,2.73923252,3.09927607,0.00829923,0.33493280,0.81249548,0.02847734
-5.86193097,4.10335954,2.72364721,3.10851508,0.00836845,0.32760417,0.81399418,0.02897183
-5.85592796,4.09723659,2.70306442,3.10993484,0.00839488,0.31937100,0.81429656,0.02941155
-5.84992496,4.08095854,2.67697551,3.10311803,0.00837829,0.31027745,0.81318222,0.02978543
-5.84392196,4.05420771,2.64509042,3.08785559,0.00831955,0.30038981,0.81046755,0.03008457
-5.83791896,4.01694542,2.60734436,3.06415153,0.00822066,0.28979548,0.80600886,0.03030235
-5.83191596,3.96941111,2.56389814,3.03222211,0.00808463,0.27860149,0.79970456,0.03043450
-5.82591296,3.91211472,2.51513240,2.99248977,0.00791543,0.26693225,0.79149664,0.03047915
-5.81990995,3.84582278,2.46163633,2.94557227,0.00771787,0.25492700,0.78137133,0.03043680
-5.81390695,3.77153923,2.40419148,2.89226764,0.00749745,0.24273679,0.76935921,0.03031024
-5.80790395,3.69048173,2.34375166,2.83353573,0.00726024,0.23052125,0.75553482,0.03010447
-5.80190095,3.60405443,2.28141957,2.77047678,0.00701266,0.21844524,0.74001572,0.02982653
-5.79589795,3.51381815,2.21842135,2.70430798,0.00676138,0.20667550,0.72296116,0.02948531
-5.78989495,3.42145871,2.15607966,2.63633850,0.00651310,0.19537749,0.70457039,0.02909136
-5.78389195,3.32875413,2.09578623,2.56794347,0.00627442,0.18471242,0.68508041,0.02865662
-5.77788894,3.23754142,2.03897456,2.50053759,0.00605169,0.17483458,0.66476335,0.02819417
-5.77188594,3.14968314,1.98709308,2.43554851,0.00585085,0.16588909,0.64392324,0.02771791
-5.76588294,3.06703439,1.94157925,2.37439054,0.00567737,0.15801002,0.62289223,0.02724227
-5.75987994,2.99141026,1.90383482,2.31843873,0.00553612,0.15131888,0.60202614,0.02678188
-5.75387694,2.92455409,1.87520215,2.26900369,0.00543129,0.14592349,0.58169934,0.02635121
-5.74787394,2.86810657,1.85694164,2.22730734,0.00536637,0.14191715,0.56229891,0.02596427
-5.74187094,2.82357606,1.85021023,2.19445975,0.00534412,0.13937803,0.54421822,0.02563421
-5.73586793,2.79231025,1.85604074,2.17143744,0.00536652,0.13836877,0.52784988,0.02537305
-5.72986493,2.77546950,1.87532202,2.15906343,0.00543482,0.13893612,0.51357819,0.02519134
-5.72386193,2.77400232,1.90878004,2.15798935,0.00554953,0.14111068,0.50177136,0.02509787
-5.71785893,2.78862348,1.95695990,2.16868011,0.00571048,0.14490660,0.49277357,0.02509945
