energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,1.73091535,0.00189793,0.06864912,0.53917309,0.02230389,1.02070994,0.48056248,0.19930693
-5.99399700,1.86855926,0.00213380,0.07550308,0.58551596,0.02462338,1.09999960,0.51356646,0.21736419
-5.98799400,2.01002673,0.00238919,0.08266305,0.63415715,0.02706168,1.18136500,0.54694105,0.23606976
-5.98199100,2.15342294,0.00266296,0.09005209,0.68450428,0.02959430,1.26368772,0.58019424,0.25519702
-5.97598799,2.29673105,0.00295364,0.09758419,0.73590244,0.03219342,1.34578153,0.61281431,0.27449835
-5.96998499,2.43784681,0.00325946,0.10516505,0.78764458,0.03482805,1.42641375,0.64428162,0.29370865
-5.96398199,2.57461912,0.00357827,0.11269336,0.83898457,0.03746449,1.50432990,0.67408131,0.31254991
-5.95797899,2.70489579,0.00390766,0.12006251,0.88915307,0.04006686,1.57828120,0.70171654,0.33073677
-5.95197599,2.82657311,0.00424491,0.12716270,0.93737550,0.04259776,1.64705397,0.72672186,0.34798283
-5.94597299,2.93764775,0.00458708,0.13388332,0.98289166,0.04501908,1.70950008,0.74867626,0.36400763
-5.93996998,3.03626908,0.00493104,0.14011573,1.02497635,0.04729295,1.76456737,0.76721533,0.37854397
-5.93396698,3.12079004,0.00527353,0.14575613,1.06296004,0.04938269,1.81132878,0.78204213,0.39134544
-5.92796398,3.18981442,0.00561124,0.15070852,1.09624888,0.05125381,1.84900921,0.79293629,0.40219362
-5.92196098,3.24223855,0.00594090,0.15488759,1.12434304,0.05287506,1.87700863,0.79976096,0.41090491
-5.91595798,3.27728545,0.00625928,0.15822148,1.14685257,0.05421932,1.89492069,0.80246725,0.41733652
-5.90995498,3.29452976,0.00656333,0.16065412,1.16350989,0.05526453,1.90254567,0.80109588,0.42139125
-5.90395198,3.29391207,0.00685021,0.16214726,1.17417834,0.05599434,1.89989715,0.79577610,0.42302107
-5.89794897,3.27574172,0.00711733,0.16268188,1.17885618,0.05639867,1.88720192,0.78672152,0.42222899
-5.89194597,3.24068762,0.00736241,0.16225897,1.17767579,0.05647407,1.86489286,0.77422325,0.41906933
-5.88594297,3.18975715,0.00758349,0.16089974,1.17089798,0.05622383,1.83359510,0.75864045,0.41364619
-5.87993997,3.12426376,0.00777898,0.15864505,1.15890153,0.05565786,1.79410567,0.74038855,0.40611022
-5.87393697,3.04578453,0.00794760,0.15555415,1.14216852,0.05479234,1.74736758,0.71992572,0.39665377
-5.86793397,2.95610927,0.00808846,0.15170291,1.12126585,0.05364921,1.69443933,0.69773804,0.38550462
-5.86193097,2.85718332,0.00820097,0.14718137,1.09682406,0.05225539,1.63646094,0.67432395,0.37291858
-5.85592796,2.75104645,0.00828486,0.14209094,1.06951421,0.05064191,1.57461816,0.65017863,0.35917122
-5.84992496,2.63977039,0.00834015,0.13654129,1.04002405,0.04884290,1.51010621,0.62577897,0.34454921
-5.84392196,2.52539781,0.00836711,0.13064704,1.00903452,0.04689456,1.44409458,0.60156972,0.32934152
-5.83791896,2.40988514,0.00836624,0.12452450,0.97719772,0.04483404,1.37769449,0.57795134,0.31383096
-5.83191596,2.29505173,0.00833827,0.11828852,0.94511729,0.04269845,1.31193018,0.55527012,0.29828639
-5.82591296,2.18253721,0.00828412,0.11204964,0.91333213,0.04052387,1.24771515,0.53381088,0.28295593
-5.81990995,2.07376881,0.00820490,0.10591163,0.88230407,0.03834452,1.18583433,0.51379252,0.26806142
-5.81390695,1.96993929,0.00810190,0.09996951,0.85240990,0.03619209,1.12693250,0.49536657,0.25379431
-5.80790395,1.87199637,0.00797663,0.09430817,0.82393797,0.03409521,1.07150939,0.47861859,0.24031316
-5.80190095,1.78064307,0.00783075,0.08900146,0.79708931,0.03207912,1.01992104,0.46357243,0.22774262
-5.79589795,1.69634854,0.00766616,0.08411195,0.77198284,0.03016550,0.97238726,0.45019690,0.21617404
-5.78989495,1.61936795,0.00748497,0.07969116,0.74866422,0.02837251,0.92900416,0.43841448,0.20566732
-5.78389195,1.54976986,0.00728953,0.07578019,0.72711756,0.02671496,0.88976096,0.42811158,0.19625405
-5.77788894,1.48746899,0.00708239,0.07241075,0.70727915,0.02520456,0.85455984,0.41914971,0.18794142
-5.77188594,1.43226227,0.00686639,0.06960641,0.68905228,0.02385032,0.82323752,0.41137700,0.18071685
-5.76588294,1.38386577,0.00664456,0.06738395,0.67232206,0.02265897,0.79558734,0.40463945,0.17455278
-5.75987994,1.34195045,0.00642014,0.06575463,0.65696954,0.02163540,0.77138047,0.39879123,0.16941151
-5.75387694,1.30617444,0.00619657,0.06472542,0.64288404,0.02078308,0.75038521,0.39370362,0.16524969
-5.74787394,1.27621034,0.00597741,0.06429991,0.62997319,0.02010440,0.73238324,0.38927203,0.16202214
-5.74187094,1.25176599,0.00576633,0.06447890,0.61817003,0.01960101,0.71718223,0.38542092,0.15968500
-5.73586793,1.23259793,0.00556700,0.06526070,0.60743689,0.01927393,0.70462404,0.38210617,0.15819778
-5.72986493,1.21851693,0.00538304,0.06664089,0.59776599,0.01912367,0.69458853,0.37931512,0.15752452
-5.72386193,1.20938584,0.00521793,0.06861182,0.58917676,0.01915016,0.68699280,0.37706409,0.15763378
-5.71785893,1.20511021,0.00507492,0.07116172,0.58171037,0.01935262,0.68178629,0.37539376,0.15849777
-5.71185593,1.20562265,0.00495692,0.07427352,0.57542170,0.01972925,0.67894222,0.37436262,0.16009052
-5.70585293,1.21086235,0.00486643,0.07792353,0.57036969,0.02027699,0.67844613,0.37403903,0.16238547
-5.69984992,1.22075140,0.00480542,0.08208005,0.56660653,0.02099107,0.68028246,0.37449226,0.16535254
-5.69384692,1.23516961,0.00477524,0.08670204,0.56416672,0.02186462,0.68442017,0.37578318,0.16895504
-5.68784392,1.25392994,0.00477657,0.09173807,0.56305652,0.02288831,0.69079838,0.37795517,0.17314663
-5.68184092,1.27675623,0.00480932,0.09712545,0.56324484,0.02405002,0.69931322,0.38102570,0.17786863
-5.67583792,1.30326492,0.00487261,0.10278993,0.56465596,0.02533456,0.70980661,0.38497925,0.18304780
-5.66983492,1.33295240,0.00496474,0.10864590,0.56716477,0.02672353,0.72205805,0.38976192,0.18859502
-5.66383192,1.36518888,0.00508319,0.11459710,0.57059482,0.02819530,0.73577987,0.39527811,0.19440477
-5.65782891,1.39921968,0.00522462,0.12053806,0.57471945,0.02972517,0.75061638,0.40138952,0.20035568
-5.65182591,1.43417411,0.00538496,0.12635599,0.57926588,0.03128565,0.76614729,0.40791652,0.20631211
-5.64582291,1.46908183,0.00555950,0.13193340,0.58392221,0.03284688,0.78189507,0.41464192,0.21212674
-5.63981991,1.50289608,0.00574295,0.13715099,0.58834689,0.03437726,0.79733618,0.42131694,0.21764414
-5.63381691,1.53452268,0.00592961,0.14189103,0.59218027,0.03584417,0.81191563,0.42766911,0.22270498
-5.62781391,1.56285358,0.00611352,0.14604085,0.59505754,0.03721480,0.82506400,0.43341172,0.22715097
-5.62181091,1.58680316,0.00628863,0.14949643,0.59662234,0.03845703,0.83621634,0.43825430,0.23082996
-5.61580790,1.60534560,0.00644895,0.15216583,0.59654053,0.03954040,0.84483175,0.44191369,0.23360125
-5.60980490,1.61755145,0.00658878,0.15397235,0.59451318,0.04043700,0.85041287,0.44412501,0.23534062
-5.60380190,1.62262154,0.00670285,0.15485718,0.59028829,0.04112238,0.85252414,0.44465218,0.23594489
-5.59779890,1.61991650,0.00678649,0.15478156,0.58367058,0.04157629,0.85080806,0.44329728,0.23533588
-5.59179590,1.60898065,0.00683578,0.15372819,0.57452896,0.04178339,0.84499855,0.43990837,0.23346339
-5.58579290,1.58955893,0.00684771,0.15170191,0.56280129,0.04173371,0.83493091,0.43438554,0.23030721
-5.57978989,1.56160623,0.00682017,0.14872957,0.54849636,0.04142301,0.82054783,0.42668473,0.22587800
-5.57378689,1.52528886,0.00675214,0.14485919,0.53169298,0.04085282,0.80190126,0.41681930,0.22021700
-5.56778389,1.48097801,0.00664359,0.14015834,0.51253635,0.04003046,0.77915022,0.40485932,0.21339469
-5.56178089,1.42923594,0.00649555,0.13471192,0.49123200,0.03896867,0.75255463,0.39092873,0.20550833
-5.55577789,1.37079560,0.00631001,0.12861939,0.46803765,0.03768521,0.72246561,0.37520038,0.19667871
-5.54977489,1.30653476,0.00608984,0.12199166,0.44325341,0.03620218,0.68931281,0.35788957,0.18704615
-5.54377189,1.23744612,0.00583871,0.11494775,0.41721093,0.03454533,0.65358940,0.33924614,0.17676596
-5.53776888,1.16460484,0.00556094,0.10761132,0.39026193,0.03274313,0.61583558,0.31954570,0.16600369
-5.53176588,1.08913494,0.00526132,0.10010734,0.36276673,0.03082593,0.57662123,0.29908044,0.15493025
-5.52576288,1.01217613,0.00494498,0.09255895,0.33508320,0.02882501,0.53652867,0.27814982,0.14371726
-5.51975988,0.93485243,0.00461723,0.08508461,0.30755662,0.02677166,0.49613609,0.25705171,0.13253259
-5.51375688,0.85824369,0.00428340,0.07779572,0.28051075,0.02469632,0.45600236,0.23607416,0.12153657
-5.50775388,0.78336096,0.00394869,0.07079466,0.25424045,0.02262787,0.41665371,0.21548820,0.11087863
-5.50175088,0.71112635,0.00361802,0.06417336,0.22900588,0.02059291,0.37857270,0.19554190,0.10069475
-5.49574787,0.64235775,0.00329597,0.05801236,0.20502855,0.01861528,0.34218959,0.17645566,0.09110548
-5.48974487,0.57775844,0.00298665,0.05238031,0.18248902,0.01671564,0.30787632,0.15841898,0.08221480
-5.48374187,0.51791150,0.00269364,0.04733389,0.16152622,0.01491125,0.27594300,0.14158852,0.07410949
-5.47773887,0.46327850,0.00241995,0.04291813,0.14223825,0.01321583,0.24663662,0.12608753,0.06685913
-5.47173587,0.41420192,0.00216803,0.03916684,0.12468439,0.01163960,0.22014194,0.11200629,0.06051656
-5.46573287,0.37091071,0.00193973,0.03610339,0.10888813,0.01018937,0.19658395,0.09940357,0.05511865
-5.45972986,0.33352800,0.00173632,0.03374141,0.09484092,0.00886883,0.17603177,0.08830880,0.05068738
-5.45372686,0.30208045,0.00155857,0.03208562,0.08250636,0.00767876,0.15850336,0.07872478,0.04723100
-5.44772386,0.27650835,0.00140672,0.03113252,0.07182467,0.00661744,0.14397089,0.07063066,0.04474515
-5.44172086,0.25667586,0.00128057,0.03087099,0.06271712,0.00568100,0.13236623,0.06398513,0.04321410
-5.43571786,0.24238097,0.00117953,0.03128281,0.05509031,0.00486382,0.12358644,0.05872949,0.04261166
-5.42971486,0.23336470,0.00110266,0.03234295,0.04884016,0.00415890,0.11749892,0.05479060,0.04290217
-5.42371186,0.22931941,0.00104872,0.03401981,0.04385547,0.00355827,0.11394621,0.05208361,0.04404117
-5.41770885,0.22989618,0.00101622,0.03627532,0.04002101,0.00305330,0.11275024,0.05051436,0.04597605
-5.41170585,0.23471122,0.00100347,0.03906505,0.03722017,0.00263498,0.11371621,0.04998150,0.04864660
-5.40570285,0.24335167,0.00100862,0.04233825,0.03533713,0.00229425,0.11663596,0.05037832,0.05198555
-5.39969985,0.25538093,0.00102968,0.04603804,0.03425862,0.00202213,0.12129123,0.05159441,0.05591912
-5.39369685,0.27034391,0.00106460,0.05010173,0.03387534,0.00181000,0.12745660,0.05351706,0.06036776
-5.38769385,0.28777261,0.00111124,0.05446133,0.03408308,0.00164964,0.13490263,0.05603269,0.06524708
-5.38169085,0.30719215,0.00116747,0.05904433,0.03478371,0.00153340,0.14339911,0.05902818,0.07046894
-5.37568784,0.32812770,0.00123114,0.06377475,0.03588596,0.00145424,0.15271858,0.06239235,0.07594297
-5.36968484,0.35011240,0.00130018,0.06857449,0.03730626,0.00140581,0.16264030,0.06601746,0.08157832
-5.36368184,0.37269623,0.00137261,0.07336502,0.03896946,0.00138245,0.17295460,0.06980098,0.08728569
-5.35767884,0.39545592,0.00144656,0.07806922,0.04080973,0.00137922,0.18346768,0.07364739,0.09297965
-5.35167584,0.41800551,0.00152038,0.08261355,0.04277137,0.00139190,0.19400662,0.07747028,0.09858116
-5.34567284,0.44000744,0.00159260,0.08693022,0.04480977,0.00141702,0.20442460,0.08119443,0.10402015
-5.33966983,0.46118345,0.00166205,0.09095944,0.04689240,0.00145181,0.21460608,0.08475801,0.10923803
-5.33366683,0.48132505,0.00172786,0.09465161,0.04899970,0.00149423,0.22447168,0.08811468,0.11419014
-5.32766383,0.50030279,0.00178954,0.09796923,0.05112600,0.00154292,0.23398242,0.09123559,0.11884781
-5.32166083,0.51807378,0.00184695,0.10088853,0.05328022,0.00159725,0.24314321,0.09411114,0.12319996
-5.31565783,0.53468696,0.00190039,0.10340074,0.05548646,0.00165724,0.25200512,0.09675228,0.12725422
-5.30965483,0.55028548,0.00195059,0.10551275,0.05778422,0.00172355,0.26066627,0.09919142,0.13103723
-5.30365183,0.56510594,0.00199869,0.10724727,0.06022828,0.00179749,0.26927120,0.10148273,0.13459429
-5.29764882,0.57947399,0.00204626,0.10864232,0.06288818,0.00188094,0.27800834,0.10370176,0.13798812
-5.29164582,0.59379638,0.00209525,0.10975015,0.06584720,0.00197629,0.28710576,0.10594436,0.14129685
-5.28564282,0.60854940,0.00214795,0.11063550,0.06920084,0.00208643,0.29682507,0.10832481,0.14461119
-5.27963982,0.62426387,0.00220692,0.11137340,0.07305465,0.00221460,0.30745349,0.11097323,0.14803092
-5.27363682,0.64150723,0.00227491,0.11204642,0.07752165,0.00236437,0.31929449,0.11403222,0.15166087
-5.26763382,0.66086310,0.00235479,0.11274164,0.08271913,0.00253948,0.33265699,0.11765280,0.15560638
-5.26163082,0.68290922,0.00244939,0.11354738,0.08876492,0.00274375,0.34784366,0.12198981,0.15996866
-5.25562781,0.70819436,0.00256142,0.11454993,0.09577339,0.00298095,0.36513864,0.12719681,0.16484005
-5.24962481,0.73721527,0.00269335,0.11583021,0.10385096,0.00325463,0.38479510,0.13342063,0.17029958
-5.24362181,0.77039452,0.00284726,0.11746087,0.11309154,0.00356803,0.40702317,0.14079578,0.17640888
-5.23761881,0.80806015,0.00302473,0.11950362,0.12357191,0.00392388,0.43197877,0.14943890,0.18320881
-5.23161581,0.85042806,0.00322675,0.12200707,0.13534724,0.00432428,0.45975370,0.15944338,0.19071681
-5.22561281,0.89758787,0.00345359,0.12500517,0.14844688,0.00477058,0.49036758,0.17087445,0.19892532
-5.21960980,0.94949309,0.00370473,0.12851632,0.16287082,0.00526322,0.52376199,0.18376490,0.20780113
-5.21360680,1.00595588,0.00397882,0.13254309,0.17858676,0.00580165,0.55979713,0.19811158,0.21728594
-5.20760380,1.06664702,0.00427361,0.13707269,0.19552818,0.00638426,0.59825134,0.21387296,0.22729798
-5.20160080,1.13110108,0.00458604,0.14207798,0.21359358,0.00700828,0.63882350,0.23096776,0.23773469
-5.19559780,1.19872682,0.00491216,0.14751915,0.23264693,0.00766983,0.68113853,0.24927492,0.24847639
-5.18959480,1.26882243,0.00524732,0.15334578,0.25251954,0.00836384,0.72475580,0.26863489,0.25939067
-5.18359180,1.34059540,0.00558618,0.15949937,0.27301338,0.00908420,0.76918019,0.28885224,0.27033745
-5.17758879,1.41318595,0.00592291,0.16591601,0.29390588,0.00982376,0.81387570,0.30969968,0.28117445
-5.17158579,1.48569358,0.00625132,0.17252915,0.31495602,0.01057450,0.85828092,0.33092328,0.29176274
-5.16558279,1.55720544,0.00656505,0.17927241,0.33591167,0.01132767,0.90182599,0.35224877,0.30197221
-5.15957979,1.62682556,0.00685777,0.18608209,0.35651797,0.01207397,0.94395034,0.37338887,0.31168673
-5.15357679,1.69370370,0.00712340,0.19289946,0.37652623,0.01280376,0.98412055,0.39405111,0.32080865
-5.14757379,1.75706265,0.00735629,0.19967264,0.39570326,0.01350725,1.02184755,0.41394617,0.32926255
-5.14157079,1.81622281,0.00755141,0.20635794,0.41384053,0.01417479,1.05670249,0.43279620,0.33699797
-5.13556778,1.87062300,0.00770455,0.21292069,0.43076271,0.01479705,1.08833053,0.45034286,0.34399104
-5.12956478,1.91983645,0.00781243,0.21933553,0.44633522,0.01536526,1.11646190,0.46635482,0.35024488
-5.12356178,1.96358140,0.00787285,0.22558609,0.46047028,0.01587141,1.14091976,0.48063431,0.35578879
-5.11755878,2.00172564,0.00788472,0.23166413,0.47313106,0.01630844,1.16162429,0.49302243,0.36067620
-5.11155578,2.03428478,0.00784813,0.23756822,0.48433364,0.01667040,1.17859298,0.50340321,0.36498144
-5.10555278,2.06141431,0.00776428,0.24330202,0.49414658,0.01695260,1.19193681,0.51170591,0.36879556
-5.09954977,2.08339575,0.00763548,0.24887226,0.50268786,0.01715165,1.20185258,0.51790579,0.37222124
-5.09354677,2.10061748,0.00746501,0.25428649,0.51011938,0.01726555,1.20861167,0.52202319,0.37536715
-5.08754377,2.11355117,0.00725700,0.25955089,0.51663909,0.01729372,1.21254560,0.52412093,0.37834190
-5.08154077,2.12272487,0.00701627,0.26466800,0.52247105,0.01723695,1.21402918,0.52430039,0.38124792
-5.07553777,2.12869412,0.00674814,0.26963479,0.52785387,0.01709741,1.21346198,0.52269616,0.38417555
-5.06953477,2.13201242,0.00645823,0.27444098,0.53302807,0.01687851,1.21124891,0.51946983,0.38719761
-5.06353177,2.13320252,0.00615230,0.27906780,0.53822293,0.01658489,1.20778096,0.51480308,0.39036474
-5.05752876,2.13273009,0.00583599,0.28348731,0.54364353,0.01622223,1.20341699,0.50889031,0.39370178
