energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,9.25807414,0.01595267,0.93119319,0.82670310,0.29678370,4.34944183,3.20543947,0.09003597,3.25073978
-5.99399700,9.40900947,0.01584924,0.94899977,0.83322421,0.30647087,4.49550228,3.25623499,0.09157362,3.30155986
-5.98799400,9.53695867,0.01575361,0.96460672,0.83761296,0.31581688,4.63317382,3.29733857,0.09305194,3.34478413
-5.98199100,9.64148097,0.01566363,0.97800249,0.83988630,0.32475509,4.76152850,3.32857992,0.09446497,3.38020178
-5.97598799,9.72230296,0.01557604,0.98919357,0.84006803,0.33321880,4.87966940,3.34989633,0.09580470,3.40763948
-5.96998499,9.77931888,0.01548671,0.99820193,0.83818777,0.34114280,4.98673621,3.36133431,0.09706129,3.42696480
-5.96398199,9.81259133,0.01539087,1.00506244,0.83428040,0.34846494,5.08191195,3.36304988,0.09822329,3.43809071
-5.95797899,9.82235241,0.01528337,1.00982030,0.82838590,0.35512785,5.16443100,3.35530743,0.09927802,3.44098076
-5.95197599,9.80900533,0.01515900,1.01252859,0.82054970,0.36108078,5.23358890,3.33847708,0.10021192,3.43565502
-5.94597299,9.77312654,0.01501274,1.01324630,0.81082332,0.36628127,5.28875383,3.31303074,0.10101102,3.42219630
-5.93996998,9.71546800,0.01484007,1.01203657,0.79926544,0.37069695,5.32937986,3.27953660,0.10166147,3.40075646
-5.93396698,9.63695931,0.01463718,1.00896568,0.78594319,0.37430711,5.35502161,3.23865240,0.10215003,3.37156247
-5.92796398,9.53870941,0.01440122,1.00410239,0.77093352,0.37710412,5.36535011,3.19111733,0.10246462,3.33492164
-5.92196098,9.42200691,0.01413045,0.99751799,0.75432469,0.37909457,5.36016894,3.13774268,0.10259490,3.29122593
-5.91595798,9.28831893,0.01382438,0.98928680,0.73621762,0.38030013,5.33943019,3.07940137,0.10253277,3.24095458
-5.90995498,9.13928734,0.01348386,0.97948719,0.71672709,0.38075796,5.30324908,3.01701649,0.10227292,3.18467505
-5.90395198,8.97672202,0.01311110,0.96820294,0.69598263,0.38052071,5.25191654,2.95154890,0.10181328,3.12304173
-5.89794897,8.80259054,0.01270967,0.95552483,0.67412900,0.37965600,5.18590856,2.88398406,0.10115545,3.05679222
-5.89194597,8.61900373,0.01228444,0.94155232,0.65132632,0.37824541,5.10589158,2.81531837,0.10030506,2.98674111
-5.88594297,8.42819677,0.01184148,0.92639517,0.62774960,0.37638295,5.01272302,2.74654508,0.09927204,2.91377122
