energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,1.28249266,0.00042325,0.18883891,0.21645145,0.18917244,0.33728439,0.71946357,0.00670117,0.19848670
-5.99399700,1.16009785,0.00037777,0.17218453,0.19734678,0.17150505,0.30853628,0.64892262,0.00608224,0.17848937
-5.98799400,1.04455306,0.00033512,0.15621176,0.17890311,0.15556023,0.28070947,0.58203684,0.00548220,0.15974737
-5.98199100,0.93641268,0.00029544,0.14100094,0.16124824,0.14140902,0.25399217,0.51911096,0.00490700,0.14234038
-5.97598799,0.83608899,0.00025883,0.12661969,0.14448994,0.12909426,0.22854718,0.46036969,0.00436152,0.12632173
-5.96998499,0.74385299,0.00022533,0.11312178,0.12871468,0.11863153,0.20450935,0.40595877,0.00384958,0.11171944
-5.96398199,0.65983879,0.00019491,0.10054658,0.11398721,0.11001043,0.18198397,0.35594820,0.00337392,0.09853785
-5.95797899,0.58405132,0.00016752,0.08891887,0.10035075,0.10319614,0.16104633,0.31033742,0.00293628,0.08675978
-5.95197599,0.51637667,0.00014304,0.07824907,0.08782796,0.09813121,0.14174207,0.26906194,0.00253744,0.07634905
-5.94597299,0.45659458,0.00012134,0.06853391,0.07642239,0.09473753,0.12408850,0.23200132,0.00217733,0.06725329
-5.93996998,0.40439255,0.00010225,0.05975739,0.06612042,0.09291836,0.10807669,0.19898780,0.00185517,0.05940681
-5.93396698,0.35938099,0.00008560,0.05189207,0.05689353,0.09256061,0.09367410,0.16981554,0.00156952,0.05273362
-5.92796398,0.32110891,0.00007118,0.04490057,0.04870081,0.09353711,0.08082775,0.14424986,0.00131848,0.04715032
-5.92196098,0.28907971,0.00005880,0.03873726,0.04149161,0.09570921,0.06946766,0.12203635,0.00109978,0.04256896
-5.91595798,0.26276678,0.00004825,0.03334996,0.03520821,0.09892951,0.05951051,0.10290946,0.00091089,0.03889967
-5.90995498,0.24162846,0.00003934,0.02868172,0.02978835,0.10304483,0.05086327,0.08660047,0.00074914,0.03605322
-5.90395198,0.22512230,0.00003186,0.02467258,0.02516775,0.10789951,0.04342675,0.07284463,0.00061181,0.03394326
-5.89794897,0.21271829,0.00002565,0.02126115,0.02128225,0.11333901,0.03709900,0.06138735,0.00049620,0.03248845
-5.89194597,0.20391103,0.00002053,0.01838619,0.01806984,0.11921368,0.03177835,0.05198946,0.00039971,0.03161431
-5.88594297,0.19823079,0.00001635,0.01598786,0.01547231,0.12538290,0.02736622,0.04443153,0.00031987,0.03125490
-5.87993997,0.19525319,0.00001298,0.01400894,0.01343667,0.13171923,0.02376944,0.03851714,0.00025440,0.03135426
-5.87393697,0.19460773,0.00001029,0.01239577,0.01191621,0.13811270,0.02090224,0.03407540,0.00020121,0.03186761
-5.86793397,0.19598480,0.00000819,0.01109902,0.01087128,0.14447490,0.01868784,0.03096254,0.00015846,0.03276238
-5.86193097,0.19914135,0.00000658,0.01007421,0.01026981,0.15074290,0.01705958,0.02906288,0.00012449,0.03401885
-5.85592796,0.20390495,0.00000539,0.00928216,0.01008745,0.15688253,0.01596175,0.02828907,0.00009788,0.03563070
-5.84992496,0.21017628,0.00000456,0.00868913,0.01030759,0.16289118,0.01534996,0.02858178,0.00007744,0.03760504
-5.84392196,0.21792984,0.00000406,0.00826688,0.01092104,0.16879962,0.01519124,0.02990890,0.00006215,0.03996228
-5.83791896,0.22721281,0.00000384,0.00799259,0.01192552,0.17467281,0.01546380,0.03226429,0.00005119,0.04273548
-5.83191596,0.23814203,0.00000389,0.00784860,0.01332496,0.18060955,0.01615643,0.03566609,0.00004392,0.04596938
-5.82591296,0.25089895,0.00000420,0.00782212,0.01512861,0.18674078,0.01726772,0.04015472,0.00003984,0.04971894
-5.81990995,0.26572260,0.00000478,0.00790475,0.01735001,0.19322656,0.01880495,0.04579047,0.00003859,0.05404750
-5.81390695,0.28290059,0.00000562,0.00809203,0.02000582,0.20025167,0.02078276,0.05265075,0.00003996,0.05902444
-5.80790395,0.30275822,0.00000676,0.00838281,0.02311454,0.20801992,0.02322167,0.06082706,0.00004381,0.06472244
-5.80190095,0.32564594,0.00000822,0.00877872,0.02669521,0.21674719,0.02614630,0.07042161,0.00005013,0.07121440
-5.79589795,0.35192537,0.00001004,0.00928343,0.03076605,0.22665362,0.02958360,0.08154367,0.00005897,0.07857004
-5.78989495,0.38195423,0.00001224,0.00990207,0.03534311,0.23795493,0.03356083,0.09430564,0.00007049,0.08685225
-5.78389195,0.41607065,0.00001488,0.01064052,0.04043904,0.25085338,0.03810357,0.10881891,0.00008488,0.09611346
-5.77788894,0.45457728,0.00001799,0.01150483,0.04606194,0.26552863,0.04323373,0.12518962,0.00010239,0.10639189
-5.77188594,0.49772589,0.00002164,0.01250056,0.05221442,0.28212887,0.04896760,0.14351425,0.00012333,0.11770820
-5.76588294,0.54570282,0.00002585,0.01363223,0.05889284,0.30076267,0.05531406,0.16387536,0.00014804,0.13006231
-5.75987994,0.59861614,0.00003068,0.01490293,0.06608690,0.32149188,0.06227298,0.18633732,0.00017687,0.14343086
-5.75387694,0.65648490,0.00003616,0.01631381,0.07377950,0.34432601,0.06983393,0.21094245,0.00021020,0.15776532
-5.74787394,0.71923115,0.00004233,0.01786388,0.08194698,0.36921834,0.07797523,0.23770745,0.00024843,0.17299092
-5.74187094,0.78667505,0.00004920,0.01954981,0.09055966,0.39606404,0.08666344,0.26662038,0.00029194,0.18900649
-5.73586793,0.85853354,0.00005679,0.02136586,0.09958284,0.42470055,0.09585320,0.29763832,0.00034111,0.20568536
-5.72986493,0.93442266,0.00006510,0.02330395,0.10897800,0.45491018,0.10548773,0.33068573,0.00039630,0.22287725
-5.72386193,1.01386364,0.00007412,0.02535381,0.11870438,0.48642502,0.11549959,0.36565368,0.00045787,0.24041123
-5.71785893,1.09629262,0.00008380,0.02750332,0.12872064,0.51893396,0.12581212,0.40240002,0.00052614,0.25809957
-5.71185593,1.18107363,0.00009410,0.02973882,0.13898676,0.55209165,0.13634108,0.44075038,0.00060141,0.27574250
-5.70585293,1.26751442,0.00010496,0.03204557,0.14946578,0.58552896,0.14699680,0.48050019,0.00068394,0.29313351
-5.69984992,1.35488443,0.00011629,0.03440823,0.16012554,0.61886468,0.15768645,0.52141748,0.00077399,0.31006522
-5.69384692,1.44243419,0.00012801,0.03681135,0.17094007,0.65171780,0.16831647,0.56324648,0.00087179,0.32633525
-5.68784392,1.52941530,0.00014000,0.03923984,0.18189065,0.68371991,0.17879505,0.60571181,0.00097755,0.34175214
-5.68184092,1.61510003,0.00015216,0.04167940,0.19296644,0.71452725,0.18903440,0.64852324,0.00109149,0.35614080
-5.67583792,1.69879974,0.00016438,0.04411689,0.20416449,0.74383172,0.19895286,0.69138061,0.00121383,0.36934740
-5.66983492,1.77988130,0.00017654,0.04654053,0.21548926,0.77137052,0.20847664,0.73397899,0.00134481,0.38124327
-5.66383192,1.85778083,0.00018853,0.04894010,0.22695148,0.79693398,0.21754110,0.77601367,0.00148470,0.39172789
-5.65782891,1.93201425,0.00020028,0.05130696,0.23856660,0.82037121,0.22609161,0.81718496,0.00163380,0.40073055
-5.65182591,2.00218432,0.00021171,0.05363391,0.25035269,0.84159360,0.23408392,0.85720258,0.00179244,0.40821091
-5.64582291,2.06798417,0.00022278,0.05591506,0.26232817,0.86057591,0.24148402,0.89578950,0.00196102,0.41415822
-5.63981991,2.12919740,0.00023348,0.05814547,0.27450937,0.87735524,0.24826762,0.93268526,0.00213996,0.41858951
-5.63381691,2.18569520,0.00024386,0.06032087,0.28690822,0.89202807,0.25441934,0.96764865,0.00232974,0.42154669
-5.62781391,2.23743103,0.00025398,0.06243724,0.29953033,0.90474565,0.25993165,1.00045977,0.00253084,0.42309303
