energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.00289397,0.00044548,0.00000000,0.00151932,0.00000000,0.00026497,0.00064711
-5.99399700,0.00223021,0.00034455,0.00000000,0.00117388,0.00000000,0.00019897,0.00049865
-5.98799400,0.00170678,0.00026458,0.00000000,0.00090053,0.00000000,0.00014852,0.00038159
-5.98199100,0.00129712,0.00020172,0.00000000,0.00068593,0.00000000,0.00011021,0.00028998
-5.97598799,0.00097895,0.00015269,0.00000000,0.00051876,0.00000000,0.00008130,0.00021883
-5.96998499,0.00073370,0.00011475,0.00000000,0.00038956,0.00000000,0.00005963,0.00016400
-5.96398199,0.00054611,0.00008563,0.00000000,0.00029049,0.00000000,0.00004350,0.00012206
-5.95797899,0.00040373,0.00006345,0.00000000,0.00021512,0.00000000,0.00003157,0.00009022
-5.95197599,0.00029654,0.00004670,0.00000000,0.00015826,0.00000000,0.00002283,0.00006626
-5.94597299,0.00021652,0.00003416,0.00000000,0.00011572,0.00000000,0.00001649,0.00004836
-5.93996998,0.00015736,0.00002485,0.00000000,0.00008421,0.00000000,0.00001196,0.00003512
-5.93396698,0.00011414,0.00001803,0.00000000,0.00006115,0.00000000,0.00000882,0.00002543
-5.92796398,0.00008308,0.00001310,0.00000000,0.00004455,0.00000000,0.00000675,0.00001846
-5.92196098,0.00006135,0.00000962,0.00000000,0.00003291,0.00000000,0.00000555,0.00001355
-5.91595798,0.00004691,0.00000726,0.00000000,0.00002515,0.00000000,0.00000511,0.00001024
-5.90995498,0.00003835,0.00000581,0.00000000,0.00002052,0.00000000,0.00000539,0.00000820
-5.90395198,0.00003484,0.00000511,0.00000000,0.00001859,0.00000000,0.00000645,0.00000725
-5.89794897,0.00003608,0.00000509,0.00000000,0.00001918,0.00000000,0.00000842,0.00000727
-5.89194597,0.00004226,0.00000578,0.00000000,0.00002239,0.00000000,0.00001157,0.00000830
-5.88594297,0.00005409,0.00000723,0.00000000,0.00002860,0.00000000,0.00001624,0.00001043
-5.87993997,0.00007290,0.00000962,0.00000000,0.00003850,0.00000000,0.00002299,0.00001392
-5.87393697,0.00010068,0.00001320,0.00000000,0.00005314,0.00000000,0.00003253,0.00001912
-5.86793397,0.00014027,0.00001833,0.00000000,0.00007401,0.00000000,0.00004585,0.00002657
-5.86193097,0.00019552,0.00002550,0.00000000,0.00010315,0.00000000,0.00006427,0.00003699
-5.85592796,0.00027160,0.00003539,0.00000000,0.00014328,0.00000000,0.00008952,0.00005135
-5.84992496,0.00037524,0.00004886,0.00000000,0.00019797,0.00000000,0.00012383,0.00007094
-5.84392196,0.00051516,0.00006705,0.00000000,0.00027182,0.00000000,0.00017009,0.00009738
-5.83791896,0.00070249,0.00009139,0.00000000,0.00037072,0.00000000,0.00023200,0.00013280
-5.83191596,0.00095131,0.00012370,0.00000000,0.00050210,0.00000000,0.00031421,0.00017986
