energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.65777982,0.07623636,0.00063490,1.18931091,0.00000000,1.06967689,0.48905071
-5.99399700,1.63866455,0.07566860,0.00062598,1.17417168,0.00000000,1.05154445,0.48638302
-5.98799400,1.61562295,0.07485190,0.00061776,1.15617727,0.00000000,1.03127072,0.48229760
-5.98199100,1.58840146,0.07376058,0.00061001,1.13515962,0.00000000,1.00865761,0.47675562
-5.97598799,1.55696147,0.07238066,0.00060261,1.11109776,0.00000000,0.98363190,0.46978582
-5.96998499,1.52148098,0.07071023,0.00059556,1.08411880,0.00000000,0.95624606,0.46148477
-5.96398199,1.48234855,0.06875949,0.00058896,1.05449345,0.00000000,0.92667448,0.45201473
-5.95797899,1.44014961,0.06655033,0.00058303,1.02262661,0.00000000,0.89520533,0.44159900
-5.95197599,1.39564595,0.06411562,0.00057806,0.98904316,0.00000000,0.86222840,0.43051519
-5.94597299,1.34974907,0.06149816,0.00057444,0.95436978,0.00000000,0.82821947,0.41908637
-5.93996998,1.30348858,0.05874941,0.00057261,0.91931320,0.00000000,0.79372186,0.40767068
-5.93396698,1.25797680,0.05592806,0.00057303,0.88463614,0.00000000,0.75932594,0.39664962
-5.92796398,1.21437105,0.05309841,0.00057621,0.85113145,0.00000000,0.72564746,0.38641558
-5.92196098,1.17383504,0.05032876,0.00058262,0.81959586,0.00000000,0.69330555,0.37735905
-5.91595798,1.13750077,0.04768969,0.00059272,0.79080399,0.00000000,0.66290121,0.36985585
-5.90995498,1.10643245,0.04525249,0.00060690,0.76548382,0.00000000,0.63499726,0.36425514
-5.90395198,1.08159353,0.04308752,0.00062548,0.74429431,0.00000000,0.61010032,0.36086837
-5.89794897,1.06381815,0.04126276,0.00064869,0.72780605,0.00000000,0.58864557,0.35995964
-5.89194597,1.05378768,0.03984240,0.00067664,0.71648544,0.00000000,0.57098471,0.36173787
-5.88594297,1.05201308,0.03888555,0.00070936,0.71068288,0.00000000,0.55737752,0.36635084
-5.87993997,1.05882344,0.03844503,0.00074672,0.71062523,0.00000000,0.54798711,0.37388147
-5.87393697,1.07436075,0.03856626,0.00078849,0.71641246,0.00000000,0.54287889,0.38434614
-5.86793397,1.09858059,0.03928626,0.00083432,0.72801853,0.00000000,0.54202313,0.39769522
