energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.28630013,0.00000017,0.10579485,0.00790304,0.00000949,0.07703490,0.06983400
-5.99399700,0.27581391,0.00000019,0.10102614,0.00908932,0.00000901,0.07520793,0.06648389
-5.98799400,0.26454324,0.00000021,0.09588593,0.01038993,0.00000849,0.07325410,0.06287183
-5.98199100,0.25274516,0.00000025,0.09047366,0.01180446,0.00000795,0.07123339,0.05906570
-5.97598799,0.24067233,0.00000029,0.08488808,0.01333072,0.00000739,0.06920241,0.05513351
-5.96998499,0.22856580,0.00000034,0.07922446,0.01496479,0.00000683,0.06721247,0.05114150
-5.96398199,0.21664861,0.00000041,0.07357204,0.01670119,0.00000627,0.06530795,0.04715248
-5.95797899,0.20512074,0.00000050,0.06801187,0.01853313,0.00000573,0.06352505,0.04322441
-5.95197599,0.19415538,0.00000062,0.06261521,0.02045296,0.00000520,0.06189102,0.03940927
-5.94597299,0.18389680,0.00000076,0.05744234,0.02245263,0.00000471,0.06042380,0.03575222
-5.93996998,0.17445966,0.00000094,0.05254199,0.02452436,0.00000426,0.05913220,0.03229121
-5.93396698,0.16592981,0.00000116,0.04795124,0.02666133,0.00000386,0.05801649,0.02905674
-5.92796398,0.15836637,0.00000143,0.04369584,0.02885844,0.00000352,0.05706945,0.02607204
-5.92196098,0.15180490,0.00000176,0.03979110,0.03111310,0.00000324,0.05627770,0.02335346
-5.91595798,0.14626143,0.00000215,0.03624294,0.03342598,0.00000304,0.05562333,0.02091107
-5.90995498,0.14173699,0.00000261,0.03304935,0.03580169,0.00000293,0.05508572,0.01874943
-5.90395198,0.13822246,0.00000316,0.03020195,0.03824932,0.00000291,0.05464340,0.01686847
-5.89794897,0.13570324,0.00000380,0.02768768,0.04078282,0.00000301,0.05427592,0.01526438
-5.89194597,0.13416374,0.00000454,0.02549043,0.04342110,0.00000323,0.05396551,0.01393053
-5.88594297,0.13359107,0.00000539,0.02359272,0.04618798,0.00000361,0.05369869,0.01285839
-5.87993997,0.13397816,0.00000635,0.02197713,0.04911168,0.00000415,0.05346740,0.01203824
-5.87393697,0.13532569,0.00000744,0.02062757,0.05222412,0.00000490,0.05326993,0.01145995
-5.86793397,0.13764315,0.00000866,0.01953040,0.05555988,0.00000586,0.05311141,0.01111341
-5.86193097,0.14094871,0.00001000,0.01867518,0.05915483,0.00000709,0.05300392,0.01098903
-5.85592796,0.14526806,0.00001148,0.01805522,0.06304453,0.00000861,0.05296612,0.01107796
-5.84992496,0.15063231,0.00001308,0.01766781,0.06726239,0.00001046,0.05302263,0.01137218
-5.84392196,0.15707497,0.00001481,0.01751425,0.07183772,0.00001269,0.05320291,0.01186452
-5.83791896,0.16462837,0.00001665,0.01759953,0.07679369,0.00001534,0.05353995,0.01254851
-5.83191596,0.17331957,0.00001859,0.01793186,0.08214534,0.00001845,0.05406871,0.01341813
-5.82591296,0.18316608,0.00002062,0.01852195,0.08789768,0.00002207,0.05482433,0.01446755
-5.81990995,0.19417161,0.00002272,0.01938220,0.09404401,0.00002623,0.05584037,0.01569076
-5.81390695,0.20632213,0.00002488,0.02052567,0.10056465,0.00003098,0.05714696,0.01708119
-5.80790395,0.21958238,0.00002708,0.02196509,0.10742590,0.00003635,0.05876912,0.01863136
-5.80190095,0.23389315,0.00002930,0.02371172,0.11457960,0.00004236,0.06072516,0.02033253
-5.79589795,0.24916950,0.00003154,0.02577438,0.12196318,0.00004904,0.06302539,0.02217442
-5.78989495,0.26529991,0.00003379,0.02815838,0.12950022,0.00005638,0.06567107,0.02414500
-5.78389195,0.28214668,0.00003607,0.03086471,0.13710163,0.00006438,0.06865378,0.02623032
-5.77788894,0.29954745,0.00003839,0.03388933,0.14466735,0.00007303,0.07195509,0.02841449
-5.77188594,0.31731794,0.00004081,0.03722266,0.15208855,0.00008228,0.07554671,0.03067977
-5.76588294,0.33525583,0.00004338,0.04084926,0.15925030,0.00009211,0.07939102,0.03300672
-5.75987994,0.35314558,0.00004623,0.04474789,0.16603462,0.00010244,0.08344201,0.03537446
-5.75387694,0.37076426,0.00004948,0.04889166,0.17232373,0.00011322,0.08764663,0.03776109
-5.74787394,0.38788792,0.00005333,0.05324855,0.17800355,0.00012438,0.09194644,0.04014411
-5.74187094,0.40429849,0.00005804,0.05778218,0.18296714,0.00013583,0.09627958,0.04250099
-5.73586793,0.41979084,0.00006394,0.06245271,0.18711814,0.00014750,0.10058289,0.04480971
-5.72986493,0.43417975,0.00007143,0.06721798,0.19037391,0.00015933,0.10479428,0.04704938
-5.72386193,0.44730651,0.00008102,0.07203473,0.19266838,0.00017127,0.10885500,0.04920079
-5.71785893,0.45904484,0.00009333,0.07685989,0.19395450,0.00018328,0.11271195,0.05124699
-5.71185593,0.46930595,0.00010910,0.08165184,0.19420609,0.00019536,0.11631979,0.05317374
-5.70585293,0.47804238,0.00012922,0.08637157,0.19341911,0.00020754,0.11964283,0.05496989
-5.69984992,0.48525053,0.00015472,0.09098370,0.19161237,0.00021990,0.12265660,0.05662761
-5.69384692,0.49097170,0.00018681,0.09545723,0.18882743,0.00023255,0.12534893,0.05814254
-5.68784392,0.49529156,0.00022686,0.09976610,0.18512792,0.00024566,0.12772072,0.05951369
-5.68184092,0.49833799,0.00027643,0.10388937,0.18059818,0.00025946,0.12978607,0.06074331
-5.67583792,0.50027747,0.00033727,0.10781116,0.17534128,0.00027424,0.13157194,0.06183645
-5.66983492,0.50130991,0.00041126,0.11152023,0.16947647,0.00029034,0.13311738,0.06280055
-5.66383192,0.50166235,0.00050050,0.11500935,0.16313623,0.00030815,0.13447215,0.06364478
-5.65782891,0.50158162,0.00060718,0.11827442,0.15646286,0.00032810,0.13569503,0.06437944
-5.65182591,0.50132617,0.00073362,0.12131351,0.14960486,0.00035069,0.13685174,0.06501515
-5.64582291,0.50115762,0.00088218,0.12412574,0.14271311,0.00037641,0.13801256,0.06556221
