energy_ev,total_up,Au_p_up,Au_d_up,B_p_up,B_d_up,S_s_up,S_p_up
-6.00000000,4.64123241,1.11232572,3.54400407,0.37882222,0.00000000,0.01227328,0.52975706
-5.99399700,4.66911355,1.11167979,3.57483597,0.37133853,0.00000000,0.01186914,0.53587124
-5.98799400,4.72341171,1.11744637,3.62593474,0.36586940,0.00000000,0.01152714,0.54500419
-5.98199100,4.80435224,1.13009612,3.69720474,0.36260565,0.00000000,0.01125205,0.55716126
-5.97598799,4.91152352,1.14995328,3.78806086,0.36169323,0.00000000,0.01104676,0.57226969
-5.96998499,5.04388535,1.17718712,3.89744161,0.36323053,0.00000000,0.01091231,0.59017933
-5.96398199,5.19979679,1.21180781,4.02383688,0.36726689,0.00000000,0.01084784,0.61066589
-5.95797899,5.37706159,1.25366677,4.16532910,0.37380219,0.00000000,0.01085070,0.63343654
-5.95197599,5.57298915,1.30246093,4.31964604,0.38278742,0.00000000,0.01091655,0.65813767
-5.94597299,5.78446830,1.35774064,4.48422302,0.39412609,0.00000000,0.01103957,0.68436438
-5.93996998,6.00805079,1.41892049,4.65627218,0.40767629,0.00000000,0.01121268,0.71167149
-5.93396698,6.24004102,1.48529262,4.83285584,0.42325336,0.00000000,0.01142779,0.73958540
-5.92796398,6.47658893,1.55604181,5.01096166,0.44063296,0.00000000,0.01167611,0.76761654
-5.92196098,6.71378259,1.63026205,5.18757661,0.45955460,0.00000000,0.01194842,0.79527182
-5.91595798,6.94773774,1.70697390,5.35975767,0.47972550,0.00000000,0.01223539,0.82206674
-5.90995498,7.17468171,1.78514245,5.52469703,0.50082481,0.00000000,0.01252786,0.84753668
-5.90395198,7.39102968,1.86369559,5.67978017,0.52250823,0.00000000,0.01281710,0.87124712
-5.89794897,7.59345172,1.94154230,5.82263554,0.54441313,0.00000000,0.01309508,0.89280250
-5.89194597,7.77892969,2.01759086,5.95117497,0.56616401,0.00000000,0.01335463,0.91185356
-5.88594297,7.94480343,2.09076700,6.06362459,0.58737859,0.00000000,0.01358962,0.92810297
-5.87993997,8.08880615,2.16003167,6.15854593,0.60767432,0.00000000,0.01379506,0.94130937
-5.87393697,8.20908934,2.22439848,6.23484787,0.62667537,0.00000000,0.01396719,0.95128976
-5.86793397,8.30423763,2.28295066,6.29178972,0.64402000,0.00000000,0.01410344,0.95792032
-5.86193097,8.37327444,2.33485718,6.32897641,0.65936811,0.00000000,0.01420246,0.96113582
-5.85592796,8.41565914,2.37938795,6.34634660,0.67240882,0.00000000,0.01426398,0.96092791
-5.84992496,8.43127658,2.41592761,6.34415473,0.68286787,0.00000000,0.01428874,0.95734219
-5.84392196,8.42041987,2.44398765,6.32294808,0.69051444,0.00000000,0.01427834,0.95047455
-5.83791896,8.38376728,2.46321633,6.28353972,0.69516727,0.00000000,0.01423506,0.94046677
-5.83191596,8.32235392,2.47340610,6.22697852,0.69669968,0.00000000,0.01416171,0.92750168
-5.82591296,8.23753919,2.47449815,6.15451704,0.69504324,0.00000000,0.01406141,0.91179785
-5.81990995,8.13097062,2.46658374,6.06757826,0.69018990,0.00000000,0.01393748,0.89360424
-5.81390695,8.00454502,2.44990215,5.96772200,0.68219246,0.00000000,0.01379323,0.87319466
-5.80790395,7.86036775,2.42483527,5.85661193,0.67116323,0.00000000,0.01363184,0.85086230
-5.80190095,7.70071107,2.39189876,5.73598376,0.65727086,0.00000000,0.01345623,0.82691440
-5.79589795,7.52797237,2.35173018,5.60761550,0.64073566,0.00000000,0.01326901,0.80166710
-5.78989495,7.34463332,2.30507430,5.47330019,0.62182323,0.00000000,0.01307239,0.77544057
-5.78389195,7.15322067,2.25276613,5.33482168,0.60083695,0.00000000,0.01286817,0.74855447
-5.77788894,6.95626963,2.19571225,5.19393371,0.57810955,0.00000000,0.01265775,0.72132377
-5.77188594,6.75629022,2.13487102,5.05234246,0.55399396,0.00000000,0.01244216,0.69405493
-5.76588294,6.55573715,2.07123216,4.91169236,0.52885408,0.00000000,0.01222212,0.66704257
-5.75987994,6.35698329,2.00579656,4.77355499,0.50305554,0.00000000,0.01199808,0.64056641
-5.75387694,6.16229661,1.93955653,4.63942051,0.47695697,0.00000000,0.01177036,0.61488865
-5.74787394,5.97382020,1.87347718,4.51069092,0.45090201,0.00000000,0.01153914,0.59025172
-5.74187094,5.79355482,1.80847905,4.38867430,0.42521223,0.00000000,0.01130465,0.56687625
-5.73586793,5.62334317,1.74542249,4.27457928,0.40018121,0.00000000,0.01106715,0.54495930
-5.72986493,5.46485513,1.68509363,4.16950871,0.37606981,0.00000000,0.01082701,0.52467277
-5.72386193,5.31957308,1.62819232,4.07445192,0.35310276,0.00000000,0.01058477,0.50616197
