energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.82401700,0.35104547,0.36756651,0.03127130,0.04644248,0.03475840,0.77438828,0.23124855,1.12548671
-5.99399700,2.80673726,0.34648889,0.37535096,0.02994455,0.04804412,0.03617553,0.77501493,0.23400334,1.10057833
-5.98799400,2.78776263,0.34210591,0.38204702,0.02865305,0.04977028,0.03748879,0.77449927,0.23702435,1.07623689
-5.98199100,2.76649019,0.33786364,0.38750671,0.02739102,0.05162831,0.03867455,0.77268467,0.24030856,1.05223056
-5.97598799,2.74245431,0.33373642,0.39161038,0.02615354,0.05362453,0.03971121,0.76945558,0.24385484,1.02837855
-5.96998499,2.71533097,0.32970634,0.39426879,0.02493690,0.05576341,0.04057971,0.76473906,0.24766210,1.00455260
-5.96398199,2.68493564,0.32576315,0.39542416,0.02373889,0.05804670,0.04126383,0.75850451,0.25172724,0.98067579
-5.95797899,2.65121526,0.32190362,0.39505013,0.02255890,0.06047262,0.04175059,0.75076163,0.25604282,0.95671903
-5.95197599,2.61423537,0.31813060,0.39315070,0.02139797,0.06303523,0.04203046,0.74155692,0.26059479,0.93269548
-5.94597299,2.57416359,0.31445164,0.38975831,0.02025868,0.06572394,0.04209754,0.73096909,0.26536041,0.90865365
-5.93996998,2.53125085,0.31087768,0.38493118,0.01914504,0.06852329,0.04194961,0.71910363,0.27030667,0.88466946
-5.93396698,2.48581180,0.30742167,0.37875016,0.01806221,0.07141299,0.04158820,0.70608704,0.27538923,0.86083821
-5.92796398,2.43820584,0.30409739,0.37131511,0.01701623,0.07436823,0.04101842,0.69206110,0.28055220,0.83726661
-5.92196098,2.38881970,0.30091860,0.36274126,0.01601371,0.07736031,0.04024884,0.67717741,0.28572872,0.81406578
-5.91595798,2.33805281,0.29789858,0.35315546,0.01506154,0.08035754,0.03929123,0.66159265,0.29084239,0.79134520
-5.90995498,2.28630575,0.29505000,0.34269265,0.01416652,0.08332632,0.03816023,0.64546461,0.29580963,0.76920827
-5.90395198,2.23397226,0.29238522,0.33149259,0.01333515,0.08623252,0.03687301,0.62894911,0.30054266,0.74774917
-5.89794897,2.18143456,0.28991692,0.31969693,0.01257335,0.08904281,0.03544879,0.61219798,0.30495318,0.72705138
-5.89194597,2.12906159,0.28765889,0.30744673,0.01188623,0.09172615,0.03390842,0.59535773,0.30895628,0.70718741
-5.88594297,2.07720951,0.28562697,0.29488038,0.01127798,0.09425514,0.03227386,0.57856905,0.31247458,0.68821963
-5.87993997,2.02622360,0.28383981,0.28213185,0.01075171,0.09660725,0.03056770,0.56196678,0.31544211,0.67020181
-5.87393697,1.97644059,0.28231952,0.26932935,0.01030939,0.09876577,0.02881266,0.54568003,0.31780783,0.65318094
-5.86793397,1.92819045,0.28109187,0.25659430,0.00995181,0.10072056,0.02703110,0.52983250,0.31953839,0.63719906
-5.86193097,1.88179693,0.28018604,0.24404042,0.00967856,0.10246830,0.02524459,0.51454241,0.32062012,0.62229459
-5.85592796,1.83757596,0.27963385,0.23177305,0.00948802,0.10401251,0.02347345,0.49992215,0.32105983,0.60850302
-5.84992496,1.79583177,0.27946839,0.21988852,0.00937742,0.10536303,0.02173647,0.48607737,0.32088458,0.59585669
-5.84392196,1.75685042,0.27972214,0.20847356,0.00934287,0.10653522,0.02005055,0.47310548,0.32014030,0.58438359
-5.83791896,1.72089102,0.28042465,0.19760471,0.00937941,0.10754883,0.01843048,0.46109368,0.31888930,0.57410522
-5.83191596,1.68817508,0.28159991,0.18734776,0.00948106,0.10842655,0.01688880,0.45011641,0.31720689,0.56503370
-5.82591296,1.65887477,0.28326362,0.17775716,0.00964096,0.10919244,0.01543567,0.44023266,0.31517721,0.55716831
-5.81990995,1.63310089,0.28542045,0.16887553,0.00985138,0.10987022,0.01407888,0.43148312,0.31288868,0.55049181
-5.81390695,1.61089172,0.28806177,0.16073315,0.01010395,0.11048167,0.01282389,0.42388751,0.31042911,0.54496693
-5.80790395,1.59220365,0.29116366,0.15334769,0.01038973,0.11104506,0.01167388,0.41744238,0.30788102,0.54053338
-5.80190095,1.57690470,0.29468583,0.14672403,0.01069939,0.11157382,0.01063001,0.41211954,0.30531727,0.53710578
-5.79589795,1.56477165,0.29857122,0.14085440,0.01102348,0.11207557,0.00969152,0.40786543,0.30279730,0.53457276
-5.78989495,1.55549140,0.30274666,0.13571872,0.01135260,0.11255140,0.00885604,0.40460145,0.30036419,0.53279750
-5.78389195,1.54866698,0.30712444,0.13128528,0.01167769,0.11299560,0.00811984,0.40222551,0.29804277,0.53161984
-5.77788894,1.54382802,0.31160485,0.12751172,0.01199034,0.11339578,0.00747808,0.40061472,0.29583869,0.53085996
-5.77188594,1.54044565,0.31607966,0.12434631,0.01228306,0.11373340,0.00692517,0.39962907,0.29373859,0.53032352
-5.76588294,1.53795099,0.32043618,0.12172954,0.01254960,0.11398457,0.00645502,0.39911623,0.29171135,0.52980804
-5.75987994,1.53575652,0.32456200,0.11959588,0.01278525,0.11412124,0.00606131,0.39891695,0.28971023,0.52911032
-5.75387694,1.53327922,0.32834986,0.11787582,0.01298712,0.11411255,0.00573780,0.39887106,0.28767571,0.52803432
-5.74787394,1.52996431,0.33170263,0.11649784,0.01315437,0.11392635,0.00547855,0.39882363,0.28553901,0.52639925
-5.74187094,1.52530835,0.33453801,0.11539060,0.01328840,0.11353071,0.00527812,0.39863102,0.28322594,0.52404731
-5.73586793,1.51888055,0.33679275,0.11448493,0.01339300,0.11289551,0.00513177,0.39816660,0.28066083,0.52085074
-5.72986493,1.51034108,0.33842604,0.11371573,0.01347438,0.11199385,0.00503563,0.39732568,0.27777049,0.51671769
-5.72386193,1.49945559,0.33942213,0.11302364,0.01354113,0.11080329,0.00498675,0.39602962,0.27448789,0.51159664
-5.71785893,1.48610517,0.33979173,0.11235649,0.01360416,0.10930686,0.00498320,0.39422875,0.27075538,0.50547910
-5.71185593,1.47029126,0.33957241,0.11167036,0.01367643,0.10749389,0.00502410,0.39190410,0.26652749,0.49840043
-5.70585293,1.45213546,0.33882768,0.11093035,0.01377266,0.10536046,0.00510960,0.38906781,0.26177296,0.49043883
-5.69984992,1.43187424,0.33764514,0.11011101,0.01390902,0.10290966,0.00524082,0.38576219,0.25647619,0.48171237
-5.69384692,1.40984892,0.33613342,0.10919634,0.01410260,0.10015151,0.00541974,0.38205767,0.25063800,0.47237443
-5.68784392,1.38649150,0.33441834,0.10817960,0.01437094,0.09710267,0.00564910,0.37804953,0.24427568,0.46260759
-5.68184092,1.36230710,0.33263832,0.10706274,0.01473144,0.09378598,0.00593219,0.37385377,0.23742244,0.45261643
-5.67583792,1.33785382,0.33093929,0.10585571,0.01520081,0.09022974,0.00627271,0.36960224,0.23012625,0.44261947
-5.66983492,1.31372101,0.32946930,0.10457555,0.01579444,0.08646690,0.00667448,0.36543732,0.22244828,0.43284065
-5.66383192,1.29050694,0.32837307,0.10324546,0.01652582,0.08253419,0.00714129,0.36150630,0.21446084,0.42350074
-5.65782891,1.26879676,0.32778666,0.10189384,0.01740598,0.07847111,0.00767657,0.35795583,0.20624510,0.41480907
-5.65182591,1.24914160,0.32783248,0.10055345,0.01844295,0.07431894,0.00828320,0.35492656,0.19788850,0.40695576
-5.64582291,1.23203974,0.32861476,0.09926063,0.01964133,0.07011979,0.00896324,0.35254822,0.18948214,0.40010491
-5.63981991,1.21792029,0.33021573,0.09805483,0.02100191,0.06591562,0.00971776,0.35093537,0.18111804,0.39438892
-5.63381691,1.20713004,0.33269244,0.09697824,0.02252142,0.06174734,0.01054662,0.35018386,0.17288650,0.38990395
-5.62781391,1.19992383,0.33607448,0.09607582,0.02419232,0.05765399,0.01144832,0.35036821,0.16487354,0.38670697
-5.62181091,1.19645850,0.34036251,0.09539541,0.02600278,0.05367199,0.01241996,0.35153989,0.15715856,0.38481402
-5.61580790,1.19679075,0.34552765,0.09498827,0.02793678,0.04983446,0.01345717,0.35372659,0.14981226,0.38420010
-5.60980490,1.20087845,0.35151180,0.09490965,0.02997426,0.04617072,0.01455418,0.35693245,0.14289488,0.38480028
-5.60380190,1.20858561,0.35822871,0.09521960,0.03209144,0.04270579,0.01570390,0.36113920,0.13645476,0.38651211
-5.59779890,1.21969026,0.36556586,0.09598373,0.03426131,0.03946011,0.01689810,0.36630804,0.13052738,0.38919923
-5.59179590,1.23389518,0.37338706,0.09727406,0.03645412,0.03644931,0.01812767,0.37238237,0.12513480,0.39269581
-5.58579290,1.25084070,0.38153569,0.09916956,0.03863800,0.03368411,0.01938289,0.37929097,0.12028555,0.39681187
-5.57978989,1.27011919,0.38983844,0.10175649,0.04077972,0.03117040,0.02065376,0.38695164,0.11597502,0.40133913
-5.57378689,1.29129048,0.39810961,0.10512839,0.04284540,0.02890935,0.02193038,0.39527505,0.11218625,0.40605727
