energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,6.53528073,1.64241189,4.68018878,0.03088880,0.12697908,1.30299501,0.31660703,1.27884813,0.00000000
-5.99399700,6.31623750,1.58730451,4.52709214,0.02938429,0.12271257,1.24792878,0.30842356,1.23084793,0.00000000
-5.98799400,6.10002880,1.53203838,4.37480843,0.02794008,0.11860854,1.19424590,0.30085356,1.18417726,0.00000000
-5.98199100,5.88882088,1.47701445,4.22501457,0.02656277,0.11470383,1.14226940,0.29398976,1.13917106,0.00000000
-5.97598799,5.68476346,1.42263115,4.07938379,0.02525829,0.11103267,1.09228565,0.28792656,1.09615486,0.00000000
-5.96998499,5.48995093,1.36927937,3.93955190,0.02403176,0.10762616,1.04454399,0.28275845,1.05544143,0.00000000
-5.96398199,5.30638283,1.31733698,3.80708379,0.02288748,0.10451187,0.99925687,0.27857804,1.01732680,0.00000000
-5.95797899,5.13592489,1.26716302,3.68344153,0.02182881,0.10171344,0.95660007,0.27547373,0.98208578,0.00000000
-5.95197599,4.98027221,1.21909173,3.56995515,0.02085820,0.09925013,0.91671304,0.27352706,0.94996710,0.00000000
-5.94597299,4.84091572,1.17342668,3.46779717,0.01997706,0.09713651,0.87969945,0.27280992,0.92118839,0.00000000
-5.93996998,4.71911323,1.13043536,3.37796172,0.01918583,0.09538217,0.84562780,0.27338166,0.89593121,0.00000000
-5.93396698,4.61586605,1.09034421,3.30124875,0.01848394,0.09399147,0.81453218,0.27528630,0.87433633,0.00000000
-5.92796398,4.53190178,1.05333459,3.23825389,0.01786988,0.09296346,0.78641331,0.27854987,0.85649963,0.00000000
-5.92196098,4.46766402,1.01953977,3.18936374,0.01734122,0.09229186,0.76123981,0.28317817,0.84246862,0.00000000
-5.91595798,4.42330888,0.98904303,3.15475675,0.01689472,0.09196517,0.73894985,0.28915492,0.83224006,0.00000000
-5.90995498,4.39870847,0.96187709,3.13440903,0.01652639,0.09196685,0.71945316,0.29644049,0.82575863,0.00000000
-5.90395198,4.39346093,0.93802489,3.12810461,0.01623165,0.09227571,0.70263353,0.30497132,0.82291698,0.00000000
-5.89794897,4.40690645,0.91742164,3.13544948,0.01600542,0.09286632,0.68835179,0.31466003,0.82355703,0.00000000
-5.89194597,4.43814861,0.89995821,3.15588849,0.01584226,0.09370960,0.67644914,0.32539637,0.82747286,0.00000000
-5.88594297,4.48608016,0.88548560,3.18872433,0.01573649,0.09477345,0.66675101,0.33704894,0.83441480,0.00000000
-5.87993997,4.54941230,0.87382048,3.23313770,0.01568239,0.09602349,0.65907124,0.34946768,0.84409504,0.00000000
-5.87393697,4.62670642,0.86475158,3.28820803,0.01567423,0.09742388,0.65321646,0.36248718,0.85619427,0.00000000
-5.86793397,4.71640748,0.85804662,3.35293380,0.01570648,0.09893810,0.64899069,0.37593046,0.87036941,0.00000000
-5.86193097,4.81687776,0.85345969,3.42625223,0.01577391,0.10052987,0.64619985,0.38961348,0.88626206,0.00000000
-5.85592796,4.92643040,0.85073872,3.50705759,0.01587165,0.10216395,0.64465626,0.40334984,0.90350744,0.00000000
-5.84992496,5.04336157,0.84963284,3.59421808,0.01599537,0.10380696,0.64418267,0.41695579,0.92174348,0.00000000
-5.84392196,5.16598069,0.84989943,3.68659090,0.01614126,0.10542818,0.64461593,0.43025520,0.94061971,0.00000000
-5.83791896,5.29263799,0.85131054,3.78303564,0.01630622,0.10700019,0.64581003,0.44308432,0.95980564,0.00000000
-5.83191596,5.42174880,0.85365847,3.88242586,0.01648782,0.10849948,0.64763834,0.45529611,0.97899825,0.00000000
-5.82591296,5.55181420,0.85676040,3.98365908,0.01668440,0.10990693,0.64999505,0.46676403,0.99792832,0.00000000
-5.81990995,5.68143757,0.86046188,4.08566537,0.01689508,0.11120810,0.65279552,0.47738502,1.01636524,0.00000000
-5.81390695,5.80933703,0.86463896,4.18741460,0.01711977,0.11239341,0.65597580,0.48708153,1.03412016,0.00000000
-5.80790395,5.93435352,0.86919907,4.28792270,0.01735920,0.11345822,0.65949092,0.49580259,1.05104739,0.00000000
-5.80190095,6.05545474,0.87408043,4.38625707,0.01761481,0.11440261,0.66331243,0.50352377,1.06704372,0.00000000
-5.79589795,6.17173508,0.87925017,4.48154126,0.01788879,0.11523113,0.66742480,0.51024608,1.08204609,0.00000000
-5.78989495,6.28241188,0.88470115,4.57295915,0.01818392,0.11595234,0.67182131,0.51599379,1.09602732,0.00000000
-5.78389195,6.38681853,0.89044768,4.65975871,0.01850352,0.11657822,0.67649915,0.52081144,1.10899046,0.00000000
-5.77788894,6.48439496,0.89652025,4.74125527,0.01885125,0.11712348,0.68145436,0.52475994,1.12096180,0.00000000
-5.77188594,6.57467612,0.90295951,4.81683451,0.01923100,0.11760477,0.68667658,0.52791216,1.13198304,0.00000000
-5.76588294,6.65727924,0.90980987,4.88595498,0.01964666,0.11803980,0.69214402,0.53034814,1.14210301,0.00000000
-5.75987994,6.73189054,0.91711281,4.94815017,0.02010189,0.11844649,0.69781896,0.53215018,1.15136941,0.00000000
