energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.41869582,-0.37701332,0.00220266,-0.00420790,0.09188103,-0.09912035,0.07505483,-0.09056432,0.12174032,-0.09844779,0.01758099,-0.01662621,0.10174438,-0.07820642
-5.99399700,0.42953765,-0.36449058,0.00203653,-0.00371673,0.09270822,-0.09384242,0.07546415,-0.08380316,0.12507160,-0.09560645,0.01774769,-0.01610645,0.10647913,-0.07811188
-5.98799400,0.44386003,-0.35603797,0.00192542,-0.00327547,0.09451523,-0.08963864,0.07710348,-0.07821618,0.12932905,-0.09376046,0.01801529,-0.01572732,0.11185009,-0.07888771
-5.98199100,0.46145250,-0.35173976,0.00186940,-0.00288549,0.09726863,-0.08653535,0.07996910,-0.07384908,0.13445763,-0.09292711,0.01837174,-0.01548923,0.11779448,-0.08055041
-5.97598799,0.48208097,-0.35163004,0.00186848,-0.00254757,0.10093140,-0.08454640,0.08405671,-0.07073708,0.14039532,-0.09311146,0.01880370,-0.01539020,0.12424223,-0.08310538
-5.96998499,0.50549489,-0.35569720,0.00192271,-0.00226209,0.10546439,-0.08367492,0.08936256,-0.06890700,0.14707484,-0.09430745,0.01929695,-0.01542598,0.13111777,-0.08654718
-5.96398199,0.53143414,-0.36388865,0.00203209,-0.00202913,0.11082766,-0.08391505,0.09588416,-0.06837913,0.15442534,-0.09649921,0.01983671,-0.01559028,0.13834195,-0.09085987
-5.95797899,0.55963558,-0.37611539,0.00219665,-0.00184859,0.11698144,-0.08525361,0.10362052,-0.06916914,0.16237398,-0.09966223,0.02040799,-0.01587502,0.14583407,-0.09601738
-5.95197599,0.58983908,-0.39225637,0.00241628,-0.00172029,0.12388694,-0.08767154,0.11257178,-0.07128957,0.17084747,-0.10376449,0.02099603,-0.01627048,0.15351392,-0.10198397
-5.94597299,0.62179255,-0.41216258,0.00269073,-0.00164409,0.13150672,-0.09114529,0.12273834,-0.07475107,0.17977341,-0.10876748,0.02158659,-0.01676558,0.16130375,-0.10871468
-5.93996998,0.65525609,-0.43566058,0.00301951,-0.00161992,0.13980474,-0.09564779,0.13411947,-0.07956317,0.18908138,-0.11462715,0.02216636,-0.01734807,0.16913006,-0.11615593
-5.93396698,0.69000479,-0.46255576,0.00340173,-0.00164786,0.14874610,-0.10114927,0.14671135,-0.08573462,0.19870387,-0.12129470,0.02272327,-0.01800480,0.17692517,-0.12424615
-5.92796398,0.72583016,-0.49263500,0.00383607,-0.00172807,0.15829640,-0.10761768,0.16050476,-0.09327319,0.20857684,-0.12871719,0.02324676,-0.01872188,0.18462848,-0.13291658
-5.92196098,0.76254017,-0.52566893,0.00432061,-0.00186088,0.16842084,-0.11501890,0.17548241,-0.10218497,0.21864001,-0.13683814,0.02372803,-0.01948498,0.19218724,-0.14209207
-5.91595798,0.79995784,-0.56141366,0.00485276,-0.00204665,0.17908300,-0.12331655,0.19161613,-0.11247313,0.22883692,-0.14559796,0.02416021,-0.02027954,0.19955703,-0.15169208
-5.90995498,0.83791851,-0.59961219,0.00542920,-0.00228573,0.19024355,-0.13247164,0.20886391,-0.12413623,0.23911460,-0.15493421,0.02453848,-0.02109100,0.20670162,-0.16163170
-5.90395198,0.87626599,-0.63999525,0.00604581,-0.00257836,0.20185877,-0.14244189,0.22716722,-0.13716605,0.24942315,-0.16478188,0.02486008,-0.02190507,0.21359258,-0.17182272
