energy_ev,total_up,Pb_p_up,Pb_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,0.09030600,0.04430402,0.00000000,0.04783983,0.04974164,0.00000329,0.00430499
-5.99399700,0.10119349,0.04964540,0.00000000,0.05360749,0.05573860,0.00000369,0.00482401
-5.98799400,0.11257933,0.05523126,0.00000000,0.05963914,0.06201008,0.00000411,0.00536678
-5.98199100,0.12434689,0.06100439,0.00000000,0.06587298,0.06849182,0.00000454,0.00592776
-5.97598799,0.13635828,0.06689712,0.00000000,0.07223597,0.07510787,0.00000497,0.00650036
-5.96998499,0.14845626,0.07283231,0.00000000,0.07864479,0.08177165,0.00000542,0.00707709
-5.96398199,0.16046718,0.07872475,0.00000001,0.08500741,0.08838749,0.00000585,0.00764968
-5.95797899,0.17220464,0.08448298,0.00000001,0.09122507,0.09485277,0.00000628,0.00820924
-5.95197599,0.18347414,0.09001155,0.00000001,0.09719469,0.10106035,0.00000669,0.00874649
-5.94597299,0.19407825,0.09521357,0.00000002,0.10281160,0.10690153,0.00000708,0.00925204
-5.93996998,0.20382231,0.09999348,0.00000003,0.10797260,0.11226914,0.00000744,0.00971661
-5.93396698,0.21252043,0.10426000,0.00000005,0.11257905,0.11706083,0.00000776,0.01013135
-5.92796398,0.22000142,0.10792907,0.00000007,0.11654011,0.12118242,0.00000803,0.01048811
-5.92196098,0.22611462,0.11092661,0.00000010,0.11977567,0.12455105,0.00000826,0.01077972
-5.91595798,0.23073514,0.11319116,0.00000015,0.12221922,0.12709809,0.00000843,0.01100025
-5.90995498,0.23376843,0.11467605,0.00000022,0.12382018,0.12877170,0.00000855,0.01114522
-5.90395198,0.23515393,0.11535123,0.00000032,0.12454579,0.12953886,0.00000860,0.01121181
-5.89794897,0.23486766,0.11520443,0.00000045,0.12438245,0.12938680,0.00000860,0.01119891
-5.89194597,0.23292363,0.11424186,0.00000063,0.12333635,0.12832379,0.00000855,0.01110727
-5.88594297,0.22937398,0.11248825,0.00000089,0.12143354,0.12637934,0.00000844,0.01093949
-5.87993997,0.22430806,0.10998630,0.00000123,0.11871927,0.12360366,0.00000828,0.01069996
-5.87393697,0.21785031,0.10679560,0.00000170,0.11525676,0.12006658,0.00000808,0.01039478
-5.86793397,0.21015724,0.10299106,0.00000234,0.11112545,0.11585597,0.00000785,0.01003165
-5.86193097,0.20141367,0.09866097,0.00000318,0.10641885,0.11107577,0.00000760,0.00961965
-5.85592796,0.19182847,0.09390480,0.00000430,0.10124204,0.10584368,0.00000734,0.00916913
-5.84992496,0.18163002,0.08883085,0.00000578,0.09570908,0.10028884,0.00000708,0.00869141
-5.84392196,0.17106165,0.08355391,0.00000770,0.08994032,0.09454939,0.00000684,0.00819867
-5.83791896,0.16037739,0.07819296,0.00001019,0.08405986,0.08877030,0.00000665,0.00770372
-5.83191596,0.14983809,0.07286917,0.00001339,0.07819324,0.08310134,0.00000652,0.00721985
-5.82591296,0.13970815,0.06770415,0.00001746,0.07246535,0.07769544,0.00000647,0.00676067
-5.81990995,0.13025299,0.06281851,0.00002261,0.06699887,0.07270746,0.00000652,0.00634007
-5.81390695,0.12173723,0.05833086,0.00002908,0.06191299,0.06829326,0.00000672,0.00597210
-5.80790395,0.11442357,0.05435717,0.00003712,0.05732262,0.06460926,0.00000708,0.00567097
-5.80190095,0.10857234,0.05101045,0.00004704,0.05333795,0.06181223,0.00000764,0.00545103
-5.79589795,0.10444141,0.04840069,0.00005920,0.05006439,0.06005929,0.00000844,0.00532677
-5.78989495,0.10228637,0.04663501,0.00007395,0.04760264,0.05950802,0.00000951,0.00531287
-5.78389195,0.10236073,0.04581786,0.00009173,0.04604907,0.06031643,0.00001090,0.00542418
-5.77788894,0.10491577,0.04605120,0.00011297,0.04549594,0.06264275,0.00001265,0.00567571
-5.77188594,0.11019981,0.04743446,0.00013814,0.04603159,0.06664475,0.00001480,0.00608258
-5.76588294,0.11845666,0.05006423,0.00016770,0.04774045,0.07247852,0.00001739,0.00665987
-5.75987994,0.12992303,0.05403358,0.00020213,0.05070265,0.08029652,0.00002048,0.00742250
-5.75387694,0.14482464,0.05943087,0.00024190,0.05499323,0.09024493,0.00002411,0.00838493
-5.74787394,0.16337110,0.06633804,0.00028743,0.06068088,0.10246002,0.00002830,0.00956086
-5.74187094,0.18574933,0.07482833,0.00033908,0.06782622,0.11706379,0.00003311,0.01096280
-5.73586793,0.21211591,0.08496351,0.00039718,0.07647951,0.13415882,0.00003855,0.01260157
-5.72986493,0.24258822,0.09679068,0.00046191,0.08667804,0.15382246,0.00004464,0.01448577
-5.72386193,0.27723500,0.11033862,0.00053337,0.09844308,0.17610068,0.00005138,0.01662121
-5.71785893,0.31606648,0.12561403,0.00061150,0.11177666,0.20100158,0.00005878,0.01901022
-5.71185593,0.35902468,0.14259776,0.00069610,0.12665831,0.22848928,0.00006681,0.02165111
-5.70585293,0.40597442,0.16124112,0.00078677,0.14304191,0.25847802,0.00007543,0.02453756
-5.69984992,0.45669556,0.18146275,0.00088295,0.16085288,0.29082736,0.00008458,0.02765813
-5.69384692,0.51087708,0.20314600,0.00098386,0.17998590,0.32533840,0.00009420,0.03099584
-5.68784392,0.56811352,0.22613725,0.00108853,0.20030339,0.36175171,0.00010418,0.03452796
-5.68184092,0.62790433,0.25024527,0.00119583,0.22163483,0.39974700,0.00011443,0.03822582
-5.67583792,0.68965642,0.27524176,0.00130443,0.24377725,0.43894496,0.00012481,0.04205499
-5.66983492,0.75269019,0.30086328,0.00141286,0.26649674,0.47891136,0.00013521,0.04597555
-5.66383192,0.81624918,0.32681450,0.00151952,0.28953135,0.51916341,0.00014546,0.04994256
-5.65782891,0.87951321,0.35277292,0.00162276,0.31259503,0.55917839,0.00015542,0.05390682
-5.65182591,0.94161480,0.37839481,0.00172086,0.33538288,0.59840435,0.00016496,0.05781580
-5.64582291,1.00165841,0.40332236,0.00181215,0.35757734,0.63627269,0.00017391,0.06161467
-5.63981991,1.05874196,0.42719182,0.00189498,0.37885528,0.67221199,0.00018216,0.06524761
-5.63381691,1.11197990,0.44964229,0.00196784,0.39889578,0.70566301,0.00018960,0.06865909
-5.62781391,1.16052698,0.47032497,0.00202940,0.41738820,0.73609389,0.00019613,0.07179530
-5.62181091,1.20360184,0.48891245,0.00207851,0.43404038,0.76301537,0.00020171,0.07460556
-5.61580790,1.24050961,0.50510775,0.00211430,0.44858668,0.78599516,0.00020630,0.07704365
-5.60980490,1.27066250,0.51865276,0.00213618,0.46079543,0.80467111,0.00020994,0.07906909
-5.60380190,1.29359766,0.52933573,0.00214387,0.47047562,0.81876246,0.00021269,0.08064823
-5.59779890,1.30899159,0.53699755,0.00213742,0.47748252,0.82807890,0.00021466,0.08175522
-5.59179590,1.31667057,0.54153663,0.00211722,0.48172211,0.83252704,0.00021603,0.08237269
-5.58579290,1.31661668,0.54291204,0.00208397,0.48315397,0.83211394,0.00021700,0.08249221
-5.57978989,1.30896922,0.54114501,0.00203868,0.48179271,0.82694774,0.00021784,0.08211447
-5.57378689,1.29402151,0.53631863,0.00198265,0.47770781,0.81723531,0.00021888,0.08124924
-5.56778389,1.27221325,0.52857569,0.00191740,0.47102187,0.80327697,0.00022046,0.07991503
-5.56178089,1.24411875,0.51811497,0.00184467,0.46190743,0.78545865,0.00022299,0.07813852
-5.55577789,1.21043154,0.50518595,0.00176632,0.45058235,0.76424163,0.00022691,0.07595379
-5.54977489,1.17194585,0.49008221,0.00168435,0.43730409,0.74015044,0.00023266,0.07340133
-5.54377189,1.12953588,0.47313376,0.00160076,0.42236292,0.71375917,0.00024074,0.07052697
-5.53776888,1.08413337,0.45469863,0.00151757,0.40607449,0.68567689,0.00025160,0.06738068
-5.53176588,1.03670442,0.43515387,0.00143672,0.38877189,0.65653249,0.00026574,0.06401529
-5.52576288,0.98822625,0.41488650,0.00136008,0.37079753,0.62695955,0.00028360,0.06048527
