energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,7.41071987,1.78701149,3.36900241,0.02162839,1.15230799,0.05186557,2.49213707,1.01505268,0.18154524
-5.99399700,7.33289868,1.77238953,3.33524911,0.02198315,1.14203096,0.05096626,2.45858705,1.02010616,0.17961741
-5.98799400,7.23931090,1.75373414,3.29520299,0.02223095,1.12806294,0.04996445,2.42143900,1.02266041,0.17749193
-5.98199100,7.13024110,1.73095484,3.24905115,0.02236374,1.11036812,0.04887086,2.38093771,1.02257728,0.17515554
-5.97598799,7.00609673,1.70403181,3.19700152,0.02237599,1.08896906,0.04769567,2.33731899,1.01973645,0.17259357
-5.96998499,6.86742134,1.67302030,3.13928710,0.02226485,1.06395083,0.04644842,2.29081024,1.01403961,0.16979146
-5.96398199,6.71490534,1.63805293,3.07617019,0.02203036,1.03546311,0.04513802,2.24163197,1.00541464,0.16673624
-5.95797899,6.54939395,1.59933999,3.00794648,0.02167544,1.00372019,0.04377282,2.19000035,0.99381932,0.16341822
-5.95197599,6.37189170,1.55716786,2.93494886,0.02120595,0.96899883,0.04236073,2.13613084,0.97924483,0.15983249
-5.94597299,6.18356389,1.51189582,2.85755090,0.02063048,0.93163410,0.04090945,2.08024264,0.96171869,0.15598043
-5.93996998,5.98573471,1.46395150,2.77616996,0.01996024,0.89201326,0.03942664,2.02256424,0.94130714,0.15187089
-5.93396698,5.77988260,1.41382532,2.69126996,0.01920873,0.85056814,0.03792020,1.96333960,0.91811701,0.14752124
-5.92796398,5.56763302,1.36206412,2.60336374,0.01839149,0.80776621,0.03639849,1.90283515,0.89229668,0.14295801
-5.92196098,5.35074894,1.30926440,2.51301492,0.01752569,0.76410080,0.03487058,1.84134699,0.86403649,0.13821728
-5.91595798,5.13111937,1.25606523,2.42083929,0.01662977,0.72008078,0.03334642,1.77920830,0.83356816,0.13334464
-5.90995498,4.91074596,1.20314098,2.32750528,0.01572308,0.67622024,0.03183701,1.71679630,0.80116347,0.12839479
-5.90395198,4.69172771,1.15119397,2.23373346,0.01482545,0.63302835,0.03035447,1.65453825,0.76713197,0.12343083
-5.89794897,4.47624350,1.10094692,2.14029473,0.01395688,0.59099990,0.02891207,1.59291614,0.73181780,0.11852312
-5.89194597,4.26653230,1.05313507,2.04800672,0.01313716,0.55060659,0.02752420,1.53246919,0.69559570,0.11374790
-5.88594297,4.06487051,1.00849788,1.95772821,0.01238560,0.51228939,0.02620620,1.47379387,0.65886605,0.10918567
-5.87993997,3.87354605,0.96776993,1.87035122,0.01172074,0.47645208,0.02497416,1.41754077,0.62204921,0.10491928
-5.87393697,3.69482899,0.93167103,1.78679048,0.01116014,0.44345588,0.02384468,1.36440798,0.58557913,0.10103191
-5.86793397,3.53093828,0.90089508,1.70797034,0.01072019,0.41361537,0.02283444,1.31513079,0.54989638,0.09760504
-5.86193097,3.38400474,0.87609791,1.63480892,0.01041594,0.38719541,0.02195987,1.27046760,0.51544077,0.09471621
-5.85592796,3.25603054,0.85788378,1.56819994,0.01026095,0.36440922,0.02123661,1.23118221,0.48264360,0.09243703
-5.84992496,3.14884568,0.84679085,1.50899243,0.01026721,0.34541718,0.02067905,1.19802293,0.45191987,0.09083113
-5.84392196,3.06406253,0.84327578,1.45796905,0.01044502,0.33032656,0.02029982,1.17169902,0.42366055,0.08995235
-5.83791896,3.00302953,0.84769792,1.41582349,0.01080289,0.31919174,0.02010925,1.15285542,0.39822497,0.08984310
-5.83191596,2.96678572,0.86030355,1.38313809,0.01134748,0.31201505,0.02011487,1.14204662,0.37593374,0.09053303
-5.82591296,2.95601777,0.88121087,1.36036226,0.01208351,0.30874798,0.02032095,1.13971099,0.35706210,0.09203795
-5.81990995,2.97102161,0.91039651,1.34779302,0.01301371,0.30929273,0.02072813,1.14614652,0.34183410,0.09435907
-5.81390695,3.01167048,0.94768424,1.34555828,0.01413876,0.31350414,0.02133306,1.16148955,0.33041741,0.09748266
-5.80790395,3.07739150,0.99273688,1.35360402,0.01545725,0.32119181,0.02212817,1.18569735,0.32291927,0.10138004
-5.80190095,3.16715242,1.04505197,1.37168590,0.01696565,0.33212263,0.02310161,1.21853589,0.31938330,0.10600787
