energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.68389179,0.05634350,0.00060323,0.01667600,1.16728989,1.17384408,0.34125284
-5.99399700,1.66088922,0.05643335,0.00060285,0.01610874,1.15153817,1.16328013,0.33548674
-5.98799400,1.64542984,0.05670414,0.00060748,0.01559796,1.14098856,1.15607238,0.33171436
-5.98199100,1.63835060,0.05716604,0.00061742,0.01515287,1.13622074,1.15267682,0.33011289
-5.97598799,1.64025095,0.05782159,0.00063287,0.01478063,1.13764715,1.15338686,0.33080700
-5.96998499,1.65147620,0.05866531,0.00065391,0.01448607,1.14550165,1.15832392,0.33386593
-5.96398199,1.67211054,0.05968363,0.00068053,0.01427168,1.15983511,1.16743513,0.33930253
-5.95797899,1.70197972,0.06085523,0.00071259,0.01413749,1.18051763,1.18049822,0.34707434
-5.95197599,1.74066268,0.06215171,0.00074988,0.01408124,1.20724715,1.19713306,0.35708643
-5.94597299,1.78751155,0.06353862,0.00079204,0.01409852,1.23956387,1.21681913,0.36919597
-5.93996998,1.84167845,0.06497665,0.00083865,0.01418299,1.27686951,1.23891806,0.38321808
-5.93396698,1.90214806,0.06642311,0.00088922,0.01432674,1.31845047,1.26269991,0.39893291
-5.92796398,1.96777403,0.06783349,0.00094317,0.01452058,1.36350386,1.28737210,0.41609330
-5.92196098,2.03731784,0.06916310,0.00099987,0.01475442,1.41116510,1.31210949,0.43443299
-5.91595798,2.10948848,0.07036869,0.00105865,0.01501766,1.46053602,1.33608440,0.45367489
-5.90995498,2.18298121,0.07140994,0.00111882,0.01529950,1.51071237,1.35849542,0.47353905
-5.90395198,2.25651436,0.07225091,0.00117967,0.01558931,1.56080973,1.37859369,0.49375019
-5.89794897,2.32886272,0.07286115,0.00124049,0.01587691,1.60998700,1.39570600,0.51404445
-5.89194597,2.39888680,0.07321672,0.00130060,0.01615281,1.65746677,1.40925383,0.53417524
-5.88594297,2.46555723,0.07330082,0.00135934,0.01640846,1.70255223,1.41876802,0.55391798
-5.87993997,2.52797402,0.07310421,0.00141609,0.01663633,1.74464015,1.42389865,0.57307371
-5.87393697,2.58538034,0.07262534,0.00147027,0.01683005,1.78322996,1.42442036,0.59147163
-5.86793397,2.63717130,0.07187021,0.00152136,0.01698446,1.81792909,1.42023312,0.60897044
-5.86193097,2.68289766,0.07085195,0.00156892,0.01709558,1.84845464,1.41135885,0.62545867
-5.85592796,2.72226520,0.06959022,0.00161254,0.01716062,1.87463178,1.39793451,0.64085415
-5.84992496,2.75513018,0.06811045,0.00165193,0.01717785,1.89638950,1.38020212,0.65510263
-5.84392196,2.78149158,0.06644287,0.00168683,0.01714659,1.91375383,1.35849645,0.66817584
-5.83791896,2.80148065,0.06462149,0.00171707,0.01706701,1.92683946,1.33323100,0.68006896
-5.83191596,2.81534851,0.06268307,0.00174256,0.01694011,1.93583987,1.30488301,0.69079789
-5.82591296,2.82345225,0.06066598,0.00176325,0.01676752,1.94101670,1.27397799,0.70039620
-5.81990995,2.82624003,0.05860915,0.00177919,0.01655146,1.94268855,1.24107446,0.70891203
-5.81390695,2.82423562,0.05655106,0.00179046,0.01629458,1.94121970,1.20674915,0.71640494
-5.80790395,2.81802266,0.05452882,0.00179724,0.01599987,1.93700896,1.17158334,0.72294286
-5.80190095,2.80822886,0.05257730,0.00179972,0.01567062,1.93047882,1.13615029,0.72859910
-5.79589795,2.79551043,0.05072842,0.00179816,0.01531029,1.92206508,1.10100416,0.73344946
-5.78989495,2.78053683,0.04901051,0.00179287,0.01492249,1.91220708,1.06667051,0.73756963
-5.78389195,2.76397592,0.04744789,0.00178416,0.01451089,1.90133855,1.03363827,0.74103264
-5.77788894,2.74647979,0.04606039,0.00177242,0.01407923,1.88987916,1.00235331,0.74390657
-5.77188594,2.72867129,0.04486319,0.00175801,0.01363121,1.87822679,0.97321349,0.74625257
-5.76588294,2.71113141,0.04386663,0.00174134,0.01317055,1.86675054,0.94656497,0.74812307
-5.75987994,2.69438783,0.04307619,0.00172283,0.01270084,1.85578452,0.92269974,0.74956035
-5.75387694,2.67890461,0.04249254,0.00170289,0.01222563,1.84562246,0.90185415,0.75059556
-5.74787394,2.66507338,0.04211172,0.00168191,0.01174830,1.83651316,0.88420829,0.75124809
-5.74187094,2.65320616,0.04192534,0.00166031,0.01127211,1.82865683,0.86988599,0.75152545
-5.73586793,2.64352983,0.04192095,0.00163846,0.01080011,1.82220231,0.85895537,0.75142367
-5.72986493,2.63618268,0.04208239,0.00161670,0.01033513,1.81724526,0.85142966,0.75092821
-5.72386193,2.63121265,0.04239026,0.00159537,0.00987974,1.81382721,0.84726839,0.75001537
-5.71785893,2.62857771,0.04282243,0.00157474,0.00943627,1.81193563,0.84637862,0.74865416
-5.71185593,2.62814800,0.04335454,0.00155506,0.00900671,1.81150473,0.84861636,0.74680852
-5.70585293,2.62970980,0.04396062,0.00153652,0.00859274,1.81241721,0.85378819,0.74443988
-5.69984992,2.63297100,0.04461366,0.00151925,0.00819571,1.81450671,0.86165296,0.74150978
-5.69384692,2.63756811,0.04528620,0.00150333,0.00781660,1.81756094,0.87192389,0.73798251
-5.68784392,2.64307430,0.04595091,0.00148880,0.00745606,1.82132553,0.88427106,0.73382760
-5.68184092,2.64900858,0.04658117,0.00147560,0.00711439,1.82550838,0.89832446,0.72902194
-5.67583792,2.65484556,0.04715158,0.00146365,0.00679158,1.82978462,0.91367786,0.72355148
-5.66983492,2.66002602,0.04763843,0.00145277,0.00648727,1.83380207,0.92989357,0.71741235
-5.66383192,2.66396785,0.04802016,0.00144274,0.00620085,1.83718726,0.94650822,0.71061136
-5.65782891,2.66607744,0.04827768,0.00143331,0.00593145,1.83955207,0.96303982,0.70316589
