energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,6.75645010,0.02814073,0.61065653,2.73511834,1.76897898,0.08045069,2.25881931,0.97432040,0.41419771
-5.99399700,6.59195147,0.02906425,0.58720399,2.64553956,1.74497183,0.08279897,2.20289256,0.94368388,0.39855828
-5.98799400,6.42965596,0.02995466,0.56520754,2.55357337,1.72176311,0.08565651,2.14653887,0.91213050,0.38346308
-5.98199100,6.27147066,0.03080717,0.54483252,2.46016844,1.69965995,0.08901107,2.09050558,0.87999690,0.36904978
-5.97598799,6.11936389,0.03161780,0.52623095,2.36632844,1.67902947,0.09284195,2.03555599,0.84764588,0.35544716
-5.96998499,5.97529695,0.03238322,0.50953651,2.27308997,1.66028180,0.09711906,1.98244513,0.81545783,0.34277077
-5.96398199,5.84115325,0.03310059,0.49486044,2.18149959,1.64385014,0.10180240,1.93189450,0.78382072,0.33111892
-5.95797899,5.71866875,0.03376736,0.48228860,2.09259144,1.63016928,0.10684184,1.88456696,0.75311917,0.32056913
-5.95197599,5.60936742,0.03438105,0.47188004,2.00736635,1.61965376,0.11217742,1.84104324,0.72372308,0.31117533
-5.94597299,5.51450547,0.03493900,0.46366691,1.92677341,1.61267704,0.11773998,1.80180114,0.69597644,0.30296593
-5.93996998,5.43502721,0.03543825,0.45765602,1.85169474,1.60955280,0.12345226,1.76719873,0.67018692,0.29594286
-5.93396698,5.37153505,0.03587530,0.45383163,1.78293385,1.61051954,0.12923042,1.73746229,0.64661681,0.29008166
-5.92796398,5.32427505,0.03624607,0.45215951,1.72120776,1.61572935,0.13498590,1.71267980,0.62547564,0.28533261
-5.92196098,5.29313876,0.03654586,0.45259191,1.66714284,1.62524126,0.14062755,1.69280029,0.60691501,0.28162289
-5.91595798,5.27768088,0.03676935,0.45507302,1.62127377,1.63901966,0.14606409,1.67763905,0.59102571,0.27885951
-5.90995498,5.27715141,0.03691072,0.45954466,1.58404527,1.65693756,0.15120655,1.66688854,0.57783727,0.27693304
-5.90395198,5.29054037,0.03696385,0.46595174,1.55581566,1.67878441,0.15597092,1.66013424,0.56731991,0.27572188
-5.89794897,5.31663190,0.03692255,0.47424715,1.53686143,1.70427779,0.16028058,1.65687468,0.55938863,0.27509675
-5.89194597,5.35406454,0.03678080,0.48439556,1.52738194,1.73307808,0.16406868,1.65654445,0.55390921,0.27492536
-5.88594297,5.40139402,0.03653315,0.49637607,1.52750345,1.76480504,0.16728013,1.65853900,0.55070556,0.27507697
-5.87993997,5.45715448,0.03617497,0.51018330,1.53728166,1.79905517,0.16987330,1.66223980,0.54956820,0.27542651
-5.87393697,5.51991485,0.03570284,0.52582676,1.55670235,1.83541860,0.17182121,1.66703853,0.55026303,0.27585832
-5.86793397,5.58832688,0.03511480,0.54332858,1.58567974,1.87349447,0.17311221,1.67235903,0.55254018,0.27626913
-5.86193097,5.66116229,0.03441065,0.56271954,1.62405251,1.91290388,0.17375009,1.67767590,0.55614234,0.27657032
-5.85592796,5.73733728,0.03359211,0.58403362,1.67157767,1.95329958,0.17375358,1.68252889,0.56081210,0.27668935
-5.84992496,5.81592332,0.03266296,0.60730127,1.72792280,1.99437201,0.17315534,1.68653240,0.56629813,0.27657027
-5.84392196,5.89614430,0.03162907,0.63254173,1.79265720,2.03585146,0.17200027,1.68937998,0.57235995,0.27617353
-5.83791896,5.97736108,0.03049835,0.65975492,1.86524292,2.07750653,0.17034353,1.69084377,0.57877117,0.27547495
-5.83191596,6.05904507,0.02928066,0.68891315,1.94502654,2.11913927,0.16824801,1.69076930,0.58532128,0.27446405
-5.82591296,6.14074367,0.02798752,0.71995328,2.03123278,2.16057762,0.16578159,1.68906642,0.59181612,0.27314199
-5.81990995,6.22204055,0.02663192,0.75276976,2.12296084,2.20166609,0.16301433,1.68569720,0.59807733,0.27151903
-5.81390695,6.30251435,0.02522793,0.78720889,2.21918446,2.24225551,0.16001551,1.68066198,0.60394104,0.26961191
-5.80790395,6.38169928,0.02379033,0.82306490,2.31875632,2.28219303,0.15685094,1.67398482,0.60925614,0.26744128
-5.80190095,6.45905125,0.02233425,0.86007787,2.42041741,2.32131326,0.15358049,1.66569943,0.61388267,0.26502917
-5.79589795,6.53392233,0.02087474,0.89793404,2.52281150,2.35943145,0.15025598,1.65583699,0.61769040,0.26239692
-5.78989495,6.60554629,0.01942641,0.93626830,2.62450479,2.39633949,0.14691965,1.64441658,0.62055822,0.25956341
-5.78389195,6.67303658,0.01800306,0.97466921,2.72401031,2.43180519,0.14360314,1.63143924,0.62237435,0.25654395
-5.77788894,6.73539793,0.01661741,1.01268605,2.81981651,2.46557507,0.14032706,1.61688601,0.62303760,0.25334955
-5.77188594,6.79155115,0.01528083,1.04983810,2.91041914,2.49738084,0.13710126,1.60072017,0.62245974,0.24998693
-5.76588294,6.84037034,0.01400319,1.08562554,2.99435536,2.52694909,0.13392562,1.58289367,0.62056889,0.24645897
-5.75987994,6.88073060,0.01279270,1.11954165,3.07023881,2.55401386,0.13079137,1.56335711,0.61731370,0.24276565
-5.75387694,6.91156360,0.01165591,1.15108603,3.13679441,2.57833136,0.12768291,1.54207272,0.61266825,0.23890539
-5.74787394,6.93191797,0.01059771,1.17977812,3.19289132,2.59969599,0.12457989,1.51902934,0.60663708,0.23487669
-5.74187094,6.94102101,0.00962140,1.20517066,3.23757311,2.61795671,0.12145950,1.49425828,0.59926019,0.23067985
-5.73586793,6.93833805,0.00872883,1.22686257,3.27008362,2.63303285,0.11829886,1.46784891,0.59061754,0.22631877
-5.72986493,6.92362591,0.00792053,1.24451081,3.28988776,2.64492816,0.11507724,1.43996270,0.58083255,0.22180262
-5.72386193,6.89697718,0.00719593,1.25784076,3.29668630,2.65374249,0.11177814,1.41084470,0.57007444,0.21714727
-5.71785893,6.85885228,0.00655351,1.26665476,3.29042424,2.65967993,0.10839102,1.38083127,0.55855889,0.21237641
-5.71185593,6.81009730,0.00599101,1.27083860,3.27129240,2.66305296,0.10491260,1.35035351,0.54654692,0.20752221
-5.70585293,6.75194566,0.00550562,1.27036573,3.23972214,2.66428199,0.10134765,1.31993563,0.53434181,0.20262561
-5.69984992,6.68600303,0.00509416,1.26529891,3.19637371,2.66388995,0.09770931,1.29018802,0.52228398,0.19773599
-5.69384692,6.61421532,0.00475316,1.25578956,3.14211836,2.66249182,0.09401884,1.26179523,0.51074394,0.19291045
-5.68784392,6.53882051,0.00447904,1.24207457,3.07801512,2.66077926,0.09030492,1.23549887,0.50011346,0.18821253
-5.68184092,6.46228588,0.00426814,1.22447073,3.00528292,2.65950055,0.08660242,1.21207631,0.49079521,0.18371062
-5.67583792,6.38723277,0.00411679,1.20336709,2.92526914,2.65943655,0.08295089,1.19231578,0.48319118,0.17947590
-5.66983492,6.31635166,0.00402130,1.17921528,2.83941539,2.66137326,0.07939273,1.17698913,0.47769041,0.17558008
-5.66383192,6.25231093,0.00397800,1.15251824,2.74922186,2.66607207,0.07597123,1.16682323,0.47465636,0.17209299
-5.65782891,6.19766277,0.00398317,1.12381758,2.65621101,2.67423888,0.07272846,1.16247137,0.47441448,0.16908008
-5.65182591,6.15475020,0.00403302,1.09367995,2.56189192,2.68649314,0.06970335,1.16448606,0.47724051,0.16659999
-5.64582291,6.12561897,0.00412366,1.06268288,2.46772609,2.70333839,0.06692981,1.17329425,0.48334997,0.16470229
-5.63981991,6.11193812,0.00425101,1.03140049,2.37509574,2.72513559,0.06443519,1.18917638,0.49288921,0.16342551
-5.63381691,6.11493264,0.00441080,1.00038938,2.28527533,2.75208053,0.06223896,1.21225015,0.50592860,0.16279542
-5.62781391,6.13533123,0.00459852,0.97017539,2.19940705,2.78418666,0.06035186,1.24245984,0.52245804,0.16282390
-5.62181091,6.17333161,0.00480944,0.94124130,2.11848087,2.82127427,0.05877543,1.27957165,0.54238502,0.16350814
-5.61580790,6.22858494,0.00503858,0.91401616,2.04331949,2.86296697,0.05750192,1.32317558,0.56553540,0.16483046
-5.60980490,6.30020032,0.00528076,0.88886643,1.97456850,2.90869575,0.05651465,1.37269353,0.59165691,0.16675858
-5.60380190,6.38676919,0.00553065,0.86608912,1.91269188,2.95771088,0.05578877,1.42739352,0.62042524,0.16924643
-5.59779890,6.48640874,0.00578284,0.84590742,1.85797261,3.00910140,0.05529229,1.48640942,0.65145240,0.17223539
-5.59179590,6.59682232,0.00603191,0.82846852,1.81051829,3.06182128,0.05498744,1.54876515,0.68429727,0.17565599
-5.58579290,6.71537428,0.00627255,0.81384399,1.77027122,3.11472154,0.05483219,1.61340257,0.71847751,0.17942984
-5.57978989,6.83917570,0.00649968,0.80203239,1.73702246,3.16658665,0.05478195,1.67921151,0.75348275,0.18347189
-5.57378689,6.96517732,0.00670852,0.79296411,1.71042902,3.21617374,0.05479121,1.74506087,0.78878818,0.18769269
-5.56778389,7.09026521,0.00689473,0.78650795,1.69003359,3.26225279,0.05481528,1.80982931,0.82386810,0.19200078
-5.56178089,7.21135524,0.00705451,0.78247932,1.67528572,3.30364592,0.05481179,1.87243421,0.85820891,0.19630491
-5.55577789,7.32548202,0.00718470,0.78064952,1.66556372,3.33926404,0.05474210,1.93185788,0.89132095,0.20051611
-5.54977489,7.42987901,0.00728282,0.78075569,1.66019637,3.36813921,0.05457244,1.98716984,0.92274880,0.20454954
-5.54377189,7.52204654,0.00734717,0.78251097,1.65848365,3.38945137,0.05427482,2.03754468,0.95207974,0.20832595
-5.53776888,7.59980579,0.00737685,0.78561456,1.65971592,3.40254852,0.05382762,2.08227489,0.97895006,0.21177290
-5.53176588,7.66133744,0.00737176,0.78976112,1.66319078,3.40695971,0.05321590,2.12077874,1.00304933,0.21482554
-5.52576288,7.70520471,0.00733264,0.79464927,1.66822757,3.40240068,0.05243138,2.15260314,1.02412250,0.21742714
-5.51975988,7.73036141,0.00726101,0.79998895,1.67417906,3.38877252,0.05147224,2.17742223,1.04197020,0.21952927
-5.51375688,7.73614655,0.00715915,0.80550748,1.68044051,3.36615393,0.05034259,2.19503227,1.05644735,0.22109182
-5.50775388,7.72226766,0.00703004,0.81095420,1.68645610,3.33478817,0.04905177,2.20534365,1.06746070,0.22208276
-5.50175088,7.68877530,0.00687731,0.81610372,1.69172323,3.29506579,0.04761354,2.20837113,1.07496545,0.22247786
-5.49574787,7.63603193,0.00670516,0.82075796,1.69579492,3.24750458,0.04604518,2.20422319,1.07896165,0.22226044
-5.48974487,7.56467763,0.00651830,0.82474705,1.69828092,3.19272809,0.04436647,2.19309148,1.07949050,0.22142100
-5.48374187,7.47559557,0.00632184,0.82792930,1.69884791,3.13144401,0.04259878,2.17524102,1.07663123,0.21995711
-5.47773887,7.36987930,0.00612123,0.83019063,1.69721933,3.06442352,0.04076417,2.15100183,1.07049840,0.21787328
-5.47173587,7.24880343,0.00592221,0.83144350,1.69317525,2.99248249,0.03888459,2.12076229,1.06124011,0.21518097
-5.46573287,7.11379870,0.00573064,0.83162572,1.68655244,2.91646513,0.03698119,2.08496425,1.04903687,0.21189876
-5.45972986,6.96643146,0.00555250,0.83069932,1.67724497,2.83723033,0.03507379,2.04409966,1.03410112,0.20805245
-5.45372686,6.80838730,0.00539375,0.82864944,1.66520519,2.75564075,0.03318049,1.99870840,1.01667707,0.20367530
-5.44772386,6.64145748,0.00526027,0.82548364,1.65044500,2.67255425,0.03131739,1.94937659,0.99704066,0.19880811
-5.44172086,6.46752682,0.00515771,0.82123126,1.63303725,2.58881727,0.02949853,1.89673476,0.97549907,0.19349922
-5.43571786,6.28856112,0.00509144,0.81594306,1.61311665,2.50525944,0.02773582,1.84145500,0.95238954,0.18780429
-5.42971486,6.10659241,0.00506638,0.80969079,1.59088003,2.42268868,0.02603917,1.78424646,0.92807708,0.18178582
-5.42371186,5.92370016,0.00508693,0.80256673,1.56658524,2.34188614,0.02441663,1.72584865,0.90295063,0.17551240
-5.41770885,5.74198726,0.00515679,0.79468274,1.54054835,2.26360032,0.02287457,1.66702197,0.87741769,0.16905760
-5.41170585,5.56354984,0.00527889,0.78616888,1.51313874,2.18853997,0.02141794,1.60853550,0.85189707,0.16249856
-5.40570285,5.39044074,0.00545522,0.77717116,1.48477183,2.11736540,0.02005042,1.55115191,0.82681011,0.15591429
-5.39969985,5.22462713,0.00568673,0.76784855,1.45589926,2.05067832,0.01877463,1.49561017,0.80257029,0.14938368
-5.39369685,5.06794341,0.00597322,0.75836886,1.42699669,1.98901035,0.01759227,1.44260635,0.77957189,0.14298342
-5.38769385,4.92204128,0.00631326,0.74890377,1.39854935,1.93281070,0.01650423,1.39277369,0.75817789,0.13678579
-5.38169085,4.78833927,0.00670414,0.73962292,1.37103583,1.88243367,0.01551065,1.34666270,0.73870802,0.13085645
-5.37568784,4.66797447,0.00714184,0.73068733,1.34491078,1.83812681,0.01461098,1.30472258,0.72142731,0.12525246
-5.36968484,4.56175946,0.00762106,0.72224238,1.32058721,1.80002060,0.01380391,1.26728510,0.70653600,0.12002047
-5.36368184,4.47014724,0.00813525,0.71441072,1.29841921,1.76812056,0.01308742,1.23455188,0.69416144,0.11519527
-5.35767884,4.39320692,0.00867675,0.70728554,1.27868623,1.74230273,0.01245870,1.20658614,0.68435232,0.11079884
-5.35167584,4.33061238,0.00923694,0.70092448,1.26157949,1.72231307,0.01191415,1.18330960,0.67707603,0.10683985
-5.34567284,4.28164551,0.00980642,0.69534483,1.24719168,1.70777143,0.01144938,1.16450492,0.67221912,0.10331367
-5.33966983,4.24521494,0.01037528,0.69052021,1.23551049,1.69818032,0.01105923,1.14982392,0.66959109,0.10020307
-5.33366683,4.21989019,0.01093333,0.68637913,1.22641648,1.69293842,0.01073786,1.13880137,0.66893157,0.09747929
-5.32766383,4.20395054,0.01147045,0.68280568,1.21968576,1.69135861,0.01047881,1.13087376,0.66992041,0.09510374
-5.32166083,4.19544682,0.01197683,0.67964234,1.21499735,1.69268988,0.01027520,1.12540241,0.67219038,0.09303007
-5.31565783,4.19227372,0.01244334,0.67669505,1.21194511,1.69614234,0.01011992,1.12169984,0.67534202,0.09120656
-5.30965483,4.19224949,0.01286180,0.67374022,1.21005381,1.70091425,0.01000585,1.11905814,0.67895966,0.08957877
-5.30365183,4.19319965,0.01322523,0.67053356,1.20879858,1.70621995,0.00992611,1.11677806,0.68262820,0.08809223
-5.29764882,4.19304073,0.01352810,0.66682015,1.20762680,1.71131754,0.00987439,1.11419751,0.68594957,0.08669518
-5.29164582,4.18986055,0.01376651,0.66234545,1.20598157,1.71553493,0.00984518,1.11071805,0.68855838,0.08534108
-5.28564282,4.18199123,0.01393827,0.65686650,1.20332541,1.71829331,0.00983408,1.10582831,0.69013576,0.08399094
-5.27963982,4.16807190,0.01404303,0.65016300,1.19916322,1.71912704,0.00983805,1.09912323,0.69042113,0.08261522
-5.27363682,4.14709859,0.01408217,0.64204740,1.19306331,1.71769912,0.00985562,1.09031844,0.68922106,0.08119531
-5.26763382,4.11845925,0.01405883,0.63237380,1.18467558,1.71381194,0.00988710,1.07925926,0.68641524,0.07972452
-5.26163082,4.08195303,0.01397769,0.62104499,1.17374598,1.70741279,0.00993463,1.06592402,0.68195923,0.07820855
-5.25562781,4.03779343,0.01384481,0.60801741,1.16012674,1.69859443,0.01000233,1.05042201,0.67588398,0.07666536
-5.24962481,3.98659590,0.01366741,0.59330383,1.14378185,1.68759080,0.01009622,1.03298613,0.66829243,0.07512461
-5.24362181,3.92935109,0.01345358,0.57697363,1.12478785,1.67476832,0.01022417,1.01396105,0.65935341,0.07362655
-5.23761881,3.86738563,0.01321200,0.55915073,1.10332995,1.66061352,0.01039576,0.99378755,0.64929327,0.07222051
-5.23161581,3.80231265,0.01295163,0.54000944,1.07969389,1.64571757,0.01062207,0.97298392,0.63838575,0.07096310
-5.22561281,3.73597461,0.01268146,0.51976831,1.05425402,1.63075847,0.01091537,0.95212552,0.62694069,0.06991604
-5.21960980,3.67038121,0.01241018,0.49868262,1.02745841,1.61648170,0.01128886,0.93182331,0.61529210,0.06914396
-5.21360680,3.60764477,0.01214600,0.47703563,0.99981173,1.60367994,0.01175625,0.91270255,0.60378612,0.06871206
-5.20760380,3.54991587,0.01189640,0.45512926,0.97185669,1.59317242,0.01233138,0.89538229,0.59276943,0.06868378
-5.20160080,3.49932108,0.01166799,0.43327451,0.94415512,1.58578450,0.01302778,0.88045657,0.58257853,0.06911866
-5.19559780,3.45790486,0.01146638,0.41178210,0.91726917,1.58232769,0.01385826,0.86847785,0.57353017,0.07007028
-5.18959480,3.42757689,0.01129612,0.39095366,0.89174364,1.58358057,0.01483443,0.85994304,0.56591330,0.07158452
