energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,2.57969626,0.02666243,0.39502823,0.86400202,1.26062711,0.90553799,1.04906024,0.00000000
-5.99399700,2.60393000,0.02634586,0.39935500,0.85739048,1.28015321,0.91588059,1.05859503,0.00000000
-5.98799400,2.61825718,0.02585752,0.40197210,0.84621270,1.29486663,0.92350854,1.06393993,0.00000000
-5.98199100,2.62280106,0.02520862,0.40287294,0.83073193,1.30467978,0.92851885,1.06508962,0.00000000
-5.97598799,2.61781773,0.02441358,0.40207319,0.81127566,1.30955892,0.93105226,1.06208707,0.00000000
-5.96998499,2.60368834,0.02348950,0.39961005,0.78822462,1.30952367,0.93129013,1.05502156,0.00000000
-5.96398199,2.58090985,0.02245560,0.39554143,0.76200087,1.30464651,0.92945069,1.04402657,0.00000000
-5.95797899,2.55008455,0.02133265,0.38994463,0.73305545,1.29505187,0.92578465,1.02927742,0.00000000
-5.95197599,2.51190797,0.02014223,0.38291498,0.70185609,1.28091500,0.92056986,1.01098884,0.00000000
-5.94597299,2.46715534,0.01890620,0.37456410,0.66887544,1.26246026,0.91410504,0.98941201,0.00000000
-5.93996998,2.41666633,0.01764599,0.36501786,0.63458016,1.23995870,0.90670248,0.96483132,0.00000000
-5.93396698,2.36132814,0.01638213,0.35441412,0.59942120,1.21372481,0.89867977,0.93756046,0.00000000
-5.92796398,2.30205697,0.01513366,0.34290019,0.56382545,1.18411211,0.89035052,0.90793792,0.00000000
-5.92196098,2.23977806,0.01391783,0.33062996,0.52818891,1.15150769,0.88201443,0.87632175,0.00000000
-5.91595798,2.17540474,0.01274969,0.31776095,0.49287142,1.11632552,0.87394691,0.84308364,0.00000000
-5.90995498,2.10981697,0.01164196,0.30445107,0.45819292,1.07899866,0.86638859,0.80860241,0.00000000
-5.90395198,2.04384006,0.01060484,0.29085542,0.42443122,1.03997061,0.85953537,0.77325700,0.00000000
-5.89794897,1.97822451,0.00964605,0.27712311,0.39182104,0.99968590,0.85352936,0.73741926,0.00000000
-5.89194597,1.91362763,0.00877089,0.26339415,0.36055431,0.95858052,0.84845131,0.70144672,0.00000000
-5.88594297,1.85059806,0.00798234,0.24979675,0.33078140,0.91707236,0.84431509,0.66567570,0.00000000
-5.87993997,1.78956405,0.00728133,0.23644488,0.30261331,0.87555226,0.84106464,0.63041501,0.00000000
-5.87393697,1.73082597,0.00666695,0.22343637,0.27612439,0.83437612,0.83857376,0.59594063,0.00000000
-5.86793397,1.67455395,0.00613675,0.21085159,0.25135563,0.79385836,0.83664894,0.56249160,0.00000000
-5.86193097,1.62079070,0.00568708,0.19875274,0.22831826,0.75426724,0.83503537,0.53026720,0.00000000
-5.85592796,1.56945967,0.00531335,0.18718380,0.20699759,0.71582221,0.83342592,0.49942586,0.00000000
-5.84992496,1.52037812,0.00501036,0.17617118,0.18735688,0.67869333,0.83147280,0.47008550,0.00000000
-5.84392196,1.47327484,0.00477262,0.16572490,0.16934121,0.64300302,0.82880160,0.44232548,0.00000000
-5.83791896,1.42781127,0.00459454,0.15584033,0.15288127,0.60882976,0.82502681,0.41619001,0.00000000
-5.83191596,1.38360544,0.00447070,0.14650045,0.13789690,0.57621362,0.81976841,0.39169267,0.00000000
-5.82591296,1.34025706,0.00439602,0.13767826,0.12430044,0.54516329,0.81266851,0.36882195,0.00000000
-5.81990995,1.29737292,0.00436586,0.12933953,0.11199972,0.51566412,0.80340739,0.34754733,0.00000000
-5.81390695,1.25459101,0.00437615,0.12144550,0.10090077,0.48768671,0.79171797,0.32782558,0.00000000
-5.80790395,1.21160221,0.00442338,0.11395546,0.09091012,0.46119554,0.77739822,0.30960703,0.00000000
-5.80190095,1.16816869,0.00450461,0.10682924,0.08193670,0.43615717,0.76032080,0.29284135,0.00000000
-5.79589795,1.12413786,0.00461744,0.10002922,0.07389342,0.41254749,0.74043941,0.27748256,0.00000000
-5.78989495,1.07945162,0.00475987,0.09352211,0.06669829,0.39035774,0.71779184,0.26349309,0.00000000
-5.78389195,1.03415040,0.00493022,0.08728015,0.06027520,0.36959887,0.69249934,0.25084677,0.00000000
-5.77788894,0.98837197,0.00512698,0.08128193,0.05455440,0.35030414,0.66476268,0.23953044,0.00000000
-5.77188594,0.94234557,0.00534865,0.07551275,0.04947264,0.33252981,0.63485508,0.22954447,0.00000000
-5.76588294,0.89638151,0.00559358,0.06996457,0.04497308,0.31635392,0.60311236,0.22090195,0.00000000
-5.75987994,0.85085735,0.00585984,0.06463553,0.04100500,0.30187336,0.56992115,0.21362700,0.00000000
-5.75387694,0.80620127,0.00614509,0.05952923,0.03752337,0.28919929,0.53570541,0.20775201,0.00000000
-5.74787394,0.76287383,0.00644643,0.05465384,0.03448835,0.27845132,0.50091237,0.20331443,0.00000000
-5.74187094,0.72134903,0.00676037,0.05002094,0.03186473,0.26975073,0.46599820,0.20035305,0.00000000
-5.73586793,0.68209571,0.00708280,0.04564444,0.02962136,0.26321301,0.43141430,0.19890417,0.00000000
-5.72986493,0.64556020,0.00740895,0.04153946,0.02773075,0.25894034,0.39759470,0.19899796,0.00000000
-5.72386193,0.61215101,0.00773349,0.03772129,0.02616856,0.25701415,0.36494504,0.20065515,0.00000000
-5.71785893,0.58222615,0.00805062,0.03420449,0.02491339,0.25748834,0.33383351,0.20388426,0.00000000
-5.71185593,0.55608366,0.00835417,0.03100221,0.02394650,0.26038338,0.30458396,0.20867970,0.00000000
-5.70585293,0.53395536,0.00863783,0.02812562,0.02325178,0.26568165,0.27747132,0.21502056,0.00000000
-5.69984992,0.51600408,0.00889531,0.02558360,0.02281569,0.27332423,0.25271921,0.22287045,0.00000000
-5.69384692,0.50232414,0.00912057,0.02338260,0.02262735,0.28320944,0.23049977,0.23217823,0.00000000
-5.68784392,0.49294478,0.00930803,0.02152666,0.02267861,0.29519299,0.21093531,0.24287955,0.00000000
-5.68184092,0.48783621,0.00945280,0.02001759,0.02296417,0.30909007,0.19410153,0.25489926,0.00000000
-5.67583792,0.48691747,0.00955089,0.01885523,0.02348163,0.32467903,0.18003205,0.26815431,0.00000000
-5.66983492,0.49006591,0.00959933,0.01803784,0.02423148,0.34170675,0.16872370,0.28255718,0.00000000
-5.66383192,0.49712719,0.00959636,0.01756240,0.02521698,0.35989534,0.16014230,0.29801942,0.00000000
-5.65782891,0.50792553,0.00954148,0.01742509,0.02644397,0.37894997,0.15422860,0.31445518,0.00000000
-5.65182591,0.52227335,0.00943548,0.01762151,0.02792044,0.39856739,0.15090386,0.33178452,0.00000000
-5.64582291,0.53997992,0.00928045,0.01814707,0.02965602,0.41844493,0.15007509,0.34993613,0.00000000
-5.63981991,0.56085855,0.00907969,0.01899711,0.03166132,0.43828939,0.15163941,0.36884944,0.00000000
-5.63381691,0.58473189,0.00883758,0.02016701,0.03394711,0.45782554,0.15548768,0.38847583,0.00000000
-5.62781391,0.61143529,0.00855944,0.02165227,0.03652343,0.47680379,0.16150717,0.40877895,0.00000000
-5.62181091,0.64081818,0.00825130,0.02344834,0.03939868,0.49500673,0.16958323,0.42973397,0.00000000
-5.61580790,0.67274343,0.00791970,0.02555058,0.04257865,0.51225417,0.17960028,0.45132602,0.00000000
-5.60980490,0.70708501,0.00757145,0.02795398,0.04606567,0.52840660,0.19144186,0.47354762,0.00000000
-5.60380190,0.74372431,0.00721336,0.03065297,0.04985789,0.54336684,0.20499034,0.49639552,0.00000000
-5.59779890,0.78254553,0.00685206,0.03364121,0.05394879,0.55707991,0.22012610,0.51986703,0.00000000
-5.59179590,0.82343050,0.00649374,0.03691137,0.05832693,0.56953121,0.23672671,0.54395609,0.00000000
-5.58579290,0.86625372,0.00614399,0.04045493,0.06297604,0.58074312,0.25466604,0.56864941,0.00000000
-5.57978989,0.91087773,0.00580766,0.04426217,0.06787557,0.59077032,0.27381381,0.59392292,0.00000000
-5.57378689,0.95714958,0.00548872,0.04832209,0.07300149,0.59969408,0.29403534,0.61973873,0.00000000
-5.56778389,1.00489845,0.00519022,0.05262251,0.07832764,0.60761587,0.31519202,0.64604289,0.00000000
-5.56178089,1.05393487,0.00491429,0.05715021,0.08382737,0.61465062,0.33714219,0.67276399,0.00000000
-5.55577789,1.10405136,0.00466211,0.06189118,0.08947549,0.62091998,0.35974268,0.69981280,0.00000000
