energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.53643166,0.00943472,0.04929179,0.49534919,0.29162030,0.00900781,0.93506606,0.44818799,0.10584715
-5.99399700,1.54795399,0.00844727,0.04992475,0.50322986,0.29189306,0.00903511,0.94359451,0.45104853,0.10751253
-5.98799400,1.56230661,0.00756713,0.05043710,0.51256412,0.29291717,0.00910332,0.95402753,0.45454323,0.10921094
-5.98199100,1.57907970,0.00679030,0.05081833,0.52314727,0.29461873,0.00920969,0.96612341,0.45858813,0.11091956
-5.97598799,1.59791528,0.00611261,0.05106144,0.53478123,0.29693308,0.00935156,0.97967071,0.46311848,0.11262076
-5.96998499,1.61852320,0.00552991,0.05116298,0.54728254,0.29980790,0.00952650,0.99449838,0.46809248,0.11430275
-5.96398199,1.64069320,0.00503815,0.05112303,0.56048936,0.30320545,0.00973244,1.01048362,0.47349382,0.11596012
-5.95797899,1.66430278,0.00463347,0.05094508,0.57426718,0.30710384,0.00996784,1.02755690,0.47933263,0.11759403
-5.95197599,1.68932023,0.00431220,0.05063580,0.58851300,0.31149724,0.01023173,1.04570413,0.48564504,0.11921216
-5.94597299,1.71580256,0.00407090,0.05020479,0.60315781,0.31639502,0.01052379,1.06496553,0.49249112,0.12082844
-5.93996998,1.74388829,0.00390633,0.04966420,0.61816697,0.32181981,0.01084435,1.08543118,0.49995120,0.12246237
-5.93396698,1.77378511,0.00381535,0.04902832,0.63353867,0.32780455,0.01119432,1.10723335,0.50812085,0.12413814
-5.92796398,1.80575274,0.00379486,0.04831312,0.64930020,0.33438856,0.01157517,1.13053567,0.51710446,0.12588347
-5.92196098,1.84008138,0.00384173,0.04753571,0.66550234,0.34161295,0.01198873,1.15551949,0.52700773,0.12772814
-5.91595798,1.87706672,0.00395265,0.04671381,0.68221187,0.34951533,0.01243711,1.18236800,0.53792939,0.12970241
-5.90995498,1.91698237,0.00412404,0.04586517,0.69950261,0.35812423,0.01292242,1.21124853,0.54995243,0.13183513
-5.90395198,1.96005085,0.00435194,0.04500702,0.71744535,0.36745348,0.01344661,1.24229409,0.56313530,0.13415196
-5.89794897,2.00641469,0.00463190,0.04415548,0.73609719,0.37749673,0.01401120,1.27558478,0.57750337,0.13667337
-5.89194597,2.05610902,0.00495892,0.04332502,0.75549086,0.38822259,0.01461705,1.31113017,0.59304134,0.13941288
-5.88594297,2.10903715,0.00532740,0.04252798,0.77562451,0.39957057,0.01526415,1.34885362,0.60968685,0.14237537
-5.87993997,2.16495081,0.00573107,0.04177418,0.79645280,0.41144813,0.01595136,1.38857955,0.62732574,0.14555571
-5.87393697,2.22343628,0.00616305,0.04107051,0.81787971,0.42372915,0.01667629,1.43002452,0.64578945,0.14893768
-5.86793397,2.28390761,0.00661586,0.04042078,0.83975365,0.43625394,0.01743511,1.47279287,0.66485470,0.15249342
-5.86193097,2.34560779,0.00708148,0.03982558,0.86186528,0.44883090,0.01822252,1.51637748,0.68424573,0.15618327
-5.85592796,2.40761828,0.00755149,0.03928227,0.88394835,0.46123996,0.01903171,1.56016603,0.70363910,0.15995616
-5.84992496,2.46887703,0.00801719,0.03878518,0.90568369,0.47323758,0.01985439,1.60345262,0.72267108,0.16375059
-5.84392196,2.52820438,0.00846976,0.03832585,0.92670622,0.48456331,0.02068095,1.64545462,0.74094725,0.16749608
-5.83791896,2.58433608,0.00890046,0.03789346,0.94661486,0.49494754,0.02150057,1.68533412,0.75805420,0.17111505
-5.83191596,2.63596208,0.00930081,0.03747533,0.96498486,0.50412022,0.02230152,1.72222310,0.77357261,0.17452524
-5.82591296,2.68176929,0.00966280,0.03705752,0.98138210,0.51182007,0.02307139,1.75525130,0.78709138,0.17764224
-5.81990995,2.72048660,0.00997909,0.03662547,0.99537850,0.51780388,0.02379743,1.78357546,0.79822200,0.18038239
-5.81390695,2.75092979,0.01024321,0.03616468,1.00656804,0.52185549,0.02446688,1.80640867,0.80661267,0.18266555
-5.80790395,2.77204441,0.01044969,0.03566138,1.01458242,0.52379393,0.02506735,1.82304834,0.81196125,0.18441801
-5.80190095,2.78294449,0.01059425,0.03510318,1.01910567,0.52348046,0.02558713,1.83290157,0.81402678,0.18557495
-5.79589795,2.78294535,0.01067384,0.03447961,1.01988699,0.52082398,0.02601556,1.83550672,0.81263867,0.18608281
-5.78989495,2.77158887,0.01068678,0.03378260,1.01675112,0.51578473,0.02634328,1.83055012,0.80770335,0.18590105
-5.78389195,2.74866038,0.01063275,0.03300682,1.00960595,0.50837603,0.02656255,1.81787737,0.79920806,0.18500357
-5.77788894,2.71419620,0.01051276,0.03214994,0.99844676,0.49866398,0.02666741,1.79749866,0.78722145,0.18337946
-5.77188594,2.66848207,0.01032912,0.03121264,0.98335726,0.48676525,0.02665386,1.76958806,0.77189132,0.18103328
-5.76588294,2.61204250,0.01008535,0.03019864,0.96450710,0.47284305,0.02651995,1.73447701,0.75343926,0.17798472
-5.75987994,2.54562189,0.00978602,0.02911444,0.94214639,0.45710152,0.02626581,1.69264238,0.73215286,0.17426779
-5.75387694,2.47015864,0.00943663,0.02796910,0.91659729,0.43977888,0.02589363,1.64468997,0.70837556,0.16992952
-5.74787394,2.38675360,0.00904341,0.02677378,0.88824326,0.42113963,0.02540759,1.59133421,0.68249497,0.16502827
-5.74187094,2.29663445,0.00861317,0.02554133,0.85751657,0.40146632,0.02481375,1.53337520,0.65492992,0.15963181
-5.73586793,2.20111791,0.00815303,0.02428576,0.82488453,0.38105110,0.02411983,1.47167419,0.62611705,0.15381515
-5.72986493,2.10157129,0.00767031,0.02302174,0.79083534,0.36018762,0.02333509,1.40712857,0.59649745,0.14765826
-5.72386193,1.99937525,0.00717229,0.02176409,0.75586391,0.33916343,0.02247003,1.34064745,0.56650389,0.14124390
-5.71785893,1.89588901,0.00666604,0.02052733,0.72045849,0.31825331,0.02153620,1.27312893,0.53654917,0.13465542
-5.71185593,1.79241953,0.00615833,0.01932523,0.68508851,0.29771377,0.02054592,1.20543958,0.50701604,0.12797482
-5.70585293,1.69019536,0.00565540,0.01817050,0.65019412,0.27777866,0.01951203,1.13839710,0.47824889,0.12128100
-5.69984992,1.59034602,0.00516295,0.01707454,0.61617771,0.25865625,0.01844764,1.07275644,0.45054764,0.11464830
-5.69384692,1.49388719,0.00468600,0.01604725,0.58339770,0.24052761,0.01736593,1.00919960,0.42416371,0.10814539
-5.68784392,1.40171173,0.00422889,0.01509698,0.55216463,0.22354624,0.01627988,0.94832932,0.39929825,0.10183438
-5.68184092,1.31458642,0.00379521,0.01423050,0.52273956,0.20783893,0.01520213,0.89066637,0.37610238,0.09577040
-5.67583792,1.23315372,0.00338783,0.01345311,0.49533457,0.19350758,0.01414479,0.83665025,0.35467945,0.09000131
-5.66983492,1.15793800,0.00300893,0.01276878,0.47011524,0.18063178,0.01311930,0.78664275,0.33508876,0.08456784
-5.66383192,1.08935534,0.00265999,0.01218032,0.44720462,0.16927202,0.01213637,0.74093397,0.31735077,0.07950384
-5.65782891,1.02772579,0.00234190,0.01168960,0.42668841,0.15947316,0.01120586,0.69974992,0.30145311,0.07483676
-5.65182591,0.97328713,0.00205498,0.01129777,0.40862088,0.15126795,0.01033679,0.66326128,0.28735718,0.07058824
-5.64582291,0.92620901,0.00179907,0.01100548,0.39303102,0.14468046,0.00953727,0.63159237,0.27500493,0.06677480
-5.63981991,0.88660646,0.00157360,0.01081306,0.37992856,0.13972903,0.00881457,0.60482980,0.26432537,0.06340847
-5.63381691,0.85455176,0.00137766,0.01072066,0.36930932,0.13642871,0.00817510,0.58303018,0.25524060,0.06049744
-5.62781391,0.83008395,0.00121004,0.01072833,0.36115963,0.13479296,0.00762449,0.56622622,0.24767089,0.05804659
-5.62181091,0.81321536,0.00106936,0.01083608,0.35545953,0.13483453,0.00716758,0.55443101,0.24153880,0.05605789
-5.61580790,0.80393471,0.00095407,0.01104382,0.35218447,0.13656549,0.00680851,0.54764006,0.23677198,0.05453069
-5.60980490,0.80220674,0.00086251,0.01135127,0.35130551,0.13999631,0.00655073,0.54583110,0.23330481,0.05346174
-5.60380190,0.80796835,0.00079297,0.01175778,0.35278807,0.14513424,0.00639699,0.54896160,0.23107861,0.05284519
-5.59779890,0.82112173,0.00074372,0.01226217,0.35658934,0.15198081,0.00634938,0.55696444,0.23004084,0.05267228
-5.59179590,0.84152506,0.00071302,0.01286243,0.36265460,0.16052890,0.00640926,0.56974189,0.23014318,0.05293104
-5.58579290,0.86898149,0.00069915,0.01355552,0.37091290,0.17075935,0.00657721,0.58715865,0.23133892,0.05360582
-5.57978989,0.90322758,0.00070045,0.01433702,0.38127233,0.18263744,0.00685299,0.60903449,0.23357976,0.05467681
-5.57378689,0.94392204,0.00071529,0.01520096,0.39361566,0.19610942,0.00723538,0.63513720,0.23681258,0.05611961
-5.56778389,0.99063611,0.00074210,0.01613959,0.40779645,0.21109946,0.00772211,0.66517666,0.24097622,0.05790485
-5.56178089,1.04284651,0.00077941,0.01714322,0.42363639,0.22750715,0.00830971,0.69880074,0.24599873,0.05999795
-5.55577789,1.09993202,0.00082581,0.01820015,0.44092416,0.24520583,0.00899339,0.73559353,0.25179541,0.06235911
-5.54977489,1.16117442,0.00087996,0.01929670,0.45941600,0.26404196,0.00976692,0.77507665,0.25826773,0.06494349
