energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.57557978,1.21991021,3.13660373,0.00725131,0.06317790,0.00769980,0.24652897
-5.99399700,3.43369288,1.16250531,3.01501814,0.00717276,0.05992491,0.00736248,0.23692513
-5.98799400,3.30450641,1.10843846,2.90443538,0.00712389,0.05684310,0.00701421,0.22833932
-5.98199100,3.18982641,1.05826894,2.80645374,0.00710985,0.05395957,0.00666046,0.22089689
-5.97598799,3.09118823,1.01250114,2.72243139,0.00713524,0.05129826,0.00630672,0.21470120
-5.96998499,3.00982533,0.97157595,2.65345856,0.00720388,0.04887966,0.00595840,0.20983124
-5.96398199,2.94664294,0.93586197,2.60033441,0.00731869,0.04672052,0.00562066,0.20633951
-5.95797899,2.90219768,0.90564692,2.56354924,0.00748155,0.04483362,0.00529828,0.20425053
-5.95197599,2.87668347,0.88112937,2.54327264,0.00769315,0.04322747,0.00499559,0.20355988
-5.94597299,2.86992467,0.86241133,2.53934803,0.00795295,0.04190621,0.00471630,0.20423378
-5.93996998,2.88137677,0.84949213,2.55129413,0.00825908,0.04086940,0.00446343,0.20620953
-5.93396698,2.91013531,0.84226405,2.57831355,0.00860835,0.04011201,0.00423928,0.20939655
-5.92796398,2.95495311,0.84051023,2.61930881,0.00899626,0.03962444,0.00404533,0.21367825
-5.92196098,3.01426593,0.84390525,2.67290556,0.00941708,0.03939262,0.00388227,0.21891462
-5.91595798,3.08622644,0.85201880,2.73748308,0.00986396,0.03939833,0.00374996,0.22494552
-5.90995498,3.16874602,0.86432267,2.81121131,0.01032905,0.03961948,0.00364752,0.23159466
-5.90395198,3.25954363,0.88020113,2.89209397,0.01080371,0.04003073,0.00357333,0.23867412
-5.89794897,3.35620070,0.89896481,2.97801669,0.01127874,0.04060402,0.00352514,0.24598926
-5.89194597,3.45622080,0.91986752,3.06679906,0.01174457,0.04130936,0.00350015,0.25334395
-5.88594297,3.55709224,0.94212593,3.15624910,0.01219157,0.04211567,0.00349514,0.26054584
-5.87993997,3.65635201,0.96494124,3.24421865,0.01261024,0.04299165,0.00350661,0.26741164
-5.87393697,3.75164880,0.98752222,3.32865785,0.01299153,0.04390676,0.00353087,0.27377203
