energy_ev,total_up,As_p_up,As_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,1.40990711,0.25773138,0.00000000,0.73121516,0.37765539,0.11310455,0.27260627
-5.99399700,1.38884377,0.25810336,0.00000000,0.73094226,0.36820827,0.11063123,0.27056089
-5.98799400,1.37029235,0.25988334,0.00000000,0.73214908,0.35902626,0.10810233,0.26830882
-5.98199100,1.35547034,0.26332120,0.00000000,0.73540416,0.35042785,0.10558651,0.26602155
-5.97598799,1.34553772,0.26863605,0.00000000,0.74124274,0.34272184,0.10315053,0.26387365
-5.96998499,1.34157244,0.27601004,0.00000000,0.75015160,0.33620186,0.10085850,0.26203855
-5.96398199,1.34454810,0.28558320,0.00000000,0.76255496,0.33114138,0.09877115,0.26068434
-5.95797899,1.35531434,0.29744927,0.00000000,0.77880211,0.32778923,0.09694544,0.25996967
-5.95197599,1.37458021,0.31165287,0.00000000,0.79915709,0.32636578,0.09543430,0.26004004
-5.94597299,1.40290100,0.32818785,0.00000000,0.82379089,0.32705976,0.09428657,0.26102442
-5.93996998,1.44066861,0.34699707,0.00000000,0.85277645,0.33002580,0.09354706,0.26303256
-5.93396698,1.48810573,0.36797344,0.00000000,0.88608668,0.33538258,0.09325671,0.26615276
-5.92796398,1.54526372,0.39096237,0.00000000,0.92359562,0.34321176,0.09345286,0.27045054
-5.92196098,1.61202429,0.41576534,0.00000000,0.96508255,0.35355749,0.09416946,0.27596786
-5.91595798,1.68810456,0.44214468,0.00000000,1.01023905,0.36642658,0.09543721,0.28272310
-5.90995498,1.77306532,0.46982923,0.00000000,1.05867851,0.38178923,0.09728368,0.29071168
-5.90395198,1.86632194,0.49852080,0.00000000,1.10994762,0.39958013,0.09973318,0.29990716
-5.89794897,1.96715748,0.52790114,0.00000000,1.16353935,0.41970004,0.10280643,0.31026275
-5.89194597,2.07473723,0.55763917,0.00000000,1.21890667,0.44201757,0.10652004,0.32171299
-5.88594297,2.18812420,0.58739826,0.00000000,1.27547630,0.46637112,0.11088567,0.33417566
-5.87993997,2.30629479,0.61684322,0.00000000,1.33266193,0.49257090,0.11590901,0.34755341
-5.87393697,2.42815406,0.64564680,0.00000000,1.38987619,0.52040084,0.12158845,0.36173538
-5.86793397,2.55255015,0.67349553,0.00000000,1.44654079,0.54962054,0.12791366,0.37659840
-5.86193097,2.67828748,0.70009463,0.00000000,1.50209465,0.57996702,0.13486402,0.39200791
-5.85592796,2.80413848,0.72517193,0.00000000,1.55599966,0.61115637,0.14240703,0.40781854
-5.84992496,2.92885388,0.74848073,0.00000000,1.60774413,0.64288535,0.15049692,0.42387439
-5.84392196,3.05117182,0.76980160,0.00000000,1.65684413,0.67483308,0.15907336,0.44000915
-5.83791896,3.16982595,0.78894318,0.00000000,1.70284301,0.70666280,0.16806059,0.45604622
-5.83191596,3.28355319,0.80574209,0.00000000,1.74530975,0.73802400,0.17736701,0.47179892
-5.82591296,3.39110167,0.82006218,0.00000000,1.78383657,0.76855494,0.18688536,0.48707111
-5.81990995,3.49123941,0.83179321,0.00000000,1.81803663,0.79788582,0.19649349,0.50165827
-5.81390695,3.58276447,0.84084930,0.00000000,1.84754233,0.82564263,0.20605591,0.51534929
-5.80790395,3.66451686,0.84716726,0.00000000,1.87200492,0.85145181,0.21542598,0.52792900
-5.80190095,3.73539264,0.85070506,0.00000000,1.89109573,0.87494578,0.22444885,0.53918162
-5.79589795,3.79436034,0.85144059,0.00000000,1.90450940,0.89576919,0.23296501,0.54889494
-5.78989495,3.84047939,0.84937079,0.00000000,1.91196918,0.91358592,0.24081426,0.55686525
-5.78389195,3.87292019,0.84451130,0.00000000,1.91323410,0.92808656,0.24784019,0.56290291
-5.77788894,3.89098522,0.83689647,0.00000000,1.90810774,0.93899610,0.25389469,0.56683812
-5.77188594,3.89413015,0.82657981,0.00000000,1.89644799,0.94608163,0.25884251,0.56852687
-5.76588294,3.88198388,0.81363476,0.00000000,1.87817727,0.94915955,0.26256563,0.56785654
-5.75987994,3.85436643,0.79815554,0.00000000,1.85329224,0.94810206,0.26496717,0.56475093
-5.75387694,3.81130343,0.78025796,0.00000000,1.82187240,0.94284248,0.26597464,0.55917443
-5.74787394,3.75303610,0.76008009,0.00000000,1.78408666,0.93337908,0.26554258,0.55113497
-5.74187094,3.68002588,0.73778243,0.00000000,1.74019746,0.91977724,0.26365416,0.54068555
-5.73586793,3.59295304,0.71354765,0.00000000,1.69056162,0.90216963,0.26032193,0.52792432
-5.72986493,3.49270884,0.68757965,0.00000000,1.63562793,0.88075434,0.25558755,0.51299297
-5.72386193,3.38038133,0.66010195,0.00000000,1.57593120,0.85579106,0.24952057,0.49607360
-5.71785893,3.25723522,0.63135536,0.00000000,1.51208307,0.82759533,0.24221634,0.47738421
-5.71185593,3.12468636,0.60159508,0.00000000,1.44475982,0.79653109,0.23379315,0.45717289
-5.70585293,2.98427200,0.57108723,0.00000000,1.37468788,0.76300187,0.22438874,0.43571112
-5.69984992,2.83761801,0.54010502,0.00000000,1.30262771,0.72744101,0.21415642,0.41328653
-5.69384692,2.68640457,0.50892473,0.00000000,1.22935684,0.69030125,0.20326081,0.39019526
-5.68784392,2.53233161,0.47782167,0.00000000,1.15565296,0.65204424,0.19187369,0.36673463
-5.68184092,2.37708563,0.44706632,0.00000000,1.08227792,0.61313036,0.18016978,0.34319614
-5.67583792,2.22230918,0.41692085,0.00000000,1.00996330,0.57400917,0.16832296,0.31985927
-5.66983492,2.06957396,0.38763609,0.00000000,0.93939826,0.53511104,0.15650274,0.29698639
-5.66383192,1.92035855,0.35944918,0.00000000,0.87122001,0.49683994,0.14487140,0.27481869
-5.65782891,1.77603128,0.33258179,0.00000000,0.80600730,0.45956790,0.13358156,0.25357358
-5.65182591,1.63783832,0.30723904,0.00000000,0.74427677,0.42363094,0.12277441,0.23344326
-5.64582291,1.50689707,0.28360901,0.00000000,0.68648216,0.38932662,0.11257858,0.21459462
-5.63981991,1.38419420,0.26186277,0.00000000,0.63301607,0.35691306,0.10310950,0.19717018
-5.63381691,1.27058792,0.24215475,0.00000000,0.58421361,0.32660935,0.09446923,0.18129007
-5.62781391,1.16681344,0.22462338,0.00000000,0.54035751,0.29859700,0.08674675,0.16705457
-5.62181091,1.07349071,0.20939170,0.00000000,0.50168411,0.27302223,0.08001850,0.15454721
-5.61580790,0.99113338,0.19656782,0.00000000,0.46838930,0.24999887,0.07434907,0.14383802
-5.60980490,0.92015799,0.18624514,0.00000000,0.44063404,0.22961147,0.06979209,0.13498670
-5.60380190,0.86089239,0.17850205,0.00000000,0.41854886,0.21191846,0.06639093,0.12804550
-5.59779890,0.81358266,0.17340110,0.00000000,0.40223674,0.19695508,0.06417943,0.12306159
-5.59179590,0.77839786,0.17098756,0.00000000,0.39177429,0.18473587,0.06318236,0.12007880
-5.58579290,0.75543226,0.17128743,0.00000000,0.38721088,0.17525664,0.06341575,0.11913852
-5.57978989,0.74470487,0.17430489,0.00000000,0.38856584,0.16849582,0.06488685,0.12027986
-5.57378689,0.74615632,0.18001924,0.00000000,0.39582391,0.16441512,0.06759399,0.12353889
-5.56778389,0.75964346,0.18838178,0.00000000,0.40892908,0.16295964,0.07152607,0.12894708
-5.56178089,0.78493204,0.19931244,0.00000000,0.42777750,0.16405739,0.07666200,0.13652906
-5.55577789,0.82168828,0.21269678,0.00000000,0.45220978,0.16761844,0.08296990,0.14629969
-5.54977489,0.86947004,0.22838337,0.00000000,0.48200340,0.17353385,0.09040634,0.15826073
-5.54377189,0.92771837,0.24618194,0.00000000,0.51686578,0.18167442,0.09891555,0.17239712
-5.53776888,0.99575037,0.26586250,0.00000000,0.55642871,0.19188969,0.10842871,0.18867322
-5.53176588,1.07275424,0.28715565,0.00000000,0.60024454,0.20400705,0.11886351,0.20702907
-5.52576288,1.15778715,0.30975433,0.00000000,0.64778492,0.21783144,0.13012386,0.22737686
-5.51975988,1.24977656,0.33331694,0.00000000,0.69844212,0.23314552,0.14209994,0.24959794
