energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,2.78524376,-0.53749063,1.16872168,-0.18548527,1.20583390,-0.06431339,0.00025202,-0.00185898,0.89822631,-0.08942895,0.04551036,-0.01667712,0.24797322,-0.14745636,0.12493809,-0.06744015,0.09387533,-0.04905837
-5.99399700,2.80871434,-0.53194150,1.16735327,-0.19533839,1.20032134,-0.06163833,0.00028688,-0.00173937,0.89527081,-0.08909620,0.05092807,-0.01552074,0.25934710,-0.14588780,0.12943582,-0.06926022,0.09824380,-0.04824941
-5.98799400,2.83575583,-0.52666246,1.16499387,-0.20479496,1.19500980,-0.05904972,0.00033053,-0.00162404,0.89203974,-0.08866973,0.05669565,-0.01437592,0.27217378,-0.14456070,0.13493162,-0.07129555,0.10327764,-0.04745823
-5.98199100,2.86668303,-0.52167239,1.16197432,-0.21367479,1.19007118,-0.05657876,0.00038374,-0.00151485,0.88865720,-0.08813715,0.06277666,-0.01325569,0.28650960,-0.14349065,0.14150254,-0.07353810,0.10896057,-0.04668952
-5.97598799,2.90175300,-0.51695728,1.15865631,-0.22180092,1.18564727,-0.05425065,0.00044732,-0.00141340,0.88523789,-0.08748229,0.06912614,-0.01217127,0.30240378,-0.14268250,0.14923279,-0.07597373,0.11526929,-0.04594510
-5.96998499,2.94114382,-0.51247200,1.15541734,-0.22900499,1.18184216,-0.05208413,0.00052210,-0.00132095,0.88188036,-0.08668636,0.07569100,-0.01113195,0.31989497,-0.14213000,0.15821116,-0.07858191,0.12217308,-0.04522407
-5.96398199,2.98493610,-0.50814415,1.15263510,-0.23513272,1.17871652,-0.05009144,0.00060890,-0.00123844,0.87866113,-0.08572925,0.08241072,-0.01014502,0.33900769,-0.14181605,0.16852787,-0.08133575,0.12963363,-0.04452318
-5.95797899,3.03309832,-0.50387971,1.15067202,-0.24004934,1.17628415,-0.04827843,0.00070851,-0.00116647,0.87563017,-0.08459118,0.08921850,-0.00921579,0.35974891,-0.14171363,0.18027094,-0.08420233,0.13760489,-0.04383729
-5.95197599,3.08547673,-0.49956988,1.14986052,-0.24364459,1.17451080,-0.04664512,0.00082167,-0.00110530,0.87280773,-0.08325426,0.09604259,-0.00834769,0.38210494,-0.14178712,0.19352216,-0.08714328,0.14603324,-0.04316004
-5.94597299,3.14179037,-0.49509894,1.15048967,-0.24583708,1.17331552,-0.04518629,0.00094899,-0.00105487,0.87018288,-0.08170418,0.10280796,-0.00754242,0.40603866,-0.14199408,0.20835273,-0.09011553,0.15485774,-0.04248457
-5.93996998,3.20163131,-0.49035230,1.15279360,-0.24657789,1.17257424,-0.04389246,0.00109095,-0.00101481,0.86771369,-0.07993166,0.10943814,-0.00680019,0.43148722,-0.14228735,0.22481879,-0.09307244,0.16401073,-0.04180420
-5.93396698,3.26446999,-0.48522465,1.15694231,-0.24585308,1.17212542,-0.04275076,0.00124786,-0.00098448,0.86532904,-0.07793378,0.11585716,-0.00611996,0.45836045,-0.14261730,0.24295691,-0.09596499,0.17341848,-0.04111321
-5.92796398,3.32966523,-0.47962746,1.16303485,-0.24368516,1.17177740,-0.04174601,0.00141978,-0.00096303,0.86293196,-0.07571503,0.12199155,-0.00549967,0.48653969,-0.14293420,0.26277968,-0.09874324,0.18300216,-0.04040750
-5.92196098,3.39647807,-0.47349587,1.17109522,-0.24013325,1.17131698,-0.04086182,0.00160652,-0.00094939,0.86040411,-0.07328795,0.12777227,-0.00493654,0.51587739,-0.14319059,0.28427163,-0.10135791,0.19267884,-0.03968514
-5.91595798,3.46408861,-0.46679432,1.18107089,-0.23529215,1.17051867,-0.04008155,0.00180758,-0.00094238,0.85761130,-0.07067356,0.13313644,-0.00442727,0.54619728,-0.14334357,0.30738555,-0.10376213,0.20236266,-0.03894688
-5.90995498,3.53161479,-0.45952115,1.19283396,-0.22929023,1.16915411,-0.03938930,0.00202214,-0.00094070,0.85440946,-0.06790128,0.13802890,-0.00396833,0.57729516,-0.14335693,0.33203937,-0.10591324,0.21196600,-0.03819644
-5.90395198,3.59813191,-0.45171175,1.20618455,-0.22228629,1.16700103,-0.03877080,0.00224900,-0.00094301,0.85065098,-0.06500863,0.14240336,-0.00355612,0.60894026,-0.14320313,0.35811383,-0.10777470,0.22140067,-0.03744072
-5.89794897,3.66269201,-0.44344053,1.22085638,-0.21446560,1.16385142,-0.03821418,0.00248663,-0.00094797,0.84619070,-0.06204050,0.14622330,-0.00318715,0.64087710,-0.14286495,0.38545092,-0.10931795,0.23057905,-0.03668989
-5.89194597,3.72434218,-0.43482150,1.23652403,-0.20603528,1.15951825,-0.03771058,0.00273310,-0.00095429,0.84089157,-0.05904828,0.14946232,-0.00285820,0.67282796,-0.14233699,0.41385337,-0.11052432,0.23941515,-0.03595727
-5.88594297,3.78214095,-0.42600787,1.25281160,-0.19721917,1.15384065,-0.03725468,0.00298613,-0.00096075,0.83462945,-0.05608871,0.15210426,-0.00256639,0.70449568,-0.14162674,0.44308523,-0.11138680,0.24782553,-0.03525916
-5.87993997,3.83517254,-0.41719048,1.26930238,-0.18825255,1.14668731,-0.03684503,0.00324312,-0.00096628,0.82729692,-0.05322259,0.15414276,-0.00230929,0.73556708,-0.14075544,0.47287352,-0.11191170,0.25573009,-0.03461455
-5.87393697,3.88255859,-0.40859546,1.28554922,-0.17937680,1.13795800,-0.03648437,0.00350116,-0.00096994,0.81880604,-0.05051350,0.15558057,-0.00208493,0.76571667,-0.13975855,0.50291117,-0.11212008,0.26305278,-0.03404471
-5.86793397,3.92346758,-0.40048118,1.30108516,-0.17083428,1.12758340,-0.03617966,0.00375711,-0.00097098,0.80908990,-0.04802643,0.15642855,-0.00189187,0.79461094,-0.13868585,0.53286114,-0.11204893,0.26972212,-0.03357280
-5.86193097,3.95712210,-0.39313451,1.31543422,-0.16286350,1.11552334,-0.03594211,0.00400763,-0.00096886,0.79810318,-0.04582652,0.15670446,-0.00172917,0.82191301,-0.13760130,0.56236167,-0.11175201,0.27567168,-0.03322336
-5.85592796,3.98280466,-0.38686671,1.32812197,-0.15569475,1.10176393,-0.03578704,0.00424929,-0.00096324,0.78582156,-0.04397792,0.15643160,-0.00159639,0.84728772,-0.13658236,0.59103267,-0.11130026,0.28084048,-0.03302179
-5.84992496,3.99986241,-0.38200888,1.33868572,-0.14954631,1.08631375,-0.03573368,0.00447865,-0.00095400,0.77224053,-0.04254272,0.15563747,-0.00149358,0.87040718,-0.13571911,0.61848307,-0.11078181,0.28517330,-0.03299388
-5.84392196,4.00771168,-0.37890701,1.34668428,-0.14462115,1.06919974,-0.03580485,0.00469232,-0.00094122,0.75737349,-0.04158010,0.15435247,-0.00142126,0.89095659,-0.13511287,0.64431897,-0.11030139,0.28862115,-0.03316521
-5.83791896,4.00584278,-0.37791677,1.35170703,-0.14110425,1.05046299,-0.03602659,0.00488710,-0.00092520,0.74124954,-0.04114562,0.15260869,-0.00138035,0.90864044,-0.13487449,0.66815238,-0.10997927,0.29114159,-0.03356073
-5.83191596,3.99382565,-0.37939798,1.35338234,-0.13916040,1.03015503,-0.03642771,0.00506004,-0.00090642,0.72391121,-0.04129067,0.15043901,-0.00137222,0.92318883,-0.13512228,0.68961037,-0.10994951,0.29269930,-0.03420421
-5.82591296,3.97131678,-0.38370868,1.35138522,-0.13893245,1.00833476,-0.03703934,0.00520852,-0.00088553,0.70541227,-0.04206210,0.14787635,-0.00139857,0.93436392,-0.13597952,0.70834424,-0.11035769,0.29326659,-0.03511779
-5.81990995,3.93806736,-0.39119896,1.34544407,-0.14053994,0.98506638,-0.03789436,0.00533038,-0.00086332,0.68581585,-0.04350194,0.14495324,-0.00146151,0.94196619,-0.13757172,0.72403854,-0.11135802,0.29282407,-0.03632151
-5.81390695,3.89393278,-0.40220439,1.33534662,-0.14407802,0.96041842,-0.03902695,0.00542393,-0.00084068,0.66519297,-0.04564728,0.14170172,-0.00156344,0.94584047,-0.14002351,0.73641956,-0.11310976,0.29136139,-0.03783287
-5.80790395,3.83888298,-0.41703922,1.32094479,-0.14961657,0.93446387,-0.04047202,0.00548808,-0.00081860,0.64362158,-0.04853019,0.13815339,-0.00170713,0.94588134,-0.14345527,0.74526306,-0.11577330,0.28887795,-0.03966639
-5.80190095,3.77301307,-0.43598933,1.30215846,-0.15719946,0.90728136,-0.04226475,0.00552228,-0.00079807,0.62118609,-0.05217777,0.13433972,-0.00189565,0.94203788,-0.14797967,0.75040088,-0.11950556,0.28538368,-0.04183320
-5.79589795,3.69655363,-0.45930501,1.27897809,-0.16684396,0.87895720,-0.04444013,0.00552666,-0.00078013,0.59797730,-0.05661220,0.13029261,-0.00213241,0.93431731,-0.15369795,0.75172627,-0.12445522,0.28089973,-0.04434066
-5.78989495,3.60987964,-0.48719384,1.25146604,-0.17854024,0.84958807,-0.04703258,0.00550192,-0.00076577,0.57409277,-0.06185090,0.12604488,-0.00242117,0.92278747,-0.16069628,0.74919768,-0.13075753,0.27545901,-0.04719192
-5.78389195,3.51351709,-0.51981378,1.21975640,-0.19225103,0.81928395,-0.05007560,0.00544940,-0.00075592,0.54963734,-0.06790674,0.12163090,-0.00276604,0.90757780,-0.16904223,0.74284079,-0.13852914,0.26910664,-0.05038558
-5.77788894,3.40814655,-0.55726679,1.18405338,-0.20791147,0.78817107,-0.05360160,0.00537100,-0.00075140,0.52472373,-0.07478825,0.11708711,-0.00317153,0.88887882,-0.17878136,0.73274881,-0.14786293,0.26190000,-0.05391535
-5.77188594,3.29460264,-0.59959317,1.14462820,-0.22542936,0.75639443,-0.05764170,0.00526912,-0.00075295,0.49947301,-0.08250005,0.11245241,-0.00364261,0.86693980,-0.18993427,0.71908088,-0.15882315,0.25390869,-0.05776978
-5.76588294,3.17386884,-0.64676718,1.10181424,-0.24468568,0.72411962,-0.06222573,0.00514663,-0.00076113,0.47401485,-0.09104319,0.10776843,-0.00418472,0.84206476,-0.20249408,0.70205870,-0.17144101,0.24521392,-0.06193198
-5.75987994,3.04706725,-0.69869395,1.05600083,-0.26553576,0.69153374,-0.06738230,0.00500674,-0.00077637,0.44848735,-0.10041577,0.10307949,-0.00480384,0.81460674,-0.21642464,0.68196136,-0.18571096,0.23590776,-0.06637954
-5.75387694,2.91544302,-0.75520839,1.00762538,-0.28781107,0.65884503,-0.07313894,0.00485291,-0.00079891,0.42303635,-0.11061360,0.09843234,-0.00550661,0.78496044,-0.23165941,0.65911863,-0.20158786,0.22609180,-0.07108449
-5.74787394,2.78034366,-0.81607605,0.95716437,-0.31132179,0.62628134,-0.07952240,0.00468879,-0.00082882,0.39781424,-0.12163095,0.09387569,-0.00630030,0.75355337,-0.24810140,0.63390288,-0.21898530,0.21587564,-0.07601339
-5.74187094,2.64319359,-0.88099643,0.90512314,-0.33586019,0.59408718,-0.08655887,0.00451806,-0.00086603,0.37297810,-0.13346148,0.08945941,-0.00719294,0.72083592,-0.26562410,0.60671991,-0.23777513,0.20537489,-0.08112765
-5.73586793,2.50546474,-0.94960874,0.85202484,-0.36120490,0.56251951,-0.09427436,0.00434436,-0.00091027,0.34868743,-0.14609922,0.08523358,-0.00819337,0.68727046,-0.28407344,0.57799898,-0.25778855,0.19470897,-0.08638398
-5.72986493,2.36864399,-1.02150022,0.79839898,-0.38712601,0.53184248,-0.10269504,0.00417116,-0.00096117,0.32510124,-0.15953957,0.08124732,-0.00931122,0.65331992,-0.30327105,0.54818232,-0.27881857,0.18399867,-0.09173504
-5.72386193,2.23419872,-1.09621683,0.74476970,-0.41339097,0.50232115,-0.11184741,0.00400167,-0.00101823,0.30237498,-0.17378027,0.07754754,-0.01055696,0.61943627,-0.32301856,0.51771456,-0.30062420,0.17336360,-0.09713034
