energy_ev,total_up,P_s_up,P_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,2.05082212,0.00396047,0.07960980,0.83208026,1.36955033,0.01964153,0.48635371
-5.99399700,1.98586897,0.00380832,0.07456741,0.78882476,1.33335735,0.01907446,0.46645483
-5.98799400,1.92188773,0.00364575,0.06996027,0.74892863,1.29655190,0.01855465,0.44760879
-5.98199100,1.85948521,0.00347458,0.06576416,0.71267392,1.25951758,0.01808878,0.43000683
-5.97598799,1.79934910,0.00329677,0.06196000,0.68033212,1.22271285,0.01768355,0.41384423
-5.96998499,1.74223020,0.00311439,0.05853405,0.65216025,1.18665764,0.01734558,0.39931670
-5.96398199,1.68892114,0.00292956,0.05547781,0.62839669,1.15191718,0.01708122,0.38661593
-5.95797899,1.64023224,0.00274447,0.05278772,0.60925669,1.11908375,0.01689641,0.37592476
-5.95197599,1.59696577,0.00256128,0.05046467,0.59492760,1.08875704,0.01679654,0.36741188
-5.94597299,1.55988941,0.00238212,0.04851328,0.58556395,1.06152407,0.01678621,0.36122640
-5.93996998,1.52971009,0.00220905,0.04694106,0.58128236,1.03793936,0.01686915,0.35749253
-5.93396698,1.50704929,0.00204404,0.04575741,0.58215663,1.01850614,0.01704804,0.35630466
-5.92796398,1.49242058,0.00188892,0.04497254,0.58821294,1.00365937,0.01732442,0.35772290
-5.92196098,1.48621041,0.00174539,0.04459642,0.59942567,0.99375100,0.01769858,0.36176950
-5.91595798,1.48866266,0.00161495,0.04463770,0.61571378,0.98903813,0.01816956,0.36842617
-5.90995498,1.49986763,0.00149894,0.04510265,0.63693825,0.98967422,0.01873505,0.37763258
-5.90395198,1.51975559,0.00139850,0.04599424,0.66290050,0.99570367,0.01939145,0.38928592
-5.89794897,1.54809520,0.00131457,0.04731137,0.69334226,1.00705985,0.02013391,0.40324183
-5.89194597,1.58449663,0.00124789,0.04904814,0.72794672,1.02356640,0.02095637,0.41931646
-5.88594297,1.62841927,0.00119900,0.05119342,0.76634130,1.04494176,0.02185168,0.43728974
-5.87993997,1.67918343,0.00116821,0.05373046,0.80810182,1.07080656,0.02281169,0.45690964
-5.87393697,1.73598586,0.00115567,0.05663674,0.85275811,1.10069356,0.02382744,0.47789734
-5.86793397,1.79791811,0.00116128,0.05988401,0.89980099,1.13405969,0.02488922,0.49995309
