energy_ev,total_up,B_p_up,B_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,9.62558547,1.78933448,0.00000000,4.93230366,6.75908357,0.03611358,1.34010319
-5.99399700,9.65272045,1.75806962,0.00000000,5.06258532,6.73661414,0.03440489,1.38142820
-5.98799400,9.69181359,1.72730578,0.00000000,5.20867174,6.72062150,0.03292877,1.42389958
-5.98199100,9.74238698,1.69699439,0.00000000,5.37030894,6.71101956,0.03167242,1.46726091
-5.97598799,9.80373029,1.66706950,0.00000000,5.54691607,6.70760557,0.03061954,1.51122559
-5.96998499,9.87490298,1.63745214,0.00000000,5.73755533,6.71006091,0.02975121,1.55547782
-5.96398199,9.95473436,1.60805326,0.00000000,5.94090738,6.71794806,0.02904674,1.59967453
-5.95797899,10.04182292,1.57877520,0.00000000,6.15525513,6.73070470,0.02848441,1.64344807
-5.95197599,10.13453718,1.54951209,0.00000000,6.37847864,6.74763691,0.02804229,1.68640988
-5.94597299,10.23102026,1.52014978,0.00000000,6.60806357,6.76791324,0.02769880,1.72815492
-5.93996998,10.32920049,1.49056546,0.00000000,6.84112503,6.79056183,0.02743334,1.76826696
-5.93396698,10.42681003,1.46062780,0.00000000,7.07444792,6.81447247,0.02722666,1.80632448
-5.92796398,10.52141320,1.43019786,0.00000000,7.30454410,6.83840537,0.02706120,1.84190712
-5.92196098,10.61044525,1.39913105,0.00000000,7.52772559,6.86100764,0.02692133,1.87460251
-5.91595798,10.69126197,1.36728058,0.00000000,7.74019211,6.88083824,0.02679345,1.90401326
-5.90995498,10.76119937,1.33450211,0.00000000,7.93813041,6.89640142,0.02666600,1.92976404
-5.90395198,10.81764215,1.30065975,0.00000000,8.11782179,6.90618771,0.02652942,1.95150864
-5.89794897,10.85809881,1.26563298,0.00000000,8.27575376,6.90872140,0.02637607,1.96893680
-5.89194597,10.88028072,1.22932415,0.00000000,8.40873137,6.90261255,0.02620005,1.98178091
-5.88594297,10.88218201,1.19166606,0.00000000,8.51398335,6.88661120,0.02599704,1.98982237
-5.87993997,10.86215694,1.15262911,0.00000000,8.58925858,6.85966135,0.02576414,1.99289763
-5.87393697,10.81899132,1.11222743,0.00000000,8.63290848,6.82095196,0.02549971,1.99090399
-5.86793397,10.75196464,1.07052360,0.00000000,8.64395173,6.76996257,0.02520319,1.98380479
-5.86193097,10.66090012,1.02763151,0.00000000,8.62211830,6.70650089,0.02487502,1.97163425
-5.85592796,10.54619992,0.98371707,0.00000000,8.56787085,6.63073070,0.02451652,1.95450160
-5.84992496,10.40886371,0.93899663,0.00000000,8.48240233,6.54318804,0.02412982,1.93259433
-5.84392196,10.25048926,0.89373322,0.00000000,8.36760996,6.44478503,0.02371790,1.90618045
-5.83791896,10.07325422,0.84823052,0.00000000,8.22604634,6.33680035,0.02328450,1.87560940
