energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,9.26826079,0.05046004,0.82616810,1.66818457,1.35820837,2.79912565,4.18486803,0.09463581,3.32590912
-5.99399700,9.24727519,0.04953594,0.82628436,1.65978164,1.34768807,2.80080025,4.17129523,0.09502108,3.31909052
-5.98799400,9.21781276,0.04851289,0.82592080,1.64976182,1.33451449,2.80025827,4.15469542,0.09543907,3.30858012
-5.98199100,9.17990222,0.04740152,0.82498334,1.63806768,1.31882420,2.79728995,4.13515445,0.09589403,3.29440123
-5.97598799,9.13372413,0.04621369,0.82338878,1.62466838,1.30079865,2.79172740,4.11282014,0.09638966,3.27663979
-5.96998499,9.07961107,0.04496233,0.82106814,1.60956118,1.28065993,2.78345226,4.08790116,0.09692897,3.25544244
-5.96398199,9.01804216,0.04366126,0.81796967,1.59277192,1.25866513,2.77240172,4.06066345,0.09751407,3.23101214
-5.95797899,8.94963240,0.04232494,0.81406128,1.57435446,1.23509956,2.75857264,4.03142457,0.09814596,3.20360173
-5.95197599,8.87511810,0.04096830,0.80933266,1.55438939,1.21026920,2.74202372,4.00054646,0.09882436,3.17350592
-5.94597299,8.79533926,0.03960646,0.80379666,1.53298207,1.18449280,2.72287574,3.96842716,0.09954758,3.14105236
-5.93996998,8.71122031,0.03825448,0.79749022,1.51026010,1.15809391,2.70130998,3.93549202,0.10031231,3.10659220
-5.93396698,8.62375005,0.03692712,0.79047463,1.48637063,1.13139329,2.67756496,3.90218492,0.10111367,3.07049079
-5.92796398,8.53396215,0.03563861,0.78283528,1.46147736,1.10470187,2.65193172,3.86895993,0.10194512,3.03311905
-5.92196098,8.44291673,0.03440241,0.77468070,1.43575757,1.07831474,2.62474788,3.83627374,0.10279858,2.99484574
-5.91595798,8.35168375,0.03323102,0.76614115,1.40939923,1.05250602,2.59639081,3.80457917,0.10366458,2.95603108
-5.90995498,8.26132856,0.03213574,0.75736666,1.38259823,1.02752501,2.56727009,3.77431970,0.10453250,2.91702183
-5.90395198,8.17289961,0.03112653,0.74852457,1.35555573,1.00359346,2.53781955,3.74592506,0.10539081,2.87814773
-5.89794897,8.08741810,0.03021183,0.73979665,1.32847574,0.98090392,2.50848916,3.71980780,0.10622744,2.83971939
-5.89194597,8.00586920,0.02939846,0.73137587,1.30156282,0.95961908,2.47973685,3.69636044,0.10703018,2.80202724
-5.88594297,7.92919430,0.02869146,0.72346274,1.27501980,0.93987194,2.45202043,3.67595288,0.10778702,2.76534136
-5.87993997,7.85828351,0.02809403,0.71626151,1.24904571,0.92176656,2.42578977,3.65892998,0.10848656,2.72991176
-5.87393697,7.79396796,0.02760747,0.70997597,1.22383353,0.90537922,2.40147916,3.64560860,0.10911837,2.69596887
-5.86793397,7.73701110,0.02723111,0.70480525,1.19956807,0.89075973,2.37949994,3.63627415,0.10967333,2.66372364
-5.86193097,7.68809879,0.02696237,0.70093938,1.17642365,0.87793279,2.36023342,3.63117625,0.11014382,2.63336734
