energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.40671445,0.01222825,0.03706598,0.41466755,0.47104625,0.83912916,0.00000000,0.49478740,0.14199462
-5.99399700,1.45822505,0.01236595,0.03762536,0.43579114,0.48968127,0.87183820,0.00000000,0.51519441,0.14795399
-5.98799400,1.51703281,0.01249111,0.03827882,0.45953258,0.51102321,0.90911089,0.00000000,0.53776406,0.15473388
-5.98199100,1.58278271,0.01260675,0.03901031,0.48573476,0.53499721,0.95072760,0.00000000,0.56232382,0.16230090
-5.97598799,1.65494289,0.01271576,0.03980228,0.51417476,0.56145666,0.99635619,0.00000000,0.58864042,0.17060582
-5.96998499,1.73280515,0.01282064,0.04063600,0.54456381,0.59018147,1.04555236,0.00000000,0.61642087,0.17958328
-5.96398199,1.81548953,0.01292336,0.04149189,0.57654921,0.62087799,1.09776274,0.00000000,0.64531514,0.18915201
-5.95797899,1.90195336,0.01302515,0.04234982,0.60971822,0.65318082,1.15233089,0.00000000,0.67492076,0.19921518
-5.95197599,1.99100466,0.01312645,0.04318944,0.64360394,0.68665677,1.20850608,0.00000000,0.70478918,0.20966131
-5.94597299,2.08132013,0.01322672,0.04399050,0.67769315,0.72081082,1.26545513,0.00000000,0.73443389,0.22036536
-5.93996998,2.17146737,0.01332448,0.04473319,0.71143600,0.75509444,1.32227682,0.00000000,0.76334004,0.23119027
-5.93396698,2.25993132,0.01341725,0.04539843,0.74425736,0.78891603,1.37801907,0.00000000,0.79097554,0.24198890
-5.92796398,2.34514440,0.01350164,0.04596813,0.77556956,0.82165341,1.43169831,0.00000000,0.81680324,0.25260619
-5.92196098,2.42551988,0.01357345,0.04642552,0.80478624,0.85266820,1.48232082,0.00000000,0.84029390,0.26288181
-5.91595798,2.49948760,0.01362784,0.04675534,0.83133680,0.88132157,1.52890549,0.00000000,0.86093967,0.27265297
-5.90995498,2.56553127,0.01365950,0.04694416,0.85468116,0.90699107,1.57050735,0.00000000,0.87826750,0.28175760
-5.90395198,2.62222618,0.01366290,0.04698051,0.87432408,0.92908786,1.60624121,0.00000000,0.89185217,0.29003760
-5.89794897,2.66827610,0.01363255,0.04685517,0.88982885,0.94707381,1.63530469,0.00000000,0.90132838,0.29734229
-5.89194597,2.70254808,0.01356323,0.04656131,0.90082953,0.96047772,1.65699969,0.00000000,0.90640148,0.30353186
-5.88594297,2.72410392,0.01345025,0.04609465,0.90704143,0.96891000,1.67075170,0.00000000,0.90685641,0.30848064
