energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up
-6.00000000,1.42401812,0.09422020,1.37120622,0.00193786,0.02290130,0.01746511,0.01866289,0.08584654,0.00000000
-5.99399700,1.41420016,0.09167486,1.36336208,0.00174527,0.02331039,0.01705718,0.01816067,0.08409482,0.00000000
-5.98799400,1.39594450,0.08871471,1.34727285,0.00156117,0.02355937,0.01657470,0.01756049,0.08187809,0.00000000
-5.98199100,1.36949190,0.08538072,1.32314374,0.00138702,0.02364343,0.01602602,0.01687470,0.07923443,0.00000000
-5.97598799,1.33525130,0.08172096,1.29134419,0.00122396,0.02356153,0.01542146,0.01611756,0.07621067,0.00000000
-5.96998499,1.29378850,0.07778955,1.25239712,0.00107281,0.02331654,0.01477327,0.01530495,0.07286118,0.00000000
-5.96398199,1.24581042,0.07364551,1.20696370,0.00093409,0.02291520,0.01409553,0.01445411,0.06924650,0.00000000
-5.95797899,1.19214571,0.06935164,1.15582431,0.00080805,0.02236799,0.01340421,0.01358336,0.06543200,0.00000000
-5.95197599,1.13372252,0.06497344,1.09985652,0.00069471,0.02168887,0.01271713,0.01271191,0.06148654,0.00000000
-5.94597299,1.07154451,0.06057806,1.04001113,0.00059385,0.02089499,0.01205403,0.01185974,0.05748122,0.00000000
-5.93996998,1.00666611,0.05623348,0.97728721,0.00050515,0.02000624,0.01143667,0.01104751,0.05348833,0.00000000
-5.93396698,0.94016823,0.05200778,0.91270734,0.00042814,0.01904484,0.01088903,0.01029662,0.04958051,0.00000000
-5.92796398,0.87313529,0.04796871,0.84729409,0.00036232,0.01803485,0.01043751,0.00962935,0.04583006,0.00000000
-5.92196098,0.80663463,0.04418345,0.78204849,0.00030714,0.01700169,0.01011125,0.00906903,0.04230868,0.00000000
-5.91595798,0.74169897,0.04071859,0.71793151,0.00026214,0.01597168,0.00994246,0.00864037,0.03908732,0.00000000
-5.90995498,0.67931244,0.03764045,0.65584893,0.00022689,0.01497164,0.00996681,0.00836982,0.03623645,0.00000000
-5.90395198,0.62040066,0.03501549,0.59664016,0.00020110,0.01402853,0.01022384,0.00828600,0.03382640,0.00000000
-5.89794897,0.56582469,0.03291102,0.54107106,0.00018465,0.01316911,0.01075733,0.00842013,0.03192805,0.00000000
-5.89194597,0.51637893,0.03139594,0.48983067,0.00017761,0.01241973,0.01161571,0.00880646,0.03061354,0.00000000
-5.88594297,0.47279243,0.03054159,0.44353166,0.00018028,0.01180614,0.01285228,0.00948269,0.02995710,0.00000000
-5.87993997,0.43573313,0.03042263,0.40271395,0.00019325,0.01135334,0.01452539,0.01049030,0.03003581,0.00000000
-5.87393697,0.40581412,0.03111770,0.36785089,0.00021738,0.01108547,0.01669841,0.01187468,0.03093032,0.00000000
-5.86793397,0.38360130,0.03271007,0.33935726,0.00025384,0.01102574,0.01943948,0.01368523,0.03272527,0.00000000
-5.86193097,0.36962127,0.03528790,0.31759820,0.00030415,0.01119634,0.02282104,0.01597518,0.03550951,0.00000000
-5.85592796,0.36436868,0.03894415,0.30289839,0.00037018,0.01161832,0.02691896,0.01880112,0.03937584,0.00000000
-5.84992496,0.36831203,0.04377617,0.29555045,0.00045411,0.01231144,0.03181144,0.02222234,0.04442041,0.00000000
-5.84392196,0.38189714,0.04988465,0.29582187,0.00055850,0.01329396,0.03757744,0.02629986,0.05074152,0.00000000
-5.83791896,0.40554768,0.05737213,0.30395991,0.00068621,0.01458237,0.04429485,0.03109504,0.05843787,0.00000000
-5.83191596,0.43966213,0.06634093,0.32019373,0.00084037,0.01619105,0.05203814,0.03666800,0.06760631,0.00000000
-5.82591296,0.48460692,0.07689044,0.34473356,0.00102438,0.01813183,0.06087585,0.04307563,0.07833895,0.00000000
-5.81990995,0.54070575,0.08911396,0.37776658,0.00124179,0.02041354,0.07086765,0.05036942,0.09071980,0.00000000
-5.81390695,0.60822514,0.10309494,0.41944963,0.00149622,0.02304141,0.08206124,0.05859295,0.10482099,0.00000000
-5.80790395,0.68735670,0.11890290,0.46989880,0.00179128,0.02601662,0.09448913,0.06777930,0.12069859,0.00000000
-5.80190095,0.77819674,0.13658900,0.52917640,0.00213045,0.02933563,0.10816538,0.07794838,0.13838831,0.00000000
-5.79589795,0.88072412,0.15618146,0.59727585,0.00251688,0.03298972,0.12308251,0.08910423,0.15790106,0.00000000
-5.78989495,0.99477729,0.17768104,0.67410508,0.00295332,0.03696451,0.13920861,0.10123253,0.17921876,0.00000000
-5.78389195,1.12003177,0.20105667,0.75946950,0.00344188,0.04123956,0.15648492,0.11429833,0.20229046,0.00000000
-5.77788894,1.25597945,0.22624153,0.85305534,0.00398388,0.04578820,0.17482393,0.12824420,0.22702897,0.00000000
-5.77188594,1.40191074,0.25312976,0.95441434,0.00457971,0.05057739,0.19410821,0.14298886,0.25330831,0.00000000
-5.76588294,1.55690121,0.28157395,1.06295094,0.00522861,0.05556788,0.21419009,0.15842651,0.28096208,0.00000000
-5.75987994,1.71980362,0.31138370,1.17791284,0.00592856,0.06071450,0.23489226,0.17442686,0.30978298,0.00000000
-5.75387694,1.88924651,0.34232536,1.29838586,0.00667615,0.06596669,0.25600933,0.19083593,0.33952352,0.00000000
-5.74787394,2.06364016,0.37412307,1.42329383,0.00746649,0.07126921,0.27731053,0.20747781,0.36989815,0.00000000
-5.74187094,2.24119035,0.40646128,1.55140412,0.00829318,0.07656309,0.29854339,0.22415722,0.40058676,0.00000000
-5.73586793,2.41992033,0.43898868,1.68133919,0.00914827,0.08178670,0.31943835,0.24066293,0.43123950,0.00000000
-5.72986493,2.59770056,0.47132355,1.81159414,0.01002238,0.08687697,0.33971431,0.25677199,0.46148299,0.00000000
-5.72386193,2.77228599,0.50306057,1.94056032,0.01090478,0.09177075,0.35908486,0.27225460,0.49092763,0.00000000
-5.71785893,2.94135985,0.53377876,2.06655426,0.01178356,0.09640619,0.37726511,0.28687955,0.51917586,0.00000000
-5.71185593,3.10258280,0.56305046,2.18785150,0.01264592,0.10072409,0.39397872,0.30041998,0.54583121,0.00000000
-5.70585293,3.25364586,0.59045109,2.30272407,0.01347840,0.10466931,0.40896508,0.31265932,0.57050773,0.00000000
-5.69984992,3.39232546,0.61556937,2.40948063,0.01426723,0.10819197,0.42198628,0.32339719,0.59283956,0.00000000
-5.69384692,3.51653870,0.63801762,2.50650782,0.01499874,0.11124859,0.43283365,0.33245498,0.61249027,0.00000000
-5.68784392,3.62439667,0.65744188,2.59231133,0.01565969,0.11380303,0.44133350,0.33968096,0.62916165,0.00000000
-5.68184092,3.71425416,0.67353138,2.66555522,0.01623770,0.11582723,0.44735206,0.34495464,0.64260166,0.00000000
-5.67583792,3.78475358,0.68602707,2.72509794,0.01672161,0.11730170,0.45079923,0.34819038,0.65261118,0.00000000
-5.66983492,3.83486170,0.69472892,2.77002380,0.01710186,0.11821580,0.45163105,0.34933980,0.65904936,0.00000000
-5.66383192,3.86389761,0.69950159,2.79966846,0.01737081,0.11856778,0.44985084,0.34839324,0.66183736,0.00000000
-5.65782891,3.87155105,0.70027840,2.81363767,0.01752295,0.11836457,0.44550899,0.34537996,0.66096035,0.00000000
-5.65182591,3.85789036,0.69706331,2.81181841,0.01755512,0.11762136,0.43870125,0.34036725,0.65646778,0.00000000
-5.64582291,3.82335989,0.68993095,2.79438210,0.01746664,0.11636104,0.42956584,0.33345832,0.64847172,0.00000000
-5.63981991,3.76876698,0.67902460,2.76177979,0.01725929,0.11461341,0.41827930,0.32478932,0.63714366,0.00000000
-5.63381691,3.69525933,0.66455230,2.71472960,0.01693727,0.11241434,0.40505144,0.31452533,0.62270962,0.00000000
-5.62781391,3.60429343,0.64678112,2.65419692,0.01650706,0.10980476,0.39011934,0.30285572,0.60544397,0.00000000
-5.62181091,3.49759566,0.62602999,2.58136833,0.01597721,0.10682971,0.37374095,0.28998897,0.58566203,0.00000000
-5.61580790,3.37711735,0.60266118,2.49762010,0.01535805,0.10353724,0.35618830,0.27614719,0.56371197,0.00000000
-5.60980490,3.24498555,0.57707086,2.40448272,0.01466136,0.09997744,0.33774058,0.26156049,0.53996596,0.00000000
-5.60380190,3.10345135,0.54967908,2.30360256,0.01390000,0.09620142,0.31867749,0.24646143,0.51481122,0.00000000
-5.59779890,2.95483735,0.52091945,2.19670219,0.01308750,0.09226038,0.29927289,0.23107985,0.48864099,0.00000000
-5.59179590,2.80148602,0.49122893,2.08554058,0.01223771,0.08820471,0.27978903,0.21563802,0.46184587,0.00000000
-5.58579290,2.64571050,0.46103810,1.97187451,0.01136437,0.08408326,0.26047148,0.20034638,0.43480557,0.00000000
-5.57978989,2.48974899,0.43076197,1.85742217,0.01048078,0.07994255,0.24154487,0.18540000,0.40788159,0.00000000
-5.57378689,2.33572403,0.40079194,1.74383005,0.00959946,0.07582619,0.22320954,0.17097571,0.38141059,0.00000000
-5.56778389,2.18560722,0.37148873,1.63264370,0.00873193,0.07177433,0.20563910,0.15723003,0.35569894,0.00000000
-5.56178089,2.04119014,0.34317664,1.52528304,0.00788842,0.06782316,0.18897891,0.14429780,0.33101828,0.00000000
-5.55577789,1.90406165,0.31613920,1.42302242,0.00707780,0.06400461,0.17334542,0.13229155,0.30760228,0.00000000
-5.54977489,1.77559159,0.29061613,1.32697568,0.00630742,0.06034599,0.15882635,0.12130158,0.28564444,0.00000000
-5.54377189,1.65692086,0.26680166,1.23808603,0.00558312,0.05686984,0.14548164,0.11139656,0.26529712,0.00000000
-5.53776888,1.54895741,0.24484417,1.15712071,0.00490923,0.05359377,0.13334494,0.10262466,0.24667150,0.00000000
-5.53176588,1.45237773,0.22484697,1.08466991,0.00428864,0.05053049,0.12242574,0.09501508,0.22983858,0.00000000
-5.52576288,1.36763335,0.20687013,1.02114976,0.00372292,0.04768784,0.11271182,0.08857994,0.21483099,0.00000000
-5.51975988,1.29496151,0.19093319,0.96680864,0.00321244,0.04506897,0.10417214,0.08331629,0.20164563,0.00000000
