energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,4.76660664,0.04593929,0.59736635,2.34664357,1.78173622,2.07406287,0.00000000
-5.99399700,4.67973464,0.04548720,0.58717832,2.29829799,1.74868944,2.03923712,0.00000000
-5.98799400,4.56941216,0.04481132,0.57423406,2.23765167,1.70730552,1.99346208,0.00000000
-5.98199100,4.43784674,0.04391681,0.55878240,2.16584228,1.65846233,1.93765333,0.00000000
-5.97598799,4.28770295,0.04281360,0.54112152,2.08422745,1.60320814,1.87293559,0.00000000
-5.96998499,4.12201789,0.04151606,0.52158979,1.99433917,1.54272877,1.80060697,0.00000000
-5.96398199,3.94410530,0.04004266,0.50055540,1.89783363,1.47831034,1.72209785,0.00000000
-5.95797899,3.75745226,0.03841533,0.47840500,1.79643853,1.41129933,1.63892634,0.00000000
-5.95197599,3.56561278,0.03665879,0.45553202,1.69190023,1.34306147,1.55265201,0.00000000
-5.94597299,3.37210242,0.03479973,0.43232497,1.58593262,1.27494107,1.46482994,0.00000000
-5.93996998,3.18029804,0.03286598,0.40915632,1.48016991,1.20822223,1.37696660,0.00000000
-5.93396698,2.99334616,0.03088561,0.38637231,1.37612479,1.14409347,1.29047952,0.00000000
-5.92796398,2.81408315,0.02888610,0.36428410,1.27515344,1.08361663,1.20666174,0.00000000
-5.92196098,2.64496947,0.02689361,0.34316058,1.17842821,1.02770126,1.12665242,0.00000000
-5.91595798,2.48803958,0.02493222,0.32322296,1.08691859,0.97708484,1.05141414,0.00000000
-5.90995498,2.34486859,0.02302344,0.30464145,1.00138052,0.93231944,0.98171741,0.00000000
-5.90395198,2.21655560,0.02118579,0.28753382,0.92235388,0.89376472,0.91813241,0.00000000
-5.89794897,2.10372335,0.01943448,0.27196595,0.85016742,0.86158730,0.86102781,0.00000000
-5.89194597,2.00653300,0.01778137,0.25795418,0.78495045,0.83576603,0.81057615,0.00000000
-5.88594297,1.92471261,0.01623493,0.24546920,0.72665011,0.81610271,0.76676500,0.00000000
-5.87993997,1.85759724,0.01480044,0.23444127,0.67505308,0.80223759,0.72941336,0.00000000
-5.87393697,1.80417872,0.01348024,0.22476644,0.62981041,0.79366894,0.69819191,0.00000000
-5.86793397,1.76316261,0.01227411,0.21631346,0.59046441,0.78977584,0.67264656,0.00000000
-5.86193097,1.73303024,0.01117965,0.20893113,0.55647616,0.78984333,0.65222390,0.00000000
-5.85592796,1.71210344,0.01019281,0.20245562,0.52725286,0.79308923,0.63629794,0.00000000
-5.84992496,1.69860994,0.00930833,0.19671766,0.50217386,0.79869161,0.62419691,0.00000000
-5.84392196,1.69074739,0.00852023,0.19154934,0.48061480,0.80581620,0.61522947,0.00000000
-5.83791896,1.68674433,0.00782227,0.18679019,0.46196913,0.81364310,0.60870962,0.00000000
-5.83191596,1.68491646,0.00720837,0.18229255,0.44566676,0.82139180,0.60397946,0.00000000
-5.82591296,1.68371694,0.00667296,0.17792610,0.43118943,0.82834422,0.60042963,0.00000000
-5.81990995,1.68177976,0.00621132,0.17358141,0.41808287,0.83386485,0.59751665,0.00000000
-5.81390695,1.67795503,0.00581977,0.16917260,0.40596563,0.83741780,0.59477714,0.00000000
-5.80790395,1.67133599,0.00549593,0.16463906,0.39453482,0.83858012,0.59183851,0.00000000
-5.80190095,1.66127697,0.00523874,0.15994634,0.38356894,0.83705124,0.58842615,0.00000000
-5.79589795,1.64740257,0.00504860,0.15508622,0.37292803,0.83265832,0.58436702,0.00000000
-5.78989495,1.62960784,0.00492729,0.15007607,0.36255150,0.82535733,0.57958977,0.00000000
-5.78389195,1.60805008,0.00487798,0.14495758,0.35245398,0.81523018,0.57412152,0.00000000
-5.77788894,1.58313270,0.00490507,0.13979502,0.34271939,0.80247786,0.56808161,0.00000000
-5.77188594,1.55548206,0.00501403,0.13467296,0.33349380,0.78741006,0.56167254,0.00000000
-5.76588294,1.52591822,0.00521126,0.12969372,0.32497707,0.77043178,0.55516865,0.00000000
-5.75987994,1.49542083,0.00550376,0.12497451,0.31741390,0.75202737,0.54890289,0.00000000
-5.75387694,1.46509150,0.00589892,0.12064434,0.31108422,0.73274277,0.54325221,0.00000000
-5.74787394,1.43611391,0.00640420,0.11684085,0.30629346,0.71316661,0.53862214,0.00000000
-5.74187094,1.40971327,0.00702674,0.11370691,0.30336264,0.69391098,0.53543110,0.00000000
-5.73586793,1.38711636,0.00777304,0.11138732,0.30261870,0.67559249,0.53409487,0.00000000
-5.72986493,1.36951353,0.00864857,0.11002541,0.30438502,0.65881446,0.53501195,0.00000000
-5.72386193,1.35802391,0.00965732,0.10975964,0.30897242,0.64415067,0.53855004,0.00000000
-5.71785893,1.35366473,0.01080148,0.11072035,0.31667073,0.63213141,0.54503416,0.00000000
-5.71185593,1.35732564,0.01208097,0.11302651,0.32774094,0.62323202,0.55473681,0.00000000
-5.70585293,1.36974859,0.01349315,0.11678273,0.34240818,0.61786429,0.56787015,0.00000000
-5.69984992,1.39151352,0.01503248,0.12207636,0.36085548,0.61637086,0.58458065,0.00000000
-5.69384692,1.42303005,0.01669028,0.12897490,0.38321847,0.61902238,0.60494602,0.00000000
-5.68784392,1.46453493,0.01845454,0.13752363,0.40958102,0.62601760,0.62897454,0.00000000
-5.68184092,1.51609485,0.02030989,0.14774370,0.43997203,0.63748574,0.65660649,0.00000000
-5.67583792,1.57761410,0.02223762,0.15963057,0.47436313,0.65349107,0.68771767,0.00000000
