energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.92196098,1.93568093,-2.23035725,0.75474054,-0.84534194,0.53420262,-0.62779974,0.46903773,-0.51249413,0.00000000,-0.00000000,0.00637400,-0.00706910,0.46238718,-0.55842015,0.02154186,-0.02453686,0.53401203,-0.58653917
-5.91595798,1.86946327,-2.16140220,0.73390873,-0.81836527,0.51716704,-0.60649595,0.45366485,-0.50223838,0.00000000,-0.00000000,0.00604799,-0.00687029,0.44701262,-0.53721640,0.02057883,-0.02381672,0.51750319,-0.57209075
-5.90995498,1.80415953,-2.08882457,0.71330050,-0.79063706,0.50135154,-0.58501108,0.43723174,-0.48993130,0.00000000,-0.00000000,0.00570432,-0.00663778,0.43295149,-0.51608316,0.01958391,-0.02301803,0.50034802,-0.55612832
-5.90395198,1.74095442,-2.01361083,0.69323658,-0.76252839,0.48706452,-0.56361145,0.42002908,-0.47577206,0.00000000,-0.00000000,0.00534844,-0.00637460,0.42047067,-0.49531418,0.01857819,-0.02215087,0.48284243,-0.53883767
-5.89794897,1.68100980,-1.93688282,0.67402324,-0.73443706,0.47459568,-0.54259330,0.40235807,-0.46000022,0.00000000,-0.00000000,0.00498609,-0.00608476,0.40980828,-0.47522153,0.01758478,-0.02122946,0.46530228,-0.52045298
-5.89194597,1.62542458,-1.85986449,0.65593844,-0.70677507,0.46420509,-0.52227508,0.38452203,-0.44288864,0.00000000,-0.00000000,0.00462312,-0.00577306,0.40116312,-0.45612628,0.01662816,-0.02027165,0.44805383,-0.50124970
-5.88594297,1.57519740,-1.78384466,0.63921928,-0.67995492,0.45611302,-0.50298825,0.36681815,-0.42473576,0.00000000,-0.00000000,0.00426532,-0.00544489,0.39468541,-0.43834807,0.01573355,-0.01929830,0.43142411,-0.48153661
-5.87993997,1.53119323,-1.71013716,0.62405134,-0.65437536,0.45049081,-0.48506711,0.34952964,-0.40585736,0.00000000,-0.00000000,0.00391826,-0.00510605,0.39046931,-0.42219397,0.01492639,-0.01833262,0.41573134,-0.46164724
-5.87393697,1.49411513,-1.64003996,0.61056044,-0.63040717,0.44745331,-0.46883788,0.33291843,-0.38657809,0.00000000,-0.00000000,0.00358715,-0.00476254,0.38854753,-0.40794727,0.01423177,-0.01739957,0.40127573,-0.44193079
-5.86793397,1.46448178,-1.57479484,0.59880721,-0.60837967,0.44705294,-0.45460761,0.31721865,-0.36722298,0.00000000,-0.00000000,0.00327677,-0.00442041,0.38888821,-0.39585660,0.01367398,-0.01652519,0.38833085,-0.42274282
-5.86193097,1.44261162,-1.51554892,0.58878465,-0.58856867,0.44927575,-0.44265331,0.30263107,-0.34810925,0.00000000,-0.00000000,0.00299140,-0.00408556,0.39139430,-0.38612595,0.01327605,-0.01573595,0.37713569,-0.40443598
-5.85592796,1.42861363,-1.46331935,0.58041876,-0.57118609,0.45403942,-0.43321162,0.28931852,-0.32953856,0.00000000,-0.00000000,0.00273476,-0.00376364,0.39590530,-0.37890604,0.01305935,-0.01505824,0.36788779,-0.38735085
