energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.17019426,0.13143401,0.00000000,0.05449940,0.62284788,1.65942613,0.64486188
-5.99399700,2.17166314,0.13704558,0.00000000,0.05496396,0.63692604,1.62478279,0.64468067
-5.98799400,2.17478666,0.14254993,0.00000000,0.05531639,0.65001995,1.59466914,0.64507532
-5.98199100,2.17894605,0.14791495,0.00000000,0.05556188,0.66212500,1.56822706,0.64583534
-5.97598799,2.18356241,0.15310985,0.00000000,0.05570802,0.67326467,1.54462057,0.64675609
-5.96998499,2.18811769,0.15810572,0.00000000,0.05576450,0.68348980,1.52307063,0.64764526
-5.96398199,2.19217125,0.16287610,0.00000000,0.05574272,0.69287710,1.50288394,0.64832806
-5.95797899,2.19537163,0.16739748,0.00000000,0.05565533,0.70152699,1.48347521,0.64865127
-5.95197599,2.19746361,0.17164981,0.00000000,0.05551570,0.70956077,1.46438241,0.64848594
-5.94597299,2.19829041,0.17561692,0.00000000,0.05533745,0.71711728,1.44527494,0.64772886
-5.93996998,2.19779149,0.17928685,0.00000000,0.05513392,0.72434893,1.42595504,0.64630287
-5.93396698,2.19599631,0.18265212,0.00000000,0.05491766,0.73141745,1.40635289,0.64415612
-5.92796398,2.19301465,0.18570988,0.00000000,0.05469998,0.73848913,1.38651623,0.64126057
-5.92196098,2.18902421,0.18846189,0.00000000,0.05449052,0.74573004,1.36659555,0.63760972
-5.91595798,2.18425632,0.19091448,0.00000000,0.05429694,0.75330099,1.34682569,0.63321592
-5.90995498,2.17898042,0.19307831,0.00000000,0.05412459,0.76135272,1.32750531,0.62810744
-5.90395198,2.17348835,0.19496811,0.00000000,0.05397642,0.77002123,1.30897510,0.62232542
-5.89794897,2.16807897,0.19660224,0.00000000,0.05385285,0.77942361,1.29159606,0.61592094
-5.89194597,2.16304398,0.19800226,0.00000000,0.05375183,0.78965437,1.27572869,0.60895236
-5.88594297,2.15865542,0.19919238,0.00000000,0.05366900,0.80078261,1.26171409,0.60148287
-5.87993997,2.15515532,0.20019890,0.00000000,0.05359795,0.81284994,1.24985751,0.59357864
-5.87393697,2.15274777,0.20104962,0.00000000,0.05353053,0.82586944,1.24041504,0.58530721
-5.86793397,2.15159357,0.20177322,0.00000000,0.05345733,0.83982550,1.23358355,0.57673648
-5.86193097,2.15180738,0.20239864,0.00000000,0.05336816,0.85467479,1.22949414,0.56793398
-5.85592796,2.15345729,0.20295451,0.00000000,0.05325259,0.87034802,1.22820892,0.55896655
-5.84992496,2.15656652,0.20346854,0.00000000,0.05310054,0.88675262,1.22972096,0.54990027
-5.84392196,2.16111672,0.20396697,0.00000000,0.05290276,0.90377605,1.23395700,0.54080058
-5.83791896,2.16705277,0.20447406,0.00000000,0.05265142,0.92128962,1.24078250,0.53173244
-5.83191596,2.17428829,0.20501160,0.00000000,0.05234051,0.93915269,1.25000855,0.52276059
-5.82591296,2.18271165,0.20559851,0.00000000,0.05196622,0.95721683,1.26139996,0.51394960
-5.81990995,2.19219198,0.20625041,0.00000000,0.05152718,0.97533008,1.27468431,0.50536396
-5.81390695,2.20258487,0.20697939,0.00000000,0.05102465,0.99334076,1.28956117,0.49706784
-5.80790395,2.21373752,0.20779373,0.00000000,0.05046247,1.01110102,1.30571127,0.48912475
-5.80190095,2.22549308,0.20869776,0.00000000,0.04984704,1.02846979,1.32280531,0.48159695
-5.79589795,2.23769424,0.20969183,0.00000000,0.04918707,1.04531519,1.34051205,0.47454469
-5.78989495,2.25018602,0.21077231,0.00000000,0.04849326,1.06151642,1.35850555,0.46802529
