energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,4.38320336,-2.87181118,0.06838163,-0.04804967,0.50908143,-0.47949389,0.01600745,-0.01002435,0.00000000,-0.00000000,1.88139290,-1.10137815,0.96173046,-0.48725940,0.04425688,-0.04622876,1.80485274,-1.06683413
-5.99399700,4.52707950,-2.84479025,0.07127594,-0.04804564,0.51818500,-0.46321397,0.01626484,-0.01009304,0.00000000,-0.00000000,1.93993298,-1.11433382,0.98710499,-0.47687501,0.04493493,-0.04406642,1.87655891,-1.07488977
-5.98799400,4.66848914,-2.82171454,0.07416343,-0.04812256,0.52689357,-0.44689236,0.01647962,-0.01015876,0.00000000,-0.00000000,1.99593426,-1.12831251,1.01168706,-0.46706043,0.04560672,-0.04194393,1.94744862,-1.08545825
-5.98199100,4.80708354,-2.80446037,0.07702792,-0.04830856,0.53520140,-0.43092760,0.01665164,-0.01022585,0.00000000,-0.00000000,2.04935600,-1.14365142,1.03543198,-0.45823607,0.04627296,-0.03991063,2.01733084,-1.09910388
-5.97598799,4.94263391,-2.79481993,0.07985399,-0.04862936,0.54312437,-0.41570451,0.01678153,-0.01029865,0.00000000,-0.00000000,2.10026979,-1.16066315,1.05831423,-0.45080663,0.04693536,-0.03801414,2.08605596,-1.11635959
-5.96998499,5.07501341,-2.79446287,0.08262682,-0.04910761,0.55069590,-0.40158547,0.01687070,-0.01038139,0.00000000,-0.00000000,2.14885532,-1.17963130,1.08032149,-0.44515136,0.04759632,-0.03629945,2.15351188,-1.13771650
-5.96398199,5.20418082,-2.80490311,0.08533208,-0.04976221,0.55796268,-0.38890281,0.01692120,-0.01047807,0.00000000,-0.00000000,2.19539483,-1.20080862,1.10144923,-0.44161538,0.04825854,-0.03480803,2.21962105,-1.16361516
-5.95797899,5.33016772,-2.82747167,0.08795587,-0.05060781,0.56498069,-0.37795247,0.01693564,-0.01059235,0.00000000,-0.00000000,2.24026650,-1.22441760,1.12169666,-0.44050199,0.04892485,-0.03357698,2.28433913,-1.19443848
-5.95197599,5.45307022,-2.86329525,0.09048480,-0.05165441,0.57181160,-0.36898911,0.01691710,-0.01072753,0.00000000,-0.00000000,2.28393738,-1.25065332,1.14106403,-0.44206636,0.04959805,-0.03263842,2.34765551,-1.23050626
-5.94597299,5.57304576,-2.91328087,0.09290604,-0.05290708,0.57851969,-0.36222262,0.01686905,-0.01088643,0.00000000,-0.00000000,2.32695590,-1.27968820,1.15955169,-0.44651060,0.05028096,-0.03201881,2.40959573,-1.27207119
-5.93996998,5.69031469,-2.97810618,0.09520754,-0.05436587,0.58516941,-0.35781612,0.01679529,-0.01107141,0.00000000,-0.00000000,2.36994404,-1.31167827,1.17716070,-0.45398027,0.05097655,-0.03173851,2.47022559,-1.31931610
-5.93396698,5.80516572,-3.05821519,0.09737823,-0.05602576,0.59182364,-0.35588548,0.01669993,-0.01128428,0.00000000,-0.00000000,2.41358894,-1.34677051,1.19389484,-0.46456256,0.05168814,-0.03181137,2.52965637,-1.37235241
-5.92796398,5.91796383,-3.15381914,0.09940830,-0.05787688,0.59854233,-0.35650008,0.01658734,-0.01152636,0.00000000,-0.00000000,2.45863360,-1.38511067,1.20976371,-0.47828581,0.05241976,-0.03224448,2.58805052,-1.43121963
-5.92196098,6.02915851,-3.26490196,0.10128945,-0.05990474,0.60538169,-0.35968487,0.01646216,-0.01179840,0.00000000,-0.00000000,2.50586618,-1.42685096,1.22478645,-0.49512067,0.05317647,-0.03303806,2.64562672,-1.49588587
-5.91595798,6.13929044,-3.39123006,0.10301511,-0.06209068,0.61239356,-0.36542338,0.01632924,-0.01210066,0.00000000,-0.00000000,2.55610745,-1.47215728,1.23899553,-0.51498249,0.05396467,-0.03418541,2.70266347,-1.56624937
-5.90995498,6.24899403,-3.53236607,0.10458066,-0.06441237,0.61962497,-0.37366170,0.01619365,-0.01243288,0.00000000,-0.00000000,2.61019572,-1.52121525,1.25244018,-0.53773512,0.05479245,-0.03567307,2.75950003,-1.64214105
-5.90395198,6.35899414,-3.68768595,0.10598346,-0.06684449,0.62711750,-0.38431290,0.01606066,-0.01279434,0.00000000,-0.00000000,2.66896910,-1.57423469,1.26518882,-0.56319579,0.05566972,-0.03748114,2.81653389,-1.72332820
-5.89794897,6.47009514,-3.85639918,0.10722285,-0.06935946,0.63490661,-0.39726204,0.01593567,-0.01318388,0.00000000,-0.00000000,2.73324467,-1.63145217,1.27733026,-0.59114084,0.05660831,-0.03958366,2.87421398,-1.80951931
-5.89194597,6.58316144,-4.03757166,0.10830001,-0.07192823,0.64302063,-0.41237122,0.01582419,-0.01359991,0.00000000,-0.00000000,2.80379472,-1.69313132,1.28897321,-0.62131238,0.05762186,-0.04194928,2.93302927,-1.90037021
-5.88594297,6.69908908,-4.23015049,0.10921771,-0.07452123,0.65147956,-0.42948460,0.01573169,-0.01404049,0.00000000,-0.00000000,2.88132033,-1.75956071,1.30024414,-0.65342530,0.05872556,-0.04454198,2.99349259,-1.99549131
-5.87993997,6.81876910,-4.43299037,0.10997990,-0.07710922,0.66029356,-0.44843325,0.01566356,-0.01450337,0.00000000,-0.00000000,2.96642306,-1.83104911,1.31128329,-0.68717470,0.05993572,-0.04732200,3.05611996,-2.09445614
-5.87393697,6.94304376,-4.64488059,0.11059134,-0.07966422,0.66946144,-0.46903945,0.01562493,-0.01498602,0.00000000,-0.00000000,3.05957559,-1.90791823,1.32223931,-0.72224332,0.06126913,-0.05024686,3.12140614,-2.19681077
-5.86793397,7.07265787,-4.86457195,0.11105704,-0.08216044,0.67896909,-0.49112053,0.01562057,-0.01548570,0.00000000,-0.00000000,3.16109265,-1.99049290,1.33326249,-0.75830880,0.06274229,-0.05327249,3.18979748,-2.30208389
-5.86193097,7.20820772,-5.09080264,0.11138173,-0.08457511,0.68878819,-0.51449198,0.01565467,-0.01599949,0.00000000,-0.00000000,3.27110372,-2.07908899,1.34449729,-0.79505057,0.06437063,-0.05635449,3.26166324,-2.40979732
-5.85592796,7.35009072,-5.32232202,0.11156945,-0.08688919,0.69887530,-0.53896983,0.01573072,-0.01652439,0.00000000,-0.00000000,3.38952903,-2.17399922,1.35607452,-0.83215606,0.06616751,-0.05944930,3.33726707,-2.51947616
-5.84992496,7.49845900,-5.55791140,0.11162304,-0.08908807,0.70917150,-0.56437223,0.01585136,-0.01705733,0.00000000,-0.00000000,3.51606059,-2.27547729,1.36810372,-0.86932617,0.06814333,-0.06251548,3.41674034,-2.63065831
-5.84392196,7.65318006,-5.79640074,0.11154386,-0.09116200,0.71960279,-0.59052027,0.01601822,-0.01759525,0.00000000,-0.00000000,3.65014977,-2.38372083,1.38066627,-0.90627978,0.07030467,-0.06551483,3.50005883,-2.74290260
-5.83791896,7.81380748,-6.03668056,0.11133157,-0.09310642,0.73008136,-0.61723817,0.01623180,-0.01813514,0.00000000,-0.00000000,3.79100275,-2.49885356,1.39380960,-0.94275719,0.07265356,-0.06841343,3.58702458,-2.85579502
-5.83191596,7.97956402,-6.27770829,0.11098413,-0.09492205,0.74050765,-0.64435279,0.01649141,-0.01867408,0.00000000,-0.00000000,3.93758502,-2.62090745,1.40754295,-0.97852249,0.07518681,-0.07118248,3.67725401,-2.96895249
-5.82591296,8.14933883,-6.51850890,0.11049786,-0.09661477,0.75077333,-0.67169271,0.01679514,-0.01920928,0.00000000,-0.00000000,4.08863543,-2.74980546,1.42183484,-1.01336479,0.07789570,-0.07379898,3.77017360,-3.08202392
-5.81990995,8.32169975,-6.75816954,0.10986773,-0.09819530,0.76076504,-0.69908702,0.01713985,-0.01973812,0.00000000,-0.00000000,4.24269021,-2.88534565,1.43661243,-1.04709839,0.08076578,-0.07624606,3.86502360,-3.19468816
-5.81390695,8.49492082,-6.99582880,0.10908776,-0.09967865,0.77036866,-0.72636392,0.01752125,-0.02025811,0.00000000,-0.00000000,4.39811653,-3.02718741,1.45176267,-1.07956200,0.08377699,-0.07851317,3.96087013,-3.30664903
-5.80790395,8.66702412,-7.23066115,0.10815158,-0.10108336,0.77947411,-0.75334949,0.01793398,-0.02076695,0.00000000,-0.00000000,4.55315483,-3.17484063,1.46713521,-1.11061713,0.08690401,-0.08059590,4.05662546,-3.41762741
-5.80190095,8.83583446,-7.46185789,0.10705293,-0.10243058,0.78798012,-0.77986658,0.01837181,-0.02126249,0.00000000,-0.00000000,4.70596868,-3.32765861,1.48254673,-1.14014574,0.09011689,-0.08249551,4.15107577,-3.52735110
