energy_ev,total_up,As_p_up,As_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,3.20023418,0.63950784,0.00000000,1.77028168,1.96759007,0.00756872,0.51682360
-5.99399700,3.34310493,0.68481679,0.00000000,1.88701195,2.04647127,0.00818786,0.53141744
-5.98799400,3.49544717,0.73195987,0.00000000,2.00991182,2.13108229,0.00886312,0.54827599
-5.98199100,3.65602261,0.78059911,0.00000000,2.13804755,2.22078285,0.00958691,0.56715600
-5.97598799,3.82346969,0.83037442,0.00000000,2.27036131,2.31487056,0.01035050,0.58777624
-5.96998499,3.99630360,0.88090350,0.00000000,2.40567052,2.41257911,0.01114413,0.60982055
-5.96398199,4.17291815,0.93178244,0.00000000,2.54267027,2.51307725,0.01195707,0.63294144
-5.95797899,4.35159109,0.98258705,0.00000000,2.67993980,2.61546955,0.01277776,0.65676409
-5.95197599,4.53049402,1.03287553,0.00000000,2.81595385,2.71879987,0.01359406,0.68089112
-5.94597299,4.70770835,1.08219230,0.00000000,2.94909949,2.82205828,0.01439341,0.70490796
-5.93996998,4.88124800,1.13007353,0.00000000,3.07769869,2.92419205,0.01516322,0.72838911
-5.93396698,5.04908925,1.17605404,0.00000000,3.20003677,3.02412105,0.01589113,0.75090518
-5.92796398,5.20920782,1.21967568,0.00000000,3.31439613,3.12075753,0.01656544,0.77203078
-5.92196098,5.35962227,1.26049699,0.00000000,3.41909467,3.21302998,0.01717543,0.79135304
-5.91595798,5.49844276,1.29810370,0.00000000,3.51252757,3.29991031,0.01771178,0.80848077
-5.90995498,5.62392318,1.33211978,0.00000000,3.59321100,3.38044346,0.01816690,0.82305380
-5.90395198,5.73451453,1.36221848,0.00000000,3.65982599,3.45377793,0.01853525,0.83475232
-5.89794897,5.82891706,1.38813281,0.00000000,3.71126045,3.51919590,0.01881364,0.84330585
-5.89194597,5.90612837,1.40966497,0.00000000,3.74664735,3.57614124,0.01900134,0.84850136
-5.88594297,5.96548466,1.42669405,0.00000000,3.76539715,3.62424372,0.01910025,0.85019021
-5.87993997,6.00669270,1.43918157,0.00000000,3.76722258,3.66333780,0.01911488,0.84829353
-5.87393697,6.02985004,1.44717443,0.00000000,3.75215444,3.69347469,0.01905227,0.84280559
-5.86793397,6.03545177,1.45080494,0.00000000,3.72054714,3.71492640,0.01892179,0.83379515
-5.86193097,6.02438252,1.45028771,0.00000000,3.67307352,3.72818114,0.01873482,0.82140424
-5.85592796,5.99789330,1.44591345,0.00000000,3.61070865,3.73392945,0.01850444,0.80584467
-5.84992496,5.95756328,1.43803967,0.00000000,3.53470315,3.73304137,0.01824489,0.78739214
-5.84392196,5.90524754,1.42707867,0.00000000,3.44654692,3.72653500,0.01797112,0.76637806
-5.83791896,5.84301254,1.41348320,0.00000000,3.34792461,3.71553753,0.01769823,0.74317956
-5.83191596,5.77306177,1.39773024,0.00000000,3.24066467,3.70124007,0.01744086,0.71820786
-5.82591296,5.69765437,1.38030372,0.00000000,3.12668402,3.68484822,0.01721269,0.69189562
-5.81990995,5.61902036,1.36167674,0.00000000,3.00793072,3.66753026,0.01702587,0.66468365
-5.81390695,5.53927596,1.34229423,0.00000000,2.88632688,3.65036542,0.01689056,0.63700766
-5.80790395,5.46034287,1.32255660,0.00000000,2.76371415,3.63429459,0.01681453,0.60928549
-5.80190095,5.38387522,1.30280536,0.00000000,2.64180409,3.62007573,0.01680284,0.58190536
-5.79589795,5.31119750,1.28331119,0.00000000,2.52213504,3.60824641,0.01685765,0.55521564
-5.78989495,5.24325656,1.26426514,0.00000000,2.40603736,3.59909535,0.01697811,0.52951652
-5.78389195,5.18058995,1.24577335,0.00000000,2.29460790,3.59264456,0.01716036,0.50505384
-5.77788894,5.12331228,1.22785564,0.00000000,2.18869462,3.58864338,0.01739775,0.48201527
-5.77188594,5.07112040,1.21044789,0.00000000,2.08889131,3.58657490,0.01768100,0.46052896
-5.76588294,5.02331724,1.19340839,0.00000000,1.99554248,3.58567488,0.01799858,0.44066458
-5.75987994,4.97885339,1.17652762,0.00000000,1.90875734,3.58496253,0.01833719,0.42243658
-5.75387694,4.93638453,1.15954121,0.00000000,1.82843217,3.58328206,0.01868221,0.40580944
-5.74787394,4.89434194,1.14214539,0.00000000,1.75427927,3.57935305,0.01901827,0.39070459
-5.74187094,4.85101294,1.12401412,0.00000000,1.68586115,3.57182759,0.01932982,0.37700854
-5.73586793,4.80462722,1.10481726,0.00000000,1.62262792,3.55935141,0.01960172,0.36458185
-5.72986493,4.75344500,1.08423865,0.00000000,1.56395610,3.54062615,0.01981979,0.35326841
-5.72386193,4.69584277,1.06199349,0.00000000,1.50918689,3.51446982,0.01997128,0.34290455
