energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,4.57611652,0.01068933,0.37977830,1.45214901,0.00000000,1.43756608,1.98043281,0.02610007,1.82156041
-5.99399700,4.63012766,0.01076735,0.38139567,1.46405297,0.00000000,1.45233605,2.01288280,0.02614866,1.84409963
-5.98799400,4.66242875,0.01084742,0.38131799,1.46963549,0.00000000,1.46058903,2.03545003,0.02609694,1.85824705
-5.98199100,4.67330554,0.01094044,0.37963581,1.46919348,0.00000000,1.46250537,2.04803965,0.02595634,1.86408303
-5.97598799,4.66348558,0.01105807,0.37647314,1.46316264,0.00000000,1.45840150,2.05076034,0.02574034,1.86185247
-5.96998499,4.63411833,0.01121233,0.37198350,1.45210579,0.00000000,1.44871998,2.04392335,0.02546390,1.85195793
-5.96398199,4.58674191,0.01141512,0.36634502,1.43669654,0.00000000,1.43401503,2.02803541,0.02514293,1.83494792
-5.95797899,4.52323764,0.01167775,0.35975452,1.41769876,0.00000000,1.41493412,2.00378572,0.02479361,1.81150055
-5.95197599,4.44577381,0.01201041,0.35242111,1.39594250,0.00000000,1.39219622,1.97202748,0.02443187,1.78240304
-5.94597299,4.35674070,0.01242174,0.34455927,1.37229709,0.00000000,1.36656751,1.93375470,0.02407276,1.74852780
-5.93996998,4.25867931,0.01291837,0.33638183,1.34764258,0.00000000,1.33883543,1.89007501,0.02372993,1.71080599
-5.93396698,4.15420638,0.01350449,0.32809314,1.32284037,0.00000000,1.30978223,1.84217970,0.02341518,1.67019941
-5.92796398,4.04593882,0.01418158,0.31988257,1.29870437,0.00000000,1.28015905,1.79131197,0.02313808,1.62767183
-5.92196098,3.93642010,0.01494808,0.31191880,1.27597373,0.00000000,1.25066154,1.73873468,0.02290574,1.58416095
-5.91595798,3.82805176,0.01579931,0.30434499,1.25528839,0.00000000,1.22190814,1.68569879,0.02272265,1.54055205
-5.90995498,3.72303232,0.01672733,0.29727503,1.23716833,0.00000000,1.19442196,1.63341351,0.02259066,1.49765430
-5.90395198,3.62330590,0.01772107,0.29079112,1.22199763,0.00000000,1.16861681,1.58301918,0.02250908,1.45618076
-5.89794897,3.53052212,0.01876647,0.28494265,1.21001377,0.00000000,1.14478817,1.53556367,0.02247486,1.41673270
-5.89194597,3.44600854,0.01984678,0.27974642,1.20130287,0.00000000,1.12310920,1.49198288,0.02248293,1.37978886
-5.88594297,3.37075586,0.02094291,0.27518823,1.19580091,0.00000000,1.10363206,1.45308566,0.02252651,1.34569993
-5.87993997,3.30541610,0.02203400,0.27122566,1.19330092,0.00000000,1.08629410,1.41954320,0.02259758,1.31468822
-5.87393697,3.25031265,0.02309792,0.26779189,1.19346582,0.00000000,1.07092869,1.39188302,0.02268729,1.28685235
-5.86793397,3.20546125,0.02411196,0.26480039,1.19584625,0.00000000,1.05727997,1.37048686,0.02278645,1.26217654
-5.86193097,3.17059996,0.02505351,0.26215022,1.19990254,0.00000000,1.04502067,1.35559243,0.02288594,1.24054374
-5.85592796,3.14522615,0.02590073,0.25973171,1.20502992,0.00000000,1.03377207,1.34729816,0.02297710,1.22175182
-5.84992496,3.12863835,0.02663324,0.25743212,1.21058565,0.00000000,1.02312517,1.34557045,0.02305208,1.20553185
-5.84392196,3.11998058,0.02723280,0.25514128,1.21591696,0.00000000,1.01266183,1.35025288,0.02310409,1.19156749
-5.83791896,3.11828697,0.02768389,0.25275668,1.22038845,0.00000000,1.00197508,1.36107660,0.02312760,1.17951435
-5.83191596,3.12252471,0.02797416,0.25018801,1.22340786,0.00000000,0.99068759,1.37767164,0.02311837,1.16901857
-5.82591296,3.13163357,0.02809486,0.24736085,1.22444905,0.00000000,0.97846758,1.39957853,0.02307356,1.15973357
-5.81990995,3.14456064,0.02804110,0.24421951,1.22307120,0.00000000,0.96504152,1.42626019,0.02299156,1.15133444
-5.81390695,3.16028937,0.02781195,0.24072875,1.21893361,0.00000000,0.95020335,1.45711366,0.02287195,1.14352926
-5.80790395,3.17786236,0.02741045,0.23687461,1.21180556,0.00000000,0.93381984,1.49148185,0.02271525,1.13606727
-5.80190095,3.19639778,0.02684345,0.23266411,1.20157098,0.00000000,0.91583226,1.52866516,0.02252276,1.12874361
-5.79589795,3.21509972,0.02612133,0.22812410,1.18822783,0.00000000,0.89625450,1.56793306,0.02229629,1.12140072
-5.78989495,3.23326278,0.02525761,0.22329923,1.17188269,0.00000000,0.87516795,1.60853578,0.02203796,1.11392674
-5.78389195,3.25027198,0.02426845,0.21824915,1.15274073,0.00000000,0.85271372,1.64971594,0.02174999,1.10625126
-5.77788894,3.26559847,0.02317211,0.21304531,1.13109198,0.00000000,0.82908273,1.69072036,0.02143452,1.09833893
-5.77188594,3.27879229,0.02198832,0.20776716,1.10729449,0.00000000,0.80450430,1.73081174,0.02109343,1.09018150
-5.76588294,3.28947301,0.02073767,0.20249835,1.08175547,0.00000000,0.77923392,1.76928012,0.02072834,1.08178898
-5.75987994,3.29731899,0.01944098,0.19732269,1.05491119,0.00000000,0.75354082,1.80545396,0.02034047,1.07318038
-5.75387694,3.30205633,0.01811867,0.19232036,1.02720679,0.00000000,0.72769594,1.83871039,0.01993070,1.06437479
-5.74787394,3.30344781,0.01679030,0.18756438,0.99907676,0.00000000,0.70196081,1.86848431,0.01949959,1.05538319
-5.74187094,3.30128270,0.01547402,0.18311741,0.97092700,0.00000000,0.67657774,1.89427609,0.01904746,1.04620140
-5.73586793,3.29536761,0.01418622,0.17902925,0.94311918,0.00000000,0.65176166,1.91565749,0.01857451,1.03680464
-5.72986493,3.28551876,0.01294125,0.17533477,0.91595797,0.00000000,0.62769388,1.93227550,0.01808089,1.02714372
-5.72386193,3.27155607,0.01175116,0.17205272,0.88968156,0.00000000,0.60451773,1.94385403,0.01756685,1.01714323
-5.71785893,3.25329889,0.01062567,0.16918517,0.86445569,0.00000000,0.58233635,1.95019345,0.01703283,1.00670152
-5.71185593,3.23056393,0.00957214,0.16671780,0.84037130,0.00000000,0.56121229,1.95116793,0.01647956,0.99569262
-5.70585293,3.20316504,0.00859561,0.16462086,0.81744574,0.00000000,0.54116902,1.94672100,0.01590814,0.98396982
