energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.44095735,0.16201122,0.00389493,0.00366085,1.54874230,1.49646928,1.04177358
-5.99399700,2.46225665,0.16080876,0.00382869,0.00351135,1.57949341,1.51142034,1.05980400
-5.98799400,2.48636562,0.15919505,0.00375873,0.00335464,1.61347764,1.52829571,1.08015600
-5.98199100,2.51527479,0.15724005,0.00368802,0.00319341,1.65200030,1.54839541,1.10375805
-5.97598799,2.55108609,0.15502202,0.00361980,0.00303025,1.69645176,1.57311590,1.13158017
-5.96998499,2.59596843,0.15262522,0.00355751,0.00286760,1.74827883,1.60392574,1.16461365
-5.96398199,2.65210912,0.15013743,0.00350476,0.00270768,1.80895229,1.64233761,1.20384881
-5.95797899,2.72166189,0.14764750,0.00346525,0.00255248,1.87993101,1.68987724,1.25025112
-5.95197599,2.80669238,0.14524270,0.00344271,0.00240367,1.96262332,1.74804929,1.30473599
-5.94597299,2.90912183,0.14300633,0.00344083,0.00226264,2.05834608,1.81830066,1.36814260
-5.93996998,3.03066993,0.14101534,0.00346318,0.00213043,2.16828226,1.90198152,1.44120705
-5.93396698,3.17279789,0.13933820,0.00351313,0.00200779,2.29343793,2.00030471,1.52453537
-5.92796398,3.33665289,0.13803302,0.00359376,0.00189515,2.43459943,2.11430410,1.61857681
-5.92196098,3.52301489,0.13714602,0.00370781,0.00179267,2.59229184,2.24479273,1.72359794
-5.91595798,3.73224753,0.13671033,0.00385755,0.00170024,2.76673998,2.39232170,1.83965838
-5.90995498,3.96425414,0.13674523,0.00404476,0.00161753,2.95783298,2.55714090,1.96658868
-5.90395198,4.21844078,0.13725575,0.00427059,0.00154402,3.16509396,2.73916292,2.10397141
-5.89794897,4.49368774,0.13823276,0.00453555,0.00147902,3.38765596,2.93793140,2.25112618
-5.89194597,4.78833110,0.13965345,0.00483943,0.00142174,3.62424565,3.15259557,2.40709981
-5.88594297,5.10015607,0.14148214,0.00518125,0.00137131,3.87317605,3.38189220,2.57066222
