energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Sb_p_up,Sb_p_down,Sb_d_up,Sb_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.63071424,-1.21411908,0.33165038,-0.86293074,0.20077619,-0.28186113,0.13297570,-0.35861602,0.00354014,-0.00868826,0.26695465,-0.50330648,0.00000000,-0.00000000
-5.99399700,0.60799645,-1.26540116,0.31809601,-0.89317994,0.19749348,-0.29513235,0.13133391,-0.36057048,0.00337562,-0.00896747,0.25268279,-0.53648588,0.00000000,-0.00000000
-5.98799400,0.59167628,-1.31877000,0.30913179,-0.92338078,0.19591368,-0.30904270,0.13066000,-0.36271905,0.00326758,-0.00926084,0.24165133,-0.57081776,0.00000000,-0.00000000
-5.98199100,0.58150752,-1.37354607,0.30448659,-0.95316693,0.19597330,-0.32339745,0.13088487,-0.36504171,0.00321365,-0.00956489,0.23377565,-0.60587323,0.00000000,-0.00000000
-5.97598799,0.57712523,-1.42898890,0.30382552,-0.98214927,0.19757220,-0.33798321,0.13191885,-0.36749741,0.00321074,-0.00987554,0.22891486,-0.64120249,0.00000000,-0.00000000
-5.96998499,0.57806030,-1.48430487,0.30676006,-1.00991812,0.20057751,-0.35257132,0.13365527,-0.37002390,0.00325511,-0.01018805,0.22687747,-0.67633966,0.00000000,-0.00000000
-5.96398199,0.58375576,-1.53865774,0.31285834,-1.03604710,0.20482852,-0.36692216,0.13597453,-0.37253882,0.00334247,-0.01049710,0.22742768,-0.71080836,0.00000000,-0.00000000
-5.95797899,0.59358465,-1.59118184,0.32165574,-1.06009866,0.21014209,-0.38079002,0.13874865,-0.37494193,0.00346806,-0.01079686,0.23029222,-0.74412808,0.00000000,-0.00000000
-5.95197599,0.60686882,-1.64099770,0.33266558,-1.08163115,0.21631866,-0.39392865,0.14184601,-0.37711833,0.00362676,-0.01108111,0.23516760,-0.77582118,0.00000000,-0.00000000
-5.94597299,0.62289865,-1.68722957,0.34539002,-1.10020760,0.22314874,-0.40609695,0.14513629,-0.37894252,0.00381314,-0.01134336,0.24172767,-0.80542056,0.00000000,-0.00000000
