energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,8.22096772,0.07445821,0.95020895,3.66475272,2.26529804,0.91229911,3.21245237,0.00000000
-5.99399700,8.24223316,0.07175633,0.95145371,3.69393325,2.27007353,0.91964337,3.22493236,0.00000000
-5.98799400,8.22541367,0.06896298,0.94828918,3.70685006,2.26434892,0.92406431,3.22253687,0.00000000
-5.98199100,8.17019616,0.06609815,0.94063260,3.70291480,2.24807245,0.92539713,3.20518009,0.00000000
-5.97598799,8.07692129,0.06318329,0.92848407,3.68183979,2.22136527,0.92351503,3.17302366,0.00000000
-5.96998499,7.94659412,0.06024141,0.91193177,3.64366492,2.18452180,0.91833512,3.12647628,0.00000000
-5.96398199,7.78087571,0.05729703,0.89115438,3.58877469,2.13800547,0.90982308,3.06618648,0.00000000
-5.95797899,7.58205567,0.05437599,0.86642057,3.51790404,2.08244010,0.89799631,2.99302883,0.00000000
-5.95197599,7.35300678,0.05150519,0.83808549,3.43213269,2.01859728,0.88292535,2.90808418,0.00000000
-5.94597299,7.09712346,0.04871205,0.80658438,3.33286794,1.94738026,0.86473359,2.81261454,0.00000000
-5.93996998,6.81824652,0.04602398,0.77242363,3.22181645,1.86980516,0.84359524,2.70803380,0.00000000
-5.93396698,6.52057708,0.04346776,0.73616957,3.10094629,1.78698011,0.81973166,2.59587512,0.00000000
-5.92796398,6.20858303,0.04106881,0.69843557,2.97244061,1.70008317,0.79340615,2.47775633,0.00000000
-5.92196098,5.88690132,0.03885054,0.65986794,2.83864490,1.61033969,0.76491749,2.35534434,0.00000000
-5.91595798,5.56023950,0.03683373,0.62113121,2.70200983,1.51899991,0.73459246,2.23031986,0.00000000
-5.90995498,5.23327967,0.03503592,0.58289331,2.56503203,1.42731730,0.70277757,2.10434333,0.00000000
-5.90395198,4.91058752,0.03347100,0.54581121,2.43019469,1.33652817,0.66983046,1.97902301,0.00000000
-5.89794897,4.59652895,0.03214887,0.51051747,2.29991018,1.24783284,0.63611121,1.85588600,0.00000000
-5.89194597,4.29519574,0.03107526,0.47760796,2.17646640,1.16237874,0.60197381,1.73635282,0.00000000
-5.88594297,4.01034179,0.03025169,0.44763116,2.06197822,1.08124530,0.56775832,1.62171581,0.00000000
-5.87993997,3.74533017,0.02967560,0.42107898,1.95834528,1.00543078,0.53378370,1.51312172,0.00000000
-5.87393697,3.50309119,0.02934058,0.39837934,1.86721669,0.93584080,0.50034176,1.41155854,0.00000000
-5.86793397,3.28609115,0.02923673,0.37989028,1.78996306,0.87327843,0.46769224,1.31784631,0.00000000
-5.86193097,3.09631064,0.02935111,0.36589559,1.72765597,0.81843551,0.43605932,1.23263196,0.00000000
-5.85592796,2.93523175,0.02966824,0.35660176,1.68105440,0.77188515,0.40562935,1.15638758,0.00000000
-5.84992496,2.80383268,0.03017060,0.35213601,1.65059788,0.73407493,0.37655003,1.08941202,0.00000000
-5.84392196,2.70258877,0.03083917,0.35254528,1.63640559,0.70532088,0.34893084,1.03183510,0.00000000
-5.83791896,2.63147884,0.03165388,0.35779596,1.63828087,0.68580209,0.32284463,0.98362435,0.00000000
-5.83191596,2.58999599,0.03259407,0.36777423,1.65572031,0.67555599,0.29833021,0.94459357,0.00000000
-5.82591296,2.57716236,0.03363878,0.38228706,1.68792712,0.67447453,0.27539577,0.91441303,0.00000000
-5.81990995,2.59154761,0.03476703,0.40106380,1.73382797,0.68230143,0.25402280,0.89262095,0.00000000
-5.81390695,2.63129119,0.03595798,0.42375843,1.79209331,0.69863101,0.23417048,0.87863607,0.00000000
-5.80790395,2.69412891,0.03719100,0.44995271,1.86116075,0.72290900,0.21578015,0.87177109,0.00000000
-5.80190095,2.77742428,0.03844570,0.47916033,1.93926159,0.75443583,0.19877973,0.87124692,0.00000000
-5.79589795,2.87820559,0.03970188,0.51083241,2.02445041,0.79237293,0.18308793,0.87620766,0.00000000
-5.78989495,2.99320935,0.04093945,0.54436430,2.11463800,0.83575246,0.16861802,0.88573641,0.00000000
-5.78389195,3.11893081,0.04213841,0.57910417,2.20762739,0.88349100,0.15528118,0.89887172,0.00000000
-5.77788894,3.25168201,0.04327878,0.61436333,2.30115318,0.93440712,0.14298929,0.91462482,0.00000000
-5.77188594,3.38765739,0.04434069,0.64942821,2.39292383,0.98724318,0.13165708,0.93199756,0.00000000
-5.76588294,3.52300646,0.04530440,0.68357418,2.48066657,1.04069103,0.12120379,0.95000090,0.00000000
-5.75987994,3.65391282,0.04615057,0.71608080,2.56217420,1.09342117,0.11155423,0.96767374,0.00000000
-5.75387694,3.77667769,0.04686053,0.74624818,2.63535298,1.14411474,0.10263941,0.98410204,0.00000000
-5.74787394,3.88780616,0.04741669,0.77341413,2.69827031,1.19149761,0.09439673,0.99843751,0.00000000
-5.74187094,3.98409360,0.04780298,0.79697141,2.74920098,1.23437516,0.08676990,1.00991580,0.00000000
-5.73586793,4.06270928,0.04800544,0.81638453,2.78667033,1.27166689,0.07970863,1.01787347,0.00000000
-5.72986493,4.12127412,0.04801277,0.83120544,2.80949279,1.30243930,0.07316814,1.02176335,0.00000000
-5.72386193,4.15792964,0.04781695,0.84108737,2.81680425,1.32593588,0.06710865,1.02116760,0.00000000
-5.71785893,4.17139486,0.04741380,0.84579624,2.80808667,1.34160288,0.06149483,1.01580815,0.00000000
-5.71185593,4.16100887,0.04680345,0.84521909,2.78318390,1.34910969,0.05629526,1.00555395,0.00000000
-5.70585293,4.12675666,0.04599081,0.83936903,2.74230758,1.34836309,0.05148204,0.99042473,0.00000000
-5.69984992,4.06927705,0.04498581,0.82838647,2.68603280,1.33951446,0.04703035,0.97059107,0.00000000
-5.69384692,3.98985184,0.04380355,0.81253646,2.61528330,1.32295983,0.04291822,0.94637065,0.00000000
-5.68784392,3.89037649,0.04246429,0.79220219,2.53130670,1.29933244,0.03912625,0.91822080,0.00000000
-5.68184092,3.77331302,0.04099325,0.76787487,2.43564048,1.26948829,0.03563750,0.88672754,0.00000000
-5.67583792,3.64162707,0.03942026,0.74014035,2.33007017,1.23448502,0.03243729,0.85259154,0.00000000
-5.66983492,3.49871109,0.03777926,0.70966302,2.21658107,1.19555498,0.02951318,0.81661133,0.00000000
-5.66383192,3.34829673,0.03610760,0.67716756,2.09730563,1.15407341,0.02685475,0.77966440,0.00000000
-5.65782891,3.19435922,0.03444537,0.64341926,1.97446825,1.11152287,0.02445358,0.74268687,0.00000000
-5.65182591,3.04101712,0.03283442,0.60920365,1.85032963,1.06945493,0.02230301,0.70665214,0.00000000
-5.64582291,2.89243046,0.03131755,0.57530598,1.72713252,1.02945048,0.02039799,0.67254922,0.00000000
-5.63981991,2.75270028,0.02993749,0.54249154,1.60705064,0.99307959,0.01873482,0.64136128,0.00000000
-5.63381691,2.62577212,0.02873595,0.51148700,1.49214218,0.96186200,0.01731087,0.61404480,0.00000000
-5.62781391,2.51534563,0.02775266,0.48296354,1.38430896,0.93722918,0.01612429,0.59150969,0.00000000
-5.62181091,2.42479202,0.02702448,0.45752212,1.28526210,0.92048861,0.01517364,0.57460069,0.00000000
-5.61580790,2.35708069,0.02658449,0.43568098,1.19649441,0.91279107,0.01445754,0.56408010,0.00000000
-5.60980490,2.31471573,0.02646123,0.41786571,1.11925964,0.91510126,0.01397427,0.56061209,0.00000000
-5.60380190,2.29968294,0.02667792,0.40440195,1.05455834,0.92817240,0.01372141,0.56474850,0.00000000
-5.59779890,2.31340753,0.02725190,0.39551048,1.00312964,0.95252497,0.01369543,0.57691628,0.00000000
-5.59179590,2.35672264,0.02819400,0.39130496,0.96544858,0.98843002,0.01389141,0.59740651,0.00000000
-5.58579290,2.42984869,0.02950814,0.39179187,0.94172797,1.03589743,0.01430263,0.62636518,0.00000000
-5.57978989,2.53238355,0.03119100,0.39687269,0.93192428,1.09466918,0.01492036,0.66378573,0.00000000
-5.57378689,2.66330371,0.03323179,0.40634813,0.93574673,1.16421823,0.01573359,0.70950364,0.00000000
-5.56778389,2.82097655,0.03561219,0.41992416,0.95266912,1.24375307,0.01672890,0.76319326,0.00000000
-5.56178089,3.00318392,0.03830641,0.43721981,0.98194403,1.33222823,0.01789035,0.82436722,0.00000000
