energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.55210153,0.25916852,0.00118131,0.07276085,0.82400426,0.81337254,0.35200648
-5.99399700,1.53492490,0.25606161,0.00122061,0.07107353,0.81586973,0.80122490,0.34738979
-5.98799400,1.52368695,0.25347805,0.00127121,0.06921139,0.81133993,0.79450289,0.34384024
-5.98199100,1.51911101,0.25150750,0.00133345,0.06722746,0.81084075,0.79336340,0.34162423
-5.97598799,1.52190568,0.25024094,0.00140758,0.06517829,0.81478715,0.79790994,0.34101604
-5.96998499,1.53273839,0.24976697,0.00149370,0.06312217,0.82356835,0.80818603,0.34228988
-5.96398199,1.55221069,0.25016816,0.00159178,0.06111745,0.83753405,0.82417029,0.34571195
-5.95797899,1.58083566,0.25151785,0.00170162,0.05922098,0.85698180,0.84577352,0.35153278
-5.95197599,1.61901810,0.25387721,0.00182287,0.05748666,0.88214584,0.87283743,0.35997988
-5.94597299,1.66703781,0.25729289,0.00195500,0.05596421,0.91318760,0.90513494,0.37125095
-5.93996998,1.72503615,0.26179516,0.00209730,0.05469814,0.95018794,0.94237193,0.38550779
-5.93396698,1.79300597,0.26739668,0.00224890,0.05372698,0.99314103,0.98419009,0.40287086
-5.92796398,1.87078495,0.27409178,0.00240875,0.05308269,1.04195014,1.03017070,0.42341467
-5.92196098,1.95805205,0.28185633,0.00257565,0.05279033,1.09642499,1.07983920,0.44716402
-5.91595798,2.05432729,0.29064810,0.00274824,0.05286793,1.15628086,1.13267032,0.47409113
-5.90995498,2.15897437,0.30040758,0.00292505,0.05332643,1.22113927,1.18809362,0.50411365
-5.90395198,2.27120626,0.31105926,0.00310449,0.05416991,1.29053027,1.24549948,0.53709370
-5.89794897,2.39009352,0.32251321,0.00328491,0.05539580,1.36389630,1.30424542,0.57283783
-5.89194597,2.51457539,0.33466710,0.00346461,0.05699525,1.44059761,1.36366292,0.61109801
-5.88594297,2.64347359,0.34740846,0.00364186,0.05895350,1.51991934,1.42306458,0.65157378
-5.87993997,2.77550873,0.36061725,0.00381496,0.06125036,1.60108018,1.48175208,0.69391538
-5.87393697,2.90931946,0.37416871,0.00398229,0.06386067,1.68324274,1.53902458,0.73772808
-5.86793397,3.04348409,0.38793636,0.00414230,0.06675474,1.76552549,1.59418801,0.78257766
-5.86193097,3.17654460,0.40179523,0.00429360,0.06989892,1.84701635,1.64656508,0.82799694
-5.85592796,3.30703270,0.41562514,0.00443497,0.07325606,1.92678769,1.69550591,0.87349339
-5.84992496,3.43349754,0.42931404,0.00456541,0.07678607,2.00391257,1.74039927,0.91855767
-5.84392196,3.55453444,0.44276118,0.00468414,0.08044647,2.07748191,1.78068415,0.96267292
-5.83791896,3.66881390,0.45588015,0.00479069,0.08419291,2.14662227,1.81586127,1.00532472
-5.83191596,3.77511002,0.46860150,0.00488485,0.08797980,2.21051357,1.84550432,1.04601127
-5.82591296,3.87232743,0.48087487,0.00496674,0.09176091,2.26840647,1.86927027,1.08425368
-5.81990995,3.95952559,0.49267055,0.00503677,0.09548996,2.31963859,1.88690848,1.11960596
-5.81390695,4.03593963,0.50398015,0.00509566,0.09912125,2.36364918,1.89826800,1.15166446
-5.80790395,4.10099664,0.51481659,0.00514443,0.10261028,2.39999146,1.90330273,1.18007634
-5.80190095,4.15432689,0.52521309,0.00518437,0.10591439,2.42834234,1.90207403,1.20454687
-5.79589795,4.19576922,0.53522128,0.00521698,0.10899326,2.44850896,1.89475059,1.22484527
-5.78989495,4.22537048,0.54490851,0.00524397,0.11180955,2.46043187,1.88160539,1.24080889
-5.78389195,4.24337896,0.55435440,0.00526720,0.11432932,2.46418470,1.86300986,1.25234564
-5.77788894,4.25023226,0.56364680,0.00528861,0.11652254,2.45997027,1.83942532,1.25943460
-5.77188594,4.24654006,0.57287745,0.00531018,0.11836344,2.44811357,1.81139206,1.26212489
-5.76588294,4.23306281,0.58213739,0.00533387,0.11983085,2.42905174,1.77951655,1.26053284
-5.75987994,4.21068742,0.59151263,0.00536158,0.12090844,2.40332167,1.74445718,1.25483778
-5.75387694,4.18040103,0.60108012,0.00539507,0.12158494,2.37154576,1.70690923,1.24527655
-5.74787394,4.14326434,0.61090432,0.00543596,0.12185421,2.33441651,1.66758959,1.23213713
-5.74187094,4.10038549,0.62103461,0.00548564,0.12171536,2.29268057,1.62722185,1.21575158
-5.73586793,4.05289571,0.63150365,0.00554532,0.12117269,2.24712289,1.58652225,1.19648872
-5.72986493,4.00192756,0.64232674,0.00561592,0.12023563,2.19855146,1.54618691,1.17474661
-5.72386193,3.94859632,0.65350228,0.00569816,0.11891860,2.14778318,1.50688063,1.15094525
-5.71785893,3.89398496,0.66501314,0.00579251,0.11724079,2.09563104,1.46922752,1.12551956
-5.71185593,3.83913259,0.67682891,0.00589920,0.11522591,2.04289289,1.43380333,1.09891275
-5.70585293,3.78502613,0.68890884,0.00601829,0.11290180,1.99034170,1.40112969,1.07157012
-5.69984992,3.73259474,0.70120517,0.00614962,0.11030006,1.93871734,1.37166972,1.04393325
